Maddieson, Ian. 2011. Absence of Common Consonants.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 18A.
Available online at http://wals.info/feature/18A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	1	All present	-24.000	21.500	Southern Khoisan	Khoisan	Phonology
ood	O'odham	1	All present	32.000	-112.000	Tepiman	Uto-Aztecan	Phonology
ani	//Ani	1	All present	-18.917	21.917	Central Khoisan	Khoisan	Phonology
abi	Abipón	1	All present	-29.000	-61.000	Guaicuruan	Guaicuruan	Phonology
abk	Abkhaz	1	All present	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Phonology
ach	Aché	1	All present	-25.250	-55.167	Tupi-Guaraní	Tupian	Phonology
acm	Achumawi	1	All present	41.500	-121.000	Palaihnihan	Hokan	Phonology
aco	Acoma	1	All present	34.917	-107.583	Keresan	Keresan	Phonology
adz	Adzera	1	All present	-6.250	146.250	Oceanic	Austronesian	Phonology
agh	Aghem	1	All present	6.667	10.000	Bantoid	Niger-Congo	Phonology
aht	Ahtna	1	All present	62.000	-145.000	Athapaskan	Na-Dene	Phonology
ain	Ainu	1	All present	43.000	143.000	Ainu	Ainu	Phonology
aiz	Aizi	1	All present	5.250	-4.500	Kru	Niger-Congo	Phonology
akn	Akan	1	All present	6.500	-1.250	Kwa	Niger-Congo	Phonology
akw	Akawaio	1	All present	6.000	-59.500	Cariban	Cariban	Phonology
abm	Alabama	1	All present	32.333	-87.417	Muskogean	Muskogean	Phonology
ala	Alamblak	1	All present	-4.667	143.333	Sepik Hill	Sepik	Phonology
alb	Albanian	1	All present	41.000	20.000	Albanian	Indo-European	Phonology
aea	Aleut (Eastern)	1	All present	54.750	-164.000	Aleut	Eskimo-Aleut	Phonology
ald	Alladian	1	All present	5.167	-4.333	Kwa	Niger-Congo	Phonology
amc	Amahuaca	1	All present	-10.500	-72.500	Panoan	Panoan	Phonology
ame	Amele	1	All present	-5.250	145.583	Madang	Trans-New Guinea	Phonology
amh	Amharic	1	All present	10.000	38.000	Semitic	Afro-Asiatic	Phonology
amo	Amo	1	All present	10.333	8.667	Kainji	Niger-Congo	Phonology
amu	Amuesha	1	All present	-10.500	-75.417	Arawakan	Arawakan	Phonology
amz	Amuzgo	1	All present	16.833	-98.000	Amuzgoan	Oto-Manguean	Phonology
anc	Angas	1	All present	9.500	9.500	West Chadic	Afro-Asiatic	Phonology
ao	Ao	1	All present	26.583	94.667	Kuki-Chin	Sino-Tibetan	Phonology
