Maddieson, Ian. 2011. Presence of Uncommon Consonants.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 19A.
Available online at http://wals.info/feature/19A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ood	O'odham	1	None	32.000	-112.000	Tepiman	Uto-Aztecan	Phonology
abi	Abipón	1	None	-29.000	-61.000	Guaicuruan	Guaicuruan	Phonology
ach	Aché	1	None	-25.250	-55.167	Tupi-Guaraní	Tupian	Phonology
acm	Achumawi	1	None	41.500	-121.000	Palaihnihan	Hokan	Phonology
adz	Adzera	1	None	-6.250	146.250	Oceanic	Austronesian	Phonology
aht	Ahtna	1	None	62.000	-145.000	Athapaskan	Na-Dene	Phonology
ain	Ainu	1	None	43.000	143.000	Ainu	Ainu	Phonology
akn	Akan	1	None	6.500	-1.250	Kwa	Niger-Congo	Phonology
akw	Akawaio	1	None	6.000	-59.500	Cariban	Cariban	Phonology
abm	Alabama	1	None	32.333	-87.417	Muskogean	Muskogean	Phonology
ala	Alamblak	1	None	-4.667	143.333	Sepik Hill	Sepik	Phonology
alw	Alawa	1	None	-15.167	134.250	Maran	Australian	Phonology
amh	Amharic	1	None	10.000	38.000	Semitic	Afro-Asiatic	Phonology
amu	Amuesha	1	None	-10.500	-75.417	Arawakan	Arawakan	Phonology
amz	Amuzgo	1	None	16.833	-98.000	Amuzgoan	Oto-Manguean	Phonology
gan	Great Andamanese	1	None	12.000	92.667	Great Andamanese	Great Andamanese	Phonology
adk	Andoke	1	None	-0.667	-72.000	Andoke	Andoke	Phonology
ant	Angaatiha	1	None	-7.217	146.250	Angan	Trans-New Guinea	Phonology
anc	Angas	1	None	9.500	9.500	West Chadic	Afro-Asiatic	Phonology
ao	Ao	1	None	26.583	94.667	Kuki-Chin	Sino-Tibetan	Phonology
api	Apinayé	1	None	-5.500	-48.000	Ge-Kaingang	Macro-Ge	Phonology
apu	Apurinã	1	None	-9.000	-67.000	Arawakan	Arawakan	Phonology
arb	Arabela	1	None	-2.000	-75.167	Zaparoan	Zaparoan	Phonology
ana	Araona	1	None	-12.333	-67.750	Tacanan	Tacanan	Phonology
arm	Armenian (Eastern)	1	None	40.000	45.000	Armenian	Indo-European	Phonology
asm	Asmat	1	None	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Phonology
awp	Awa Pit	1	None	1.500	-78.250	Barbacoan	Barbacoan	Phonology
awn	Awngi	1	None	10.833	36.667	Central Cushitic	Afro-Asiatic	Phonology
aym	Aymara	1	None	-17.000	-69.000	Aymaran	Aymaran	Phonology
aze	Azerbaijani	1	None	40.500	48.500	Turkic	Altaic	Phonology
bag	Bagirmi	1	None	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Phonology
bai	Bai	1	None	26.000	100.000	Bai	Sino-Tibetan	Phonology
bng	Baining	1	None	-4.583	152.000	Baining	Baining-Taulil	Phonology
bki	Bakairí	1	None	-14.000	-55.000	Cariban	Cariban	Phonology
bam	Bambara	1	None	12.500	-7.500	Western Mande	Niger-Congo	Phonology
byu	Bandjalang (Yugumbir)	1	None	-27.917	153.000	Pama-Nyungan	Australian	Phonology
bno	Barasano (Northern)	1	None	0.333	-70.250	Tucanoan	Tucanoan	Phonology
brd	Bardi	1	None	-16.583	122.917	Nyulnyulan	Australian	Phonology
bsq	Basque	1	None	43.000	-3.000	Basque	Basque	Phonology
bkr	Batak (Karo)	1	None	3.250	98.250	Sumatra	Austronesian	Phonology
bto	Batak (Toba)	1	None	2.500	99.000	Sumatra	Austronesian	Phonology
baw	Bawm	1	None	22.500	92.250	Kuki-Chin	Sino-Tibetan	Phonology
bee	Beembe	1	None	-3.917	14.083	Bantoid	Niger-Congo	Phonology
bej	Beja	1	None	18.000	36.000	Beja	Afro-Asiatic	Phonology
bco	Bella Coola	1	None	52.500	-126.667	Bella Coola	Salishan	Phonology
ben	Bengali	1	None	24.000	90.000	Indic	Indo-European	Phonology
bis	Bisa	1	None	11.500	-0.500	Eastern Mande	Niger-Congo	Phonology
bod	Bodo	1	None	26.833	92.000	Bodo-Garo	Sino-Tibetan	Phonology
brr	Bororo	1	None	-16.000	-57.000	Bororo	Macro-Ge	Phonology
brh	Brahui	1	None	28.500	67.000	Northern Dravidian	Dravidian	Phonology
bre	Breton	1	None	48.000	-3.000	Celtic	Indo-European	Phonology
bri	Bribri	1	None	9.417	-83.000	Talamanca	Chibchan	Phonology
brw	Bru (Western)	1	None	16.750	104.750	Katuic	Austro-Asiatic	Phonology
arp	Arapesh (Mountain)	1	None	-3.467	143.167	Kombio-Arapesh	Torricelli	Phonology
bul	Bulgarian	1	None	42.500	25.000	Slavic	Indo-European	Phonology
bua	Burarra	1	None	-12.250	134.583	Burarran	Australian	Phonology
bur	Burushaski	1	None	36.500	74.500	Burushaski	Burushaski	Phonology
cac	Cacua	1	None	1.083	-70.000	Cacua-Nukak	Cacua-Nukak	Phonology
cad	Caddo	1	None	33.333	-93.500	Caddoan	Caddoan	Phonology
cah	Cahuilla	1	None	33.500	-116.250	Takic	Uto-Aztecan	Phonology
cax	Campa (Axininca)	1	None	-12.000	-74.000	Arawakan	Arawakan	Phonology
cam	Camsá	1	None	1.167	-77.000	Camsá	Camsá	Phonology
ckr	Canela-Krahô	1	None	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Phonology
cnt	Cantonese	1	None	23.000	113.000	Chinese	Sino-Tibetan	Phonology
car	Carib	1	None	5.500	-56.000	Cariban	Cariban	Phonology
ctl	Catalan	1	None	41.750	2.000	Romance	Indo-European	Phonology
cay	Cayapa	1	None	0.667	-79.000	Barbacoan	Barbacoan	Phonology
cyv	Cayuvava	1	None	-13.500	-65.500	Cayuvava	Cayuvava	Phonology
chw	Cham (Western)	1	None	12.000	105.500	Malayic	Austronesian	Phonology
cha	Chamorro	1	None	13.450	144.750	Chamorro	Austronesian	Phonology
