Maddieson, Ian. 2011. Consonant Inventories.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 1A.
Available online at http://wals.info/feature/1A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
aht	Ahtna	1	Small	62.000	-145.000	Athapaskan	Na-Dene	Phonology
akn	Akan	1	Small	6.500	-1.250	Kwa	Niger-Congo	Phonology
akw	Akawaio	1	Small	6.000	-59.500	Cariban	Cariban	Phonology
ald	Alladian	1	Small	5.167	-4.333	Kwa	Niger-Congo	Phonology
gan	Great Andamanese	1	Small	12.000	92.667	Great Andamanese	Great Andamanese	Phonology
adk	Andoke	1	Small	-0.667	-72.000	Andoke	Andoke	Phonology
anc	Angas	1	Small	9.500	9.500	West Chadic	Afro-Asiatic	Phonology
ao	Ao	1	Small	26.583	94.667	Kuki-Chin	Sino-Tibetan	Phonology
api	Apinayé	1	Small	-5.500	-48.000	Ge-Kaingang	Macro-Ge	Phonology
apu	Apurinã	1	Small	-9.000	-67.000	Arawakan	Arawakan	Phonology
arm	Armenian (Eastern)	1	Small	40.000	45.000	Armenian	Indo-European	Phonology
ata	Atayal	1	Small	24.500	121.333	Atayalic	Austronesian	Phonology
awp	Awa Pit	1	Small	1.500	-78.250	Barbacoan	Barbacoan	Phonology
bng	Baining	1	Small	-4.583	152.000	Baining	Baining-Taulil	Phonology
byu	Bandjalang (Yugumbir)	1	Small	-27.917	153.000	Pama-Nyungan	Australian	Phonology
bno	Barasano (Northern)	1	Small	0.333	-70.250	Tucanoan	Tucanoan	Phonology
brr	Bororo	1	Small	-16.000	-57.000	Bororo	Macro-Ge	Phonology
cac	Cacua	1	Small	1.083	-70.000	Cacua-Nukak	Cacua-Nukak	Phonology
ckr	Canela-Krahô	1	Small	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Phonology
che	Cherokee	1	Small	35.500	-83.500	Southern Iroquoian	Iroquoian	Phonology
