Bickel, Balthasar & Nichols, Johanna. 2011. Fusion of Selected Inflectional Formatives.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 20A.
Available online at http://wals.info/feature/20A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	1	Exclusively concatenative	-29.000	-61.000	Guaicuruan	Guaicuruan	Morphology
abk	Abkhaz	1	Exclusively concatenative	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Morphology
aco	Acoma	1	Exclusively concatenative	34.917	-107.583	Keresan	Keresan	Morphology
ala	Alamblak	1	Exclusively concatenative	-4.667	143.333	Sepik Hill	Sepik	Morphology
ame	Amele	1	Exclusively concatenative	-5.250	145.583	Madang	Trans-New Guinea	Morphology
apu	Apurinã	1	Exclusively concatenative	-9.000	-67.000	Arawakan	Arawakan	Morphology
ana	Araona	1	Exclusively concatenative	-12.333	-67.750	Tacanan	Tacanan	Morphology
asm	Asmat	1	Exclusively concatenative	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Morphology
atk	Atakapa	1	Exclusively concatenative	30.000	-93.500	Atakapa	Atakapa	Morphology
awp	Awa Pit	1	Exclusively concatenative	1.500	-78.250	Barbacoan	Barbacoan	Morphology
aym	Aymara	1	Exclusively concatenative	-17.000	-69.000	Aymaran	Aymaran	Morphology
bag	Bagirmi	1	Exclusively concatenative	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Morphology
bnj	Bandjalang	1	Exclusively concatenative	-28.750	153.000	Pama-Nyungan	Australian	Morphology
brs	Barasano	1	Exclusively concatenative	-0.167	-70.667	Tucanoan	Tucanoan	Morphology
bsq	Basque	1	Exclusively concatenative	43.000	-3.000	Basque	Basque	Morphology
bel	Belhare	1	Exclusively concatenative	26.967	87.300	Bodic	Sino-Tibetan	Morphology
brh	Brahui	1	Exclusively concatenative	28.500	67.000	Northern Dravidian	Dravidian	Morphology
arp	Arapesh (Mountain)	1	Exclusively concatenative	-3.467	143.167	Kombio-Arapesh	Torricelli	Morphology
brm	Burmese	1	Exclusively concatenative	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Morphology
bur	Burushaski	1	Exclusively concatenative	36.500	74.500	Burushaski	Burushaski	Morphology
ckr	Canela-Krahô	1	Exclusively concatenative	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Morphology
cyv	Cayuvava	1	Exclusively concatenative	-13.500	-65.500	Cayuvava	Cayuvava	Morphology
cho	Chontal (Highland)	1	Exclusively concatenative	16.250	-95.750	Tequistlatecan	Tequistlatecan	Morphology
chk	Chukchi	1	Exclusively concatenative	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Morphology
dag	Daga	1	Exclusively concatenative	-10.000	149.333	Dagan	Dagan	Morphology
dni	Dani (Lower Grand Valley)	1	Exclusively concatenative	-4.333	138.833	Dani	Trans-New Guinea	Morphology
nbd	Nubian (Dongolese)	1	Exclusively concatenative	18.250	30.750	Nubian	Nilo-Saharan	Morphology
eka	Ekari	1	Exclusively concatenative	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Morphology
eng	English	1	Exclusively concatenative	52.000	0.000	Germanic	Indo-European	Morphology
epe	Epena Pedee	1	Exclusively concatenative	3.000	-77.000	Choco	Choco	Morphology
eve	Evenki	1	Exclusively concatenative	56.000	125.000	Tungusic	Altaic	Morphology
fin	Finnish	1	Exclusively concatenative	62.000	25.000	Finnic	Uralic	Morphology
fre	French	1	Exclusively concatenative	48.000	2.000	Romance	Indo-European	Morphology
gar	Garo	1	Exclusively concatenative	25.667	90.500	Bodo-Garo	Sino-Tibetan	Morphology
geo	Georgian	1	Exclusively concatenative	42.000	44.000	Kartvelian	Kartvelian	Morphology
ger	German	1	Exclusively concatenative	52.000	10.000	Germanic	Indo-European	Morphology
grb	Grebo	1	Exclusively concatenative	5.000	-8.000	Kru	Niger-Congo	Morphology
grk	Greek (Modern)	1	Exclusively concatenative	39.000	22.000	Greek	Indo-European	Morphology
grw	Greenlandic (West)	1	Exclusively concatenative	64.000	-51.000	Eskimo	Eskimo-Aleut	Morphology
gua	Guaraní	1	Exclusively concatenative	-26.000	-56.000	Tupi-Guaraní	Tupian	Morphology
bbw	Bininj Gun-Wok	1	Exclusively concatenative	-12.500	133.750	Gunwinygic	Australian	Morphology
hai	Haida	1	Exclusively concatenative	53.000	-132.000	Haida	Haida	Morphology
coo	Coos (Hanis)	1	Exclusively concatenative	43.500	-124.167	Coosan	Oregon Coast	Morphology
hat	Hatam	1	Exclusively concatenative	-1.000	134.000	Hatam	West Papuan	Morphology
hin	Hindi	1	Exclusively concatenative	25.000	77.000	Indic	Indo-European	Morphology
hix	Hixkaryana	1	Exclusively concatenative	-1.000	-59.000	Cariban	Cariban	Morphology
hve	Huave (San Mateo del Mar)	1	Exclusively concatenative	16.217	-95.000	Huavean	Huavean	Morphology
hun	Hungarian	1	Exclusively concatenative	47.000	20.000	Ugric	Uralic	Morphology
hzb	Hunzib	1	Exclusively concatenative	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Morphology
qim	Quechua (Imbabura)	1	Exclusively concatenative	0.333	-78.000	Quechuan	Quechuan	Morphology
imo	Imonda	1	Exclusively concatenative	-3.333	141.167	Border	Border	Morphology
ing	Ingush	1	Exclusively concatenative	43.167	45.083	Nakh	Nakh-Daghestanian	Morphology
jak	Jakaltek	1	Exclusively concatenative	15.667	-91.667	Mayan	Mayan	Morphology
jpn	Japanese	1	Exclusively concatenative	37.000	140.000	Japanese	Japanese	Morphology
knd	Kannada	1	Exclusively concatenative	14.000	76.000	Southern Dravidian	Dravidian	Morphology
krk	Karok	1	Exclusively concatenative	41.667	-123.000	Karok	Karok	Morphology
kay	Kayardild	1	Exclusively concatenative	-17.050	139.500	Tangkic	Australian	Morphology
ket	Ket	1	Exclusively concatenative	64.000	87.000	Yeniseian	Yeniseian	Morphology
kew	Kewa	1	Exclusively concatenative	-6.500	143.833	Engan	Trans-New Guinea	Morphology
kio	Kiowa	1	Exclusively concatenative	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Morphology
kiw	Kiwai	1	Exclusively concatenative	-8.000	143.500	Kiwaian	Kiwaian	Morphology
koa	Koasati	1	Exclusively concatenative	34.833	-85.167	Muskogean	Muskogean	Morphology
koi	Koiari	1	Exclusively concatenative	-9.500	147.333	Koiarian	Trans-New Guinea	Morphology
kor	Korean	1	Exclusively concatenative	37.500	128.000	Korean	Korean	Morphology
kro	Krongo	1	Exclusively concatenative	10.500	30.000	Kadugli	Kadugli	Morphology
kut	Kutenai	1	Exclusively concatenative	49.500	-116.000	Kutenai	Kutenai	Morphology
lav	Lavukaleve	1	Exclusively concatenative	-9.083	159.200	Lavukaleve	Solomons East Papuan	Morphology
lez	Lezgian	1	Exclusively concatenative	41.667	47.833	Lezgic	Nakh-Daghestanian	Morphology
luv	Luvale	1	Exclusively concatenative	-12.000	22.000	Bantoid	Niger-Congo	Morphology
mal	Malagasy	1	Exclusively concatenative	-20.000	47.000	Barito	Austronesian	Morphology
myi	Mangarrayi	1	Exclusively concatenative	-14.667	133.500	Mangarrayi	Australian	Morphology
map	Mapudungun	1	Exclusively concatenative	-38.000	-72.000	Araucanian	Araucanian	Morphology
mar	Maricopa	1	Exclusively concatenative	33.167	-113.167	Yuman	Hokan	Morphology
mrt	Martuthunira	1	Exclusively concatenative	-20.833	116.500	Pama-Nyungan	Australian	Morphology
mau	Maung	1	Exclusively concatenative	-11.917	133.500	Iwaidjan	Australian	Morphology
may	Maybrat	1	Exclusively concatenative	-1.333	132.500	North-Central Bird's Head	West Papuan	Morphology
mei	Meithei	1	Exclusively concatenative	24.750	94.000	Kuki-Chin	Sino-Tibetan	Morphology
dig	Digaro	1	Exclusively concatenative	28.417	96.000	Digaroan	Sino-Tibetan	Morphology
mxc	Mixtec (Chalcatongo)	1	Exclusively concatenative	17.050	-97.583	Mixtecan	Oto-Manguean	Morphology
kha	Khalkha	1	Exclusively concatenative	47.000	105.000	Mongolic	Altaic	Morphology
mot	Motuna	1	Exclusively concatenative	-6.617	155.417	East Bougainville	East Bougainville	Morphology
amp	Arrernte (Mparntwe)	1	Exclusively concatenative	-24.000	136.000	Pama-Nyungan	Australian	Morphology
mun	Mundari	1	Exclusively concatenative	23.000	84.667	Munda	Austro-Asiatic	Morphology
nah	Nahali	1	Exclusively concatenative	19.750	77.833	Nahali	Nahali	Morphology
nmb	Nambikuára	1	Exclusively concatenative	-13.000	-59.000	Nambikuaran	Nambikuaran	Morphology
nen	Nenets	1	Exclusively concatenative	69.000	72.000	Samoyedic	Uralic	Morphology
ngi	Ngiyambaa	1	Exclusively concatenative	-31.750	145.500	Pama-Nyungan	Australian	Morphology
niv	Nivkh	1	Exclusively concatenative	53.333	142.000	Nivkh	Nivkh	Morphology
ond	Oneida	1	Exclusively concatenative	43.000	-75.667	Northern Iroquoian	Iroquoian	Morphology
orh	Oromo (Harar)	1	Exclusively concatenative	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Morphology
otm	Otomí (Mezquital)	1	Exclusively concatenative	20.167	-99.167	Otomian	Oto-Manguean	Morphology
prs	Persian	1	Exclusively concatenative	32.000	54.000	Iranian	Indo-European	Morphology
prh	Pirahã	1	Exclusively concatenative	-7.000	-62.000	Mura	Mura	Morphology
ram	Rama	1	Exclusively concatenative	11.750	-83.750	Rama	Chibchan	Morphology
rus	Russian	1	Exclusively concatenative	56.000	38.000	Slavic	Indo-European	Morphology
san	Sango	1	Exclusively concatenative	5.000	18.000	Ubangi	Niger-Congo	Morphology
snm	Sanuma	1	Exclusively concatenative	4.500	-64.667	Yanomam	Yanomam	Morphology
shk	Shipibo-Konibo	1	Exclusively concatenative	-7.500	-75.000	Panoan	Panoan	Morphology
sla	Slave	1	Exclusively concatenative	67.000	-125.000	Athapaskan	Na-Dene	Morphology
pso	Pomo (Southeastern)	1	Exclusively concatenative	39.000	-122.500	Pomoan	Hokan	Morphology
mss	Miwok (Southern Sierra)	1	Exclusively concatenative	37.500	-120.000	Miwok	Penutian	Morphology
spa	Spanish	1	Exclusively concatenative	40.000	-4.000	Romance	Indo-European	Morphology
squ	Squamish	1	Exclusively concatenative	49.667	-123.167	Central Salish	Salishan	Morphology
swa	Swahili	1	Exclusively concatenative	-6.500	39.000	Bantoid	Niger-Congo	Morphology
tag	Tagalog	1	Exclusively concatenative	15.000	121.000	Meso-Philippine	Austronesian	Morphology
pur	Purépecha	1	Exclusively concatenative	19.500	-101.667	Tarascan	Tarascan	Morphology
tib	Tibetan (Standard Spoken)	1	Exclusively concatenative	30.000	91.000	Bodic	Sino-Tibetan	Morphology
tiw	Tiwi	1	Exclusively concatenative	-11.500	131.000	Tiwian	Australian	Morphology
tli	Tlingit	1	Exclusively concatenative	59.000	-135.000	Tlingit	Na-Dene	Morphology
tot	Totonac (Misantla)	1	Exclusively concatenative	19.917	-96.917	Totonacan	Totonacan	Morphology
tur	Turkish	1	Exclusively concatenative	39.000	35.000	Turkic	Altaic	Morphology
wrd	Wardaman	1	Exclusively concatenative	-15.500	131.000	Yangmanic	Australian	Morphology
wrm	Warembori	1	Exclusively concatenative	-1.667	137.583	South Halmahera - West New Guinea	Austronesian	Morphology
wem	Wembawemba	1	Exclusively concatenative	-35.333	144.000	Pama-Nyungan	Australian	Morphology
wic	Wichita	1	Exclusively concatenative	33.333	-97.333	Caddoan	Caddoan	Morphology
cku	Chinook (Upper)	1	Exclusively concatenative	45.500	-122.500	Chinookan	Penutian	Morphology
yag	Yagua	1	Exclusively concatenative	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Morphology
yaq	Yaqui	1	Exclusively concatenative	27.500	-110.250	Cahita	Uto-Aztecan	Morphology
yid	Yidiny	1	Exclusively concatenative	-17.000	145.750	Pama-Nyungan	Australian	Morphology
yur	Yurok	1	Exclusively concatenative	41.333	-124.000	Yurok	Algic	Morphology
zqc	Zoque (Copainalá)	1	Exclusively concatenative	17.000	-93.250	Mixe-Zoque	Mixe-Zoque	Morphology
zul	Zulu	1	Exclusively concatenative	-30.000	30.000	Bantoid	Niger-Congo	Morphology
nav	Navajo	1	Exclusively concatenative	36.167	-108.000	Athapaskan	Na-Dene	Morphology
cah	Cahuilla	1	Exclusively concatenative	33.500	-116.250	Takic	Uto-Aztecan	Morphology
ccp	Cocopa	1	Exclusively concatenative	32.333	-115.000	Yuman	Hokan	Morphology
fij	Fijian	2	Exclusively isolating	-17.833	178.000	Oceanic	Austronesian	Morphology
hau	Hausa	2	Exclusively isolating	12.000	7.000	West Chadic	Afro-Asiatic	Morphology
hmo	Hmong Njua	2	Exclusively isolating	28.000	105.000	Hmong-Mien	Hmong-Mien	Morphology
ind	Indonesian	2	Exclusively isolating	0.000	106.000	Malayic	Austronesian	Morphology
jel	Jeli	2	Exclusively isolating	9.500	-5.667	Western Mande	Niger-Congo	Morphology
khs	Khasi	2	Exclusively isolating	25.500	92.000	Khasian	Austro-Asiatic	Morphology
kri	Kipea	2	Exclusively isolating	-10.000	-37.000	Kariri	Kariri	Morphology
lah	Lahu	2	Exclusively isolating	20.000	98.167	Burmese-Lolo	Sino-Tibetan	Morphology
lai	Lai	2	Exclusively isolating	22.667	93.667	Kuki-Chin	Sino-Tibetan	Morphology
wch	Wichí	2	Exclusively isolating	-22.500	-62.583	Matacoan	Matacoan	Morphology
rap	Rapanui	2	Exclusively isolating	-27.117	-109.367	Oceanic	Austronesian	Morphology
kch	Koyra Chiini	2	Exclusively isolating	17.000	-3.000	Songhay	Nilo-Saharan	Morphology
sup	Supyire	2	Exclusively isolating	11.500	-5.583	Gur	Niger-Congo	Morphology
ter	Tera	2	Exclusively isolating	11.000	11.833	Biu-Mandara	Afro-Asiatic	Morphology
vie	Vietnamese	2	Exclusively isolating	10.500	106.500	Viet-Muong	Austro-Asiatic	Morphology
war	Wari'	2	Exclusively isolating	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Morphology
iau	Iau	3	Exclusively tonal	-3.167	137.500	Lakes Plain	Lakes Plain	Morphology
kis	Kisi	3	Exclusively tonal	8.833	-10.167	Southern Atlantic	Niger-Congo	Morphology
lan	Lango	3	Exclusively tonal	2.167	33.000	Nilotic	Nilo-Saharan	Morphology
yor	Yoruba	4	Tonal/isolating	8.000	4.333	Defoid	Niger-Congo	Morphology
maa	Maasai	5	Tonal/concatenative	-3.000	36.000	Nilotic	Nilo-Saharan	Morphology
nan	Nandi	5	Tonal/concatenative	0.250	35.000	Nilotic	Nilo-Saharan	Morphology
bej	Beja	6	Ablaut/concatenative	18.000	36.000	Beja	Afro-Asiatic	Morphology
aeg	Arabic (Egyptian)	6	Ablaut/concatenative	30.000	31.000	Semitic	Afro-Asiatic	Morphology
heb	Hebrew (Modern)	6	Ablaut/concatenative	31.500	34.833	Semitic	Afro-Asiatic	Morphology
lug	Lugbara	6	Ablaut/concatenative	3.083	30.917	Moru-Ma'di	Nilo-Saharan	Morphology
bma	Berber (Middle Atlas)	6	Ablaut/concatenative	33.000	-5.000	Berber	Afro-Asiatic	Morphology
cha	Chamorro	7	Isolating/concatenative	13.450	144.750	Chamorro	Austronesian	Morphology
cre	Cree (Plains)	7	Isolating/concatenative	54.000	-110.000	Algonquian	Algic	Morphology
knm	Kunama	7	Isolating/concatenative	14.500	37.000	Kunama	Nilo-Saharan	Morphology
goo	Gooniyandi	7	Isolating/concatenative	-18.333	126.333	Bunuban	Australian	Morphology
lkt	Lakhota	7	Isolating/concatenative	43.833	-101.833	Siouan	Siouan	Morphology
mnd	Mandarin	7	Isolating/concatenative	34.000	110.000	Chinese	Sino-Tibetan	Morphology
mao	Maori	7	Isolating/concatenative	-40.000	176.000	Oceanic	Austronesian	Morphology
kho	Khoekhoe	7	Isolating/concatenative	-25.500	18.000	Central Khoisan	Khoisan	Morphology
pai	Paiwan	7	Isolating/concatenative	22.500	120.833	Paiwanic	Austronesian	Morphology
tha	Thai	7	Isolating/concatenative	16.000	101.000	Kam-Tai	Tai-Kadai	Morphology
tru	Trumai	7	Isolating/concatenative	-11.917	-53.583	Trumai	Trumai	Morphology
tuk	Tukang Besi	7	Isolating/concatenative	-5.500	123.500	Sulawesi	Austronesian	Morphology
wra	Warao	7	Isolating/concatenative	9.333	-61.667	Warao	Warao	Morphology
