Bickel, Balthasar & Nichols, Johanna. 2011. Exponence of Selected Inflectional Formatives.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 21A.
Available online at http://wals.info/feature/21A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
tru	Trumai	1	Monoexponential case	-11.917	-53.583	Trumai	Trumai	Morphology
nah	Nahali	1	Monoexponential case	19.750	77.833	Nahali	Nahali	Morphology
amp	Arrernte (Mparntwe)	1	Monoexponential case	-24.000	136.000	Pama-Nyungan	Australian	Morphology
bel	Belhare	1	Monoexponential case	26.967	87.300	Bodic	Sino-Tibetan	Morphology
lai	Lai	1	Monoexponential case	22.667	93.667	Kuki-Chin	Sino-Tibetan	Morphology
nan	Nandi	1	Monoexponential case	0.250	35.000	Nilotic	Nilo-Saharan	Morphology
dig	Digaro	1	Monoexponential case	28.417	96.000	Digaroan	Sino-Tibetan	Morphology
zqc	Zoque (Copainalá)	1	Monoexponential case	17.000	-93.250	Mixe-Zoque	Mixe-Zoque	Morphology
bur	Burushaski	1	Monoexponential case	36.500	74.500	Burushaski	Burushaski	Morphology
rap	Rapanui	1	Monoexponential case	-27.117	-109.367	Oceanic	Austronesian	Morphology
bma	Berber (Middle Atlas)	1	Monoexponential case	33.000	-5.000	Berber	Afro-Asiatic	Morphology
imo	Imonda	1	Monoexponential case	-3.333	141.167	Border	Border	Morphology
goo	Gooniyandi	1	Monoexponential case	-18.333	126.333	Bunuban	Australian	Morphology
bsq	Basque	1	Monoexponential case	43.000	-3.000	Basque	Basque	Morphology
jpn	Japanese	1	Monoexponential case	37.000	140.000	Japanese	Japanese	Morphology
wra	Warao	1	Monoexponential case	9.333	-61.667	Warao	Warao	Morphology
kha	Khalkha	1	Monoexponential case	47.000	105.000	Mongolic	Altaic	Morphology
koa	Koasati	1	Monoexponential case	34.833	-85.167	Muskogean	Muskogean	Morphology
lez	Lezgian	1	Monoexponential case	41.667	47.833	Lezgic	Nakh-Daghestanian	Morphology
mnd	Mandarin	1	Monoexponential case	34.000	110.000	Chinese	Sino-Tibetan	Morphology
mei	Meithei	1	Monoexponential case	24.750	94.000	Kuki-Chin	Sino-Tibetan	Morphology
brm	Burmese	1	Monoexponential case	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Morphology
tur	Turkish	1	Monoexponential case	39.000	35.000	Turkic	Altaic	Morphology
mar	Maricopa	1	Monoexponential case	33.167	-113.167	Yuman	Hokan	Morphology
mrt	Martuthunira	1	Monoexponential case	-20.833	116.500	Pama-Nyungan	Australian	Morphology
ngi	Ngiyambaa	1	Monoexponential case	-31.750	145.500	Pama-Nyungan	Australian	Morphology
mal	Malagasy	1	Monoexponential case	-20.000	47.000	Barito	Austronesian	Morphology
yor	Yoruba	1	Monoexponential case	8.000	4.333	Defoid	Niger-Congo	Morphology
wic	Wichita	1	Monoexponential case	33.333	-97.333	Caddoan	Caddoan	Morphology
ram	Rama	1	Monoexponential case	11.750	-83.750	Rama	Chibchan	Morphology
orh	Oromo (Harar)	1	Monoexponential case	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Morphology
knd	Kannada	1	Monoexponential case	14.000	76.000	Southern Dravidian	Dravidian	Morphology
prs	Persian	1	Monoexponential case	32.000	54.000	Iranian	Indo-European	Morphology
kor	Korean	1	Monoexponential case	37.500	128.000	Korean	Korean	Morphology
kho	Khoekhoe	1	Monoexponential case	-25.500	18.000	Central Khoisan	Khoisan	Morphology
qim	Quechua (Imbabura)	1	Monoexponential case	0.333	-78.000	Quechuan	Quechuan	Morphology
brs	Barasano	1	Monoexponential case	-0.167	-70.667	Tucanoan	Tucanoan	Morphology
snm	Sanuma	1	Monoexponential case	4.500	-64.667	Yanomam	Yanomam	Morphology
tli	Tlingit	1	Monoexponential case	59.000	-135.000	Tlingit	Na-Dene	Morphology
mao	Maori	1	Monoexponential case	-40.000	176.000	Oceanic	Austronesian	Morphology
mss	Miwok (Southern Sierra)	1	Monoexponential case	37.500	-120.000	Miwok	Penutian	Morphology
hun	Hungarian	1	Monoexponential case	47.000	20.000	Ugric	Uralic	Morphology
mun	Mundari	1	Monoexponential case	23.000	84.667	Munda	Austro-Asiatic	Morphology
ing	Ingush	1	Monoexponential case	43.167	45.083	Nakh	Nakh-Daghestanian	Morphology
khs	Khasi	1	Monoexponential case	25.500	92.000	Khasian	Austro-Asiatic	Morphology
awp	Awa Pit	1	Monoexponential case	1.500	-78.250	Barbacoan	Barbacoan	Morphology
epe	Epena Pedee	1	Monoexponential case	3.000	-77.000	Choco	Choco	Morphology
knm	Kunama	1	Monoexponential case	14.500	37.000	Kunama	Nilo-Saharan	Morphology
bej	Beja	1	Monoexponential case	18.000	36.000	Beja	Afro-Asiatic	Morphology
nbd	Nubian (Dongolese)	1	Monoexponential case	18.250	30.750	Nubian	Nilo-Saharan	Morphology
squ	Squamish	1	Monoexponential case	49.667	-123.167	Central Salish	Salishan	Morphology
gar	Garo	1	Monoexponential case	25.667	90.500	Bodo-Garo	Sino-Tibetan	Morphology
wrd	Wardaman	1	Monoexponential case	-15.500	131.000	Yangmanic	Australian	Morphology
yid	Yidiny	1	Monoexponential case	-17.000	145.750	Pama-Nyungan	Australian	Morphology
lah	Lahu	1	Monoexponential case	20.000	98.167	Burmese-Lolo	Sino-Tibetan	Morphology
pur	Purépecha	1	Monoexponential case	19.500	-101.667	Tarascan	Tarascan	Morphology
ana	Araona	1	Monoexponential case	-12.333	-67.750	Tacanan	Tacanan	Morphology
wem	Wembawemba	1	Monoexponential case	-35.333	144.000	Pama-Nyungan	Australian	Morphology
bnj	Bandjalang	1	Monoexponential case	-28.750	153.000	Pama-Nyungan	Australian	Morphology
tib	Tibetan (Standard Spoken)	1	Monoexponential case	30.000	91.000	Bodic	Sino-Tibetan	Morphology
aym	Aymara	1	Monoexponential case	-17.000	-69.000	Aymaran	Aymaran	Morphology
geo	Georgian	1	Monoexponential case	42.000	44.000	Kartvelian	Kartvelian	Morphology
spa	Spanish	1	Monoexponential case	40.000	-4.000	Romance	Indo-European	Morphology
hin	Hindi	1	Monoexponential case	25.000	77.000	Indic	Indo-European	Morphology
brh	Brahui	1	Monoexponential case	28.500	67.000	Northern Dravidian	Dravidian	Morphology
kew	Kewa	1	Monoexponential case	-6.500	143.833	Engan	Trans-New Guinea	Morphology
maa	Maasai	1	Monoexponential case	-3.000	36.000	Nilotic	Nilo-Saharan	Morphology
myi	Mangarrayi	1	Monoexponential case	-14.667	133.500	Mangarrayi	Australian	Morphology
hzb	Hunzib	1	Monoexponential case	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Morphology
cah	Cahuilla	1	Monoexponential case	33.500	-116.250	Takic	Uto-Aztecan	Morphology
ccp	Cocopa	1	Monoexponential case	32.333	-115.000	Yuman	Hokan	Morphology
grw	Greenlandic (West)	2	Case + number	64.000	-51.000	Eskimo	Eskimo-Aleut	Morphology
yaq	Yaqui	2	Case + number	27.500	-110.250	Cahita	Uto-Aztecan	Morphology
ger	German	2	Case + number	52.000	10.000	Germanic	Indo-European	Morphology
rus	Russian	2	Case + number	56.000	38.000	Slavic	Indo-European	Morphology
fin	Finnish	2	Case + number	62.000	25.000	Finnic	Uralic	Morphology
chk	Chukchi	2	Case + number	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Morphology
nen	Nenets	2	Case + number	69.000	72.000	Samoyedic	Uralic	Morphology
grk	Greek (Modern)	2	Case + number	39.000	22.000	Greek	Indo-European	Morphology
cre	Cree (Plains)	3	Case + referentiality	54.000	-110.000	Algonquian	Algic	Morphology
tag	Tagalog	3	Case + referentiality	15.000	121.000	Meso-Philippine	Austronesian	Morphology
pai	Paiwan	3	Case + referentiality	22.500	120.833	Paiwanic	Austronesian	Morphology
kut	Kutenai	3	Case + referentiality	49.500	-116.000	Kutenai	Kutenai	Morphology
eve	Evenki	3	Case + referentiality	56.000	125.000	Tungusic	Altaic	Morphology
tuk	Tukang Besi	3	Case + referentiality	-5.500	123.500	Sulawesi	Austronesian	Morphology
lug	Lugbara	4	Case + TAM	3.083	30.917	Moru-Ma'di	Nilo-Saharan	Morphology
kay	Kayardild	4	Case + TAM	-17.050	139.500	Tangkic	Australian	Morphology
brr	Bororo	5	No case	-16.000	-57.000	Bororo	Macro-Ge	Morphology
san	Sango	5	No case	5.000	18.000	Ubangi	Niger-Congo	Morphology
tiw	Tiwi	5	No case	-11.500	131.000	Tiwian	Australian	Morphology
may	Maybrat	5	No case	-1.333	132.500	North-Central Bird's Head	West Papuan	Morphology
hat	Hatam	5	No case	-1.000	134.000	Hatam	West Papuan	Morphology
kis	Kisi	5	No case	8.833	-10.167	Southern Atlantic	Niger-Congo	Morphology
cku	Chinook (Upper)	5	No case	45.500	-122.500	Chinookan	Penutian	Morphology
atk	Atakapa	5	No case	30.000	-93.500	Atakapa	Atakapa	Morphology
hmo	Hmong Njua	5	No case	28.000	105.000	Hmong-Mien	Hmong-Mien	Morphology
kio	Kiowa	5	No case	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Morphology
prh	Pirahã	5	No case	-7.000	-62.000	Mura	Mura	Morphology
mxc	Mixtec (Chalcatongo)	5	No case	17.050	-97.583	Mixtecan	Oto-Manguean	Morphology
swa	Swahili	5	No case	-6.500	39.000	Bantoid	Niger-Congo	Morphology
zul	Zulu	5	No case	-30.000	30.000	Bantoid	Niger-Congo	Morphology
hix	Hixkaryana	5	No case	-1.000	-59.000	Cariban	Cariban	Morphology
hau	Hausa	5	No case	12.000	7.000	West Chadic	Afro-Asiatic	Morphology
arp	Arapesh (Mountain)	5	No case	-3.467	143.167	Kombio-Arapesh	Torricelli	Morphology
sla	Slave	5	No case	67.000	-125.000	Athapaskan	Na-Dene	Morphology
abk	Abkhaz	5	No case	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Morphology
ala	Alamblak	5	No case	-4.667	143.333	Sepik Hill	Sepik	Morphology
lkt	Lakhota	5	No case	43.833	-101.833	Siouan	Siouan	Morphology
tha	Thai	5	No case	16.000	101.000	Kam-Tai	Tai-Kadai	Morphology
gua	Guaraní	5	No case	-26.000	-56.000	Tupi-Guaraní	Tupian	Morphology
lav	Lavukaleve	5	No case	-9.083	159.200	Lavukaleve	Solomons East Papuan	Morphology
apu	Apurinã	5	No case	-9.000	-67.000	Arawakan	Arawakan	Morphology
asm	Asmat	5	No case	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Morphology
vie	Vietnamese	5	No case	10.500	106.500	Viet-Muong	Austro-Asiatic	Morphology
fij	Fijian	5	No case	-17.833	178.000	Oceanic	Austronesian	Morphology
ind	Indonesian	5	No case	0.000	106.000	Malayic	Austronesian	Morphology
luv	Luvale	5	No case	-12.000	22.000	Bantoid	Niger-Congo	Morphology
dni	Dani (Lower Grand Valley)	5	No case	-4.333	138.833	Dani	Trans-New Guinea	Morphology
sup	Supyire	5	No case	11.500	-5.583	Gur	Niger-Congo	Morphology
eng	English	5	No case	52.000	0.000	Germanic	Indo-European	Morphology
ond	Oneida	5	No case	43.000	-75.667	Northern Iroquoian	Iroquoian	Morphology
krk	Karok	5	No case	41.667	-123.000	Karok	Karok	Morphology
mau	Maung	5	No case	-11.917	133.500	Iwaidjan	Australian	Morphology
kro	Krongo	5	No case	10.500	30.000	Kadugli	Kadugli	Morphology
grb	Grebo	5	No case	5.000	-8.000	Kru	Niger-Congo	Morphology
ckr	Canela-Krahô	5	No case	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Morphology
ame	Amele	5	No case	-5.250	145.583	Madang	Trans-New Guinea	Morphology
wch	Wichí	5	No case	-22.500	-62.583	Matacoan	Matacoan	Morphology
jak	Jakaltek	5	No case	15.667	-91.667	Mayan	Mayan	Morphology
yag	Yagua	5	No case	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Morphology
cyv	Cayuvava	5	No case	-13.500	-65.500	Cayuvava	Cayuvava	Morphology
abi	Abipón	5	No case	-29.000	-61.000	Guaicuruan	Guaicuruan	Morphology
niv	Nivkh	5	No case	53.333	142.000	Nivkh	Nivkh	Morphology
yur	Yurok	5	No case	41.333	-124.000	Yurok	Algic	Morphology
yuc	Yuchi	5	No case	35.750	-86.750	Yuchi	Yuchi	Morphology
hai	Haida	5	No case	53.000	-132.000	Haida	Haida	Morphology
eka	Ekari	5	No case	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Morphology
wrm	Warembori	5	No case	-1.667	137.583	South Halmahera - West New Guinea	Austronesian	Morphology
iau	Iau	5	No case	-3.167	137.500	Lakes Plain	Lakes Plain	Morphology
bbw	Bininj Gun-Wok	5	No case	-12.500	133.750	Gunwinygic	Australian	Morphology
jel	Jeli	5	No case	9.500	-5.667	Western Mande	Niger-Congo	Morphology
ter	Tera	5	No case	11.000	11.833	Biu-Mandara	Afro-Asiatic	Morphology
cho	Chontal (Highland)	5	No case	16.250	-95.750	Tequistlatecan	Tequistlatecan	Morphology
mrg	Margi	5	No case	11.000	13.000	Biu-Mandara	Afro-Asiatic	Morphology
tot	Totonac (Misantla)	5	No case	19.917	-96.917	Totonacan	Totonacan	Morphology
nmb	Nambikuára	5	No case	-13.000	-59.000	Nambikuaran	Nambikuaran	Morphology
hve	Huave (San Mateo del Mar)	5	No case	16.217	-95.000	Huavean	Huavean	Morphology
kiw	Kiwai	5	No case	-8.000	143.500	Kiwaian	Kiwaian	Morphology
bag	Bagirmi	5	No case	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Morphology
map	Mapudungun	5	No case	-38.000	-72.000	Araucanian	Araucanian	Morphology
otm	Otomí (Mezquital)	5	No case	20.167	-99.167	Otomian	Oto-Manguean	Morphology
war	Wari'	5	No case	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Morphology
