Bickel, Balthasar & Nichols, Johanna. 2011. Exponence of Tense-Aspect-Mood Inflection.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 21B.
Available online at http://wals.info/feature/21B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
tru	Trumai	1	monoexponential TAM	-11.917	-53.583	Trumai	Trumai	Morphology
hat	Hatam	1	monoexponential TAM	-1.000	134.000	Hatam	West Papuan	Morphology
nah	Nahali	1	monoexponential TAM	19.750	77.833	Nahali	Nahali	Morphology
kis	Kisi	1	monoexponential TAM	8.833	-10.167	Southern Atlantic	Niger-Congo	Morphology
amp	Arrernte (Mparntwe)	1	monoexponential TAM	-24.000	136.000	Pama-Nyungan	Australian	Morphology
bel	Belhare	1	monoexponential TAM	26.967	87.300	Bodic	Sino-Tibetan	Morphology
lai	Lai	1	monoexponential TAM	22.667	93.667	Kuki-Chin	Sino-Tibetan	Morphology
cku	Chinook (Upper)	1	monoexponential TAM	45.500	-122.500	Chinookan	Penutian	Morphology
atk	Atakapa	1	monoexponential TAM	30.000	-93.500	Atakapa	Atakapa	Morphology
nan	Nandi	1	monoexponential TAM	0.250	35.000	Nilotic	Nilo-Saharan	Morphology
dig	Digaro	1	monoexponential TAM	28.417	96.000	Digaroan	Sino-Tibetan	Morphology
hmo	Hmong Njua	1	monoexponential TAM	28.000	105.000	Hmong-Mien	Hmong-Mien	Morphology
kio	Kiowa	1	monoexponential TAM	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Morphology
zqc	Zoque (Copainalá)	1	monoexponential TAM	17.000	-93.250	Mixe-Zoque	Mixe-Zoque	Morphology
prh	Pirahã	1	monoexponential TAM	-7.000	-62.000	Mura	Mura	Morphology
mxc	Mixtec (Chalcatongo)	1	monoexponential TAM	17.050	-97.583	Mixtecan	Oto-Manguean	Morphology
grw	Greenlandic (West)	1	monoexponential TAM	64.000	-51.000	Eskimo	Eskimo-Aleut	Morphology
bur	Burushaski	1	monoexponential TAM	36.500	74.500	Burushaski	Burushaski	Morphology
yaq	Yaqui	1	monoexponential TAM	27.500	-110.250	Cahita	Uto-Aztecan	Morphology
cre	Cree (Plains)	1	monoexponential TAM	54.000	-110.000	Algonquian	Algic	Morphology
tag	Tagalog	1	monoexponential TAM	15.000	121.000	Meso-Philippine	Austronesian	Morphology
rap	Rapanui	1	monoexponential TAM	-27.117	-109.367	Oceanic	Austronesian	Morphology
swa	Swahili	1	monoexponential TAM	-6.500	39.000	Bantoid	Niger-Congo	Morphology
zul	Zulu	1	monoexponential TAM	-30.000	30.000	Bantoid	Niger-Congo	Morphology
bma	Berber (Middle Atlas)	1	monoexponential TAM	33.000	-5.000	Berber	Afro-Asiatic	Morphology
imo	Imonda	1	monoexponential TAM	-3.333	141.167	Border	Border	Morphology
goo	Gooniyandi	1	monoexponential TAM	-18.333	126.333	Bunuban	Australian	Morphology
hix	Hixkaryana	1	monoexponential TAM	-1.000	-59.000	Cariban	Cariban	Morphology
hau	Hausa	1	monoexponential TAM	12.000	7.000	West Chadic	Afro-Asiatic	Morphology
ger	German	1	monoexponential TAM	52.000	10.000	Germanic	Indo-European	Morphology
rus	Russian	1	monoexponential TAM	56.000	38.000	Slavic	Indo-European	Morphology
bsq	Basque	1	monoexponential TAM	43.000	-3.000	Basque	Basque	Morphology
jpn	Japanese	1	monoexponential TAM	37.000	140.000	Japanese	Japanese	Morphology
wra	Warao	1	monoexponential TAM	9.333	-61.667	Warao	Warao	Morphology
