Bickel, Balthasar & Nichols, Johanna. 2011. Inflectional Synthesis of the Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 22A.
Available online at http://wals.info/feature/22A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
nah	Nahali	1	0-1 category per word	19.750	77.833	Nahali	Nahali	Morphology
san	Sango	1	0-1 category per word	5.000	18.000	Ubangi	Niger-Congo	Morphology
vie	Vietnamese	1	0-1 category per word	10.500	106.500	Viet-Muong	Austro-Asiatic	Morphology
mnd	Mandarin	1	0-1 category per word	34.000	110.000	Chinese	Sino-Tibetan	Morphology
may	Maybrat	1	0-1 category per word	-1.333	132.500	North-Central Bird's Head	West Papuan	Morphology
kis	Kisi	2	2-3 categories per word	8.833	-10.167	Southern Atlantic	Niger-Congo	Morphology
hat	Hatam	2	2-3 categories per word	-1.000	134.000	Hatam	West Papuan	Morphology
ksg	Karen (Sgaw)	2	2-3 categories per word	18.000	97.000	Karen	Sino-Tibetan	Morphology
mrt	Martuthunira	2	2-3 categories per word	-20.833	116.500	Pama-Nyungan	Australian	Morphology
tag	Tagalog	2	2-3 categories per word	15.000	121.000	Meso-Philippine	Austronesian	Morphology
ram	Rama	2	2-3 categories per word	11.750	-83.750	Rama	Chibchan	Morphology
knd	Kannada	2	2-3 categories per word	14.000	76.000	Southern Dravidian	Dravidian	Morphology
sup	Supyire	2	2-3 categories per word	11.500	-5.583	Gur	Niger-Congo	Morphology
hmo	Hmong Njua	2	2-3 categories per word	28.000	105.000	Hmong-Mien	Hmong-Mien	Morphology
eng	English	2	2-3 categories per word	52.000	0.000	Germanic	Indo-European	Morphology
ger	German	2	2-3 categories per word	52.000	10.000	Germanic	Indo-European	Morphology
hin	Hindi	2	2-3 categories per word	25.000	77.000	Indic	Indo-European	Morphology
wch	Wichí	2	2-3 categories per word	-22.500	-62.583	Matacoan	Matacoan	Morphology
kha	Khalkha	2	2-3 categories per word	47.000	105.000	Mongolic	Altaic	Morphology
lez	Lezgian	2	2-3 categories per word	41.667	47.833	Lezgic	Nakh-Daghestanian	Morphology
brm	Burmese	2	2-3 categories per word	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Morphology
kch	Koyra Chiini	2	2-3 categories per word	17.000	-3.000	Songhay	Nilo-Saharan	Morphology
tha	Thai	2	2-3 categories per word	16.000	101.000	Kam-Tai	Tai-Kadai	Morphology
fin	Finnish	2	2-3 categories per word	62.000	25.000	Finnic	Uralic	Morphology
brh	Brahui	2	2-3 categories per word	28.500	67.000	Northern Dravidian	Dravidian	Morphology
arm	Armenian (Eastern)	2	2-3 categories per word	40.000	45.000	Armenian	Indo-European	Morphology
gar	Garo	2	2-3 categories per word	25.667	90.500	Bodo-Garo	Sino-Tibetan	Morphology
