Nichols, Johanna & Bickel, Balthasar. 2011. Locus of Marking in the Clause.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 23A.
Available online at http://wals.info/feature/23A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Head marking	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Morphology
ace	Acehnese	1	Head marking	5.500	95.500	Malayic	Austronesian	Morphology
aco	Acoma	1	Head marking	34.917	-107.583	Keresan	Keresan	Morphology
ala	Alamblak	1	Head marking	-4.667	143.333	Sepik Hill	Sepik	Morphology
ame	Amele	1	Head marking	-5.250	145.583	Madang	Trans-New Guinea	Morphology
ane	Anêm	1	Head marking	-5.583	149.083	Anêm	Anêm	Morphology
apu	Apurinã	1	Head marking	-9.000	-67.000	Arawakan	Arawakan	Morphology
asm	Asmat	1	Head marking	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Morphology
atk	Atakapa	1	Head marking	30.000	-93.500	Atakapa	Atakapa	Morphology
bag	Bagirmi	1	Head marking	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Morphology
arp	Arapesh (Mountain)	1	Head marking	-3.467	143.167	Kombio-Arapesh	Torricelli	Morphology
ckr	Canela-Krahô	1	Head marking	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Morphology
cjo	Chichimeca-Jonaz	1	Head marking	21.667	-100.500	Chichimec	Oto-Manguean	Morphology
ctm	Chitimacha	1	Head marking	29.667	-91.000	Chitimacha	Chitimacha	Morphology
cho	Chontal (Highland)	1	Head marking	16.250	-95.750	Tequistlatecan	Tequistlatecan	Morphology
cre	Cree (Plains)	1	Head marking	54.000	-110.000	Algonquian	Algic	Morphology
dag	Daga	1	Head marking	-10.000	149.333	Dagan	Dagan	Morphology
dni	Dani (Lower Grand Valley)	1	Head marking	-4.333	138.833	Dani	Trans-New Guinea	Morphology
brr	Bororo	1	Head marking	-16.000	-57.000	Bororo	Macro-Ge	Morphology
