Nichols, Johanna & Bickel, Balthasar. 2011. Locus of Marking: Whole-language Typology.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 25A.
Available online at http://wals.info/feature/25A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Head-marking	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Morphology
ace	Acehnese	1	Head-marking	5.500	95.500	Malayic	Austronesian	Morphology
aco	Acoma	1	Head-marking	34.917	-107.583	Keresan	Keresan	Morphology
ane	Anêm	1	Head-marking	-5.583	149.083	Anêm	Anêm	Morphology
apu	Apurinã	1	Head-marking	-9.000	-67.000	Arawakan	Arawakan	Morphology
cjo	Chichimeca-Jonaz	1	Head-marking	21.667	-100.500	Chichimec	Oto-Manguean	Morphology
cho	Chontal (Highland)	1	Head-marking	16.250	-95.750	Tequistlatecan	Tequistlatecan	Morphology
cre	Cree (Plains)	1	Head-marking	54.000	-110.000	Algonquian	Algic	Morphology
dag	Daga	1	Head-marking	-10.000	149.333	Dagan	Dagan	Morphology
fij	Fijian	1	Head-marking	-17.833	178.000	Oceanic	Austronesian	Morphology
gua	Guaraní	1	Head-marking	-26.000	-56.000	Tupi-Guaraní	Tupian	Morphology
coo	Coos (Hanis)	1	Head-marking	43.500	-124.167	Coosan	Oregon Coast	Morphology
hix	Hixkaryana	1	Head-marking	-1.000	-59.000	Cariban	Cariban	Morphology
hve	Huave (San Mateo del Mar)	1	Head-marking	16.217	-95.000	Huavean	Huavean	Morphology
cin	Chumash (Ineseño)	1	Head-marking	34.667	-120.250	Chumash	Chumash	Morphology
jak	Jakaltek	1	Head-marking	15.667	-91.667	Mayan	Mayan	Morphology
krk	Karok	1	Head-marking	41.667	-123.000	Karok	Karok	Morphology
ket	Ket	1	Head-marking	64.000	87.000	Yeniseian	Yeniseian	Morphology
kiu	Kui (in Indonesia)	1	Head-marking	-8.433	124.550	Greater Alor	Timor-Alor-Pantar	Morphology
