Nichols, Johanna & Bickel, Balthasar. 2011. Zero Marking of A and P Arguments.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 25B.
Available online at http://wals.info/feature/25B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	Zero-marking	-19.000	21.000	Northern Khoisan	Khoisan	Morphology
bzi	Bauzi	1	Zero-marking	-2.500	137.500	East Geelvink Bay	East Geelvink Bay	Morphology
buu	Buru	1	Zero-marking	-3.500	126.500	Central Malayo-Polynesian	Austronesian	Morphology
ewe	Ewe	1	Zero-marking	6.333	0.417	Kwa	Niger-Congo	Morphology
hai	Haida	1	Zero-marking	53.000	-132.000	Haida	Haida	Morphology
hmo	Hmong Njua	1	Zero-marking	28.000	105.000	Hmong-Mien	Hmong-Mien	Morphology
iau	Iau	1	Zero-marking	-3.167	137.500	Lakes Plain	Lakes Plain	Morphology
ijo	Ijo (Kolokuma)	1	Zero-marking	4.917	5.667	Ijoid	Niger-Congo	Morphology
ind	Indonesian	1	Zero-marking	0.000	106.000	Malayic	Austronesian	Morphology
jel	Jeli	1	Zero-marking	9.500	-5.667	Western Mande	Niger-Congo	Morphology
kis	Kisi	1	Zero-marking	8.833	-10.167	Southern Atlantic	Niger-Congo	Morphology
lmh	Lamaholot	1	Zero-marking	-8.250	122.917	Central Malayo-Polynesian	Austronesian	Morphology
prh	Pirahã	1	Zero-marking	-7.000	-62.000	Mura	Mura	Morphology
sup	Supyire	1	Zero-marking	11.500	-5.583	Gur	Niger-Congo	Morphology
tha	Thai	1	Zero-marking	16.000	101.000	Kam-Tai	Tai-Kadai	Morphology
vie	Vietnamese	1	Zero-marking	10.500	106.500	Viet-Muong	Austro-Asiatic	Morphology
amb	Ambulas	2	Non-zero marking	-3.833	143.000	Middle Sepik	Sepik	Morphology
abk	Abkhaz	2	Non-zero marking	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Morphology
ace	Acehnese	2	Non-zero marking	5.500	95.500	Malayic	Austronesian	Morphology
aco	Acoma	2	Non-zero marking	34.917	-107.583	Keresan	Keresan	Morphology
ain	Ainu	2	Non-zero marking	43.000	143.000	Ainu	Ainu	Morphology
ala	Alamblak	2	Non-zero marking	-4.667	143.333	Sepik Hill	Sepik	Morphology
ame	Amele	2	Non-zero marking	-5.250	145.583	Madang	Trans-New Guinea	Morphology
ane	Anêm	2	Non-zero marking	-5.583	149.083	Anêm	Anêm	Morphology
apu	Apurinã	2	Non-zero marking	-9.000	-67.000	Arawakan	Arawakan	Morphology
asm	Asmat	2	Non-zero marking	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Morphology
atk	Atakapa	2	Non-zero marking	30.000	-93.500	Atakapa	Atakapa	Morphology
awp	Awa Pit	2	Non-zero marking	1.500	-78.250	Barbacoan	Barbacoan	Morphology
awt	Awtuw	2	Non-zero marking	-3.583	142.000	Ram	Sepik	Morphology
aym	Aymara	2	Non-zero marking	-17.000	-69.000	Aymaran	Aymaran	Morphology
bag	Bagirmi	2	Non-zero marking	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Morphology
brs	Barasano	2	Non-zero marking	-0.167	-70.667	Tucanoan	Tucanoan	Morphology
bsq	Basque	2	Non-zero marking	43.000	-3.000	Basque	Basque	Morphology
bej	Beja	2	Non-zero marking	18.000	36.000	Beja	Afro-Asiatic	Morphology
bel	Belhare	2	Non-zero marking	26.967	87.300	Bodic	Sino-Tibetan	Morphology
brh	Brahui	2	Non-zero marking	28.500	67.000	Northern Dravidian	Dravidian	Morphology
bri	Bribri	2	Non-zero marking	9.417	-83.000	Talamanca	Chibchan	Morphology
arp	Arapesh (Mountain)	2	Non-zero marking	-3.467	143.167	Kombio-Arapesh	Torricelli	Morphology
brm	Burmese	2	Non-zero marking	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Morphology
bur	Burushaski	2	Non-zero marking	36.500	74.500	Burushaski	Burushaski	Morphology
