Dryer, Matthew S.. 2011. Prefixing vs. Suffixing in Inflectional Morphology.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 26A.
Available online at http://wals.info/feature/26A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	Little affixation	-19.000	21.000	Northern Khoisan	Khoisan	Morphology
man	Mano	1	Little affixation	7.000	-9.000	Eastern Mande	Niger-Congo	Morphology
mka	Mauka	1	Little affixation	8.333	-7.500	Western Mande	Niger-Congo	Morphology
vai	Vai	1	Little affixation	6.917	-11.250	Western Mande	Niger-Congo	Morphology
wlf	Wolof	1	Little affixation	15.250	-16.000	Northern Atlantic	Niger-Congo	Morphology
kir	Kirma	1	Little affixation	10.250	-4.833	Gur	Niger-Congo	Morphology
mum	Mumuye	1	Little affixation	9.000	11.667	Adamawa	Niger-Congo	Morphology
mbm	Mbum	1	Little affixation	7.750	13.167	Adamawa	Niger-Congo	Morphology
lnd	Linda	1	Little affixation	6.500	20.750	Ubangi	Niger-Congo	Morphology
nup	Nupe	1	Little affixation	9.167	5.417	Nupoid	Niger-Congo	Morphology
yor	Yoruba	1	Little affixation	8.000	4.333	Defoid	Niger-Congo	Morphology
egn	Engenni	1	Little affixation	5.167	6.383	Edoid	Niger-Congo	Morphology
juk	Jukun	1	Little affixation	6.917	10.417	Platoid	Niger-Congo	Morphology
gok	Gokana	1	Little affixation	4.583	7.333	Cross River	Niger-Congo	Morphology
duk	Duka	1	Little affixation	11.167	5.083	Kainji	Niger-Congo	Morphology
kse	Koyraboro Senni	1	Little affixation	16.000	0.000	Songhay	Nilo-Saharan	Morphology
kch	Koyra Chiini	1	Little affixation	17.000	-3.000	Songhay	Nilo-Saharan	Morphology
din	Dinka	1	Little affixation	8.500	28.000	Nilotic	Nilo-Saharan	Morphology
bka	Baka (in Sudan)	1	Little affixation	4.833	29.250	Bongo-Bagirmi	Nilo-Saharan	Morphology
jmo	Jur Mödö	1	Little affixation	6.000	30.000	Bongo-Bagirmi	Nilo-Saharan	Morphology
gul	Gula (in Central African Republic)	1	Little affixation	9.500	22.500	Bongo-Bagirmi	Nilo-Saharan	Morphology
mad	Ma'di	1	Little affixation	3.250	31.500	Moru-Ma'di	Nilo-Saharan	Morphology
hau	Hausa	1	Little affixation	12.000	7.000	West Chadic	Afro-Asiatic	Morphology
anc	Angas	1	Little affixation	9.500	9.500	West Chadic	Afro-Asiatic	Morphology
mup	Mupun	1	Little affixation	9.500	8.833	West Chadic	Afro-Asiatic	Morphology
cnt	Cantonese	1	Little affixation	23.000	113.000	Chinese	Sino-Tibetan	Morphology
kyl	Kayah Li (Eastern)	1	Little affixation	19.000	97.500	Karen	Sino-Tibetan	Morphology
ksg	Karen (Sgaw)	1	Little affixation	18.000	97.000	Karen	Sino-Tibetan	Morphology
skk	Sikkimese	1	Little affixation	27.833	88.500	Bodic	Sino-Tibetan	Morphology
agm	Angami	1	Little affixation	25.667	94.500	Kuki-Chin	Sino-Tibetan	Morphology
nze	Naga (Zeme)	1	Little affixation	25.167	93.500	Kuki-Chin	Sino-Tibetan	Morphology
chs	Chin (Siyin)	1	Little affixation	23.833	94.000	Kuki-Chin	Sino-Tibetan	Morphology
miz	Mizo	1	Little affixation	23.167	92.833	Kuki-Chin	Sino-Tibetan	Morphology
lai	Lai	1	Little affixation	22.667	93.667	Kuki-Chin	Sino-Tibetan	Morphology
baw	Bawm	1	Little affixation	22.500	92.250	Kuki-Chin	Sino-Tibetan	Morphology
jng	Jingpho	1	Little affixation	25.417	97.000	Jinghpo	Sino-Tibetan	Morphology
mru	Maru	1	Little affixation	23.500	98.500	Burmese-Lolo	Sino-Tibetan	Morphology
lal	Lalo	1	Little affixation	25.000	100.250	Burmese-Lolo	Sino-Tibetan	Morphology
akh	Akha	1	Little affixation	21.833	99.833	Burmese-Lolo	Sino-Tibetan	Morphology
lah	Lahu	1	Little affixation	20.000	98.167	Burmese-Lolo	Sino-Tibetan	Morphology
bai	Bai	1	Little affixation	26.000	100.000	Bai	Sino-Tibetan	Morphology
raw	Rawang	1	Little affixation	27.500	97.500	Nungish	Sino-Tibetan	Morphology
lep	Lepcha	1	Little affixation	27.167	88.500	Lepcha	Sino-Tibetan	Morphology
hmo	Hmong Njua	1	Little affixation	28.000	105.000	Hmong-Mien	Hmong-Mien	Morphology
