Rubino, Carl. 2011. Reduplication.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 27A.
Available online at http://wals.info/feature/27A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Productive full and partial reduplication	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Morphology
agc	Agta (Central)	1	Productive full and partial reduplication	17.967	121.833	Northern Philippines	Austronesian	Morphology
akn	Akan	1	Productive full and partial reduplication	6.500	-1.250	Kwa	Niger-Congo	Morphology
abm	Alabama	1	Productive full and partial reduplication	32.333	-87.417	Muskogean	Muskogean	Morphology
ala	Alamblak	1	Productive full and partial reduplication	-4.667	143.333	Sepik Hill	Sepik	Morphology
alw	Alawa	1	Productive full and partial reduplication	-15.167	134.250	Maran	Australian	Morphology
aly	Alyawarra	1	Productive full and partial reduplication	-22.500	135.000	Pama-Nyungan	Australian	Morphology
ame	Amele	1	Productive full and partial reduplication	-5.250	145.583	Madang	Trans-New Guinea	Morphology
amh	Amharic	1	Productive full and partial reduplication	10.000	38.000	Semitic	Afro-Asiatic	Morphology
apl	Apalaí	1	Productive full and partial reduplication	0.000	-54.000	Cariban	Cariban	Morphology
api	Apinayé	1	Productive full and partial reduplication	-5.500	-48.000	Ge-Kaingang	Macro-Ge	Morphology
asm	Asmat	1	Productive full and partial reduplication	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Morphology
ass	Assamese	1	Productive full and partial reduplication	26.000	93.000	Indic	Indo-European	Morphology
cax	Campa (Axininca)	1	Productive full and partial reduplication	-12.000	-74.000	Arawakan	Arawakan	Morphology
qay	Quechua (Ayacucho)	1	Productive full and partial reduplication	-14.000	-74.000	Quechuan	Quechuan	Morphology
aym	Aymara	1	Productive full and partial reduplication	-17.000	-69.000	Aymaran	Aymaran	Morphology
baj	Bajau (Sama)	1	Productive full and partial reduplication	-4.333	123.000	Sama-Bajaw	Austronesian	Morphology
bal	Balinese	1	Productive full and partial reduplication	-8.333	115.250	Bali-Sasak	Austronesian	Morphology
bnj	Bandjalang	1	Productive full and partial reduplication	-28.750	153.000	Pama-Nyungan	Australian	Morphology
bej	Beja	1	Productive full and partial reduplication	18.000	36.000	Beja	Afro-Asiatic	Morphology
