Baerman, Matthew & Brown, Dunstan. 2011. Syncretism in Verbal Person/Number Marking.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 29A.
Available online at http://wals.info/feature/29A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	No subject person/number marking	-19.000	21.000	Northern Khoisan	Khoisan	Morphology
ana	Araona	1	No subject person/number marking	-12.333	-67.750	Tacanan	Tacanan	Morphology
bam	Bambara	1	No subject person/number marking	12.500	-7.500	Western Mande	Niger-Congo	Morphology
fij	Fijian	1	No subject person/number marking	-17.833	178.000	Oceanic	Austronesian	Morphology
bri	Bribri	1	No subject person/number marking	9.417	-83.000	Talamanca	Chibchan	Morphology
brm	Burmese	1	No subject person/number marking	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Morphology
khm	Khmer	1	No subject person/number marking	12.500	105.000	Khmer	Austro-Asiatic	Morphology
cmn	Comanche	1	No subject person/number marking	33.500	-101.500	Numic	Uto-Aztecan	Morphology
dre	Drehu	1	No subject person/number marking	-21.000	167.250	Oceanic	Austronesian	Morphology
epe	Epena Pedee	1	No subject person/number marking	3.000	-77.000	Choco	Choco	Morphology
gar	Garo	1	No subject person/number marking	25.667	90.500	Bodo-Garo	Sino-Tibetan	Morphology
hai	Haida	1	No subject person/number marking	53.000	-132.000	Haida	Haida	Morphology
hau	Hausa	1	No subject person/number marking	12.000	7.000	West Chadic	Afro-Asiatic	Morphology
hmo	Hmong Njua	1	No subject person/number marking	28.000	105.000	Hmong-Mien	Hmong-Mien	Morphology
igb	Igbo	1	No subject person/number marking	6.000	7.333	Igboid	Niger-Congo	Morphology
imo	Imonda	1	No subject person/number marking	-3.333	141.167	Border	Border	Morphology
ind	Indonesian	1	No subject person/number marking	0.000	106.000	Malayic	Austronesian	Morphology
jpn	Japanese	1	No subject person/number marking	37.000	140.000	Japanese	Japanese	Morphology
qaw	Qawasqar	1	No subject person/number marking	-49.000	-75.000	Alacalufan	Alacalufan	Morphology
kyl	Kayah Li (Eastern)	1	No subject person/number marking	19.000	97.500	Karen	Sino-Tibetan	Morphology
kay	Kayardild	1	No subject person/number marking	-17.050	139.500	Tangkic	Australian	Morphology
ker	Kera	1	No subject person/number marking	9.833	15.083	East Chadic	Afro-Asiatic	Morphology
kha	Khalkha	1	No subject person/number marking	47.000	105.000	Mongolic	Altaic	Morphology
khs	Khasi	1	No subject person/number marking	25.500	92.000	Khasian	Austro-Asiatic	Morphology
kmu	Khmu'	1	No subject person/number marking	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Morphology
krb	Kiribati	1	No subject person/number marking	1.333	173.000	Oceanic	Austronesian	Morphology
kor	Korean	1	No subject person/number marking	37.500	128.000	Korean	Korean	Morphology
kfe	Koromfe	1	No subject person/number marking	14.250	-0.917	Gur	Niger-Congo	Morphology
kse	Koyraboro Senni	1	No subject person/number marking	16.000	0.000	Songhay	Nilo-Saharan	Morphology
lad	Ladakhi	1	No subject person/number marking	34.000	78.000	Bodic	Sino-Tibetan	Morphology
lep	Lepcha	1	No subject person/number marking	27.167	88.500	Lepcha	Sino-Tibetan	Morphology
lez	Lezgian	1	No subject person/number marking	41.667	47.833	Lezgic	Nakh-Daghestanian	Morphology
mnd	Mandarin	1	No subject person/number marking	34.000	110.000	Chinese	Sino-Tibetan	Morphology
mao	Maori	1	No subject person/number marking	-40.000	176.000	Oceanic	Austronesian	Morphology
mrt	Martuthunira	1	No subject person/number marking	-20.833	116.500	Pama-Nyungan	Australian	Morphology
mei	Meithei	1	No subject person/number marking	24.750	94.000	Kuki-Chin	Sino-Tibetan	Morphology
ndy	Ndyuka	1	No subject person/number marking	4.500	-54.500	Creoles and Pidgins	other	Morphology
ngi	Ngiyambaa	1	No subject person/number marking	-31.750	145.500	Pama-Nyungan	Australian	Morphology
prh	Pirahã	1	No subject person/number marking	-7.000	-62.000	Mura	Mura	Morphology
pit	Pitjantjatjara	1	No subject person/number marking	-26.000	130.000	Pama-Nyungan	Australian	Morphology
ram	Rama	1	No subject person/number marking	11.750	-83.750	Rama	Chibchan	Morphology
rap	Rapanui	1	No subject person/number marking	-27.117	-109.367	Oceanic	Austronesian	Morphology
snm	Sanuma	1	No subject person/number marking	4.500	-64.667	Yanomam	Yanomam	Morphology
sel	Selknam	1	No subject person/number marking	-53.000	-70.000	Chon Proper	Chon	Morphology
shk	Shipibo-Konibo	1	No subject person/number marking	-7.500	-75.000	Panoan	Panoan	Morphology
pso	Pomo (Southeastern)	1	No subject person/number marking	39.000	-122.500	Pomoan	Hokan	Morphology
sup	Supyire	1	No subject person/number marking	11.500	-5.583	Gur	Niger-Congo	Morphology
tag	Tagalog	1	No subject person/number marking	15.000	121.000	Meso-Philippine	Austronesian	Morphology
tha	Thai	1	No subject person/number marking	16.000	101.000	Kam-Tai	Tai-Kadai	Morphology
tru	Trumai	1	No subject person/number marking	-11.917	-53.583	Trumai	Trumai	Morphology
vie	Vietnamese	1	No subject person/number marking	10.500	106.500	Viet-Muong	Austro-Asiatic	Morphology
wra	Warao	1	No subject person/number marking	9.333	-61.667	Warao	Warao	Morphology
war	Wari'	1	No subject person/number marking	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Morphology
yag	Yagua	1	No subject person/number marking	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Morphology
yaq	Yaqui	1	No subject person/number marking	27.500	-110.250	Cahita	Uto-Aztecan	Morphology
yid	Yidiny	1	No subject person/number marking	-17.000	145.750	Pama-Nyungan	Australian	Morphology
yor	Yoruba	1	No subject person/number marking	8.000	4.333	Defoid	Niger-Congo	Morphology
abi	Abipón	2	Syncretic	-29.000	-61.000	Guaicuruan	Guaicuruan	Morphology
ame	Amele	2	Syncretic	-5.250	145.583	Madang	Trans-New Guinea	Morphology
aeg	Arabic (Egyptian)	2	Syncretic	30.000	31.000	Semitic	Afro-Asiatic	Morphology
awp	Awa Pit	2	Syncretic	1.500	-78.250	Barbacoan	Barbacoan	Morphology
aym	Aymara	2	Syncretic	-17.000	-69.000	Aymaran	Aymaran	Morphology
bag	Bagirmi	2	Syncretic	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Morphology
bej	Beja	2	Syncretic	18.000	36.000	Beja	Afro-Asiatic	Morphology
bur	Burushaski	2	Syncretic	36.500	74.500	Burushaski	Burushaski	Morphology
ckr	Canela-Krahô	2	Syncretic	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Morphology
car	Carib	2	Syncretic	5.500	-56.000	Cariban	Cariban	Morphology
cyv	Cayuvava	2	Syncretic	-13.500	-65.500	Cayuvava	Cayuvava	Morphology
chk	Chukchi	2	Syncretic	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Morphology
dag	Daga	2	Syncretic	-10.000	149.333	Dagan	Dagan	Morphology
dio	Diola-Fogny	2	Syncretic	13.000	-16.250	Northern Atlantic	Niger-Congo	Morphology
nbd	Nubian (Dongolese)	2	Syncretic	18.250	30.750	Nubian	Nilo-Saharan	Morphology
eka	Ekari	2	Syncretic	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Morphology
eng	English	2	Syncretic	52.000	0.000	Germanic	Indo-European	Morphology
ewe	Ewe	2	Syncretic	6.333	0.417	Kwa	Niger-Congo	Morphology
fre	French	2	Syncretic	48.000	2.000	Romance	Indo-European	Morphology
ger	German	2	Syncretic	52.000	10.000	Germanic	Indo-European	Morphology
orh	Oromo (Harar)	2	Syncretic	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Morphology
heb	Hebrew (Modern)	2	Syncretic	31.500	34.833	Semitic	Afro-Asiatic	Morphology
hin	Hindi	2	Syncretic	25.000	77.000	Indic	Indo-European	Morphology
hix	Hixkaryana	2	Syncretic	-1.000	-59.000	Cariban	Cariban	Morphology
ika	Ika	2	Syncretic	10.667	-73.750	Aruak	Chibchan	Morphology
irq	Iraqw	2	Syncretic	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Morphology
iri	Irish	2	Syncretic	53.000	-8.000	Celtic	Indo-European	Morphology
knd	Kannada	2	Syncretic	14.000	76.000	Southern Dravidian	Dravidian	Morphology
ham	Hamtai	2	Syncretic	-7.500	146.250	Angan	Trans-New Guinea	Morphology
krk	Karok	2	Syncretic	41.667	-123.000	Karok	Karok	Morphology
ket	Ket	2	Syncretic	64.000	87.000	Yeniseian	Yeniseian	Morphology
kew	Kewa	2	Syncretic	-6.500	143.833	Engan	Trans-New Guinea	Morphology
kio	Kiowa	2	Syncretic	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Morphology
kob	Kobon	2	Syncretic	-5.167	144.333	Madang	Trans-New Guinea	Morphology
kon	Kongo	2	Syncretic	-5.000	15.000	Bantoid	Niger-Congo	Morphology
knm	Kunama	2	Syncretic	14.500	37.000	Kunama	Nilo-Saharan	Morphology
lak	Lak	2	Syncretic	42.167	47.167	Lak-Dargwa	Nakh-Daghestanian	Morphology
lan	Lango	2	Syncretic	2.167	33.000	Nilotic	Nilo-Saharan	Morphology
lat	Latvian	2	Syncretic	57.000	24.000	Baltic	Indo-European	Morphology
lav	Lavukaleve	2	Syncretic	-9.083	159.200	Lavukaleve	Solomons East Papuan	Morphology
cle	Chinantec (Lealao)	2	Syncretic	17.333	-95.917	Chinantecan	Oto-Manguean	Morphology
dni	Dani (Lower Grand Valley)	2	Syncretic	-4.333	138.833	Dani	Trans-New Guinea	Morphology
