Maddieson, Ian. 2011. Vowel Quality Inventories.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 2A.
Available online at http://wals.info/feature/2A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Small (2-4)	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Phonology
adz	Adzera	1	Small (2-4)	-6.250	146.250	Oceanic	Austronesian	Phonology
abm	Alabama	1	Small (2-4)	32.333	-87.417	Muskogean	Muskogean	Phonology
alw	Alawa	1	Small (2-4)	-15.167	134.250	Maran	Australian	Phonology
aea	Aleut (Eastern)	1	Small (2-4)	54.750	-164.000	Aleut	Eskimo-Aleut	Phonology
amc	Amahuaca	1	Small (2-4)	-10.500	-72.500	Panoan	Panoan	Phonology
amu	Amuesha	1	Small (2-4)	-10.500	-75.417	Arawakan	Arawakan	Phonology
ana	Araona	1	Small (2-4)	-12.333	-67.750	Tacanan	Tacanan	Phonology
awp	Awa Pit	1	Small (2-4)	1.500	-78.250	Barbacoan	Barbacoan	Phonology
aym	Aymara	1	Small (2-4)	-17.000	-69.000	Aymaran	Aymaran	Phonology
byu	Bandjalang (Yugumbir)	1	Small (2-4)	-27.917	153.000	Pama-Nyungan	Australian	Phonology
brd	Bardi	1	Small (2-4)	-16.583	122.917	Nyulnyulan	Australian	Phonology
bco	Bella Coola	1	Small (2-4)	52.500	-126.667	Bella Coola	Salishan	Phonology
cad	Caddo	1	Small (2-4)	33.333	-93.500	Caddoan	Caddoan	Phonology
cah	Cahuilla	1	Small (2-4)	33.500	-116.250	Takic	Uto-Aztecan	Phonology
cax	Campa (Axininca)	1	Small (2-4)	-12.000	-74.000	Arawakan	Arawakan	Phonology
cay	Cayapa	1	Small (2-4)	0.667	-79.000	Barbacoan	Barbacoan	Phonology
chl	Chehalis (Upper)	1	Small (2-4)	46.583	-123.000	Tsamosan	Salishan	Phonology
cck	Chickasaw	1	Small (2-4)	34.000	-88.000	Muskogean	Muskogean	Phonology
cre	Cree (Plains)	1	Small (2-4)	54.000	-110.000	Algonquian	Algic	Phonology
diy	Diyari	1	Small (2-4)	-28.000	139.000	Pama-Nyungan	Australian	Phonology
dyi	Dyirbal	1	Small (2-4)	-17.833	145.583	Pama-Nyungan	Australian	Phonology
amp	Arrernte (Mparntwe)	1	Small (2-4)	-24.000	136.000	Pama-Nyungan	Australian	Phonology
eya	Eyak	1	Small (2-4)	60.500	-145.000	Eyak	Na-Dene	Phonology
gds	Gadsup	1	Small (2-4)	-6.250	146.000	Eastern Highlands	Trans-New Guinea	Phonology
grr	Garrwa	1	Small (2-4)	-17.083	137.167	Garrwan	Australian	Phonology
goo	Gooniyandi	1	Small (2-4)	-18.333	126.333	Bunuban	Australian	Phonology
kya	Kuku-Yalanji	1	Small (2-4)	-16.000	145.000	Pama-Nyungan	Australian	Phonology
hai	Haida	1	Small (2-4)	53.000	-132.000	Haida	Haida	Phonology
hup	Hupa	1	Small (2-4)	41.083	-123.667	Athapaskan	Na-Dene	Phonology
grw	Greenlandic (West)	1	Small (2-4)	64.000	-51.000	Eskimo	Eskimo-Aleut	Phonology
ivs	Ivatan (Southern)	1	Small (2-4)	20.333	121.833	Northern Philippines	Austronesian	Phonology
jaq	Jaqaru	1	Small (2-4)	-13.000	-76.000	Aymaran	Aymaran	Phonology
jeb	Jebero	1	Small (2-4)	-5.417	-76.500	Cahuapanan	Cahuapanan	Phonology
jiv	Jivaro	1	Small (2-4)	-2.500	-78.000	Jivaroan	Jivaroan	Phonology
kab	Kabardian	1	Small (2-4)	43.500	43.500	Northwest Caucasian	Northwest Caucasian	Phonology
kgu	Kalkatungu	1	Small (2-4)	-21.000	139.500	Pama-Nyungan	Australian	Phonology
kay	Kayardild	1	Small (2-4)	-17.050	139.500	Tangkic	Australian	Phonology
klm	Klamath	1	Small (2-4)	42.500	-121.500	Klamath-Modoc	Penutian	Phonology
koa	Koasati	1	Small (2-4)	34.833	-85.167	Muskogean	Muskogean	Phonology
kut	Kutenai	1	Small (2-4)	49.500	-116.000	Kutenai	Kutenai	Phonology
lak	Lak	1	Small (2-4)	42.167	47.167	Lak-Dargwa	Nakh-Daghestanian	Phonology
lus	Lushootseed	1	Small (2-4)	48.000	-122.000	Central Salish	Salishan	Phonology
mal	Malagasy	1	Small (2-4)	-20.000	47.000	Barito	Austronesian	Phonology
mrn	Maranao	1	Small (2-4)	7.833	124.250	Southern Philippines	Austronesian	Phonology
mrg	Margi	1	Small (2-4)	11.000	13.000	Biu-Mandara	Afro-Asiatic	Phonology
mrt	Martuthunira	1	Small (2-4)	-20.833	116.500	Pama-Nyungan	Australian	Phonology
maz	Mazahua	1	Small (2-4)	19.417	-99.917	Otomian	Oto-Manguean	Phonology
mbb	Mbabaram	1	Small (2-4)	-17.167	145.000	Pama-Nyungan	Australian	Phonology
ign	Ignaciano	1	Small (2-4)	-15.167	-65.417	Arawakan	Arawakan	Phonology
mpa	Murrinh-Patha	1	Small (2-4)	-14.667	129.667	Murrinh-Patha	Australian	Phonology
nhn	Nahuatl (North Puebla)	1	Small (2-4)	20.000	-98.250	Aztecan	Uto-Aztecan	Phonology
nav	Navajo	1	Small (2-4)	36.167	-108.000	Athapaskan	Na-Dene	Phonology
new	Newari (Kathmandu)	1	Small (2-4)	27.667	85.500	Bodic	Sino-Tibetan	Phonology
ngi	Ngiyambaa	1	Small (2-4)	-31.750	145.500	Pama-Nyungan	Australian	Phonology
chu	Chulupí	1	Small (2-4)	-23.500	-60.500	Matacoan	Matacoan	Phonology
nug	Nunggubuyu	1	Small (2-4)	-13.750	135.667	Nunggubuyu	Australian	Phonology
nuu	Nuuchahnulth	1	Small (2-4)	49.667	-126.667	Southern Wakashan	Wakashan	Phonology
oji	Ojibwa (Eastern)	1	Small (2-4)	46.000	-80.000	Algonquian	Algic	Phonology
ond	Oneida	1	Small (2-4)	43.000	-75.667	Northern Iroquoian	Iroquoian	Phonology
pae	Páez	1	Small (2-4)	2.667	-76.000	Páezan	Páezan	Phonology
pai	Paiwan	1	Small (2-4)	22.500	120.833	Paiwanic	Austronesian	Phonology
pau	Paumarí	1	Small (2-4)	-6.000	-64.000	Arauan	Arauan	Phonology
prh	Pirahã	1	Small (2-4)	-7.000	-62.000	Mura	Mura	Phonology
pit	Pitjantjatjara	1	Small (2-4)	-26.000	130.000	Pama-Nyungan	Australian	Phonology
qaw	Qawasqar	1	Small (2-4)	-49.000	-75.000	Alacalufan	Alacalufan	Phonology
qui	Quileute	1	Small (2-4)	47.917	-124.250	Chimakuan	Chimakuan	Phonology
ram	Rama	1	Small (2-4)	11.750	-83.750	Rama	Chibchan	Phonology
ruk	Rukai	1	Small (2-4)	22.833	120.833	Tsouic	Austronesian	Phonology
sel	Selknam	1	Small (2-4)	-53.000	-70.000	Chon Proper	Chon	Phonology
shs	Shasta	1	Small (2-4)	41.833	-122.667	Shasta	Hokan	Phonology
tas	Tashlhiyt	1	Small (2-4)	31.000	-5.000	Berber	Afro-Asiatic	Phonology
shk	Shipibo-Konibo	1	Small (2-4)	-7.500	-75.000	Panoan	Panoan	Phonology
squ	Squamish	1	Small (2-4)	49.667	-123.167	Central Salish	Salishan	Phonology
tac	Tacana	1	Small (2-4)	-13.500	-68.000	Tacanan	Tacanan	Phonology
bma	Berber (Middle Atlas)	1	Small (2-4)	33.000	-5.000	Berber	Afro-Asiatic	Phonology
tsg	Tausug	1	Small (2-4)	6.000	121.000	Meso-Philippine	Austronesian	Phonology
teh	Tehuelche	1	Small (2-4)	-48.000	-68.000	Chon Proper	Chon	Phonology
tiw	Tiwi	1	Small (2-4)	-11.500	131.000	Tiwian	Australian	Phonology
tli	Tlingit	1	Small (2-4)	59.000	-135.000	Tlingit	Na-Dene	Phonology
tpa	Totonac (Papantla)	1	Small (2-4)	20.333	-97.333	Totonacan	Totonacan	Phonology
tsi	Tsimshian (Coast)	1	Small (2-4)	52.500	-129.000	Tsimshianic	Penutian	Phonology
wdo	Western Desert (Ooldea)	1	Small (2-4)	-30.500	132.000	Pama-Nyungan	Australian	Phonology
wam	Wambaya	1	Small (2-4)	-18.667	135.750	West Barkly	Australian	Phonology
wps	Wapishana	1	Small (2-4)	2.667	-60.000	Arawakan	Arawakan	Phonology
wic	Wichita	1	Small (2-4)	33.333	-97.333	Caddoan	Caddoan	Phonology
yny	Yanyuwa	1	Small (2-4)	-16.417	137.167	Pama-Nyungan	Australian	Phonology
yes	Yessan-Mayo	1	Small (2-4)	-4.167	142.583	Tama Sepik	Sepik	Phonology
yid	Yidiny	1	Small (2-4)	-17.000	145.750	Pama-Nyungan	Australian	Phonology
yim	Yimas	1	Small (2-4)	-4.667	143.550	Lower Sepik	Lower Sepik-Ramu	Phonology
djp	Djapu	1	Small (2-4)	-12.667	136.000	Pama-Nyungan	Australian	Phonology
yus	Yupik (Siberian)	1	Small (2-4)	65.000	-173.000	Eskimo	Eskimo-Aleut	Phonology
ccp	Cocopa	1	Small (2-4)	32.333	-115.000	Yuman	Hokan	Phonology
xoo	!Xóõ	2	Average (5-6)	-24.000	21.500	Southern Khoisan	Khoisan	Phonology
ood	O'odham	2	Average (5-6)	32.000	-112.000	Tepiman	Uto-Aztecan	Phonology
ani	//Ani	2	Average (5-6)	-18.917	21.917	Central Khoisan	Khoisan	Phonology
abi	Abipón	2	Average (5-6)	-29.000	-61.000	Guaicuruan	Guaicuruan	Phonology
ach	Aché	2	Average (5-6)	-25.250	-55.167	Tupi-Guaraní	Tupian	Phonology
acm	Achumawi	2	Average (5-6)	41.500	-121.000	Palaihnihan	Hokan	Phonology
aco	Acoma	2	Average (5-6)	34.917	-107.583	Keresan	Keresan	Phonology
aht	Ahtna	2	Average (5-6)	62.000	-145.000	Athapaskan	Na-Dene	Phonology
ain	Ainu	2	Average (5-6)	43.000	143.000	Ainu	Ainu	Phonology
ame	Amele	2	Average (5-6)	-5.250	145.583	Madang	Trans-New Guinea	Phonology
ant	Angaatiha	2	Average (5-6)	-7.217	146.250	Angan	Trans-New Guinea	Phonology
ao	Ao	2	Average (5-6)	26.583	94.667	Kuki-Chin	Sino-Tibetan	Phonology
apu	Apurinã	2	Average (5-6)	-9.000	-67.000	Arawakan	Arawakan	Phonology
arb	Arabela	2	Average (5-6)	-2.000	-75.167	Zaparoan	Zaparoan	Phonology
aeg	Arabic (Egyptian)	2	Average (5-6)	30.000	31.000	Semitic	Afro-Asiatic	Phonology
arc	Archi	2	Average (5-6)	42.000	46.833	Lezgic	Nakh-Daghestanian	Phonology
arm	Armenian (Eastern)	2	Average (5-6)	40.000	45.000	Armenian	Indo-European	Phonology
asm	Asmat	2	Average (5-6)	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Phonology
ata	Atayal	2	Average (5-6)	24.500	121.333	Atayalic	Austronesian	Phonology
ava	Avar	2	Average (5-6)	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
bng	Baining	2	Average (5-6)	-4.583	152.000	Baining	Baining-Taulil	Phonology
bno	Barasano (Northern)	2	Average (5-6)	0.333	-70.250	Tucanoan	Tucanoan	Phonology
bsq	Basque	2	Average (5-6)	43.000	-3.000	Basque	Basque	Phonology
bto	Batak (Toba)	2	Average (5-6)	2.500	99.000	Sumatra	Austronesian	Phonology
ttu	Tsova-Tush	2	Average (5-6)	42.500	45.500	Nakh	Nakh-Daghestanian	Phonology
baw	Bawm	2	Average (5-6)	22.500	92.250	Kuki-Chin	Sino-Tibetan	Phonology
bee	Beembe	2	Average (5-6)	-3.917	14.083	Bantoid	Niger-Congo	Phonology
bej	Beja	2	Average (5-6)	18.000	36.000	Beja	Afro-Asiatic	Phonology
ber	Berta	2	Average (5-6)	10.333	34.667	Berta	Nilo-Saharan	Phonology
bis	Bisa	2	Average (5-6)	11.500	-0.500	Eastern Mande	Niger-Congo	Phonology
bod	Bodo	2	Average (5-6)	26.833	92.000	Bodo-Garo	Sino-Tibetan	Phonology
brh	Brahui	2	Average (5-6)	28.500	67.000	Northern Dravidian	Dravidian	Phonology
bri	Bribri	2	Average (5-6)	9.417	-83.000	Talamanca	Chibchan	Phonology
bul	Bulgarian	2	Average (5-6)	42.500	25.000	Slavic	Indo-European	Phonology
bua	Burarra	2	Average (5-6)	-12.250	134.583	Burarran	Australian	Phonology
bur	Burushaski	2	Average (5-6)	36.500	74.500	Burushaski	Burushaski	Phonology
cac	Cacua	2	Average (5-6)	1.083	-70.000	Cacua-Nukak	Cacua-Nukak	Phonology
cam	Camsá	2	Average (5-6)	1.167	-77.000	Camsá	Camsá	Phonology
car	Carib	2	Average (5-6)	5.500	-56.000	Cariban	Cariban	Phonology
cha	Chamorro	2	Average (5-6)	13.450	144.750	Chamorro	Austronesian	Phonology
cso	Chatino (Sierra Occidental)	2	Average (5-6)	16.250	-97.333	Zapotecan	Oto-Manguean	Phonology
che	Cherokee	2	Average (5-6)	35.500	-83.500	Southern Iroquoian	Iroquoian	Phonology
cti	Chin (Tiddim)	2	Average (5-6)	23.333	93.667	Kuki-Chin	Sino-Tibetan	Phonology
cle	Chinantec (Lealao)	2	Average (5-6)	17.333	-95.917	Chinantecan	Oto-Manguean	Phonology
chp	Chipewyan	2	Average (5-6)	59.000	-106.000	Athapaskan	Na-Dene	Phonology
cve	Chuave	2	Average (5-6)	-6.117	145.117	Chimbu	Trans-New Guinea	Phonology
chk	Chukchi	2	Average (5-6)	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Phonology
cil	CiLuba	2	Average (5-6)	-6.000	22.000	Bantoid	Niger-Congo	Phonology
cof	Cofán	2	Average (5-6)	0.167	-77.167	Cofán	Cofán	Phonology
cmn	Comanche	2	Average (5-6)	33.500	-101.500	Numic	Uto-Aztecan	Phonology
coo	Coos (Hanis)	2	Average (5-6)	43.500	-124.167	Coosan	Oregon Coast	Phonology
cub	Cubeo	2	Average (5-6)	1.333	-70.500	Tucanoan	Tucanoan	Phonology
kun	Kuna	2	Average (5-6)	8.000	-77.333	Kuna	Chibchan	Phonology
dad	Dadibi	2	Average (5-6)	-6.550	144.583	Teberan	Teberan-Pawaian	Phonology
dag	Daga	2	Average (5-6)	-10.000	149.333	Dagan	Dagan	Phonology
dgb	Dagbani	2	Average (5-6)	9.583	-0.500	Gur	Niger-Congo	Phonology
dah	Dahalo	2	Average (5-6)	-2.333	40.500	Southern Cushitic	Afro-Asiatic	Phonology
ddf	Daju (Dar Fur)	2	Average (5-6)	12.250	25.250	Daju	Nilo-Saharan	Phonology
dar	Darai	2	Average (5-6)	24.000	84.000	Indic	Indo-European	Phonology
der	Dla (Proper)	2	Average (5-6)	-3.583	141.000	Senagi	Senagi	Phonology
det	Deti	2	Average (5-6)	-20.500	24.500	Central Khoisan	Khoisan	Phonology
die	Diegueño (Mesa Grande)	2	Average (5-6)	32.667	-116.167	Yuman	Hokan	Phonology
diz	Dizi	2	Average (5-6)	6.167	36.500	North Omotic	Afro-Asiatic	Phonology
eka	Ekari	2	Average (5-6)	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Phonology
evn	Even	2	Average (5-6)	68.000	130.000	Tungusic	Altaic	Phonology
eve	Evenki	2	Average (5-6)	56.000	125.000	Tungusic	Altaic	Phonology
prs	Persian	2	Average (5-6)	32.000	54.000	Iranian	Indo-European	Phonology
fas	Fasu	2	Average (5-6)	-6.583	143.333	Fasu	Trans-New Guinea	Phonology
fij	Fijian	2	Average (5-6)	-17.833	178.000	Oceanic	Austronesian	Phonology
fur	Fur	2	Average (5-6)	13.500	25.000	Fur	Nilo-Saharan	Phonology
fye	Fyem	2	Average (5-6)	9.583	9.333	Platoid	Niger-Congo	Phonology
gar	Garo	2	Average (5-6)	25.667	90.500	Bodo-Garo	Sino-Tibetan	Phonology
geo	Georgian	2	Average (5-6)	42.000	44.000	Kartvelian	Kartvelian	Phonology
grk	Greek (Modern)	2	Average (5-6)	39.000	22.000	Greek	Indo-European	Phonology
ghb	Guahibo	2	Average (5-6)	5.000	-69.000	Guahiban	Guahiban	Phonology
goa	Goajiro	2	Average (5-6)	12.000	-72.000	Arawakan	Arawakan	Phonology
gmb	Guambiano	2	Average (5-6)	2.500	-76.667	Barbacoan	Barbacoan	Phonology
gua	Guaraní	2	Average (5-6)	-26.000	-56.000	Tupi-Guaraní	Tupian	Phonology
gwa	Gwari	2	Average (5-6)	9.500	7.000	Nupoid	Niger-Congo	Phonology
had	Hadza	2	Average (5-6)	-3.750	35.167	Hadza	Hadza	Phonology
hak	Hakka	2	Average (5-6)	25.000	116.000	Chinese	Sino-Tibetan	Phonology
hmr	Hamer	2	Average (5-6)	5.000	36.500	South Omotic	Afro-Asiatic	Phonology
hau	Hausa	2	Average (5-6)	12.000	7.000	West Chadic	Afro-Asiatic	Phonology
haw	Hawaiian	2	Average (5-6)	19.583	-155.500	Oceanic	Austronesian	Phonology
hba	Hebrew (Modern Ashkenazic)	2	Average (5-6)	31.750	35.167	Semitic	Afro-Asiatic	Phonology
hin	Hindi	2	Average (5-6)	25.000	77.000	Indic	Indo-European	Phonology
hix	Hixkaryana	2	Average (5-6)	-1.000	-59.000	Cariban	Cariban	Phonology
hmo	Hmong Njua	2	Average (5-6)	28.000	105.000	Hmong-Mien	Hmong-Mien	Phonology
hop	Hopi	2	Average (5-6)	36.000	-110.000	Hopi	Uto-Aztecan	Phonology
aik	Aikaná	2	Average (5-6)	-12.667	-60.667	Arawakan	Arawakan	Phonology
htc	Huastec	2	Average (5-6)	22.083	-99.333	Mayan	Mayan	Phonology
hve	Huave (San Mateo del Mar)	2	Average (5-6)	16.217	-95.000	Huavean	Huavean	Phonology
iba	Iban	2	Average (5-6)	2.000	112.000	Malayic	Austronesian	Phonology
ind	Indonesian	2	Average (5-6)	0.000	106.000	Malayic	Austronesian	Phonology
ing	Ingush	2	Average (5-6)	43.167	45.083	Nakh	Nakh-Daghestanian	Phonology
irx	Iranxe	2	Average (5-6)	-13.000	-58.000	Arawakan	Arawakan	Phonology
irq	Iraqw	2	Average (5-6)	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Phonology
ird	Irish (Donegal)	2	Average (5-6)	55.000	-8.000	Celtic	Indo-European	Phonology
