Corbett, Greville G.. 2011. Number of Genders.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 30A.
Available online at http://wals.info/feature/30A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
aco	Acoma	1	None	34.917	-107.583	Keresan	Keresan	Nominal Categories
ain	Ainu	1	None	43.000	143.000	Ainu	Ainu	Nominal Categories
ale	Aleut	1	None	54.000	-166.000	Aleut	Eskimo-Aleut	Nominal Categories
ame	Amele	1	None	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
abn	Arabana	1	None	-28.250	136.250	Pama-Nyungan	Australian	Nominal Categories
arm	Armenian (Eastern)	1	None	40.000	45.000	Armenian	Indo-European	Nominal Categories
asm	Asmat	1	None	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Nominal Categories
awp	Awa Pit	1	None	1.500	-78.250	Barbacoan	Barbacoan	Nominal Categories
bag	Bagirmi	1	None	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Nominal Categories
bsq	Basque	1	None	43.000	-3.000	Basque	Basque	Nominal Categories
baw	Bawm	1	None	22.500	92.250	Kuki-Chin	Sino-Tibetan	Nominal Categories
brh	Brahui	1	None	28.500	67.000	Northern Dravidian	Dravidian	Nominal Categories
brm	Burmese	1	None	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Nominal Categories
cah	Cahuilla	1	None	33.500	-116.250	Takic	Uto-Aztecan	Nominal Categories
khm	Khmer	1	None	12.500	105.000	Khmer	Austro-Asiatic	Nominal Categories
ckr	Canela-Krahô	1	None	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Nominal Categories
cnt	Cantonese	1	None	23.000	113.000	Chinese	Sino-Tibetan	Nominal Categories
car	Carib	1	None	5.500	-56.000	Cariban	Cariban	Nominal Categories
cyv	Cayuvava	1	None	-13.500	-65.500	Cayuvava	Cayuvava	Nominal Categories
pmc	Pomo (Central)	1	None	39.000	-123.333	Pomoan	Hokan	Nominal Categories
khl	Khalaj	1	None	35.000	50.000	Turkic	Altaic	Nominal Categories
cha	Chamorro	1	None	13.450	144.750	Chamorro	Austronesian	Nominal Categories
chi	Chimariko	1	None	41.000	-123.000	Chimariko	Hokan	Nominal Categories
chk	Chukchi	1	None	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
chv	Chuvash	1	None	55.500	47.500	Turkic	Altaic	Nominal Categories
tsi	Tsimshian (Coast)	1	None	52.500	-129.000	Tsimshianic	Penutian	Nominal Categories
cmn	Comanche	1	None	33.500	-101.500	Numic	Uto-Aztecan	Nominal Categories
zqc	Zoque (Copainalá)	1	None	17.000	-93.250	Mixe-Zoque	Mixe-Zoque	Nominal Categories
dag	Daga	1	None	-10.000	149.333	Dagan	Dagan	Nominal Categories
djr	Djaru	1	None	-18.750	128.000	Pama-Nyungan	Australian	Nominal Categories
don	Dong	1	None	27.000	109.000	Kam-Tai	Tai-Kadai	Nominal Categories
nbd	Nubian (Dongolese)	1	None	18.250	30.750	Nubian	Nilo-Saharan	Nominal Categories
epe	Epena Pedee	1	None	3.000	-77.000	Choco	Choco	Nominal Categories
eve	Evenki	1	None	56.000	125.000	Tungusic	Altaic	Nominal Categories
ewe	Ewe	1	None	6.333	0.417	Kwa	Niger-Congo	Nominal Categories
fij	Fijian	1	None	-17.833	178.000	Oceanic	Austronesian	Nominal Categories
fin	Finnish	1	None	62.000	25.000	Finnic	Uralic	Nominal Categories
geo	Georgian	1	None	42.000	44.000	Kartvelian	Kartvelian	Nominal Categories
goo	Gooniyandi	1	None	-18.333	126.333	Bunuban	Australian	Nominal Categories
gua	Guaraní	1	None	-26.000	-56.000	Tupi-Guaraní	Tupian	Nominal Categories
guu	Guugu Yimidhirr	1	None	-15.000	144.833	Pama-Nyungan	Australian	Nominal Categories
hai	Haida	1	None	53.000	-132.000	Haida	Haida	Nominal Categories
coo	Coos (Hanis)	1	None	43.500	-124.167	Coosan	Oregon Coast	Nominal Categories
hat	Hatam	1	None	-1.000	134.000	Hatam	West Papuan	Nominal Categories
haw	Hawaiian	1	None	19.583	-155.500	Oceanic	Austronesian	Nominal Categories
hay	Hayu	1	None	27.250	86.000	Bodic	Sino-Tibetan	Nominal Categories
hmo	Hmong Njua	1	None	28.000	105.000	Hmong-Mien	Hmong-Mien	Nominal Categories
hun	Hungarian	1	None	47.000	20.000	Ugric	Uralic	Nominal Categories
iaa	Iaai	1	None	-20.417	166.583	Oceanic	Austronesian	Nominal Categories
igb	Igbo	1	None	6.000	7.333	Igboid	Niger-Congo	Nominal Categories
ika	Ika	1	None	10.667	-73.750	Aruak	Chibchan	Nominal Categories
qim	Quechua (Imbabura)	1	None	0.333	-78.000	Quechuan	Quechuan	Nominal Categories
imo	Imonda	1	None	-3.333	141.167	Border	Border	Nominal Categories
ind	Indonesian	1	None	0.000	106.000	Malayic	Austronesian	Nominal Categories
ite	Itelmen	1	None	57.000	157.500	Southern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
jaq	Jaqaru	1	None	-13.000	-76.000	Aymaran	Aymaran	Nominal Categories
tol	Tol	1	None	14.667	-87.000	Tol	Tol	Nominal Categories
kam	Kambera	1	None	-9.833	120.167	Central Malayo-Polynesian	Austronesian	Nominal Categories
knr	Kanuri	1	None	12.000	13.000	Western Saharan	Nilo-Saharan	Nominal Categories
bkr	Batak (Karo)	1	None	3.250	98.250	Sumatra	Austronesian	Nominal Categories
krk	Karok	1	None	41.667	-123.000	Karok	Karok	Nominal Categories
kay	Kayardild	1	None	-17.050	139.500	Tangkic	Australian	Nominal Categories
kew	Kewa	1	None	-6.500	143.833	Engan	Trans-New Guinea	Nominal Categories
kha	Khalkha	1	None	47.000	105.000	Mongolic	Altaic	Nominal Categories
klv	Kilivila	1	None	-8.500	151.083	Oceanic	Austronesian	Nominal Categories
kgz	Kirghiz	1	None	42.000	75.000	Turkic	Altaic	Nominal Categories
koa	Koasati	1	None	34.833	-85.167	Muskogean	Muskogean	Nominal Categories
kob	Kobon	1	None	-5.167	144.333	Madang	Trans-New Guinea	Nominal Categories
kse	Koyraboro Senni	1	None	16.000	0.000	Songhay	Nilo-Saharan	Nominal Categories
kut	Kutenai	1	None	49.500	-116.000	Kutenai	Kutenai	Nominal Categories
lad	Ladakhi	1	None	34.000	78.000	Bodic	Sino-Tibetan	Nominal Categories
lah	Lahu	1	None	20.000	98.167	Burmese-Lolo	Sino-Tibetan	Nominal Categories
lan	Lango	1	None	2.167	33.000	Nilotic	Nilo-Saharan	Nominal Categories
lep	Lepcha	1	None	27.167	88.500	Lepcha	Sino-Tibetan	Nominal Categories
lez	Lezgian	1	None	41.667	47.833	Lezgic	Nakh-Daghestanian	Nominal Categories
dni	Dani (Lower Grand Valley)	1	None	-4.333	138.833	Dani	Trans-New Guinea	Nominal Categories
mak	Makah	1	None	48.333	-124.667	Southern Wakashan	Wakashan	Nominal Categories
mal	Malagasy	1	None	-20.000	47.000	Barito	Austronesian	Nominal Categories
mnd	Mandarin	1	None	34.000	110.000	Chinese	Sino-Tibetan	Nominal Categories
mao	Maori	1	None	-40.000	176.000	Oceanic	Austronesian	Nominal Categories
map	Mapudungun	1	None	-38.000	-72.000	Araucanian	Araucanian	Nominal Categories
mny	Margany	1	None	-27.000	144.500	Pama-Nyungan	Australian	Nominal Categories
mar	Maricopa	1	None	33.167	-113.167	Yuman	Hokan	Nominal Categories
mrt	Martuthunira	1	None	-20.833	116.500	Pama-Nyungan	Australian	Nominal Categories
mei	Meithei	1	None	24.750	94.000	Kuki-Chin	Sino-Tibetan	Nominal Categories
tot	Totonac (Misantla)	1	None	19.917	-96.917	Totonacan	Totonacan	Nominal Categories
mok	Mokilese	1	None	6.667	159.750	Oceanic	Austronesian	Nominal Categories
mrl	Murle	1	None	6.500	33.500	Surmic	Nilo-Saharan	Nominal Categories
ndy	Ndyuka	1	None	4.500	-54.500	Creoles and Pidgins	other	Nominal Categories
nen	Nenets	1	None	69.000	72.000	Samoyedic	Uralic	Nominal Categories
nez	Nez Perce	1	None	46.000	-116.000	Sahaptian	Penutian	Nominal Categories
ngi	Ngiyambaa	1	None	-31.750	145.500	Pama-Nyungan	Australian	Nominal Categories
