Dryer, Matthew S.. 2011. Coding of Nominal Plurality.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 33A.
Available online at http://wals.info/feature/33A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ktl	Katla	1	Plural prefix	11.833	29.333	Katla-Tima	Niger-Congo	Nominal Categories
mro	Moro	1	Plural prefix	11.000	30.167	Heiban	Niger-Congo	Nominal Categories
msk	Masakin	1	Plural prefix	10.667	30.000	Talodi Proper	Niger-Congo	Nominal Categories
dio	Diola-Fogny	1	Plural prefix	13.000	-16.250	Northern Atlantic	Niger-Congo	Nominal Categories
tne	Temne	1	Plural prefix	8.667	-13.083	Southern Atlantic	Niger-Congo	Nominal Categories
gbk	Gbaya Kara	1	Plural prefix	6.000	15.000	Ubangi	Niger-Congo	Nominal Categories
san	Sango	1	Plural prefix	5.000	18.000	Ubangi	Niger-Congo	Nominal Categories
zan	Zande	1	Plural prefix	4.000	26.000	Ubangi	Niger-Congo	Nominal Categories
nza	Nzakara	1	Plural prefix	5.000	23.000	Ubangi	Niger-Congo	Nominal Categories
bbu	Barambu	1	Plural prefix	3.500	27.000	Ubangi	Niger-Congo	Nominal Categories
ayi	Anyi	1	Plural prefix	7.000	-3.500	Kwa	Niger-Congo	Nominal Categories
nkn	Nkonya	1	Plural prefix	7.167	0.250	Kwa	Niger-Congo	Nominal Categories
llm	Lelemi	1	Plural prefix	7.333	0.500	Kwa	Niger-Congo	Nominal Categories
adi	Adioukrou	1	Plural prefix	5.417	-4.583	Kwa	Niger-Congo	Nominal Categories
juk	Jukun	1	Plural prefix	6.917	10.417	Platoid	Niger-Congo	Nominal Categories
bir	Birom	1	Plural prefix	9.667	8.833	Platoid	Niger-Congo	Nominal Categories
fye	Fyem	1	Plural prefix	9.583	9.333	Platoid	Niger-Congo	Nominal Categories
amo	Amo	1	Plural prefix	10.333	8.667	Kainji	Niger-Congo	Nominal Categories
jar	Jarawa (in Nigeria)	1	Plural prefix	9.500	10.500	Bantoid	Niger-Congo	Nominal Categories
mgk	Mungaka	1	Plural prefix	5.917	10.000	Bantoid	Niger-Congo	Nominal Categories
mbi	Mbili	1	Plural prefix	6.117	10.200	Bantoid	Niger-Congo	Nominal Categories
non	Noni	1	Plural prefix	6.417	10.583	Bantoid	Niger-Congo	Nominal Categories
ldo	Londo	1	Plural prefix	5.000	9.167	Bantoid	Niger-Congo	Nominal Categories
bku	Bakueri	1	Plural prefix	4.250	9.250	Bantoid	Niger-Congo	Nominal Categories
bga	Benga	1	Plural prefix	1.167	9.417	Bantoid	Niger-Congo	Nominal Categories
bnk	Bankon	1	Plural prefix	4.417	9.583	Bantoid	Niger-Congo	Nominal Categories
tnn	Tunen	1	Plural prefix	4.750	10.667	Bantoid	Niger-Congo	Nominal Categories
bfi	Bafia	1	Plural prefix	5.000	11.167	Bantoid	Niger-Congo	Nominal Categories
ewo	Ewondo	1	Plural prefix	4.000	12.000	Bantoid	Niger-Congo	Nominal Categories
tgo	Tsogo	1	Plural prefix	-1.500	11.333	Bantoid	Niger-Congo	Nominal Categories
ndu	Ndumu	1	Plural prefix	-1.667	13.583	Bantoid	Niger-Congo	Nominal Categories
bob	Bobangi	1	Plural prefix	-1.333	17.333	Bantoid	Niger-Congo	Nominal Categories
mbl	Mbole	1	Plural prefix	-0.667	24.667	Bantoid	Niger-Congo	Nominal Categories
bsh	Bushoong	1	Plural prefix	-4.500	21.500	Bantoid	Niger-Congo	Nominal Categories
eny	Enya	1	Plural prefix	-0.500	25.250	Bantoid	Niger-Congo	Nominal Categories
kik	Kikuyu	1	Plural prefix	-0.750	36.750	Bantoid	Niger-Congo	Nominal Categories
kba	Kamba	1	Plural prefix	-1.500	38.000	Bantoid	Niger-Congo	Nominal Categories
nym	Nyamwezi	1	Plural prefix	-5.000	33.000	Bantoid	Niger-Congo	Nominal Categories
kgr	Kaguru	1	Plural prefix	-6.333	37.000	Bantoid	Niger-Congo	Nominal Categories
shm	Shambala	1	Plural prefix	-4.250	38.250	Bantoid	Niger-Congo	Nominal Categories
pre	Pare	1	Plural prefix	-4.000	36.500	Bantoid	Niger-Congo	Nominal Categories
swa	Swahili	1	Plural prefix	-6.500	39.000	Bantoid	Niger-Congo	Nominal Categories
blu	Bena-Lulua	1	Plural prefix	-6.000	21.000	Bantoid	Niger-Congo	Nominal Categories
kga	Kinga	1	Plural prefix	-9.000	34.000	Bantoid	Niger-Congo	Nominal Categories
kon	Kongo	1	Plural prefix	-5.000	15.000	Bantoid	Niger-Congo	Nominal Categories
lda	Luganda	1	Plural prefix	0.500	32.167	Bantoid	Niger-Congo	Nominal Categories
nko	Nkore-Kiga	1	Plural prefix	-0.917	29.833	Bantoid	Niger-Congo	Nominal Categories
hya	Haya	1	Plural prefix	-2.000	31.500	Bantoid	Niger-Congo	Nominal Categories
nde	Nande	1	Plural prefix	-0.083	29.167	Bantoid	Niger-Congo	Nominal Categories
hnd	Hunde	1	Plural prefix	-1.167	28.833	Bantoid	Niger-Congo	Nominal Categories
luv	Luvale	1	Plural prefix	-12.000	22.000	Bantoid	Niger-Congo	Nominal Categories
kwn	Kwangali	1	Plural prefix	-18.000	19.500	Bantoid	Niger-Congo	Nominal Categories
sub	Subiya	1	Plural prefix	-17.750	24.917	Bantoid	Niger-Congo	Nominal Categories
hem	Hemba	1	Plural prefix	-6.250	27.167	Bantoid	Niger-Congo	Nominal Categories
tbw	Tabwa	1	Plural prefix	-8.000	29.500	Bantoid	Niger-Congo	Nominal Categories
lmb	Lamba	1	Plural prefix	-13.000	28.000	Bantoid	Niger-Congo	Nominal Categories
toz	Tonga (in Zambia)	1	Plural prefix	-17.000	27.000	Bantoid	Niger-Congo	Nominal Categories
ila	Ila	1	Plural prefix	-15.583	26.500	Bantoid	Niger-Congo	Nominal Categories
cic	Chichewa	1	Plural prefix	-14.000	34.000	Bantoid	Niger-Congo	Nominal Categories
mtb	Matuumbi	1	Plural prefix	-8.500	39.000	Bantoid	Niger-Congo	Nominal Categories
mwe	Mwera	1	Plural prefix	-9.000	39.000	Bantoid	Niger-Congo	Nominal Categories
mua	Makua	1	Plural prefix	-15.000	38.667	Bantoid	Niger-Congo	Nominal Categories
ndo	Ndonga	1	Plural prefix	-18.000	17.000	Bantoid	Niger-Congo	Nominal Categories
shn	Shona	1	Plural prefix	-18.000	31.000	Bantoid	Niger-Congo	Nominal Categories
stn	Sotho (Northern)	1	Plural prefix	-24.000	29.000	Bantoid	Niger-Congo	Nominal Categories
xho	Xhosa	1	Plural prefix	-32.000	27.000	Bantoid	Niger-Congo	Nominal Categories
zul	Zulu	1	Plural prefix	-30.000	30.000	Bantoid	Niger-Congo	Nominal Categories
kad	Kadugli	1	Plural prefix	11.000	29.667	Kadugli	Kadugli	Nominal Categories
ktc	Katcha	1	Plural prefix	10.833	29.667	Kadugli	Kadugli	Nominal Categories
kro	Krongo	1	Plural prefix	10.500	30.000	Kadugli	Kadugli	Nominal Categories
kmj	Karimojong	1	Plural prefix	3.000	34.167	Nilotic	Nilo-Saharan	Nominal Categories
mbt	Mangbetu	1	Plural prefix	2.500	26.500	Mangbetu	Nilo-Saharan	Nominal Categories
kom	Komo	1	Plural prefix	8.750	33.750	Koman	Nilo-Saharan	Nominal Categories
ker	Kera	1	Plural prefix	9.833	15.083	East Chadic	Afro-Asiatic	Nominal Categories
sre	Sre	1	Plural prefix	11.500	108.000	Bahnaric	Austro-Asiatic	Nominal Categories
ruk	Rukai	1	Plural prefix	22.833	120.833	Tsouic	Austronesian	Nominal Categories
pal	Palauan	1	Plural prefix	7.500	134.583	Palauan	Austronesian	Nominal Categories
blg	Balangao	1	Plural prefix	17.167	121.167	Northern Philippines	Austronesian	Nominal Categories
btk	Bontok	1	Plural prefix	17.083	120.917	Northern Philippines	Austronesian	Nominal Categories
eno	Enggano	1	Plural prefix	-5.417	102.250	Sumatra	Austronesian	Nominal Categories
nia	Nias	1	Plural prefix	1.000	97.750	Sumatra	Austronesian	Nominal Categories
kkv	Kaliai-Kove	1	Plural prefix	-5.583	149.667	Oceanic	Austronesian	Nominal Categories
wed	Wedau	1	Plural prefix	-10.167	150.167	Oceanic	Austronesian	Nominal Categories
anj	Anejom	1	Plural prefix	-20.200	169.800	Oceanic	Austronesian	Nominal Categories
sak	Sakao	1	Plural prefix	-15.167	167.083	Oceanic	Austronesian	Nominal Categories
sul	Sulka	1	Plural prefix	-5.083	151.917	Sulka	Sulka	Nominal Categories
ann	Anindilyakwa	1	Plural prefix	-14.000	136.500	Anindilyakwa	Australian	Nominal Categories
nug	Nunggubuyu	1	Plural prefix	-13.750	135.667	Nunggubuyu	Australian	Nominal Categories
ngn	Ngandi	1	Plural prefix	-13.833	135.000	Ngandi	Australian	Nominal Categories
bbw	Bininj Gun-Wok	1	Plural prefix	-12.500	133.750	Gunwinygic	Australian	Nominal Categories
alw	Alawa	1	Plural prefix	-15.167	134.250	Maran	Australian	Nominal Categories
mra	Mara	1	Plural prefix	-15.000	135.167	Maran	Australian	Nominal Categories
yny	Yanyuwa	1	Plural prefix	-16.417	137.167	Pama-Nyungan	Australian	Nominal Categories
kut	Kutenai	1	Plural prefix	49.500	-116.000	Kutenai	Kutenai	Nominal Categories
qui	Quileute	1	Plural prefix	47.917	-124.250	Chimakuan	Chimakuan	Nominal Categories
bco	Bella Coola	1	Plural prefix	52.500	-126.667	Bella Coola	Salishan	Nominal Categories
moh	Mohawk	1	Plural prefix	43.500	-74.250	Northern Iroquoian	Iroquoian	Nominal Categories
tus	Tuscarora	1	Plural prefix	36.000	-77.500	Northern Iroquoian	Iroquoian	Nominal Categories
che	Cherokee	1	Plural prefix	35.500	-83.500	Southern Iroquoian	Iroquoian	Nominal Categories
git	Gitksan	1	Plural prefix	55.333	-127.750	Tsimshianic	Penutian	Nominal Categories
tsi	Tsimshian (Coast)	1	Plural prefix	52.500	-129.000	Tsimshianic	Penutian	Nominal Categories
hve	Huave (San Mateo del Mar)	1	Plural prefix	16.217	-95.000	Huavean	Huavean	Nominal Categories
ocu	Ocuilteco	1	Plural prefix	18.917	-99.667	Otomian	Oto-Manguean	Nominal Categories
zap	Zapotec (Mitla)	1	Plural prefix	16.800	-96.250	Zapotecan	Oto-Manguean	Nominal Categories
ood	O'odham	1	Plural prefix	32.000	-112.000	Tepiman	Uto-Aztecan	Nominal Categories
nev	Nevome	1	Plural prefix	31.000	-112.500	Tepiman	Uto-Aztecan	Nominal Categories
tpn	Tepehuan (Northern)	1	Plural prefix	26.333	-107.000	Tepiman	Uto-Aztecan	Nominal Categories
tps	Tepehuan (Southeastern)	1	Plural prefix	23.000	-104.500	Tepiman	Uto-Aztecan	Nominal Categories
eud	Eudeve	1	Plural prefix	29.167	-109.667	Cahita	Uto-Aztecan	Nominal Categories
leg	Lega	1	Plural prefix	-2.833	27.167	Bantoid	Niger-Congo	Nominal Categories
bas	Basaá	1	Plural prefix	3.917	10.500	Bantoid	Niger-Congo	Nominal Categories
mdo	Mbodomo	1	Plural prefix	4.500	15.500	Ubangi	Niger-Congo	Nominal Categories
ngo	Ngoni	1	Plural prefix	-11.000	36.000	Bantoid	Niger-Congo	Nominal Categories
ndb	Ndebele (in South Africa)	1	Plural prefix	-25.333	29.000	Bantoid	Niger-Congo	Nominal Categories
lbu	Lunda	1	Plural prefix	-10.667	24.000	Bantoid	Niger-Congo	Nominal Categories
obg	Ogbronuagum	1	Plural prefix	4.750	6.867	Cross River	Niger-Congo	Nominal Categories
wrn	Warndarang	1	Plural prefix	-14.417	135.583	Maran	Australian	Nominal Categories
ifm	Ifumu	1	Plural prefix	-3.667	15.333	Bantoid	Niger-Congo	Nominal Categories
otr	Otoro	1	Plural prefix	11.167	30.500	Heiban	Niger-Congo	Nominal Categories
nke	Nkem	1	Plural prefix	6.583	8.583	Bantoid	Niger-Congo	Nominal Categories
