Haspelmath, Martin. 2011. Occurrence of Nominal Plurality.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 34A.
Available online at http://wals.info/feature/34A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
map	Mapudungun	1	No nominal plural	-38.000	-72.000	Araucanian	Araucanian	Nominal Categories
hmo	Hmong Njua	1	No nominal plural	28.000	105.000	Hmong-Mien	Hmong-Mien	Nominal Categories
imo	Imonda	1	No nominal plural	-3.333	141.167	Border	Border	Nominal Categories
may	Maybrat	1	No nominal plural	-1.333	132.500	North-Central Bird's Head	West Papuan	Nominal Categories
prh	Pirahã	1	No nominal plural	-7.000	-62.000	Mura	Mura	Nominal Categories
tid	Tidore	1	No nominal plural	0.750	127.500	North Halmaheran	West Papuan	Nominal Categories
yid	Yidiny	1	No nominal plural	-17.000	145.750	Pama-Nyungan	Australian	Nominal Categories
yng	Yingkarta	1	No nominal plural	-25.167	114.833	Pama-Nyungan	Australian	Nominal Categories
mku	Maranungku	1	No nominal plural	-13.667	130.000	Western Daly	Australian	Nominal Categories
kan	Kana	1	No nominal plural	4.750	7.417	Cross River	Niger-Congo	Nominal Categories
grg	Gurr-goni	1	No nominal plural	-12.250	134.417	Burarran	Australian	Nominal Categories
kmb	Kombai	1	No nominal plural	-5.583	140.000	Awju-Dumut	Trans-New Guinea	Nominal Categories
lml	Limilngan	1	No nominal plural	-12.500	131.917	Limilngan	Australian	Nominal Categories
mnm	Manam	1	No nominal plural	-4.000	145.000	Oceanic	Austronesian	Nominal Categories
son	Sonsorol-Tobi	1	No nominal plural	5.333	132.250	Oceanic	Austronesian	Nominal Categories
abu	Abun	1	No nominal plural	-0.500	132.500	North-Central Bird's Head	West Papuan	Nominal Categories
zaq	Zapotec (Quiegolani)	1	No nominal plural	16.167	-96.083	Zapotecan	Oto-Manguean	Nominal Categories
ace	Acehnese	1	No nominal plural	5.500	95.500	Malayic	Austronesian	Nominal Categories
nia	Nias	1	No nominal plural	1.000	97.750	Sumatra	Austronesian	Nominal Categories
syu	Salt-Yui	1	No nominal plural	-6.283	145.033	Chimbu	Trans-New Guinea	Nominal Categories
tlo	Tobelo	1	No nominal plural	1.500	128.500	North Halmaheran	West Papuan	Nominal Categories
usa	Usan	1	No nominal plural	-4.833	145.167	Madang	Trans-New Guinea	Nominal Categories
kay	Kayardild	1	No nominal plural	-17.050	139.500	Tangkic	Australian	Nominal Categories
mdm	Madimadi	1	No nominal plural	-34.500	143.500	Pama-Nyungan	Australian	Nominal Categories
wir	Wirangu	1	No nominal plural	-32.000	134.000	Pama-Nyungan	Australian	Nominal Categories
chi	Chimariko	1	No nominal plural	41.000	-123.000	Chimariko	Hokan	Nominal Categories
tis	Tibetan (Shigatse)	1	No nominal plural	29.000	89.000	Bodic	Sino-Tibetan	Nominal Categories
bii	Biri	1	No nominal plural	-20.500	146.500	Pama-Nyungan	Australian	Nominal Categories
udh	Udihe	2	Only human nouns, optional	47.667	136.250	Tungusic	Altaic	Nominal Categories
cha	Chamorro	2	Only human nouns, optional	13.450	144.750	Chamorro	Austronesian	Nominal Categories
gua	Guaraní	2	Only human nouns, optional	-26.000	-56.000	Tupi-Guaraní	Tupian	Nominal Categories
hat	Hatam	2	Only human nouns, optional	-1.000	134.000	Hatam	West Papuan	Nominal Categories
hix	Hixkaryana	2	Only human nouns, optional	-1.000	-59.000	Cariban	Cariban	Nominal Categories
jpn	Japanese	2	Only human nouns, optional	37.000	140.000	Japanese	Japanese	Nominal Categories
mar	Maricopa	2	Only human nouns, optional	33.167	-113.167	Yuman	Hokan	Nominal Categories
bbw	Bininj Gun-Wok	2	Only human nouns, optional	-12.500	133.750	Gunwinygic	Australian	Nominal Categories
mnd	Mandarin	2	Only human nouns, optional	34.000	110.000	Chinese	Sino-Tibetan	Nominal Categories
orh	Oromo (Harar)	2	Only human nouns, optional	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Nominal Categories
sue	Suena	2	Only human nouns, optional	-7.750	147.550	Binanderean	Trans-New Guinea	Nominal Categories
dgr	Dagur	2	Only human nouns, optional	48.000	124.000	Mongolic	Altaic	Nominal Categories
aml	Ambae (Lolovoli Northeast)	2	Only human nouns, optional	-15.417	167.883	Oceanic	Austronesian	Nominal Categories
kat	Kâte	2	Only human nouns, optional	-6.500	147.750	Finisterre-Huon	Trans-New Guinea	Nominal Categories
pmc	Pomo (Central)	2	Only human nouns, optional	39.000	-123.333	Pomoan	Hokan	Nominal Categories
myr	Matsés	2	Only human nouns, optional	-5.417	-73.250	Panoan	Panoan	Nominal Categories
koa	Koasati	2	Only human nouns, optional	34.833	-85.167	Muskogean	Muskogean	Nominal Categories
yny	Yanyuwa	2	Only human nouns, optional	-16.417	137.167	Pama-Nyungan	Australian	Nominal Categories
ano	Anong	2	Only human nouns, optional	27.333	98.750	Nungish	Sino-Tibetan	Nominal Categories
ngl	Ngalakan	2	Only human nouns, optional	-14.250	134.000	Ngalakan	Australian	Nominal Categories
kgu	Kalkatungu	3	Only human nouns, obligatory	-21.000	139.500	Pama-Nyungan	Australian	Nominal Categories
kob	Kobon	3	Only human nouns, obligatory	-5.167	144.333	Madang	Trans-New Guinea	Nominal Categories
pal	Palauan	3	Only human nouns, obligatory	7.500	134.583	Palauan	Austronesian	Nominal Categories
ame	Amele	3	Only human nouns, obligatory	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
lan	Lango	3	Only human nouns, obligatory	2.167	33.000	Nilotic	Nilo-Saharan	Nominal Categories
ram	Rama	3	Only human nouns, obligatory	11.750	-83.750	Rama	Chibchan	Nominal Categories
ret	Retuarã	3	Only human nouns, obligatory	-0.500	-70.667	Tucanoan	Tucanoan	Nominal Categories
slb	Saliba (in Papua New Guinea)	3	Only human nouns, obligatory	-10.583	150.717	Oceanic	Austronesian	Nominal Categories
tab	Taba	3	Only human nouns, obligatory	0.000	127.500	South Halmahera - West New Guinea	Austronesian	Nominal Categories
tiw	Tiwi	3	Only human nouns, obligatory	-11.500	131.000	Tiwian	Australian	Nominal Categories
tru	Trumai	3	Only human nouns, obligatory	-11.917	-53.583	Trumai	Trumai	Nominal Categories
epe	Epena Pedee	3	Only human nouns, obligatory	3.000	-77.000	Choco	Choco	Nominal Categories
kod	Kodava	3	Only human nouns, obligatory	12.167	76.833	Southern Dravidian	Dravidian	Nominal Categories
tin	Tinrin	3	Only human nouns, obligatory	-21.667	165.750	Oceanic	Austronesian	Nominal Categories
cmn	Comanche	3	Only human nouns, obligatory	33.500	-101.500	Numic	Uto-Aztecan	Nominal Categories
kku	Korku	3	Only human nouns, obligatory	22.500	78.500	Munda	Austro-Asiatic	Nominal Categories
krw	Korowai	3	Only human nouns, obligatory	-5.250	140.000	Awju-Dumut	Trans-New Guinea	Nominal Categories
tja	Tiipay (Jamul)	3	Only human nouns, obligatory	32.167	-116.500	Yuman	Hokan	Nominal Categories
jam	Jaminjung	3	Only human nouns, obligatory	-15.083	130.500	Jaminjungan	Australian	Nominal Categories
nti	Ngiti	3	Only human nouns, obligatory	1.333	30.250	Lendu	Nilo-Saharan	Nominal Categories
pme	Pomo (Eastern)	3	Only human nouns, obligatory	39.000	-122.667	Pomoan	Hokan	Nominal Categories
per	Pero	3	Only human nouns, obligatory	9.583	11.000	West Chadic	Afro-Asiatic	Nominal Categories
sed	Sedang	3	Only human nouns, obligatory	14.833	108.000	Bahnaric	Austro-Asiatic	Nominal Categories
tmm	Tamabo	3	Only human nouns, obligatory	-15.667	167.167	Oceanic	Austronesian	Nominal Categories
ctm	Chitimacha	3	Only human nouns, obligatory	29.667	-91.000	Chitimacha	Chitimacha	Nominal Categories
coo	Coos (Hanis)	3	Only human nouns, obligatory	43.500	-124.167	Coosan	Oregon Coast	Nominal Categories
gap	Gapapaiwa	3	Only human nouns, obligatory	-9.750	149.833	Oceanic	Austronesian	Nominal Categories
rot	Rotuman	3	Only human nouns, obligatory	-12.500	177.067	Oceanic	Austronesian	Nominal Categories
sdw	Sandawe	3	Only human nouns, obligatory	-5.000	35.000	Sandawe	Khoisan	Nominal Categories
sud	Sudest	3	Only human nouns, obligatory	-11.500	153.450	Oceanic	Austronesian	Nominal Categories
gaa	Gaagudju	3	Only human nouns, obligatory	-12.583	132.833	Gaagudju	Australian	Nominal Categories
kut	Kutenai	3	Only human nouns, obligatory	49.500	-116.000	Kutenai	Kutenai	Nominal Categories
lel	Lele	3	Only human nouns, obligatory	9.083	15.583	East Chadic	Afro-Asiatic	Nominal Categories
mto	Malto	3	Only human nouns, obligatory	25.000	87.333	Northern Dravidian	Dravidian	Nominal Categories
mts	Matis	3	Only human nouns, obligatory	-4.417	-70.250	Panoan	Panoan	Nominal Categories
new	Newari (Kathmandu)	3	Only human nouns, obligatory	27.667	85.500	Bodic	Sino-Tibetan	Nominal Categories
kma	Kamaiurá	3	Only human nouns, obligatory	-12.083	-52.583	Tupi-Guaraní	Tupian	Nominal Categories
cmh	Chemehuevi	3	Only human nouns, obligatory	34.333	-115.167	Numic	Uto-Aztecan	Nominal Categories
mad	Ma'di	3	Only human nouns, obligatory	3.250	31.500	Moru-Ma'di	Nilo-Saharan	Nominal Categories
ccp	Cocopa	3	Only human nouns, obligatory	32.333	-115.000	Yuman	Hokan	Nominal Categories
niv	Nivkh	4	All nouns, always optional	53.333	142.000	Nivkh	Nivkh	Nominal Categories
tkl	Takelma	4	All nouns, always optional	42.500	-123.000	Takelma	Takelma	Nominal Categories
ain	Ainu	4	All nouns, always optional	43.000	143.000	Ainu	Ainu	Nominal Categories
aly	Alyawarra	4	All nouns, always optional	-22.500	135.000	Pama-Nyungan	Australian	Nominal Categories
amp	Arrernte (Mparntwe)	4	All nouns, always optional	-24.000	136.000	Pama-Nyungan	Australian	Nominal Categories
bak	Baka (in Cameroon)	4	All nouns, always optional	2.583	13.583	Ubangi	Niger-Congo	Nominal Categories
baw	Bawm	4	All nouns, always optional	22.500	92.250	Kuki-Chin	Sino-Tibetan	Nominal Categories
dja	Djabugay	4	All nouns, always optional	-16.750	145.583	Pama-Nyungan	Australian	Nominal Categories
gar	Garo	4	All nouns, always optional	25.667	90.500	Bodo-Garo	Sino-Tibetan	Nominal Categories
ind	Indonesian	4	All nouns, always optional	0.000	106.000	Malayic	Austronesian	Nominal Categories
jak	Jakaltek	4	All nouns, always optional	15.667	-91.667	Mayan	Mayan	Nominal Categories
mam	Mam	4	All nouns, always optional	15.000	-91.833	Mayan	Mayan	Nominal Categories
mxc	Mixtec (Chalcatongo)	4	All nouns, always optional	17.050	-97.583	Mixtecan	Oto-Manguean	Nominal Categories
ngi	Ngiyambaa	4	All nouns, always optional	-31.750	145.500	Pama-Nyungan	Australian	Nominal Categories
rap	Rapanui	4	All nouns, always optional	-27.117	-109.367	Oceanic	Austronesian	Nominal Categories
tag	Tagalog	4	All nouns, always optional	15.000	121.000	Meso-Philippine	Austronesian	Nominal Categories
trb	Teribe	4	All nouns, always optional	9.333	-82.667	Talamanca	Chibchan	Nominal Categories
vie	Vietnamese	4	All nouns, always optional	10.500	106.500	Viet-Muong	Austro-Asiatic	Nominal Categories
wam	Wambaya	4	All nouns, always optional	-18.667	135.750	West Barkly	Australian	Nominal Categories
wrd	Wardaman	4	All nouns, always optional	-15.500	131.000	Yangmanic	Australian	Nominal Categories
shk	Shipibo-Konibo	4	All nouns, always optional	-7.500	-75.000	Panoan	Panoan	Nominal Categories
yor	Yoruba	4	All nouns, always optional	8.000	4.333	Defoid	Niger-Congo	Nominal Categories
ywr	Yawuru	4	All nouns, always optional	-18.000	122.500	Nyulnyulan	Australian	Nominal Categories
