Daniel, Michael. 2011. Plurality in Independent Personal Pronouns.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 35A.
Available online at http://wals.info/feature/35A
Accessed on 2013-11-03.

wals code	name	value	description	latitude	longitude	genus	family	area
aco	Acoma	1	No independent subject pronouns	34.917	-107.583	Keresan	Keresan	Nominal Categories
war	Wari'	1	No independent subject pronouns	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Nominal Categories
brm	Burmese	2	Number-indifferent pronouns	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Nominal Categories
ckr	Canela-Krahô	2	Number-indifferent pronouns	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Nominal Categories
imo	Imonda	2	Number-indifferent pronouns	-3.333	141.167	Border	Border	Nominal Categories
qaw	Qawasqar	2	Number-indifferent pronouns	-49.000	-75.000	Alacalufan	Alacalufan	Nominal Categories
kio	Kiowa	2	Number-indifferent pronouns	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Nominal Categories
mar	Maricopa	2	Number-indifferent pronouns	33.167	-113.167	Yuman	Hokan	Nominal Categories
ond	Oneida	2	Number-indifferent pronouns	43.000	-75.667	Northern Iroquoian	Iroquoian	Nominal Categories
prh	Pirahã	2	Number-indifferent pronouns	-7.000	-62.000	Mura	Mura	Nominal Categories
ccp	Cocopa	2	Number-indifferent pronouns	32.333	-115.000	Yuman	Hokan	Nominal Categories
ain	Ainu	3	Person-number affixes	43.000	143.000	Ainu	Ainu	Nominal Categories
ale	Aleut	3	Person-number affixes	54.000	-166.000	Aleut	Eskimo-Aleut	Nominal Categories
apu	Apurinã	3	Person-number affixes	-9.000	-67.000	Arawakan	Arawakan	Nominal Categories
cyv	Cayuvava	3	Person-number affixes	-13.500	-65.500	Cayuvava	Cayuvava	Nominal Categories
cle	Chinantec (Lealao)	3	Person-number affixes	17.333	-95.917	Chinantecan	Oto-Manguean	Nominal Categories
cre	Cree (Plains)	3	Person-number affixes	54.000	-110.000	Algonquian	Algic	Nominal Categories
coo	Coos (Hanis)	3	Person-number affixes	43.500	-124.167	Coosan	Oregon Coast	Nominal Categories
jak	Jakaltek	3	Person-number affixes	15.667	-91.667	Mayan	Mayan	Nominal Categories
kam	Kambera	3	Person-number affixes	-9.833	120.167	Central Malayo-Polynesian	Austronesian	Nominal Categories
