Daniel, Michael & Moravcsik, Edith. 2011. The Associative Plural.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 36A.
Available online at http://wals.info/feature/36A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
agl	Aghul	1	Associative same as additive plural	41.750	47.667	Lezgic	Nakh-Daghestanian	Nominal Categories
bdc	Berbice Dutch Creole	1	Associative same as additive plural	5.333	-58.000	Creoles and Pidgins	other	Nominal Categories
fua	Fula (Cameroonian)	1	Associative same as additive plural	9.167	13.500	Northern Atlantic	Niger-Congo	Nominal Categories
fma	Fula (Mauritanian)	1	Associative same as additive plural	16.500	-13.750	Northern Atlantic	Niger-Congo	Nominal Categories
kse	Koyraboro Senni	1	Associative same as additive plural	16.000	0.000	Songhay	Nilo-Saharan	Nominal Categories
kyn	Koyukon	1	Associative same as additive plural	65.000	-155.000	Athapaskan	Na-Dene	Nominal Categories
dni	Dani (Lower Grand Valley)	1	Associative same as additive plural	-4.333	138.833	Dani	Trans-New Guinea	Nominal Categories
mmb	Mangap-Mbula	1	Associative same as additive plural	-5.667	148.083	Oceanic	Austronesian	Nominal Categories
nia	Nias	1	Associative same as additive plural	1.000	97.750	Sumatra	Austronesian	Nominal Categories
oss	Ossetic	1	Associative same as additive plural	43.000	44.000	Iranian	Indo-European	Nominal Categories
pan	Panjabi	1	Associative same as additive plural	31.000	74.000	Indic	Indo-European	Nominal Categories
snh	Sinhala	1	Associative same as additive plural	7.000	80.500	Indic	Indo-European	Nominal Categories
cri	Crimean Tatar	1	Associative same as additive plural	45.000	34.083	Turkic	Altaic	Nominal Categories
tof	Tofa	1	Associative same as additive plural	53.750	98.000	Turkic	Altaic	Nominal Categories
uyg	Uyghur	1	Associative same as additive plural	40.000	80.000	Turkic	Altaic	Nominal Categories
ain	Ainu	1	Associative same as additive plural	43.000	143.000	Ainu	Ainu	Nominal Categories
alu	Alutor	1	Associative same as additive plural	61.000	165.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
apl	Apalaí	1	Associative same as additive plural	0.000	-54.000	Cariban	Cariban	Nominal Categories
