Dryer, Matthew S.. 2011. Definite Articles.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 37A.
Available online at http://wals.info/feature/37A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	Definite word distinct from demonstrative	-19.000	21.000	Northern Khoisan	Khoisan	Nominal Categories
bam	Bambara	1	Definite word distinct from demonstrative	12.500	-7.500	Western Mande	Niger-Congo	Nominal Categories
mka	Mauka	1	Definite word distinct from demonstrative	8.333	-7.500	Western Mande	Niger-Congo	Nominal Categories
vai	Vai	1	Definite word distinct from demonstrative	6.917	-11.250	Western Mande	Niger-Congo	Nominal Categories
fni	Fula (Nigerian)	1	Definite word distinct from demonstrative	8.167	10.500	Northern Atlantic	Niger-Congo	Nominal Categories
wlf	Wolof	1	Definite word distinct from demonstrative	15.250	-16.000	Northern Atlantic	Niger-Congo	Nominal Categories
dds	Donno So	1	Definite word distinct from demonstrative	14.333	-3.583	Dogon	Niger-Congo	Nominal Categories
kfe	Koromfe	1	Definite word distinct from demonstrative	14.250	-0.917	Gur	Niger-Congo	Nominal Categories
dga	Dagaare	1	Definite word distinct from demonstrative	10.500	-2.667	Gur	Niger-Congo	Nominal Categories
dgb	Dagbani	1	Definite word distinct from demonstrative	9.583	-0.500	Gur	Niger-Congo	Nominal Categories
bmb	Bimoba	1	Definite word distinct from demonstrative	10.500	0.000	Gur	Niger-Congo	Nominal Categories
mum	Mumuye	1	Definite word distinct from demonstrative	9.000	11.667	Adamawa	Niger-Congo	Nominal Categories
day	Day	1	Definite word distinct from demonstrative	8.750	17.833	Adamawa	Niger-Congo	Nominal Categories
san	Sango	1	Definite word distinct from demonstrative	5.000	18.000	Ubangi	Niger-Congo	Nominal Categories
bak	Baka (in Cameroon)	1	Definite word distinct from demonstrative	2.583	13.583	Ubangi	Niger-Congo	Nominal Categories
lnd	Linda	1	Definite word distinct from demonstrative	6.500	20.750	Ubangi	Niger-Congo	Nominal Categories
nkn	Nkonya	1	Definite word distinct from demonstrative	7.167	0.250	Kwa	Niger-Congo	Nominal Categories
