Dryer, Matthew S.. 2011. Indefinite Articles.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 38A.
Available online at http://wals.info/feature/38A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	Indefinite word distinct from 'one'	-19.000	21.000	Northern Khoisan	Khoisan	Nominal Categories
wlf	Wolof	1	Indefinite word distinct from 'one'	15.250	-16.000	Northern Atlantic	Niger-Congo	Nominal Categories
dio	Diola-Fogny	1	Indefinite word distinct from 'one'	13.000	-16.250	Northern Atlantic	Niger-Congo	Nominal Categories
tou	Toussian	1	Indefinite word distinct from 'one'	11.000	-4.667	Gur	Niger-Congo	Nominal Categories
sup	Supyire	1	Indefinite word distinct from 'one'	11.500	-5.583	Gur	Niger-Congo	Nominal Categories
gbb	Gbeya Bossangoa	1	Indefinite word distinct from 'one'	6.667	17.500	Ubangi	Niger-Congo	Nominal Categories
nkn	Nkonya	1	Indefinite word distinct from 'one'	7.167	0.250	Kwa	Niger-Congo	Nominal Categories
llm	Lelemi	1	Indefinite word distinct from 'one'	7.333	0.500	Kwa	Niger-Congo	Nominal Categories
ga	Gã	1	Indefinite word distinct from 'one'	5.667	-0.167	Kwa	Niger-Congo	Nominal Categories
ewe	Ewe	1	Indefinite word distinct from 'one'	6.333	0.417	Kwa	Niger-Congo	Nominal Categories
gwa	Gwari	1	Indefinite word distinct from 'one'	9.500	7.000	Nupoid	Niger-Congo	Nominal Categories
juk	Jukun	1	Indefinite word distinct from 'one'	6.917	10.417	Platoid	Niger-Congo	Nominal Categories
bir	Birom	1	Indefinite word distinct from 'one'	9.667	8.833	Platoid	Niger-Congo	Nominal Categories
fye	Fyem	1	Indefinite word distinct from 'one'	9.583	9.333	Platoid	Niger-Congo	Nominal Categories
duk	Duka	1	Indefinite word distinct from 'one'	11.167	5.083	Kainji	Niger-Congo	Nominal Categories
tik	Tikar	1	Indefinite word distinct from 'one'	5.833	11.667	Bantoid	Niger-Congo	Nominal Categories
knr	Kanuri	1	Indefinite word distinct from 'one'	12.000	13.000	Western Saharan	Nilo-Saharan	Nominal Categories
