Cysouw, Michael. 2011. Inclusive/Exclusive Forms in Pama-Nyungan.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 39B.
Available online at http://wals.info/feature/39B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
amp	Arrernte (Mparntwe)	1	No inclusive/exclusive opposition	-24.000	136.000	Pama-Nyungan	Australian	Nominal Categories
arr	Arrernte	1	No inclusive/exclusive opposition	-24.000	134.000	Pama-Nyungan	Australian	Nominal Categories
pkn	Paakantyi	1	No inclusive/exclusive opposition	-32.500	142.500	Pama-Nyungan	Australian	Nominal Categories
bxj	Bayungu	1	No inclusive/exclusive opposition	-23.000	114.000	Pama-Nyungan	Australian	Nominal Categories
bii	Biri	1	No inclusive/exclusive opposition	-20.500	146.500	Pama-Nyungan	Australian	Nominal Categories
dja	Djabugay	1	No inclusive/exclusive opposition	-16.750	145.583	Pama-Nyungan	Australian	Nominal Categories
dyi	Dyirbal	1	No inclusive/exclusive opposition	-17.833	145.583	Pama-Nyungan	Australian	Nominal Categories
gid	Gidabal	1	No inclusive/exclusive opposition	-28.417	152.417	Pama-Nyungan	Australian	Nominal Categories
gny	Gunya	1	No inclusive/exclusive opposition	-26.500	146.500	Pama-Nyungan	Australian	Nominal Categories
guu	Guugu Yimidhirr	1	No inclusive/exclusive opposition	-15.000	144.833	Pama-Nyungan	Australian	Nominal Categories
kgu	Kalkatungu	1	No inclusive/exclusive opposition	-21.000	139.500	Pama-Nyungan	Australian	Nominal Categories
mny	Margany	1	No inclusive/exclusive opposition	-27.000	144.500	Pama-Nyungan	Australian	Nominal Categories
mbb	Mbabaram	1	No inclusive/exclusive opposition	-17.167	145.000	Pama-Nyungan	Australian	Nominal Categories
mrj	Mirniny	1	No inclusive/exclusive opposition	-31.000	129.000	Pama-Nyungan	Australian	Nominal Categories
mrw	Muruwari	1	No inclusive/exclusive opposition	-28.750	147.000	Pama-Nyungan	Australian	Nominal Categories
nha	Nhanda	1	No inclusive/exclusive opposition	-27.000	114.167	Pama-Nyungan	Australian	Nominal Categories
ngr	Ngarinyeri	1	No inclusive/exclusive opposition	-36.000	140.000	Pama-Nyungan	Australian	Nominal Categories
ngw	Ngawun	1	No inclusive/exclusive opposition	-19.000	141.500	Pama-Nyungan	Australian	Nominal Categories
nju	Nyungar	1	No inclusive/exclusive opposition	-33.750	122.000	Pama-Nyungan	Australian	Nominal Categories
wdo	Western Desert (Ooldea)	1	No inclusive/exclusive opposition	-30.500	132.000	Pama-Nyungan	Australian	Nominal Categories
pit	Pitjantjatjara	1	No inclusive/exclusive opposition	-26.000	130.000	Pama-Nyungan	Australian	Nominal Categories
ppi	Pitta Pitta	1	No inclusive/exclusive opposition	-22.833	140.000	Pama-Nyungan	Australian	Nominal Categories
wkw	Wagawaga	1	No inclusive/exclusive opposition	-26.500	152.500	Pama-Nyungan	Australian	Nominal Categories
wbt	Wanman	1	No inclusive/exclusive opposition	-22.000	123.000	Pama-Nyungan	Australian	Nominal Categories
wrg	Warrgamay	1	No inclusive/exclusive opposition	-18.583	146.083	Pama-Nyungan	Australian	Nominal Categories
wgu	Warrungu	1	No inclusive/exclusive opposition	-18.000	145.000	Pama-Nyungan	Australian	Nominal Categories
ylr	Yalarnnga	1	No inclusive/exclusive opposition	-22.000	140.000	Pama-Nyungan	Australian	Nominal Categories
yyg	Yaygir	1	No inclusive/exclusive opposition	-29.667	153.000	Pama-Nyungan	Australian	Nominal Categories
yid	Yidiny	1	No inclusive/exclusive opposition	-17.000	145.750	Pama-Nyungan	Australian	Nominal Categories
yng	Yingkarta	1	No inclusive/exclusive opposition	-25.167	114.833	Pama-Nyungan	Australian	Nominal Categories
ylb	Yulparija	1	No inclusive/exclusive opposition	-21.000	124.000	Pama-Nyungan	Australian	Nominal Categories
aly	Alyawarra	2	Inclusive and exclusive differentiated	-22.500	135.000	Pama-Nyungan	Australian	Nominal Categories
abn	Arabana	2	Inclusive and exclusive differentiated	-28.250	136.250	Pama-Nyungan	Australian	Nominal Categories
bly	Balyku	2	Inclusive and exclusive differentiated	-22.000	120.000	Pama-Nyungan	Australian	Nominal Categories
dhl	Dhalandji	2	Inclusive and exclusive differentiated	-22.080	115.000	Pama-Nyungan	Australian	Nominal Categories
diy	Diyari	2	Inclusive and exclusive differentiated	-28.000	139.000	Pama-Nyungan	Australian	Nominal Categories
djp	Djapu	2	Inclusive and exclusive differentiated	-12.667	136.000	Pama-Nyungan	Australian	Nominal Categories
djr	Djaru	2	Inclusive and exclusive differentiated	-18.750	128.000	Pama-Nyungan	Australian	Nominal Categories
ggd	Gugadj	2	Inclusive and exclusive differentiated	-18.500	140.500	Pama-Nyungan	Australian	Nominal Categories
gum	Gumbaynggir	2	Inclusive and exclusive differentiated	-30.167	152.500	Pama-Nyungan	Australian	Nominal Categories
guf	Gupapuyngu	2	Inclusive and exclusive differentiated	-12.000	136.000	Pama-Nyungan	Australian	Nominal Categories
vka	Kariera	2	Inclusive and exclusive differentiated	-20.500	118.500	Pama-Nyungan	Australian	Nominal Categories
kyt	Kaytej	2	Inclusive and exclusive differentiated	-21.000	134.000	Pama-Nyungan	Australian	Nominal Categories
knc	Kugu Nganhcara	2	Inclusive and exclusive differentiated	-14.417	142.000	Pama-Nyungan	Australian	Nominal Categories
kya	Kuku-Yalanji	2	Inclusive and exclusive differentiated	-16.000	145.000	Pama-Nyungan	Australian	Nominal Categories
yin	Yindjibarndi	2	Inclusive and exclusive differentiated	-21.750	117.917	Pama-Nyungan	Australian	Nominal Categories
lnj	Linngithig	2	Inclusive and exclusive differentiated	-12.500	142.830	Pama-Nyungan	Australian	Nominal Categories
mdm	Madimadi	2	Inclusive and exclusive differentiated	-34.500	143.500	Pama-Nyungan	Australian	Nominal Categories
mrt	Martuthunira	2	Inclusive and exclusive differentiated	-20.833	116.500	Pama-Nyungan	Australian	Nominal Categories
agt	Anguthimri	2	Inclusive and exclusive differentiated	-12.333	141.833	Pama-Nyungan	Australian	Nominal Categories
mdb	Mudburra	2	Inclusive and exclusive differentiated	-17.333	132.083	Pama-Nyungan	Australian	Nominal Categories
nlr	Ngarla	2	Inclusive and exclusive differentiated	-20.000	119.000	Pama-Nyungan	Australian	Nominal Categories
nlu	Ngarluma	2	Inclusive and exclusive differentiated	-20.833	117.500	Pama-Nyungan	Australian	Nominal Categories
ngi	Ngiyambaa	2	Inclusive and exclusive differentiated	-31.750	145.500	Pama-Nyungan	Australian	Nominal Categories
nly	Nyamal	2	Inclusive and exclusive differentiated	-21.000	119.000	Pama-Nyungan	Australian	Nominal Categories
nyr	Nyangumarda	2	Inclusive and exclusive differentiated	-20.000	121.000	Pama-Nyungan	Australian	Nominal Categories
nya	Nyawaygi	2	Inclusive and exclusive differentiated	-19.000	146.167	Pama-Nyungan	Australian	Nominal Categories
pny	Panyjima	2	Inclusive and exclusive differentiated	-22.833	118.417	Pama-Nyungan	Australian	Nominal Categories
dhr	Dhargari	2	Inclusive and exclusive differentiated	-23.750	114.917	Pama-Nyungan	Australian	Nominal Categories
ump	Umpila	2	Inclusive and exclusive differentiated	-13.500	143.500	Pama-Nyungan	Australian	Nominal Categories
uhi	Uradhi	2	Inclusive and exclusive differentiated	-11.917	142.417	Pama-Nyungan	Australian	Nominal Categories
wlm	Walmatjari	2	Inclusive and exclusive differentiated	-19.500	125.750	Pama-Nyungan	Australian	Nominal Categories
wgg	Wangkangurru	2	Inclusive and exclusive differentiated	-27.000	137.000	Pama-Nyungan	Australian	Nominal Categories
wrl	Warlpiri	2	Inclusive and exclusive differentiated	-20.000	132.333	Pama-Nyungan	Australian	Nominal Categories
wru	Warumungu	2	Inclusive and exclusive differentiated	-19.500	134.500	Pama-Nyungan	Australian	Nominal Categories
wat	Watjarri	2	Inclusive and exclusive differentiated	-26.000	117.500	Pama-Nyungan	Australian	Nominal Categories
wem	Wembawemba	2	Inclusive and exclusive differentiated	-35.333	144.000	Pama-Nyungan	Australian	Nominal Categories
wmu	Wik Munkan	2	Inclusive and exclusive differentiated	-13.917	141.750	Pama-Nyungan	Australian	Nominal Categories
wwr	Woiwurrung	2	Inclusive and exclusive differentiated	-37.500	145.500	Pama-Nyungan	Australian	Nominal Categories
yny	Yanyuwa	2	Inclusive and exclusive differentiated	-16.417	137.167	Pama-Nyungan	Australian	Nominal Categories
yuw	Yuwaalaraay	2	Inclusive and exclusive differentiated	-29.500	148.000	Pama-Nyungan	Australian	Nominal Categories
