Maddieson, Ian. 2011. Consonant-Vowel Ratio.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 3A.
Available online at http://wals.info/feature/3A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
akw	Akawaio	1	Low	6.000	-59.500	Cariban	Cariban	Phonology
adk	Andoke	1	Low	-0.667	-72.000	Andoke	Andoke	Phonology
ant	Angaatiha	1	Low	-7.217	146.250	Angan	Trans-New Guinea	Phonology
api	Apinayé	1	Low	-5.500	-48.000	Ge-Kaingang	Macro-Ge	Phonology
asm	Asmat	1	Low	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Phonology
bai	Bai	1	Low	26.000	100.000	Bai	Sino-Tibetan	Phonology
bno	Barasano (Northern)	1	Low	0.333	-70.250	Tucanoan	Tucanoan	Phonology
bet	Bété	1	Low	6.250	-6.250	Kru	Niger-Congo	Phonology
brr	Bororo	1	Low	-16.000	-57.000	Bororo	Macro-Ge	Phonology
brw	Bru (Western)	1	Low	16.750	104.750	Katuic	Austro-Asiatic	Phonology
ckr	Canela-Krahô	1	Low	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Phonology
cmn	Comanche	1	Low	33.500	-101.500	Numic	Uto-Aztecan	Phonology
cub	Cubeo	1	Low	1.333	-70.500	Tucanoan	Tucanoan	Phonology
dan	Dan	1	Low	7.500	-8.000	Eastern Mande	Niger-Congo	Phonology
dni	Dani (Lower Grand Valley)	1	Low	-4.333	138.833	Dani	Trans-New Guinea	Phonology
der	Dla (Proper)	1	Low	-3.583	141.000	Senagi	Senagi	Phonology
dio	Diola-Fogny	1	Low	13.000	-16.250	Northern Atlantic	Niger-Congo	Phonology
efi	Efik	1	Low	4.917	8.500	Cross River	Niger-Congo	Phonology
eka	Ekari	1	Low	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Phonology
eng	English	1	Low	52.000	0.000	Germanic	Indo-European	Phonology
fre	French	1	Low	48.000	2.000	Romance	Indo-European	Phonology
ger	German	1	Low	52.000	10.000	Germanic	Indo-European	Phonology
ham	Hamtai	1	Low	-7.500	146.250	Angan	Trans-New Guinea	Phonology
haw	Hawaiian	1	Low	19.583	-155.500	Oceanic	Austronesian	Phonology
imo	Imonda	1	Low	-3.333	141.167	Border	Border	Phonology
irr	Irarutu	1	Low	-3.000	133.500	South Halmahera - West New Guinea	Austronesian	Phonology
