Cysouw, Michael. 2011. Inclusive/Exclusive Distinction in Verbal Inflection.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 40A.
Available online at http://wals.info/feature/40A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
bag	Bagirmi	1	No person marking	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Nominal Categories
brs	Barasano	1	No person marking	-0.167	-70.667	Tucanoan	Tucanoan	Nominal Categories
brm	Burmese	1	No person marking	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Nominal Categories
cha	Chamorro	1	No person marking	13.450	144.750	Chamorro	Austronesian	Nominal Categories
mnd	Mandarin	1	No person marking	34.000	110.000	Chinese	Sino-Tibetan	Nominal Categories
fij	Fijian	1	No person marking	-17.833	178.000	Oceanic	Austronesian	Nominal Categories
grb	Grebo	1	No person marking	5.000	-8.000	Kru	Niger-Congo	Nominal Categories
hau	Hausa	1	No person marking	12.000	7.000	West Chadic	Afro-Asiatic	Nominal Categories
hin	Hindi	1	No person marking	25.000	77.000	Indic	Indo-European	Nominal Categories
hmo	Hmong Njua	1	No person marking	28.000	105.000	Hmong-Mien	Hmong-Mien	Nominal Categories
imo	Imonda	1	No person marking	-3.333	141.167	Border	Border	Nominal Categories
ind	Indonesian	1	No person marking	0.000	106.000	Malayic	Austronesian	Nominal Categories
jpn	Japanese	1	No person marking	37.000	140.000	Japanese	Japanese	Nominal Categories
kay	Kayardild	1	No person marking	-17.050	139.500	Tangkic	Australian	Nominal Categories
kha	Khalkha	1	No person marking	47.000	105.000	Mongolic	Altaic	Nominal Categories
kho	Khoekhoe	1	No person marking	-25.500	18.000	Central Khoisan	Khoisan	Nominal Categories
kor	Korean	1	No person marking	37.500	128.000	Korean	Korean	Nominal Categories
lez	Lezgian	1	No person marking	41.667	47.833	Lezgic	Nakh-Daghestanian	Nominal Categories
mal	Malagasy	1	No person marking	-20.000	47.000	Barito	Austronesian	Nominal Categories
mrt	Martuthunira	1	No person marking	-20.833	116.500	Pama-Nyungan	Australian	Nominal Categories
mei	Meithei	1	No person marking	24.750	94.000	Kuki-Chin	Sino-Tibetan	Nominal Categories
ngi	Ngiyambaa	1	No person marking	-31.750	145.500	Pama-Nyungan	Australian	Nominal Categories
pai	Paiwan	1	No person marking	22.500	120.833	Paiwanic	Austronesian	Nominal Categories
prh	Pirahã	1	No person marking	-7.000	-62.000	Mura	Mura	Nominal Categories
rap	Rapanui	1	No person marking	-27.117	-109.367	Oceanic	Austronesian	Nominal Categories
san	Sango	1	No person marking	5.000	18.000	Ubangi	Niger-Congo	Nominal Categories
snm	Sanuma	1	No person marking	4.500	-64.667	Yanomam	Yanomam	Nominal Categories
kse	Koyraboro Senni	1	No person marking	16.000	0.000	Songhay	Nilo-Saharan	Nominal Categories
sup	Supyire	1	No person marking	11.500	-5.583	Gur	Niger-Congo	Nominal Categories
tag	Tagalog	1	No person marking	15.000	121.000	Meso-Philippine	Austronesian	Nominal Categories
tha	Thai	1	No person marking	16.000	101.000	Kam-Tai	Tai-Kadai	Nominal Categories
vie	Vietnamese	1	No person marking	10.500	106.500	Viet-Muong	Austro-Asiatic	Nominal Categories
wra	Warao	1	No person marking	9.333	-61.667	Warao	Warao	Nominal Categories
yaq	Yaqui	1	No person marking	27.500	-110.250	Cahita	Uto-Aztecan	Nominal Categories
yor	Yoruba	1	No person marking	8.000	4.333	Defoid	Niger-Congo	Nominal Categories
ana	Araona	1	No person marking	-12.333	-67.750	Tacanan	Tacanan	Nominal Categories
bam	Bambara	1	No person marking	12.500	-7.500	Western Mande	Niger-Congo	Nominal Categories
bkr	Batak (Karo)	1	No person marking	3.250	98.250	Sumatra	Austronesian	Nominal Categories
baw	Bawm	1	No person marking	22.500	92.250	Kuki-Chin	Sino-Tibetan	Nominal Categories
bri	Bribri	1	No person marking	9.417	-83.000	Talamanca	Chibchan	Nominal Categories
khm	Khmer	1	No person marking	12.500	105.000	Khmer	Austro-Asiatic	Nominal Categories
cmn	Comanche	1	No person marking	33.500	-101.500	Numic	Uto-Aztecan	Nominal Categories
dre	Drehu	1	No person marking	-21.000	167.250	Oceanic	Austronesian	Nominal Categories
epe	Epena Pedee	1	No person marking	3.000	-77.000	Choco	Choco	Nominal Categories
ewe	Ewe	1	No person marking	6.333	0.417	Kwa	Niger-Congo	Nominal Categories
gar	Garo	1	No person marking	25.667	90.500	Bodo-Garo	Sino-Tibetan	Nominal Categories
hai	Haida	1	No person marking	53.000	-132.000	Haida	Haida	Nominal Categories
hzb	Hunzib	1	No person marking	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
igb	Igbo	1	No person marking	6.000	7.333	Igboid	Niger-Congo	Nominal Categories
ing	Ingush	1	No person marking	43.167	45.083	Nakh	Nakh-Daghestanian	Nominal Categories
juh	Ju|'hoan	1	No person marking	-19.000	21.000	Northern Khoisan	Khoisan	Nominal Categories
qaw	Qawasqar	1	No person marking	-49.000	-75.000	Alacalufan	Alacalufan	Nominal Categories
kyl	Kayah Li (Eastern)	1	No person marking	19.000	97.500	Karen	Sino-Tibetan	Nominal Categories
ker	Kera	1	No person marking	9.833	15.083	East Chadic	Afro-Asiatic	Nominal Categories
khs	Khasi	1	No person marking	25.500	92.000	Khasian	Austro-Asiatic	Nominal Categories
kmu	Khmu'	1	No person marking	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Nominal Categories
krb	Kiribati	1	No person marking	1.333	173.000	Oceanic	Austronesian	Nominal Categories
kfe	Koromfe	1	No person marking	14.250	-0.917	Gur	Niger-Congo	Nominal Categories
lad	Ladakhi	1	No person marking	34.000	78.000	Bodic	Sino-Tibetan	Nominal Categories
lep	Lepcha	1	No person marking	27.167	88.500	Lepcha	Sino-Tibetan	Nominal Categories
mao	Maori	1	No person marking	-40.000	176.000	Oceanic	Austronesian	Nominal Categories
ndy	Ndyuka	1	No person marking	4.500	-54.500	Creoles and Pidgins	other	Nominal Categories
niv	Nivkh	1	No person marking	53.333	142.000	Nivkh	Nivkh	Nominal Categories
pit	Pitjantjatjara	1	No person marking	-26.000	130.000	Pama-Nyungan	Australian	Nominal Categories
pso	Pomo (Southeastern)	1	No person marking	39.000	-122.500	Pomoan	Hokan	Nominal Categories
sel	Selknam	1	No person marking	-53.000	-70.000	Chon Proper	Chon	Nominal Categories
shk	Shipibo-Konibo	1	No person marking	-7.500	-75.000	Panoan	Panoan	Nominal Categories
tru	Trumai	1	No person marking	-11.917	-53.583	Trumai	Trumai	Nominal Categories
wam	Wambaya	1	No person marking	-18.667	135.750	West Barkly	Australian	Nominal Categories
yid	Yidiny	1	No person marking	-17.000	145.750	Pama-Nyungan	Australian	Nominal Categories
aco	Acoma	2	'We' the same as 'I'	34.917	-107.583	Keresan	Keresan	Nominal Categories
dag	Daga	2	'We' the same as 'I'	-10.000	149.333	Dagan	Dagan	Nominal Categories
eng	English	2	'We' the same as 'I'	52.000	0.000	Germanic	Indo-European	Nominal Categories
