Diessel, Holger. 2011. Distance Contrasts in Demonstratives.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 41A.
Available online at http://wals.info/feature/41A
Accessed on 2013-11-03.

wals code	name	value	description	latitude	longitude	genus	family	area
fre	French	1	No distance contrast	48.000	2.000	Romance	Indo-European	Nominal Categories
ger	German	1	No distance contrast	52.000	10.000	Germanic	Indo-European	Nominal Categories
kfe	Koromfe	1	No distance contrast	14.250	-0.917	Gur	Niger-Congo	Nominal Categories
sup	Supyire	1	No distance contrast	11.500	-5.583	Gur	Niger-Congo	Nominal Categories
ker	Kera	1	No distance contrast	9.833	15.083	East Chadic	Afro-Asiatic	Nominal Categories
kse	Koyraboro Senni	1	No distance contrast	16.000	0.000	Songhay	Nilo-Saharan	Nominal Categories
mam	Mam	1	No distance contrast	15.000	-91.833	Mayan	Mayan	Nominal Categories
cze	Czech	2	Two-way contrast	50.000	15.000	Slavic	Indo-European	Nominal Categories
eng	English	2	Two-way contrast	52.000	0.000	Germanic	Indo-European	Nominal Categories
fin	Finnish	2	Two-way contrast	62.000	25.000	Finnic	Uralic	Nominal Categories
hun	Hungarian	2	Two-way contrast	47.000	20.000	Ugric	Uralic	Nominal Categories
ita	Italian	2	Two-way contrast	43.000	12.000	Romance	Indo-European	Nominal Categories
lat	Latvian	2	Two-way contrast	57.000	24.000	Baltic	Indo-European	Nominal Categories
lit	Lithuanian	2	Two-way contrast	55.000	24.000	Baltic	Indo-European	Nominal Categories
mlt	Maltese	2	Two-way contrast	35.917	14.417	Semitic	Afro-Asiatic	Nominal Categories
rus	Russian	2	Two-way contrast	56.000	38.000	Slavic	Indo-European	Nominal Categories
swe	Swedish	2	Two-way contrast	60.000	15.000	Germanic	Indo-European	Nominal Categories
wel	Welsh	2	Two-way contrast	52.000	-3.000	Celtic	Indo-European	Nominal Categories
ain	Ainu	2	Two-way contrast	43.000	143.000	Ainu	Ainu	Nominal Categories
ao	Ao	2	Two-way contrast	26.583	94.667	Kuki-Chin	Sino-Tibetan	Nominal Categories
bel	Belhare	2	Two-way contrast	26.967	87.300	Bodic	Sino-Tibetan	Nominal Categories
brm	Burmese	2	Two-way contrast	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Nominal Categories
bur	Burushaski	2	Two-way contrast	36.500	74.500	Burushaski	Burushaski	Nominal Categories
bya	Byansi	2	Two-way contrast	30.167	80.500	Bodic	Sino-Tibetan	Nominal Categories
cnt	Cantonese	2	Two-way contrast	23.000	113.000	Chinese	Sino-Tibetan	Nominal Categories
eve	Evenki	2	Two-way contrast	56.000	125.000	Tungusic	Altaic	Nominal Categories
