Diessel, Holger. 2011. Pronominal and Adnominal Demonstratives.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 42A.
Available online at http://wals.info/feature/42A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
bsq	Basque	1	Identical	43.000	-3.000	Basque	Basque	Nominal Categories
cze	Czech	1	Identical	50.000	15.000	Slavic	Indo-European	Nominal Categories
eng	English	1	Identical	52.000	0.000	Germanic	Indo-European	Nominal Categories
fin	Finnish	1	Identical	62.000	25.000	Finnic	Uralic	Nominal Categories
ger	German	1	Identical	52.000	10.000	Germanic	Indo-European	Nominal Categories
grk	Greek (Modern)	1	Identical	39.000	22.000	Greek	Indo-European	Nominal Categories
hun	Hungarian	1	Identical	47.000	20.000	Ugric	Uralic	Nominal Categories
ita	Italian	1	Identical	43.000	12.000	Romance	Indo-European	Nominal Categories
lat	Latvian	1	Identical	57.000	24.000	Baltic	Indo-European	Nominal Categories
lit	Lithuanian	1	Identical	55.000	24.000	Baltic	Indo-European	Nominal Categories
iri	Irish	1	Identical	53.000	-8.000	Celtic	Indo-European	Nominal Categories
mlt	Maltese	1	Identical	35.917	14.417	Semitic	Afro-Asiatic	Nominal Categories
rus	Russian	1	Identical	56.000	38.000	Slavic	Indo-European	Nominal Categories
spa	Spanish	1	Identical	40.000	-4.000	Romance	Indo-European	Nominal Categories
swe	Swedish	1	Identical	60.000	15.000	Germanic	Indo-European	Nominal Categories
ao	Ao	1	Identical	26.583	94.667	Kuki-Chin	Sino-Tibetan	Nominal Categories
cnt	Cantonese	1	Identical	23.000	113.000	Chinese	Sino-Tibetan	Nominal Categories
chk	Chukchi	1	Identical	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
don	Dong	1	Identical	27.000	109.000	Kam-Tai	Tai-Kadai	Nominal Categories
eve	Evenki	1	Identical	56.000	125.000	Tungusic	Altaic	Nominal Categories
hmo	Hmong Njua	1	Identical	28.000	105.000	Hmong-Mien	Hmong-Mien	Nominal Categories
