Siewierska, Anna. 2011. Gender Distinctions in Independent Personal Pronouns.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 44A.
Available online at http://wals.info/feature/44A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	In 3rd person + 1st and/or 2nd person	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Nominal Categories
amh	Amharic	1	In 3rd person + 1st and/or 2nd person	10.000	38.000	Semitic	Afro-Asiatic	Nominal Categories
ani	//Ani	1	In 3rd person + 1st and/or 2nd person	-18.917	21.917	Central Khoisan	Khoisan	Nominal Categories
aeg	Arabic (Egyptian)	1	In 3rd person + 1st and/or 2nd person	30.000	31.000	Semitic	Afro-Asiatic	Nominal Categories
bej	Beja	1	In 3rd person + 1st and/or 2nd person	18.000	36.000	Beja	Afro-Asiatic	Nominal Categories
cop	Coptic	1	In 3rd person + 1st and/or 2nd person	26.000	32.000	Egyptian-Coptic	Afro-Asiatic	Nominal Categories
hau	Hausa	1	In 3rd person + 1st and/or 2nd person	12.000	7.000	West Chadic	Afro-Asiatic	Nominal Categories
heb	Hebrew (Modern)	1	In 3rd person + 1st and/or 2nd person	31.500	34.833	Semitic	Afro-Asiatic	Nominal Categories
ker	Kera	1	In 3rd person + 1st and/or 2nd person	9.833	15.083	East Chadic	Afro-Asiatic	Nominal Categories
kmu	Khmu'	1	In 3rd person + 1st and/or 2nd person	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Nominal Categories
lel	Lele	1	In 3rd person + 1st and/or 2nd person	9.083	15.583	East Chadic	Afro-Asiatic	Nominal Categories
mup	Mupun	1	In 3rd person + 1st and/or 2nd person	9.500	8.833	West Chadic	Afro-Asiatic	Nominal Categories
kho	Khoekhoe	1	In 3rd person + 1st and/or 2nd person	-25.500	18.000	Central Khoisan	Khoisan	Nominal Categories
nug	Nunggubuyu	1	In 3rd person + 1st and/or 2nd person	-13.750	135.667	Nunggubuyu	Australian	Nominal Categories
spa	Spanish	1	In 3rd person + 1st and/or 2nd person	40.000	-4.000	Romance	Indo-European	Nominal Categories
bma	Berber (Middle Atlas)	1	In 3rd person + 1st and/or 2nd person	33.000	-5.000	Berber	Afro-Asiatic	Nominal Categories
tun	Tunica	1	In 3rd person + 1st and/or 2nd person	32.667	-91.000	Tunica	Tunica	Nominal Categories
dum	Dumo	1	In 3rd person + 1st and/or 2nd person	-2.683	141.300	Western Skou	Skou	Nominal Categories
juh	Ju|'hoan	2	3rd person only, but also non-singular	-19.000	21.000	Northern Khoisan	Khoisan	Nominal Categories
alb	Albanian	2	3rd person only, but also non-singular	41.000	20.000	Albanian	Indo-European	Nominal Categories
au	Au	2	3rd person only, but also non-singular	-3.583	142.083	Wapei-Palei	Torricelli	Nominal Categories
bab	Babungo	2	3rd person only, but also non-singular	6.117	10.417	Bantoid	Niger-Congo	Nominal Categories
arp	Arapesh (Mountain)	2	3rd person only, but also non-singular	-3.467	143.167	Kombio-Arapesh	Torricelli	Nominal Categories
cax	Campa (Axininca)	2	3rd person only, but also non-singular	-12.000	-74.000	Arawakan	Arawakan	Nominal Categories
car	Carib	2	3rd person only, but also non-singular	5.500	-56.000	Cariban	Cariban	Nominal Categories
dre	Drehu	2	3rd person only, but also non-singular	-21.000	167.250	Oceanic	Austronesian	Nominal Categories
dio	Diola-Fogny	2	3rd person only, but also non-singular	13.000	-16.250	Northern Atlantic	Niger-Congo	Nominal Categories
fni	Fula (Nigerian)	2	3rd person only, but also non-singular	8.167	10.500	Northern Atlantic	Niger-Congo	Nominal Categories
god	Godoberi	2	3rd person only, but also non-singular	42.667	46.083	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
grb	Grebo	2	3rd person only, but also non-singular	5.000	-8.000	Kru	Niger-Congo	Nominal Categories
hlu	Halkomelem (Upriver)	2	3rd person only, but also non-singular	49.250	-121.917	Central Salish	Salishan	Nominal Categories
hix	Hixkaryana	2	3rd person only, but also non-singular	-1.000	-59.000	Cariban	Cariban	Nominal Categories
jpn	Japanese	2	3rd person only, but also non-singular	37.000	140.000	Japanese	Japanese	Nominal Categories
knd	Kannada	2	3rd person only, but also non-singular	14.000	76.000	Southern Dravidian	Dravidian	Nominal Categories
ham	Hamtai	2	3rd person only, but also non-singular	-7.500	146.250	Angan	Trans-New Guinea	Nominal Categories
kas	Kashmiri	2	3rd person only, but also non-singular	34.000	76.000	Indic	Indo-European	Nominal Categories
kws	Kawaiisu	2	3rd person only, but also non-singular	36.000	-117.500	Numic	Uto-Aztecan	Nominal Categories
kon	Kongo	2	3rd person only, but also non-singular	-5.000	15.000	Bantoid	Niger-Congo	Nominal Categories
kfe	Koromfe	2	3rd person only, but also non-singular	14.250	-0.917	Gur	Niger-Congo	Nominal Categories
lat	Latvian	2	3rd person only, but also non-singular	57.000	24.000	Baltic	Indo-European	Nominal Categories
lav	Lavukaleve	2	3rd person only, but also non-singular	-9.083	159.200	Lavukaleve	Solomons East Papuan	Nominal Categories
luv	Luvale	2	3rd person only, but also non-singular	-12.000	22.000	Bantoid	Niger-Congo	Nominal Categories
mau	Maung	2	3rd person only, but also non-singular	-11.917	133.500	Iwaidjan	Australian	Nominal Categories
ndo	Ndonga	2	3rd person only, but also non-singular	-18.000	17.000	Bantoid	Niger-Congo	Nominal Categories
nko	Nkore-Kiga	2	3rd person only, but also non-singular	-0.917	29.833	Bantoid	Niger-Congo	Nominal Categories
noo	Noon	2	3rd person only, but also non-singular	14.833	-16.833	Northern Atlantic	Niger-Congo	Nominal Categories
plk	Palikur	2	3rd person only, but also non-singular	3.000	-51.000	Arawakan	Arawakan	Nominal Categories
prh	Pirahã	2	3rd person only, but also non-singular	-7.000	-62.000	Mura	Mura	Nominal Categories
pol	Polish	2	3rd person only, but also non-singular	52.000	20.000	Slavic	Indo-European	Nominal Categories
qui	Quileute	2	3rd person only, but also non-singular	47.917	-124.250	Chimakuan	Chimakuan	Nominal Categories
sah	Sahu	2	3rd person only, but also non-singular	1.167	127.500	North Halmaheran	West Papuan	Nominal Categories
sup	Supyire	2	3rd person only, but also non-singular	11.500	-5.583	Gur	Niger-Congo	Nominal Categories
swa	Swahili	2	3rd person only, but also non-singular	-6.500	39.000	Bantoid	Niger-Congo	Nominal Categories
tid	Tidore	2	3rd person only, but also non-singular	0.750	127.500	North Halmaheran	West Papuan	Nominal Categories
tir	Tiriyo	2	3rd person only, but also non-singular	3.250	-55.750	Cariban	Cariban	Nominal Categories
wao	Waorani	2	3rd person only, but also non-singular	-1.000	-76.500	Waorani	Waorani	Nominal Categories
war	Wari'	2	3rd person only, but also non-singular	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Nominal Categories
hmu	Huitoto (Muinane)	2	3rd person only, but also non-singular	-2.417	-71.000	Huitoto	Huitotoan	Nominal Categories
yuc	Yuchi	2	3rd person only, but also non-singular	35.750	-86.750	Yuchi	Yuchi	Nominal Categories
zul	Zulu	2	3rd person only, but also non-singular	-30.000	30.000	Bantoid	Niger-Congo	Nominal Categories
abu	Abun	3	3rd person singular only	-0.500	132.500	North-Central Bird's Head	West Papuan	Nominal Categories
ala	Alamblak	3	3rd person singular only	-4.667	143.333	Sepik Hill	Sepik	Nominal Categories
ane	Anêm	3	3rd person singular only	-5.583	149.083	Anêm	Anêm	Nominal Categories
apu	Apurinã	3	3rd person singular only	-9.000	-67.000	Arawakan	Arawakan	Nominal Categories
ara	Arawak	3	3rd person singular only	5.500	-55.167	Arawakan	Arawakan	Nominal Categories
awt	Awtuw	3	3rd person singular only	-3.583	142.000	Ram	Sepik	Nominal Categories
bnj	Bandjalang	3	3rd person singular only	-28.750	153.000	Pama-Nyungan	Australian	Nominal Categories
brs	Barasano	3	3rd person singular only	-0.167	-70.667	Tucanoan	Tucanoan	Nominal Categories
bln	Bilin	3	3rd person singular only	15.750	38.500	Central Cushitic	Afro-Asiatic	Nominal Categories
brm	Burmese	3	3rd person singular only	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Nominal Categories
bur	Burushaski	3	3rd person singular only	36.500	74.500	Burushaski	Burushaski	Nominal Categories
mnd	Mandarin	3	3rd person singular only	34.000	110.000	Chinese	Sino-Tibetan	Nominal Categories
cre	Cree (Plains)	3	3rd person singular only	54.000	-110.000	Algonquian	Algic	Nominal Categories
