Helmbrecht, Johannes. 2011. Politeness Distinctions in Pronouns.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 45A.
Available online at http://wals.info/feature/45A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abu	Abun	1	No politeness distinction	-0.500	132.500	North-Central Bird's Head	West Papuan	Nominal Categories
ala	Alamblak	1	No politeness distinction	-4.667	143.333	Sepik Hill	Sepik	Nominal Categories
alb	Albanian	1	No politeness distinction	41.000	20.000	Albanian	Indo-European	Nominal Categories
ame	Amele	1	No politeness distinction	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
apu	Apurinã	1	No politeness distinction	-9.000	-67.000	Arawakan	Arawakan	Nominal Categories
aeg	Arabic (Egyptian)	1	No politeness distinction	30.000	31.000	Semitic	Afro-Asiatic	Nominal Categories
asm	Asmat	1	No politeness distinction	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Nominal Categories
aym	Aymara	1	No politeness distinction	-17.000	-69.000	Aymaran	Aymaran	Nominal Categories
bag	Bagirmi	1	No politeness distinction	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Nominal Categories
bam	Bambara	1	No politeness distinction	12.500	-7.500	Western Mande	Niger-Congo	Nominal Categories
brs	Barasano	1	No politeness distinction	-0.167	-70.667	Tucanoan	Tucanoan	Nominal Categories
ble	Baule	1	No politeness distinction	7.000	-5.000	Kwa	Niger-Congo	Nominal Categories
brh	Brahui	1	No politeness distinction	28.500	67.000	Northern Dravidian	Dravidian	Nominal Categories
bri	Bribri	1	No politeness distinction	9.417	-83.000	Talamanca	Chibchan	Nominal Categories
arp	Arapesh (Mountain)	1	No politeness distinction	-3.467	143.167	Kombio-Arapesh	Torricelli	Nominal Categories
bur	Burushaski	1	No politeness distinction	36.500	74.500	Burushaski	Burushaski	Nominal Categories
ckr	Canela-Krahô	1	No politeness distinction	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Nominal Categories
cyv	Cayuvava	1	No politeness distinction	-13.500	-65.500	Cayuvava	Cayuvava	Nominal Categories
cha	Chamorro	1	No politeness distinction	13.450	144.750	Chamorro	Austronesian	Nominal Categories
chk	Chukchi	1	No politeness distinction	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
cmn	Comanche	1	No politeness distinction	33.500	-101.500	Numic	Uto-Aztecan	Nominal Categories
cop	Coptic	1	No politeness distinction	26.000	32.000	Egyptian-Coptic	Afro-Asiatic	Nominal Categories
cre	Cree (Plains)	1	No politeness distinction	54.000	-110.000	Algonquian	Algic	Nominal Categories
awp	Awa Pit	1	No politeness distinction	1.500	-78.250	Barbacoan	Barbacoan	Nominal Categories
dag	Daga	1	No politeness distinction	-10.000	149.333	Dagan	Dagan	Nominal Categories
lkt	Lakhota	1	No politeness distinction	43.833	-101.833	Siouan	Siouan	Nominal Categories
dni	Dani (Lower Grand Valley)	1	No politeness distinction	-4.333	138.833	Dani	Trans-New Guinea	Nominal Categories
dmi	Dumi	1	No politeness distinction	27.250	86.667	Bodic	Sino-Tibetan	Nominal Categories
dyi	Dyirbal	1	No politeness distinction	-17.833	145.583	Pama-Nyungan	Australian	Nominal Categories
eng	English	1	No politeness distinction	52.000	0.000	Germanic	Indo-European	Nominal Categories
eve	Evenki	1	No politeness distinction	56.000	125.000	Tungusic	Altaic	Nominal Categories
ewe	Ewe	1	No politeness distinction	6.333	0.417	Kwa	Niger-Congo	Nominal Categories
fur	Fur	1	No politeness distinction	13.500	25.000	Fur	Nilo-Saharan	Nominal Categories
iri	Irish	1	No politeness distinction	53.000	-8.000	Celtic	Indo-European	Nominal Categories
gar	Garo	1	No politeness distinction	25.667	90.500	Bodo-Garo	Sino-Tibetan	Nominal Categories
grb	Grebo	1	No politeness distinction	5.000	-8.000	Kru	Niger-Congo	Nominal Categories
gua	Guaraní	1	No politeness distinction	-26.000	-56.000	Tupi-Guaraní	Tupian	Nominal Categories
goo	Gooniyandi	1	No politeness distinction	-18.333	126.333	Bunuban	Australian	Nominal Categories
hat	Hatam	1	No politeness distinction	-1.000	134.000	Hatam	West Papuan	Nominal Categories
hau	Hausa	1	No politeness distinction	12.000	7.000	West Chadic	Afro-Asiatic	Nominal Categories
haw	Hawaiian	1	No politeness distinction	19.583	-155.500	Oceanic	Austronesian	Nominal Categories
heb	Hebrew (Modern)	1	No politeness distinction	31.500	34.833	Semitic	Afro-Asiatic	Nominal Categories
hix	Hixkaryana	1	No politeness distinction	-1.000	-59.000	Cariban	Cariban	Nominal Categories
hmo	Hmong Njua	1	No politeness distinction	28.000	105.000	Hmong-Mien	Hmong-Mien	Nominal Categories
igb	Igbo	1	No politeness distinction	6.000	7.333	Igboid	Niger-Congo	Nominal Categories
