Haspelmath, Martin. 2011. Indefinite Pronouns.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 46A.
Available online at http://wals.info/feature/46A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
chv	Chuvash	1	Interrogative-based	55.500	47.500	Turkic	Altaic	Nominal Categories
aze	Azerbaijani	1	Interrogative-based	40.500	48.500	Turkic	Altaic	Nominal Categories
gag	Gagauz	1	Interrogative-based	46.333	28.667	Turkic	Altaic	Nominal Categories
tvo	Tatar	1	Interrogative-based	56.000	49.500	Turkic	Altaic	Nominal Categories
bsk	Bashkir	1	Interrogative-based	53.000	58.000	Turkic	Altaic	Nominal Categories
krc	Karachay-Balkar	1	Interrogative-based	43.500	42.000	Turkic	Altaic	Nominal Categories
krm	Karaim	1	Interrogative-based	54.667	24.917	Turkic	Altaic	Nominal Categories
uzb	Uzbek	1	Interrogative-based	39.000	66.000	Turkic	Altaic	Nominal Categories
khk	Khakas	1	Interrogative-based	53.000	90.000	Turkic	Altaic	Nominal Categories
shr	Shor	1	Interrogative-based	53.000	88.000	Turkic	Altaic	Nominal Categories
kgz	Kirghiz	1	Interrogative-based	42.000	75.000	Turkic	Altaic	Nominal Categories
aso	Altai (Southern)	1	Interrogative-based	51.000	87.000	Turkic	Altaic	Nominal Categories
but	Buriat	1	Interrogative-based	52.000	108.000	Mongolic	Altaic	Nominal Categories
eve	Evenki	1	Interrogative-based	56.000	125.000	Tungusic	Altaic	Nominal Categories
evn	Even	1	Interrogative-based	68.000	130.000	Tungusic	Altaic	Nominal Categories
neg	Negidal	1	Interrogative-based	53.000	139.000	Tungusic	Altaic	Nominal Categories
udh	Udihe	1	Interrogative-based	47.667	136.250	Tungusic	Altaic	Nominal Categories
kry	Koryak	1	Interrogative-based	61.000	167.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
niv	Nivkh	1	Interrogative-based	53.333	142.000	Nivkh	Nivkh	Nominal Categories
yko	Yukaghir (Kolyma)	1	Interrogative-based	65.750	150.833	Yukaghir	Yukaghir	Nominal Categories
ket	Ket	1	Interrogative-based	64.000	87.000	Yeniseian	Yeniseian	Nominal Categories
est	Estonian	1	Interrogative-based	59.000	26.000	Finnic	Uralic	Nominal Categories
sno	Saami (Northern)	1	Interrogative-based	69.000	24.000	Saami	Uralic	Nominal Categories
krl	Karelian	1	Interrogative-based	64.000	32.000	Finnic	Uralic	Nominal Categories
moe	Mordvin (Erzya)	1	Interrogative-based	53.000	45.500	Mordvin	Uralic	Nominal Categories
mmo	Mordvin (Moksha)	1	Interrogative-based	54.000	44.000	Mordvin	Uralic	Nominal Categories
mah	Mari (Hill)	1	Interrogative-based	57.000	58.000	Mari	Uralic	Nominal Categories
kzy	Komi-Zyrian	1	Interrogative-based	65.000	55.000	Permic	Uralic	Nominal Categories
kop	Komi-Permyak	1	Interrogative-based	59.500	54.500	Permic	Uralic	Nominal Categories
