König, Ekkehard & Siemund, Peter (with Töpper, Stephan). 2011. Intensifiers and Reflexive Pronouns.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 47A.
Available online at http://wals.info/feature/47A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ala	Alamblak	1	Identical	-4.667	143.333	Sepik Hill	Sepik	Nominal Categories
ame	Amele	1	Identical	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
asm	Asmat	1	Identical	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Nominal Categories
bag	Bagirmi	1	Identical	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Nominal Categories
brm	Burmese	1	Identical	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Nominal Categories
bur	Burushaski	1	Identical	36.500	74.500	Burushaski	Burushaski	Nominal Categories
mxc	Mixtec (Chalcatongo)	1	Identical	17.050	-97.583	Mixtecan	Oto-Manguean	Nominal Categories
cha	Chamorro	1	Identical	13.450	144.750	Chamorro	Austronesian	Nominal Categories
arg	Arabic (Gulf)	1	Identical	26.000	49.000	Semitic	Afro-Asiatic	Nominal Categories
eng	English	1	Identical	52.000	0.000	Germanic	Indo-European	Nominal Categories
fin	Finnish	1	Identical	62.000	25.000	Finnic	Uralic	Nominal Categories
geo	Georgian	1	Identical	42.000	44.000	Kartvelian	Kartvelian	Nominal Categories
goo	Gooniyandi	1	Identical	-18.333	126.333	Bunuban	Australian	Nominal Categories
heb	Hebrew (Modern)	1	Identical	31.500	34.833	Semitic	Afro-Asiatic	Nominal Categories
hin	Hindi	1	Identical	25.000	77.000	Indic	Indo-European	Nominal Categories
hmo	Hmong Njua	1	Identical	28.000	105.000	Hmong-Mien	Hmong-Mien	Nominal Categories
imo	Imonda	1	Identical	-3.333	141.167	Border	Border	Nominal Categories
ind	Indonesian	1	Identical	0.000	106.000	Malayic	Austronesian	Nominal Categories
jpn	Japanese	1	Identical	37.000	140.000	Japanese	Japanese	Nominal Categories
knd	Kannada	1	Identical	14.000	76.000	Southern Dravidian	Dravidian	Nominal Categories
kay	Kayardild	1	Identical	-17.050	139.500	Tangkic	Australian	Nominal Categories
kha	Khalkha	1	Identical	47.000	105.000	Mongolic	Altaic	Nominal Categories
kor	Korean	1	Identical	37.500	128.000	Korean	Korean	Nominal Categories
lan	Lango	1	Identical	2.167	33.000	Nilotic	Nilo-Saharan	Nominal Categories
lav	Lavukaleve	1	Identical	-9.083	159.200	Lavukaleve	Solomons East Papuan	Nominal Categories
lez	Lezgian	1	Identical	41.667	47.833	Lezgic	Nakh-Daghestanian	Nominal Categories
mal	Malagasy	1	Identical	-20.000	47.000	Barito	Austronesian	Nominal Categories
mnd	Mandarin	1	Identical	34.000	110.000	Chinese	Sino-Tibetan	Nominal Categories
mar	Maricopa	1	Identical	33.167	-113.167	Yuman	Hokan	Nominal Categories
mei	Meithei	1	Identical	24.750	94.000	Kuki-Chin	Sino-Tibetan	Nominal Categories
otm	Otomí (Mezquital)	1	Identical	20.167	-99.167	Otomian	Oto-Manguean	Nominal Categories
prs	Persian	1	Identical	32.000	54.000	Iranian	Indo-European	Nominal Categories
rap	Rapanui	1	Identical	-27.117	-109.367	Oceanic	Austronesian	Nominal Categories
tha	Thai	1	Identical	16.000	101.000	Kam-Tai	Tai-Kadai	Nominal Categories
tiw	Tiwi	1	Identical	-11.500	131.000	Tiwian	Australian	Nominal Categories
tuk	Tukang Besi	1	Identical	-5.500	123.500	Sulawesi	Austronesian	Nominal Categories
tur	Turkish	1	Identical	39.000	35.000	Turkic	Altaic	Nominal Categories
vie	Vietnamese	1	Identical	10.500	106.500	Viet-Muong	Austro-Asiatic	Nominal Categories
wra	Warao	1	Identical	9.333	-61.667	Warao	Warao	Nominal Categories
grw	Greenlandic (West)	1	Identical	64.000	-51.000	Eskimo	Eskimo-Aleut	Nominal Categories
juh	Ju|'hoan	1	Identical	-19.000	21.000	Northern Khoisan	Khoisan	Nominal Categories
arm	Armenian (Eastern)	1	Identical	40.000	45.000	Armenian	Indo-European	Nominal Categories
