Bakker, Dik. 2011. Person Marking on Adpositions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 48A.
Available online at http://wals.info/feature/48A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
acm	Achumawi	1	No adpositions	41.500	-121.000	Palaihnihan	Hokan	Nominal Categories
apu	Apurinã	1	No adpositions	-9.000	-67.000	Arawakan	Arawakan	Nominal Categories
abn	Arabana	1	No adpositions	-28.250	136.250	Pama-Nyungan	Australian	Nominal Categories
awt	Awtuw	1	No adpositions	-3.583	142.000	Ram	Sepik	Nominal Categories
bnj	Bandjalang	1	No adpositions	-28.750	153.000	Pama-Nyungan	Australian	Nominal Categories
arp	Arapesh (Mountain)	1	No adpositions	-3.467	143.167	Kombio-Arapesh	Torricelli	Nominal Categories
cyv	Cayuvava	1	No adpositions	-13.500	-65.500	Cayuvava	Cayuvava	Nominal Categories
cba	Chumash (Barbareño)	1	No adpositions	34.500	-120.250	Chumash	Chumash	Nominal Categories
cre	Cree (Plains)	1	No adpositions	54.000	-110.000	Algonquian	Algic	Nominal Categories
tap	Taiap	1	No adpositions	-4.083	144.500	Gapun	Gapun	Nominal Categories
gar	Garo	1	No adpositions	25.667	90.500	Bodo-Garo	Sino-Tibetan	Nominal Categories
guu	Guugu Yimidhirr	1	No adpositions	-15.000	144.833	Pama-Nyungan	Australian	Nominal Categories
hlu	Halkomelem (Upriver)	1	No adpositions	49.250	-121.917	Central Salish	Salishan	Nominal Categories
hmr	Hamer	1	No adpositions	5.000	36.500	South Omotic	Afro-Asiatic	Nominal Categories
coo	Coos (Hanis)	1	No adpositions	43.500	-124.167	Coosan	Oregon Coast	Nominal Categories
tja	Tiipay (Jamul)	1	No adpositions	32.167	-116.500	Yuman	Hokan	Nominal Categories
jaq	Jaqaru	1	No adpositions	-13.000	-76.000	Aymaran	Aymaran	Nominal Categories
jur	Jurchen	1	No adpositions	47.000	130.000	Tungusic	Altaic	Nominal Categories
kgu	Kalkatungu	1	No adpositions	-21.000	139.500	Pama-Nyungan	Australian	Nominal Categories
ham	Hamtai	1	No adpositions	-7.500	146.250	Angan	Trans-New Guinea	Nominal Categories
kay	Kayardild	1	No adpositions	-17.050	139.500	Tangkic	Australian	Nominal Categories
kio	Kiowa	1	No adpositions	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Nominal Categories
kut	Kutenai	1	No adpositions	49.500	-116.000	Kutenai	Kutenai	Nominal Categories
kwz	Kwazá	1	No adpositions	-12.583	-60.667	Kwaza	Kwaza	Nominal Categories
mle	Maale	1	No adpositions	6.000	36.917	North Omotic	Afro-Asiatic	Nominal Categories
mak	Makah	1	No adpositions	48.333	-124.667	Southern Wakashan	Wakashan	Nominal Categories
mlk	Malakmalak	1	No adpositions	-13.417	130.417	Northern Daly	Australian	Nominal Categories
myi	Mangarrayi	1	No adpositions	-14.667	133.500	Mangarrayi	Australian	Nominal Categories
mar	Maricopa	1	No adpositions	33.167	-113.167	Yuman	Hokan	Nominal Categories
mrt	Martuthunira	1	No adpositions	-20.833	116.500	Pama-Nyungan	Australian	Nominal Categories
wch	Wichí	1	No adpositions	-22.500	-62.583	Matacoan	Matacoan	Nominal Categories
msl	Masalit	1	No adpositions	13.333	22.000	Maban	Nilo-Saharan	Nominal Categories
moh	Mohawk	1	No adpositions	43.500	-74.250	Northern Iroquoian	Iroquoian	Nominal Categories
mne	Maidu (Northeast)	1	No adpositions	40.000	-120.667	Maiduan	Penutian	Nominal Categories
nmb	Nambikuára	1	No adpositions	-13.000	-59.000	Nambikuaran	Nambikuaran	Nominal Categories
nez	Nez Perce	1	No adpositions	46.000	-116.000	Sahaptian	Penutian	Nominal Categories
ngl	Ngalakan	1	No adpositions	-14.250	134.000	Ngalakan	Australian	Nominal Categories
ngk	Ngankikurungkurr	1	No adpositions	-14.000	130.500	Southern Daly	Australian	Nominal Categories
ngi	Ngiyambaa	1	No adpositions	-31.750	145.500	Pama-Nyungan	Australian	Nominal Categories
nuu	Nuuchahnulth	1	No adpositions	49.667	-126.667	Southern Wakashan	Wakashan	Nominal Categories
nug	Nunggubuyu	1	No adpositions	-13.750	135.667	Nunggubuyu	Australian	Nominal Categories
ond	Oneida	1	No adpositions	43.000	-75.667	Northern Iroquoian	Iroquoian	Nominal Categories
pny	Panyjima	1	No adpositions	-22.833	118.417	Pama-Nyungan	Australian	Nominal Categories
psm	Passamaquoddy-Maliseet	1	No adpositions	45.000	-67.000	Algonquian	Algic	Nominal Categories
pec	Pech	1	No adpositions	15.000	-85.500	Paya	Chibchan	Nominal Categories
qui	Quileute	1	No adpositions	47.917	-124.250	Chimakuan	Chimakuan	Nominal Categories
squ	Squamish	1	No adpositions	49.667	-123.167	Central Salish	Salishan	Nominal Categories
mss	Miwok (Southern Sierra)	1	No adpositions	37.500	-120.000	Miwok	Penutian	Nominal Categories
tag	Tagalog	1	No adpositions	15.000	121.000	Meso-Philippine	Austronesian	Nominal Categories
tau	Tauya	1	No adpositions	-5.750	145.333	Madang	Trans-New Guinea	Nominal Categories
siu	Siuslaw	1	No adpositions	44.000	-124.000	Siuslawan	Oregon Coast	Nominal Categories
ung	Ungarinjin	1	No adpositions	-16.333	126.000	Wororan	Australian	Nominal Categories
uhi	Uradhi	1	No adpositions	-11.917	142.417	Pama-Nyungan	Australian	Nominal Categories
wam	Wambaya	1	No adpositions	-18.667	135.750	West Barkly	Australian	Nominal Categories
wrd	Wardaman	1	No adpositions	-15.500	131.000	Yangmanic	Australian	Nominal Categories
wic	Wichita	1	No adpositions	33.333	-97.333	Caddoan	Caddoan	Nominal Categories
wik	Wikchamni	1	No adpositions	36.417	-119.083	Yokuts	Penutian	Nominal Categories
win	Wintu	1	No adpositions	41.000	-122.500	Wintuan	Penutian	Nominal Categories
yid	Yidiny	1	No adpositions	-17.000	145.750	Pama-Nyungan	Australian	Nominal Categories
yuk	Yukulta	1	No adpositions	-17.333	138.833	Tangkic	Australian	Nominal Categories
ypk	Yup'ik (Central)	1	No adpositions	59.500	-160.000	Eskimo	Eskimo-Aleut	Nominal Categories
zqc	Zoque (Copainalá)	1	No adpositions	17.000	-93.250	Mixe-Zoque	Mixe-Zoque	Nominal Categories
zun	Zuni	1	No adpositions	35.083	-108.833	Zuni	Zuni	Nominal Categories
juh	Ju|'hoan	2	No person marking	-19.000	21.000	Northern Khoisan	Khoisan	Nominal Categories
abi	Abipón	2	No person marking	-29.000	-61.000	Guaicuruan	Guaicuruan	Nominal Categories
abu	Abun	2	No person marking	-0.500	132.500	North-Central Bird's Head	West Papuan	Nominal Categories
ace	Acehnese	2	No person marking	5.500	95.500	Malayic	Austronesian	Nominal Categories
aco	Acoma	2	No person marking	34.917	-107.583	Keresan	Keresan	Nominal Categories
adz	Adzera	2	No person marking	-6.250	146.250	Oceanic	Austronesian	Nominal Categories
ala	Alamblak	2	No person marking	-4.667	143.333	Sepik Hill	Sepik	Nominal Categories
alb	Albanian	2	No person marking	41.000	20.000	Albanian	Indo-European	Nominal Categories
ame	Amele	2	No person marking	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
amu	Amuesha	2	No person marking	-10.500	-75.417	Arawakan	Arawakan	Nominal Categories
ani	//Ani	2	No person marking	-18.917	21.917	Central Khoisan	Khoisan	Nominal Categories
ana	Araona	2	No person marking	-12.333	-67.750	Tacanan	Tacanan	Nominal Categories
arm	Armenian (Eastern)	2	No person marking	40.000	45.000	Armenian	Indo-European	Nominal Categories
asm	Asmat	2	No person marking	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Nominal Categories
atk	Atakapa	2	No person marking	30.000	-93.500	Atakapa	Atakapa	Nominal Categories
ata	Atayal	2	No person marking	24.500	121.333	Atayalic	Austronesian	Nominal Categories
awp	Awa Pit	2	No person marking	1.500	-78.250	Barbacoan	Barbacoan	Nominal Categories
bab	Babungo	2	No person marking	6.117	10.417	Bantoid	Niger-Congo	Nominal Categories
