Iggesen, Oliver A.. 2011. Number of Cases.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 49A.
Available online at http://wals.info/feature/49A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	1	No morphological case-marking	-29.000	-61.000	Guaicuruan	Guaicuruan	Nominal Categories
aco	Acoma	1	No morphological case-marking	34.917	-107.583	Keresan	Keresan	Nominal Categories
ame	Amele	1	No morphological case-marking	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
aeg	Arabic (Egyptian)	1	No morphological case-marking	30.000	31.000	Semitic	Afro-Asiatic	Nominal Categories
asm	Asmat	1	No morphological case-marking	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Nominal Categories
bag	Bagirmi	1	No morphological case-marking	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Nominal Categories
bam	Bambara	1	No morphological case-marking	12.500	-7.500	Western Mande	Niger-Congo	Nominal Categories
arp	Arapesh (Mountain)	1	No morphological case-marking	-3.467	143.167	Kombio-Arapesh	Torricelli	Nominal Categories
bul	Bulgarian	1	No morphological case-marking	42.500	25.000	Slavic	Indo-European	Nominal Categories
khm	Khmer	1	No morphological case-marking	12.500	105.000	Khmer	Austro-Asiatic	Nominal Categories
ckr	Canela-Krahô	1	No morphological case-marking	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Nominal Categories
car	Carib	1	No morphological case-marking	5.500	-56.000	Cariban	Cariban	Nominal Categories
ctl	Catalan	1	No morphological case-marking	41.750	2.000	Romance	Indo-European	Nominal Categories
cha	Chamorro	1	No morphological case-marking	13.450	144.750	Chamorro	Austronesian	Nominal Categories
cle	Chinantec (Lealao)	1	No morphological case-marking	17.333	-95.917	Chinantecan	Oto-Manguean	Nominal Categories
mnd	Mandarin	1	No morphological case-marking	34.000	110.000	Chinese	Sino-Tibetan	Nominal Categories
cba	Chumash (Barbareño)	1	No morphological case-marking	34.500	-120.250	Chumash	Chumash	Nominal Categories
dio	Diola-Fogny	1	No morphological case-marking	13.000	-16.250	Northern Atlantic	Niger-Congo	Nominal Categories
don	Dong	1	No morphological case-marking	27.000	109.000	Kam-Tai	Tai-Kadai	Nominal Categories
dre	Drehu	1	No morphological case-marking	-21.000	167.250	Oceanic	Austronesian	Nominal Categories
dut	Dutch	1	No morphological case-marking	52.500	6.000	Germanic	Indo-European	Nominal Categories
ewe	Ewe	1	No morphological case-marking	6.333	0.417	Kwa	Niger-Congo	Nominal Categories
fij	Fijian	1	No morphological case-marking	-17.833	178.000	Oceanic	Austronesian	Nominal Categories
fre	French	1	No morphological case-marking	48.000	2.000	Romance	Indo-European	Nominal Categories
frw	Frisian (Western)	1	No morphological case-marking	53.000	6.000	Germanic	Indo-European	Nominal Categories
fni	Fula (Nigerian)	1	No morphological case-marking	8.167	10.500	Northern Atlantic	Niger-Congo	Nominal Categories
grb	Grebo	1	No morphological case-marking	5.000	-8.000	Kru	Niger-Congo	Nominal Categories
gua	Guaraní	1	No morphological case-marking	-26.000	-56.000	Tupi-Guaraní	Tupian	Nominal Categories
hai	Haida	1	No morphological case-marking	53.000	-132.000	Haida	Haida	Nominal Categories
hau	Hausa	1	No morphological case-marking	12.000	7.000	West Chadic	Afro-Asiatic	Nominal Categories
heb	Hebrew (Modern)	1	No morphological case-marking	31.500	34.833	Semitic	Afro-Asiatic	Nominal Categories
hix	Hixkaryana	1	No morphological case-marking	-1.000	-59.000	Cariban	Cariban	Nominal Categories
hmo	Hmong Njua	1	No morphological case-marking	28.000	105.000	Hmong-Mien	Hmong-Mien	Nominal Categories
hve	Huave (San Mateo del Mar)	1	No morphological case-marking	16.217	-95.000	Huavean	Huavean	Nominal Categories
iaa	Iaai	1	No morphological case-marking	-20.417	166.583	Oceanic	Austronesian	Nominal Categories
igb	Igbo	1	No morphological case-marking	6.000	7.333	Igboid	Niger-Congo	Nominal Categories
ilo	Ilocano	1	No morphological case-marking	16.000	121.000	Northern Philippines	Austronesian	Nominal Categories
ind	Indonesian	1	No morphological case-marking	0.000	106.000	Malayic	Austronesian	Nominal Categories
ita	Italian	1	No morphological case-marking	43.000	12.000	Romance	Indo-European	Nominal Categories
jak	Jakaltek	1	No morphological case-marking	15.667	-91.667	Mayan	Mayan	Nominal Categories
juh	Ju|'hoan	1	No morphological case-marking	-19.000	21.000	Northern Khoisan	Khoisan	Nominal Categories
bkr	Batak (Karo)	1	No morphological case-marking	3.250	98.250	Sumatra	Austronesian	Nominal Categories
kyl	Kayah Li (Eastern)	1	No morphological case-marking	19.000	97.500	Karen	Sino-Tibetan	Nominal Categories
khs	Khasi	1	No morphological case-marking	25.500	92.000	Khasian	Austro-Asiatic	Nominal Categories
kmu	Khmu'	1	No morphological case-marking	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Nominal Categories
klv	Kilivila	1	No morphological case-marking	-8.500	151.083	Oceanic	Austronesian	Nominal Categories
kin	Kinyarwanda	1	No morphological case-marking	-2.000	30.000	Bantoid	Niger-Congo	Nominal Categories
krb	Kiribati	1	No morphological case-marking	1.333	173.000	Oceanic	Austronesian	Nominal Categories
kob	Kobon	1	No morphological case-marking	-5.167	144.333	Madang	Trans-New Guinea	Nominal Categories
kmb	Kombai	1	No morphological case-marking	-5.583	140.000	Awju-Dumut	Trans-New Guinea	Nominal Categories
kon	Kongo	1	No morphological case-marking	-5.000	15.000	Bantoid	Niger-Congo	Nominal Categories
kfe	Koromfe	1	No morphological case-marking	14.250	-0.917	Gur	Niger-Congo	Nominal Categories
kos	Kosraean	1	No morphological case-marking	5.300	163.000	Oceanic	Austronesian	Nominal Categories
kut	Kutenai	1	No morphological case-marking	49.500	-116.000	Kutenai	Kutenai	Nominal Categories
lkt	Lakhota	1	No morphological case-marking	43.833	-101.833	Siouan	Siouan	Nominal Categories
lan	Lango	1	No morphological case-marking	2.167	33.000	Nilotic	Nilo-Saharan	Nominal Categories
