Maddieson, Ian. 2011. Voicing in Plosives and Fricatives.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 4A.
Available online at http://wals.info/feature/4A
Accessed on 2013-11-03.

wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	1	No voicing constrast	-29.000	-61.000	Guaicuruan	Guaicuruan	Phonology
ach	Aché	1	No voicing constrast	-25.250	-55.167	Tupi-Guaraní	Tupian	Phonology
acm	Achumawi	1	No voicing constrast	41.500	-121.000	Palaihnihan	Hokan	Phonology
aco	Acoma	1	No voicing constrast	34.917	-107.583	Keresan	Keresan	Phonology
ain	Ainu	1	No voicing constrast	43.000	143.000	Ainu	Ainu	Phonology
alw	Alawa	1	No voicing constrast	-15.167	134.250	Maran	Australian	Phonology
amc	Amahuaca	1	No voicing constrast	-10.500	-72.500	Panoan	Panoan	Phonology
amz	Amuzgo	1	No voicing constrast	16.833	-98.000	Amuzgoan	Oto-Manguean	Phonology
ant	Angaatiha	1	No voicing constrast	-7.217	146.250	Angan	Trans-New Guinea	Phonology
api	Apinayé	1	No voicing constrast	-5.500	-48.000	Ge-Kaingang	Macro-Ge	Phonology
apu	Apurinã	1	No voicing constrast	-9.000	-67.000	Arawakan	Arawakan	Phonology
arb	Arabela	1	No voicing constrast	-2.000	-75.167	Zaparoan	Zaparoan	Phonology
asm	Asmat	1	No voicing constrast	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Phonology
aym	Aymara	1	No voicing constrast	-17.000	-69.000	Aymaran	Aymaran	Phonology
bng	Baining	1	No voicing constrast	-4.583	152.000	Baining	Baining-Taulil	Phonology
byu	Bandjalang (Yugumbir)	1	No voicing constrast	-27.917	153.000	Pama-Nyungan	Australian	Phonology
brd	Bardi	1	No voicing constrast	-16.583	122.917	Nyulnyulan	Australian	Phonology
bco	Bella Coola	1	No voicing constrast	52.500	-126.667	Bella Coola	Salishan	Phonology
ber	Berta	1	No voicing constrast	10.333	34.667	Berta	Nilo-Saharan	Phonology
bra	Brao	1	No voicing constrast	14.167	107.500	Bahnaric	Austro-Asiatic	Phonology
bua	Burarra	1	No voicing constrast	-12.250	134.583	Burarran	Australian	Phonology
cac	Cacua	1	No voicing constrast	1.083	-70.000	Cacua-Nukak	Cacua-Nukak	Phonology
cah	Cahuilla	1	No voicing constrast	33.500	-116.250	Takic	Uto-Aztecan	Phonology
cax	Campa (Axininca)	1	No voicing constrast	-12.000	-74.000	Arawakan	Arawakan	Phonology
ckr	Canela-Krahô	1	No voicing constrast	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Phonology
cnt	Cantonese	1	No voicing constrast	23.000	113.000	Chinese	Sino-Tibetan	Phonology
chw	Cham (Western)	1	No voicing constrast	12.000	105.500	Malayic	Austronesian	Phonology
chl	Chehalis (Upper)	1	No voicing constrast	46.583	-123.000	Tsamosan	Salishan	Phonology
che	Cherokee	1	No voicing constrast	35.500	-83.500	Southern Iroquoian	Iroquoian	Phonology
chk	Chukchi	1	No voicing constrast	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Phonology
cmn	Comanche	1	No voicing constrast	33.500	-101.500	Numic	Uto-Aztecan	Phonology
cre	Cree (Plains)	1	No voicing constrast	54.000	-110.000	Algonquian	Algic	Phonology
dad	Dadibi	1	No voicing constrast	-6.550	144.583	Teberan	Teberan-Pawaian	Phonology
dni	Dani (Lower Grand Valley)	1	No voicing constrast	-4.333	138.833	Dani	Trans-New Guinea	Phonology
diy	Diyari	1	No voicing constrast	-28.000	139.000	Pama-Nyungan	Australian	Phonology
dyi	Dyirbal	1	No voicing constrast	-17.833	145.583	Pama-Nyungan	Australian	Phonology
amp	Arrernte (Mparntwe)	1	No voicing constrast	-24.000	136.000	Pama-Nyungan	Australian	Phonology
eka	Ekari	1	No voicing constrast	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Phonology
fas	Fasu	1	No voicing constrast	-6.583	143.333	Fasu	Trans-New Guinea	Phonology
fij	Fijian	1	No voicing constrast	-17.833	178.000	Oceanic	Austronesian	Phonology
fuz	Fuzhou	1	No voicing constrast	26.000	119.500	Chinese	Sino-Tibetan	Phonology
gds	Gadsup	1	No voicing constrast	-6.250	146.000	Eastern Highlands	Trans-New Guinea	Phonology
grr	Garrwa	1	No voicing constrast	-17.083	137.167	Garrwan	Australian	Phonology
goo	Gooniyandi	1	No voicing constrast	-18.333	126.333	Bunuban	Australian	Phonology
goa	Goajiro	1	No voicing constrast	12.000	-72.000	Arawakan	Arawakan	Phonology
gmb	Guambiano	1	No voicing constrast	2.500	-76.667	Barbacoan	Barbacoan	Phonology
kya	Kuku-Yalanji	1	No voicing constrast	-16.000	145.000	Pama-Nyungan	Australian	Phonology
hai	Haida	1	No voicing constrast	53.000	-132.000	Haida	Haida	Phonology
hak	Hakka	1	No voicing constrast	25.000	116.000	Chinese	Sino-Tibetan	Phonology
ham	Hamtai	1	No voicing constrast	-7.500	146.250	Angan	Trans-New Guinea	Phonology
haw	Hawaiian	1	No voicing constrast	19.583	-155.500	Oceanic	Austronesian	Phonology
hmo	Hmong Njua	1	No voicing constrast	28.000	105.000	Hmong-Mien	Hmong-Mien	Phonology
hop	Hopi	1	No voicing constrast	36.000	-110.000	Hopi	Uto-Aztecan	Phonology
htc	Huastec	1	No voicing constrast	22.083	-99.333	Mayan	Mayan	Phonology
hup	Hupa	1	No voicing constrast	41.083	-123.667	Athapaskan	Na-Dene	Phonology
imo	Imonda	1	No voicing constrast	-3.333	141.167	Border	Border	Phonology
irr	Irarutu	1	No voicing constrast	-3.000	133.500	South Halmahera - West New Guinea	Austronesian	Phonology
iwm	Iwam	1	No voicing constrast	-4.333	142.000	Upper Sepik	Sepik	Phonology
jak	Jakaltek	1	No voicing constrast	15.667	-91.667	Mayan	Mayan	Phonology
jaq	Jaqaru	1	No voicing constrast	-13.000	-76.000	Aymaran	Aymaran	Phonology
jav	Javanese	1	No voicing constrast	-7.000	111.000	Javanese	Austronesian	Phonology
jeb	Jebero	1	No voicing constrast	-5.417	-76.500	Cahuapanan	Cahuapanan	Phonology
jiv	Jivaro	1	No voicing constrast	-2.500	-78.000	Jivaroan	Jivaroan	Phonology
jom	Jomang	1	No voicing constrast	10.583	30.500	Talodi Proper	Niger-Congo	Phonology
kek	K'ekchí	1	No voicing constrast	16.000	-89.833	Mayan	Mayan	Phonology
kng	Kaingang	1	No voicing constrast	-26.000	-52.000	Ge-Kaingang	Macro-Ge	Phonology
kkv	Kaliai-Kove	1	No voicing constrast	-5.583	149.667	Oceanic	Austronesian	Phonology
kgu	Kalkatungu	1	No voicing constrast	-21.000	139.500	Pama-Nyungan	Australian	Phonology
kzh	Kam (Zhanglu)	1	No voicing constrast	26.000	108.500	Kam-Tai	Tai-Kadai	Phonology
krk	Karok	1	No voicing constrast	41.667	-123.000	Karok	Karok	Phonology
kay	Kayardild	1	No voicing constrast	-17.050	139.500	Tangkic	Australian	Phonology
kew	Kewa	1	No voicing constrast	-6.500	143.833	Engan	Trans-New Guinea	Phonology
kty	Khanty	1	No voicing constrast	65.000	65.000	Ugric	Uralic	Phonology
khm	Khmer	1	No voicing constrast	12.500	105.000	Khmer	Austro-Asiatic	Phonology
kmu	Khmu'	1	No voicing constrast	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Phonology
krb	Kiribati	1	No voicing constrast	1.333	173.000	Oceanic	Austronesian	Phonology
kss	Kisi (Southern)	1	No voicing constrast	8.500	-10.250	Southern Atlantic	Niger-Congo	Phonology
kob	Kobon	1	No voicing constrast	-5.167	144.333	Madang	Trans-New Guinea	Phonology
kor	Korean	1	No voicing constrast	37.500	128.000	Korean	Korean	Phonology
kry	Koryak	1	No voicing constrast	61.000	167.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Phonology
kro	Krongo	1	No voicing constrast	10.500	30.000	Kadugli	Kadugli	Phonology
kut	Kutenai	1	No voicing constrast	49.500	-116.000	Kutenai	Kutenai	Phonology
kwa	Kwaio	1	No voicing constrast	-8.950	161.000	Oceanic	Austronesian	Phonology
lkk	Lakkia	1	No voicing constrast	24.083	110.167	Kadai	Tai-Kadai	Phonology
len	Lenakel	1	No voicing constrast	-19.450	169.250	Oceanic	Austronesian	Phonology
lui	Luiseño	1	No voicing constrast	33.333	-117.167	Takic	Uto-Aztecan	Phonology
nun	Nung (in Vietnam)	1	No voicing constrast	21.917	106.417	Kam-Tai	Tai-Kadai	Phonology
maa	Maasai	1	No voicing constrast	-3.000	36.000	Nilotic	Nilo-Saharan	Phonology
mne	Maidu (Northeast)	1	No voicing constrast	40.000	-120.667	Maiduan	Penutian	Phonology
mlk	Malakmalak	1	No voicing constrast	-13.417	130.417	Northern Daly	Australian	Phonology
myi	Mangarrayi	1	No voicing constrast	-14.667	133.500	Mangarrayi	Australian	Phonology
mao	Maori	1	No voicing constrast	-40.000	176.000	Oceanic	Austronesian	Phonology
map	Mapudungun	1	No voicing constrast	-38.000	-72.000	Araucanian	Araucanian	Phonology
mku	Maranungku	1	No voicing constrast	-13.667	130.000	Western Daly	Australian	Phonology
mar	Maricopa	1	No voicing constrast	33.167	-113.167	Yuman	Hokan	Phonology
mrt	Martuthunira	1	No voicing constrast	-20.833	116.500	Pama-Nyungan	Australian	Phonology
wch	Wichí	1	No voicing constrast	-22.500	-62.583	Matacoan	Matacoan	Phonology
mau	Maung	1	No voicing constrast	-11.917	133.500	Iwaidjan	Australian	Phonology
max	Maxakalí	1	No voicing constrast	-18.000	-40.000	Maxakalí	Macro-Ge	Phonology
may	Maybrat	1	No voicing constrast	-1.333	132.500	North-Central Bird's Head	West Papuan	Phonology
maz	Mazahua	1	No voicing constrast	19.417	-99.917	Otomian	Oto-Manguean	Phonology
mbb	Mbabaram	1	No voicing constrast	-17.167	145.000	Pama-Nyungan	Australian	Phonology
mor	Mor	1	No voicing constrast	-2.950	135.750	South Halmahera - West New Guinea	Austronesian	Phonology
mov	Movima	1	No voicing constrast	-13.833	-65.667	Movima	Movima	Phonology
nhn	Nahuatl (North Puebla)	1	No voicing constrast	20.000	-98.250	Aztecan	Uto-Aztecan	Phonology
nht	Nahuatl (Tetelcingo)	1	No voicing constrast	19.667	-99.000	Aztecan	Uto-Aztecan	Phonology
kho	Khoekhoe	1	No voicing constrast	-25.500	18.000	Central Khoisan	Khoisan	Phonology
nbk	Natügu	1	No voicing constrast	-10.783	165.867	Oceanic	Austronesian	Phonology
nan	Nandi	1	No voicing constrast	0.250	35.000	Nilotic	Nilo-Saharan	Phonology
nas	Nasioi	1	No voicing constrast	-6.333	155.583	East Bougainville	East Bougainville	Phonology
nez	Nez Perce	1	No voicing constrast	46.000	-116.000	Sahaptian	Penutian	Phonology
ung	Ungarinjin	1	No voicing constrast	-16.333	126.000	Wororan	Australian	Phonology
ngi	Ngiyambaa	1	No voicing constrast	-31.750	145.500	Pama-Nyungan	Australian	Phonology
nnc	Nancowry	1	No voicing constrast	8.050	93.500	Nicobarese	Austro-Asiatic	Phonology
chu	Chulupí	1	No voicing constrast	-23.500	-60.500	Matacoan	Matacoan	Phonology
nug	Nunggubuyu	1	No voicing constrast	-13.750	135.667	Nunggubuyu	Australian	Phonology
nuu	Nuuchahnulth	1	No voicing constrast	49.667	-126.667	Southern Wakashan	Wakashan	Phonology
nyg	Nyangi	1	No voicing constrast	3.417	33.583	Kuliak	Nilo-Saharan	Phonology
oji	Ojibwa (Eastern)	1	No voicing constrast	46.000	-80.000	Algonquian	Algic	Phonology
ond	Oneida	1	No voicing constrast	43.000	-75.667	Northern Iroquoian	Iroquoian	Phonology
pms	Paamese	1	No voicing constrast	-16.500	168.250	Oceanic	Austronesian	Phonology
pac	Pacoh	1	No voicing constrast	16.417	107.083	Katuic	Austro-Asiatic	Phonology
pae	Páez	1	No voicing constrast	2.667	-76.000	Páezan	Páezan	Phonology
pnr	Panare	1	No voicing constrast	6.500	-66.000	Cariban	Cariban	Phonology
psm	Passamaquoddy-Maliseet	1	No voicing constrast	45.000	-67.000	Algonquian	Algic	Phonology
pit	Pitjantjatjara	1	No voicing constrast	-26.000	130.000	Pama-Nyungan	Australian	Phonology
poh	Pohnpeian	1	No voicing constrast	6.883	158.250	Oceanic	Austronesian	Phonology
qaw	Qawasqar	1	No voicing constrast	-49.000	-75.000	Alacalufan	Alacalufan	Phonology
rap	Rapanui	1	No voicing constrast	-27.117	-109.367	Oceanic	Austronesian	Phonology
ror	Roro	1	No voicing constrast	-8.750	146.583	Oceanic	Austronesian	Phonology
rtk	Rotokas	1	No voicing constrast	-6.000	155.167	West Bougainville	West Bougainville	Phonology
nmb	Nambikuára	1	No voicing constrast	-13.000	-59.000	Nambikuaran	Nambikuaran	Phonology
snm	Sanuma	1	No voicing constrast	4.500	-64.667	Yanomam	Yanomam	Phonology
seb	Sebei	1	No voicing constrast	1.333	34.583	Nilotic	Nilo-Saharan	Phonology
sed	Sedang	1	No voicing constrast	14.833	108.000	Bahnaric	Austro-Asiatic	Phonology
slp	Selepet	1	No voicing constrast	-6.167	147.167	Finisterre-Huon	Trans-New Guinea	Phonology
sel	Selknam	1	No voicing constrast	-53.000	-70.000	Chon Proper	Chon	Phonology
skp	Selkup	1	No voicing constrast	65.000	82.000	Samoyedic	Uralic	Phonology
snc	Seneca	1	No voicing constrast	42.500	-77.500	Northern Iroquoian	Iroquoian	Phonology
shs	Shasta	1	No voicing constrast	41.833	-122.667	Shasta	Hokan	Phonology
shk	Shipibo-Konibo	1	No voicing constrast	-7.500	-75.000	Panoan	Panoan	Phonology
shi	Shiriana	1	No voicing constrast	3.500	-62.833	Yanomam	Yanomam	Phonology
shu	Shuswap	1	No voicing constrast	52.000	-120.000	Interior Salish	Salishan	Phonology
mss	Miwok (Southern Sierra)	1	No voicing constrast	37.500	-120.000	Miwok	Penutian	Phonology
