Stolz, Thomas & Stroh, Cornelia & Urdze, Aina. 2011. Comitatives and Instrumentals.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 52A.
Available online at http://wals.info/feature/52A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
acl	Acholi	1	Identity	3.000	32.667	Nilotic	Nilo-Saharan	Nominal Categories
afr	Afrikaans	1	Identity	-31.000	22.000	Germanic	Indo-European	Nominal Categories
alb	Albanian	1	Identity	41.000	20.000	Albanian	Indo-European	Nominal Categories
adk	Andoke	1	Identity	-0.667	-72.000	Andoke	Andoke	Nominal Categories
awt	Awtuw	1	Identity	-3.583	142.000	Ram	Sepik	Nominal Categories
aym	Aymara	1	Identity	-17.000	-69.000	Aymaran	Aymaran	Nominal Categories
bak	Baka (in Cameroon)	1	Identity	2.583	13.583	Ubangi	Niger-Congo	Nominal Categories
brs	Barasano	1	Identity	-0.167	-70.667	Tucanoan	Tucanoan	Nominal Categories
bar	Bari	1	Identity	5.000	31.667	Nilotic	Nilo-Saharan	Nominal Categories
bkl	Bikol	1	Identity	13.333	123.500	Meso-Philippine	Austronesian	Nominal Categories
bre	Breton	1	Identity	48.000	-3.000	Celtic	Indo-European	Nominal Categories
rbu	Romani (Bugurdzi)	1	Identity	42.667	21.167	Indic	Indo-European	Nominal Categories
ctl	Catalan	1	Identity	41.750	2.000	Romance	Indo-European	Nominal Categories
cle	Chinantec (Lealao)	1	Identity	17.333	-95.917	Chinantecan	Oto-Manguean	Nominal Categories
cch	Chocho	1	Identity	17.667	-97.417	Popolocan	Oto-Manguean	Nominal Categories
col	Chol	1	Identity	17.750	-92.500	Mayan	Mayan	Nominal Categories
ccp	Cocopa	1	Identity	32.333	-115.000	Yuman	Hokan	Nominal Categories
cmx	Comox	1	Identity	50.167	-125.000	Central Salish	Salishan	Nominal Categories
dsh	Danish	1	Identity	56.000	10.000	Germanic	Indo-European	Nominal Categories
eng	English	1	Identity	52.000	0.000	Germanic	Indo-European	Nominal Categories
est	Estonian	1	Identity	59.000	26.000	Finnic	Uralic	Nominal Categories
ewe	Ewe	1	Identity	6.333	0.417	Kwa	Niger-Congo	Nominal Categories
prs	Persian	1	Identity	32.000	54.000	Iranian	Indo-European	Nominal Categories
fre	French	1	Identity	48.000	2.000	Romance	Indo-European	Nominal Categories
fur	Fur	1	Identity	13.500	25.000	Fur	Nilo-Saharan	Nominal Categories
fut	Futuna-Aniwa	1	Identity	-19.533	170.217	Oceanic	Austronesian	Nominal Categories
gbb	Gbeya Bossangoa	1	Identity	6.667	17.500	Ubangi	Niger-Congo	Nominal Categories
ger	German	1	Identity	52.000	10.000	Germanic	Indo-European	Nominal Categories
grk	Greek (Modern)	1	Identity	39.000	22.000	Greek	Indo-European	Nominal Categories
hau	Hausa	1	Identity	12.000	7.000	West Chadic	Afro-Asiatic	Nominal Categories
ila	Ila	1	Identity	-15.583	26.500	Bantoid	Niger-Congo	Nominal Categories
qim	Quechua (Imbabura)	1	Identity	0.333	-78.000	Quechuan	Quechuan	Nominal Categories
iga	Inga	1	Identity	1.000	-77.000	Quechuan	Quechuan	Nominal Categories
iri	Irish	1	Identity	53.000	-8.000	Celtic	Indo-European	Nominal Categories
ita	Italian	1	Identity	43.000	12.000	Romance	Indo-European	Nominal Categories
heb	Hebrew (Modern)	1	Identity	31.500	34.833	Semitic	Afro-Asiatic	Nominal Categories
kms	Kamass	1	Identity	52.000	92.000	Samoyedic	Uralic	Nominal Categories
ker	Kera	1	Identity	9.833	15.083	East Chadic	Afro-Asiatic	Nominal Categories
ket	Ket	1	Identity	64.000	87.000	Yeniseian	Yeniseian	Nominal Categories
khl	Khalaj	1	Identity	35.000	50.000	Turkic	Altaic	Nominal Categories
kis	Kisi	1	Identity	8.833	-10.167	Southern Atlantic	Niger-Congo	Nominal Categories
zaz	Zazaki	1	Identity	39.000	41.000	Iranian	Indo-European	Nominal Categories
kwr	Kwamera	1	Identity	-19.583	169.417	Oceanic	Austronesian	Nominal Categories
ldn	Ladin	1	Identity	46.583	11.917	Romance	Indo-European	Nominal Categories
lat	Latvian	1	Identity	57.000	24.000	Baltic	Indo-European	Nominal Categories
lga	Luangiua	1	Identity	-5.333	159.417	Oceanic	Austronesian	Nominal Categories
mhi	Marathi	1	Identity	19.000	76.000	Indic	Indo-European	Nominal Categories
msl	Masalit	1	Identity	13.333	22.000	Maban	Nilo-Saharan	Nominal Categories
mzc	Mazatec (Chiquihuitlán)	1	Identity	17.750	-96.917	Popolocan	Oto-Manguean	Nominal Categories
mhu	Mbalanhu	1	Identity	-17.500	15.000	Bantoid	Niger-Congo	Nominal Categories
mxa	Mixtec (Atatlahuca)	1	Identity	17.000	-97.750	Mixtecan	Oto-Manguean	Nominal Categories
mog	Moghol	1	Identity	35.000	62.000	Mongolic	Altaic	Nominal Categories
mok	Mokilese	1	Identity	6.667	159.750	Oceanic	Austronesian	Nominal Categories
kho	Khoekhoe	1	Identity	-25.500	18.000	Central Khoisan	Khoisan	Nominal Categories
nor	Norwegian	1	Identity	61.000	8.000	Germanic	Indo-European	Nominal Categories
pip	Pipil	1	Identity	13.833	-89.583	Aztecan	Uto-Aztecan	Nominal Categories
por	Portuguese	1	Identity	39.000	-8.000	Romance	Indo-European	Nominal Categories
rmc	Romansch	1	Identity	46.667	9.167	Romance	Indo-European	Nominal Categories
rom	Romanian	1	Identity	46.000	25.000	Romance	Indo-European	Nominal Categories
sno	Saami (Northern)	1	Identity	69.000	24.000	Saami	Uralic	Nominal Categories
san	Sango	1	Identity	5.000	18.000	Ubangi	Niger-Congo	Nominal Categories
sor	Sora	1	Identity	20.000	84.333	Munda	Austro-Asiatic	Nominal Categories
srl	Sorbian (Lower)	1	Identity	51.750	14.333	Slavic	Indo-European	Nominal Categories
sus	Susu	1	Identity	10.000	-13.000	Western Mande	Niger-Congo	Nominal Categories
swe	Swedish	1	Identity	60.000	15.000	Germanic	Indo-European	Nominal Categories
ter	Tera	1	Identity	11.000	11.833	Biu-Mandara	Afro-Asiatic	Nominal Categories
tgk	Tigak	1	Identity	-2.717	150.800	Oceanic	Austronesian	Nominal Categories
tik	Tikar	1	Identity	5.833	11.667	Bantoid	Niger-Congo	Nominal Categories
tlp	Tlapanec	1	Identity	17.083	-99.000	Subtiaba-Tlapanec	Oto-Manguean	Nominal Categories
tur	Turkish	1	Identity	39.000	35.000	Turkic	Altaic	Nominal Categories
udm	Udmurt	1	Identity	57.500	52.500	Permic	Uralic	Nominal Categories
url	Urak Lawoi'	1	Identity	8.000	98.333	Malayic	Austronesian	Nominal Categories
xam	/Xam	1	Identity	-31.000	21.000	Southern Khoisan	Khoisan	Nominal Categories
kty	Khanty	1	Identity	65.000	65.000	Ugric	Uralic	Nominal Categories
juh	Ju|'hoan	1	Identity	-19.000	21.000	Northern Khoisan	Khoisan	Nominal Categories
yct	Yucatec	1	Identity	20.000	-89.000	Mayan	Mayan	Nominal Categories
abk	Abkhaz	2	Differentiation	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Nominal Categories
kwe	Kanjobal (Western)	2	Differentiation	15.833	-91.833	Mayan	Mayan	Nominal Categories
acg	Achagua	2	Differentiation	4.417	-72.250	Arawakan	Arawakan	Nominal Categories
aco	Acoma	2	Differentiation	34.917	-107.583	Keresan	Keresan	Nominal Categories
ain	Ainu	2	Differentiation	43.000	143.000	Ainu	Ainu	Nominal Categories
ala	Alamblak	2	Differentiation	-4.667	143.333	Sepik Hill	Sepik	Nominal Categories
aly	Alyawarra	2	Differentiation	-22.500	135.000	Pama-Nyungan	Australian	Nominal Categories
ame	Amele	2	Differentiation	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
arr	Arrernte	2	Differentiation	-24.000	134.000	Pama-Nyungan	Australian	Nominal Categories
arm	Armenian (Eastern)	2	Differentiation	40.000	45.000	Armenian	Indo-European	Nominal Categories
aeg	Arabic (Egyptian)	2	Differentiation	30.000	31.000	Semitic	Afro-Asiatic	Nominal Categories
arg	Arabic (Gulf)	2	Differentiation	26.000	49.000	Semitic	Afro-Asiatic	Nominal Categories
auy	Auyana	2	Differentiation	-6.500	145.750	Eastern Highlands	Trans-New Guinea	Nominal Categories
ava	Avar	2	Differentiation	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
bag	Bagirmi	2	Differentiation	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Nominal Categories
bah	Bahuana	2	Differentiation	-0.500	-62.500	Arawakan	Arawakan	Nominal Categories
les	Lese	2	Differentiation	2.000	29.000	Mangbutu-Efe	Nilo-Saharan	Nominal Categories
bsq	Basque	2	Differentiation	43.000	-3.000	Basque	Basque	Nominal Categories
bnm	Binumarien	2	Differentiation	-6.283	146.083	Eastern Highlands	Trans-New Guinea	Nominal Categories
bis	Bisa	2	Differentiation	11.500	-0.500	Eastern Mande	Niger-Congo	Nominal Categories
bla	Blackfoot	2	Differentiation	50.000	-112.667	Algonquian	Algic	Nominal Categories
brh	Brahui	2	Differentiation	28.500	67.000	Northern Dravidian	Dravidian	Nominal Categories
arp	Arapesh (Mountain)	2	Differentiation	-3.467	143.167	Kombio-Arapesh	Torricelli	Nominal Categories
bur	Burushaski	2	Differentiation	36.500	74.500	Burushaski	Burushaski	Nominal Categories
cog	Cogui	2	Differentiation	11.000	-73.833	Aruak	Chibchan	Nominal Categories
car	Carib	2	Differentiation	5.500	-56.000	Cariban	Cariban	Nominal Categories
cem	Cèmuhî	2	Differentiation	-20.833	165.167	Oceanic	Austronesian	Nominal Categories
cmh	Chemehuevi	2	Differentiation	34.333	-115.167	Numic	Uto-Aztecan	Nominal Categories
