Stolz, Thomas & Veselinova, Ljuba N.. 2011. Ordinal Numerals.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 53A.
Available online at http://wals.info/feature/53A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	1	None	-24.000	21.500	Southern Khoisan	Khoisan	Nominal Categories
ain	Ainu	1	None	43.000	143.000	Ainu	Ainu	Nominal Categories
apu	Apurinã	1	None	-9.000	-67.000	Arawakan	Arawakan	Nominal Categories
abn	Arabana	1	None	-28.250	136.250	Pama-Nyungan	Australian	Nominal Categories
awp	Awa Pit	1	None	1.500	-78.250	Barbacoan	Barbacoan	Nominal Categories
awt	Awtuw	1	None	-3.583	142.000	Ram	Sepik	Nominal Categories
brs	Barasano	1	None	-0.167	-70.667	Tucanoan	Tucanoan	Nominal Categories
arp	Arapesh (Mountain)	1	None	-3.467	143.167	Kombio-Arapesh	Torricelli	Nominal Categories
ckr	Canela-Krahô	1	None	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Nominal Categories
cyv	Cayuvava	1	None	-13.500	-65.500	Cayuvava	Cayuvava	Nominal Categories
cle	Chinantec (Lealao)	1	None	17.333	-95.917	Chinantecan	Oto-Manguean	Nominal Categories
dmi	Dumi	1	None	27.250	86.667	Bodic	Sino-Tibetan	Nominal Categories
goo	Gooniyandi	1	None	-18.333	126.333	Bunuban	Australian	Nominal Categories
hix	Hixkaryana	1	None	-1.000	-59.000	Cariban	Cariban	Nominal Categories
ika	Ika	1	None	10.667	-73.750	Aruak	Chibchan	Nominal Categories
imo	Imonda	1	None	-3.333	141.167	Border	Border	Nominal Categories
kay	Kayardild	1	None	-17.050	139.500	Tangkic	Australian	Nominal Categories
kob	Kobon	1	None	-5.167	144.333	Madang	Trans-New Guinea	Nominal Categories
koi	Koiari	1	None	-9.500	147.333	Koiarian	Trans-New Guinea	Nominal Categories
lim	Limbu	1	None	27.167	87.750	Bodic	Sino-Tibetan	Nominal Categories
myi	Mangarrayi	1	None	-14.667	133.500	Mangarrayi	Australian	Nominal Categories
mra	Mara	1	None	-15.000	135.167	Maran	Australian	Nominal Categories
mrd	Marind	1	None	-7.833	140.167	Marind Proper	Marind	Nominal Categories
mrt	Martuthunira	1	None	-20.833	116.500	Pama-Nyungan	Australian	Nominal Categories
ngi	Ngiyambaa	1	None	-31.750	145.500	Pama-Nyungan	Australian	Nominal Categories
nug	Nunggubuyu	1	None	-13.750	135.667	Nunggubuyu	Australian	Nominal Categories
snc	Seneca	1	None	42.500	-77.500	Northern Iroquoian	Iroquoian	Nominal Categories
tau	Tauya	1	None	-5.750	145.333	Madang	Trans-New Guinea	Nominal Categories
tru	Trumai	1	None	-11.917	-53.583	Trumai	Trumai	Nominal Categories
wrd	Wardaman	1	None	-15.500	131.000	Yangmanic	Australian	Nominal Categories
war	Wari'	1	None	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Nominal Categories
mxc	Mixtec (Chalcatongo)	1	None	17.050	-97.583	Mixtecan	Oto-Manguean	Nominal Categories
tiw	Tiwi	1	None	-11.500	131.000	Tiwian	Australian	Nominal Categories
kpe	Kpelle	2	One, two, three	7.000	-10.000	Western Mande	Niger-Congo	Nominal Categories
kro	Krongo	2	One, two, three	10.500	30.000	Kadugli	Kadugli	Nominal Categories
sap	Sapuan	2	One, two, three	15.167	106.833	Bahnaric	Austro-Asiatic	Nominal Categories
ago	Angolar	3	First, two, three	0.250	6.500	Creoles and Pidgins	other	Nominal Categories
aym	Aymara	3	First, two, three	-17.000	-69.000	Aymaran	Aymaran	Nominal Categories
bub	Bubi	3	First, two, three	3.500	8.667	Bantoid	Niger-Congo	Nominal Categories
goa	Goajiro	3	First, two, three	12.000	-72.000	Arawakan	Arawakan	Nominal Categories
irq	Iraqw	3	First, two, three	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Nominal Categories
lan	Lango	3	First, two, three	2.167	33.000	Nilotic	Nilo-Saharan	Nominal Categories
mun	Mundari	3	First, two, three	23.000	84.667	Munda	Austro-Asiatic	Nominal Categories
niv	Nivkh	3	First, two, three	53.333	142.000	Nivkh	Nivkh	Nominal Categories
pri	Príncipense	3	First, two, three	1.617	7.367	Creoles and Pidgins	other	Nominal Categories
sam	Samoan	3	First, two, three	-13.917	-171.833	Oceanic	Austronesian	Nominal Categories
tuk	Tukang Besi	3	First, two, three	-5.500	123.500	Sulawesi	Austronesian	Nominal Categories
wra	Warao	3	First, two, three	9.333	-61.667	Warao	Warao	Nominal Categories
ava	Avar	4	One-th, two-th, three-th	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
bsk	Bashkir	4	One-th, two-th, three-th	53.000	58.000	Turkic	Altaic	Nominal Categories
car	Carib	4	One-th, two-th, three-th	5.500	-56.000	Cariban	Cariban	Nominal Categories
cem	Cèmuhî	4	One-th, two-th, three-th	-20.833	165.167	Oceanic	Austronesian	Nominal Categories
cnt	Cantonese	4	One-th, two-th, three-th	23.000	113.000	Chinese	Sino-Tibetan	Nominal Categories
mnd	Mandarin	4	One-th, two-th, three-th	34.000	110.000	Chinese	Sino-Tibetan	Nominal Categories
chv	Chuvash	4	One-th, two-th, three-th	55.500	47.500	Turkic	Altaic	Nominal Categories
cor	Cora	4	One-th, two-th, three-th	22.167	-104.833	Corachol	Uto-Aztecan	Nominal Categories
hop	Hopi	4	One-th, two-th, three-th	36.000	-110.000	Hopi	Uto-Aztecan	Nominal Categories
hzb	Hunzib	4	One-th, two-th, three-th	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
jpn	Japanese	4	One-th, two-th, three-th	37.000	140.000	Japanese	Japanese	Nominal Categories
kmk	Kalmyk	4	One-th, two-th, three-th	44.000	83.000	Mongolic	Altaic	Nominal Categories
kaz	Kazakh	4	One-th, two-th, three-th	50.000	70.000	Turkic	Altaic	Nominal Categories
khm	Khmer	4	One-th, two-th, three-th	12.500	105.000	Khmer	Austro-Asiatic	Nominal Categories
kgz	Kirghiz	4	One-th, two-th, three-th	42.000	75.000	Turkic	Altaic	Nominal Categories
kod	Kodava	4	One-th, two-th, three-th	12.167	76.833	Southern Dravidian	Dravidian	Nominal Categories
kor	Korean	4	One-th, two-th, three-th	37.500	128.000	Korean	Korean	Nominal Categories
kug	Kunming	4	One-th, two-th, three-th	25.000	102.750	Chinese	Sino-Tibetan	Nominal Categories
kwr	Kwamera	4	One-th, two-th, three-th	-19.583	169.417	Oceanic	Austronesian	Nominal Categories
lez	Lezgian	4	One-th, two-th, three-th	41.667	47.833	Lezgic	Nakh-Daghestanian	Nominal Categories
mao	Maori	4	One-th, two-th, three-th	-40.000	176.000	Oceanic	Austronesian	Nominal Categories
msh	Marshallese	4	One-th, two-th, three-th	7.117	171.050	Oceanic	Austronesian	Nominal Categories
mup	Mupun	4	One-th, two-th, three-th	9.500	8.833	West Chadic	Afro-Asiatic	Nominal Categories
otm	Otomí (Mezquital)	4	One-th, two-th, three-th	20.167	-99.167	Otomian	Oto-Manguean	Nominal Categories
pai	Paiwan	4	One-th, two-th, three-th	22.500	120.833	Paiwanic	Austronesian	Nominal Categories
mlc	Malacca Creole	4	One-th, two-th, three-th	2.200	102.250	Creoles and Pidgins	other	Nominal Categories
per	Pero	4	One-th, two-th, three-th	9.583	11.000	West Chadic	Afro-Asiatic	Nominal Categories
srd	Sardinian	4	One-th, two-th, three-th	40.000	9.000	Romance	Indo-European	Nominal Categories
som	Somali	4	One-th, two-th, three-th	3.000	45.000	Eastern Cushitic	Afro-Asiatic	Nominal Categories
tvo	Tatar	4	One-th, two-th, three-th	56.000	49.500	Turkic	Altaic	Nominal Categories
tin	Tinrin	4	One-th, two-th, three-th	-21.667	165.750	Oceanic	Austronesian	Nominal Categories
tpi	Tok Pisin	4	One-th, two-th, three-th	-9.500	147.167	Creoles and Pidgins	other	Nominal Categories
txj	Totonac (Xicotepec de Juárez)	4	One-th, two-th, three-th	20.417	-97.833	Totonacan	Totonacan	Nominal Categories
tsa	Tsakhur	4	One-th, two-th, three-th	41.667	47.167	Lezgic	Nakh-Daghestanian	Nominal Categories
tkm	Turkmen	4	One-th, two-th, three-th	40.000	58.000	Turkic	Altaic	Nominal Categories
tuv	Tuvan	4	One-th, two-th, three-th	52.000	95.000	Turkic	Altaic	Nominal Categories
una	Una	4	One-th, two-th, three-th	-4.667	140.000	Mek	Trans-New Guinea	Nominal Categories
uyg	Uyghur	4	One-th, two-th, three-th	40.000	80.000	Turkic	Altaic	Nominal Categories
uzb	Uzbek	4	One-th, two-th, three-th	39.000	66.000	Turkic	Altaic	Nominal Categories
yaq	Yaqui	4	One-th, two-th, three-th	27.500	-110.250	Cahita	Uto-Aztecan	Nominal Categories
yor	Yoruba	4	One-th, two-th, three-th	8.000	4.333	Defoid	Niger-Congo	Nominal Categories
abk	Abkhaz	5	First/one-th, two-th, three-th	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Nominal Categories
aco	Acoma	5	First/one-th, two-th, three-th	34.917	-107.583	Keresan	Keresan	Nominal Categories
ame	Amele	5	First/one-th, two-th, three-th	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
aze	Azerbaijani	5	First/one-th, two-th, three-th	40.500	48.500	Turkic	Altaic	Nominal Categories
bsm	Bislama	5	First/one-th, two-th, three-th	-16.000	168.000	Creoles and Pidgins	other	Nominal Categories
ssh	Shinassha	5	First/one-th, two-th, three-th	10.417	36.167	North Omotic	Afro-Asiatic	Nominal Categories
brh	Brahui	5	First/one-th, two-th, three-th	28.500	67.000	Northern Dravidian	Dravidian	Nominal Categories
cah	Cahuilla	5	First/one-th, two-th, three-th	33.500	-116.250	Takic	Uto-Aztecan	Nominal Categories
chk	Chukchi	5	First/one-th, two-th, three-th	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
gua	Guaraní	5	First/one-th, two-th, three-th	-26.000	-56.000	Tupi-Guaraní	Tupian	Nominal Categories
haw	Hawaiian	5	First/one-th, two-th, three-th	19.583	-155.500	Oceanic	Austronesian	Nominal Categories
ind	Indonesian	5	First/one-th, two-th, three-th	0.000	106.000	Malayic	Austronesian	Nominal Categories
jak	Jakaltek	5	First/one-th, two-th, three-th	15.667	-91.667	Mayan	Mayan	Nominal Categories
knd	Kannada	5	First/one-th, two-th, three-th	14.000	76.000	Southern Dravidian	Dravidian	Nominal Categories
knr	Kanuri	5	First/one-th, two-th, three-th	12.000	13.000	Western Saharan	Nilo-Saharan	Nominal Categories
kas	Kashmiri	5	First/one-th, two-th, three-th	34.000	76.000	Indic	Indo-European	Nominal Categories
ket	Ket	5	First/one-th, two-th, three-th	64.000	87.000	Yeniseian	Yeniseian	Nominal Categories
ktt	Kott	5	First/one-th, two-th, three-th	57.000	94.000	Yeniseian	Yeniseian	Nominal Categories
kuo	Kuot	5	First/one-th, two-th, three-th	-3.050	151.500	Kuot	Kuot	Nominal Categories
kji	Kurmanji	5	First/one-th, two-th, three-th	38.000	42.000	Iranian	Indo-European	Nominal Categories
kuv	Kuvi	5	First/one-th, two-th, three-th	18.750	82.667	South-Central Dravidian	Dravidian	Nominal Categories
kwm	Kwami	5	First/one-th, two-th, three-th	10.417	11.000	West Chadic	Afro-Asiatic	Nominal Categories
lad	Ladakhi	5	First/one-th, two-th, three-th	34.000	78.000	Bodic	Sino-Tibetan	Nominal Categories
evn	Even	5	First/one-th, two-th, three-th	68.000	130.000	Tungusic	Altaic	Nominal Categories
luo	Luo	5	First/one-th, two-th, three-th	-0.500	34.750	Nilotic	Nilo-Saharan	Nominal Categories
mac	Macushi	5	First/one-th, two-th, three-th	4.000	-60.000	Cariban	Cariban	Nominal Categories
mym	Malayalam	5	First/one-th, two-th, three-th	10.000	76.500	Southern Dravidian	Dravidian	Nominal Categories
maw	Maninka (Western)	5	First/one-th, two-th, three-th	13.000	-11.000	Western Mande	Niger-Congo	Nominal Categories
mnc	Manchu	5	First/one-th, two-th, three-th	49.500	127.500	Tungusic	Altaic	Nominal Categories
