Gil, David. 2011. Distributive Numerals.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 54A.
Available online at http://wals.info/feature/54A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ako	Arabic (Kormakiti)	1	No distributive numerals	35.250	33.500	Semitic	Afro-Asiatic	Nominal Categories
beg	Begak-Ida'an	1	No distributive numerals	5.250	118.833	Northwest Malayo-Polynesian	Austronesian	Nominal Categories
afr	Afrikaans	1	No distributive numerals	-31.000	22.000	Germanic	Indo-European	Nominal Categories
ame	Amele	1	No distributive numerals	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
ami	Amis	1	No distributive numerals	23.333	121.333	Paiwanic	Austronesian	Nominal Categories
aeg	Arabic (Egyptian)	1	No distributive numerals	30.000	31.000	Semitic	Afro-Asiatic	Nominal Categories
ars	Arabic (San'ani)	1	No distributive numerals	16.000	44.000	Semitic	Afro-Asiatic	Nominal Categories
ata	Atayal	1	No distributive numerals	24.500	121.333	Atayalic	Austronesian	Nominal Categories
bkr	Batak (Karo)	1	No distributive numerals	3.250	98.250	Sumatra	Austronesian	Nominal Categories
cnt	Cantonese	1	No distributive numerals	23.000	113.000	Chinese	Sino-Tibetan	Nominal Categories
hok	Hokkien	1	No distributive numerals	25.000	118.000	Chinese	Sino-Tibetan	Nominal Categories
mnd	Mandarin	1	No distributive numerals	34.000	110.000	Chinese	Sino-Tibetan	Nominal Categories
chx	Chontal (Huamelultec Oaxaca)	1	No distributive numerals	16.000	-95.750	Tequistlatecan	Tequistlatecan	Nominal Categories
dut	Dutch	1	No distributive numerals	52.500	6.000	Germanic	Indo-European	Nominal Categories
dbr	Dutch (Brabantic)	1	No distributive numerals	50.750	4.500	Germanic	Indo-European	Nominal Categories
dli	Dutch (Limburg)	1	No distributive numerals	51.000	5.500	Germanic	Indo-European	Nominal Categories
duz	Dutch (Zeeuws)	1	No distributive numerals	51.500	3.750	Germanic	Indo-European	Nominal Categories
eng	English	1	No distributive numerals	52.000	0.000	Germanic	Indo-European	Nominal Categories
fin	Finnish	1	No distributive numerals	62.000	25.000	Finnic	Uralic	Nominal Categories
fre	French	1	No distributive numerals	48.000	2.000	Romance	Indo-European	Nominal Categories
fma	Fula (Mauritanian)	1	No distributive numerals	16.500	-13.750	Northern Atlantic	Niger-Congo	Nominal Categories
gav	Gavião	1	No distributive numerals	-10.667	-62.000	Monde	Tupian	Nominal Categories
gba	German (Bavarian)	1	No distributive numerals	49.000	11.500	Germanic	Indo-European	Nominal Categories
gbl	German (Berlin)	1	No distributive numerals	52.500	13.333	Germanic	Indo-European	Nominal Categories
gha	German (Hannover)	1	No distributive numerals	52.417	9.667	Germanic	Indo-European	Nominal Categories
gma	German (Mansfeldisch)	1	No distributive numerals	51.583	11.500	Germanic	Indo-European	Nominal Categories
grp	German (Ripuarian)	1	No distributive numerals	51.000	7.000	Germanic	Indo-European	Nominal Categories
gth	German (Thuringian)	1	No distributive numerals	51.000	11.000	Germanic	Indo-European	Nominal Categories
gau	German (Upper Austrian)	1	No distributive numerals	47.000	14.000	Germanic	Indo-European	Nominal Categories
gwe	German (Westphalian)	1	No distributive numerals	52.000	7.500	Germanic	Indo-European	Nominal Categories
goo	Gooniyandi	1	No distributive numerals	-18.333	126.333	Bunuban	Australian	Nominal Categories
heb	Hebrew (Modern)	1	No distributive numerals	31.500	34.833	Semitic	Afro-Asiatic	Nominal Categories
hix	Hixkaryana	1	No distributive numerals	-1.000	-59.000	Cariban	Cariban	Nominal Categories
hpd	Hup	1	No distributive numerals	0.167	-69.250	Nadahup	Nadahup	Nominal Categories
imo	Imonda	1	No distributive numerals	-3.333	141.167	Border	Border	Nominal Categories
ind	Indonesian	1	No distributive numerals	0.000	106.000	Malayic	Austronesian	Nominal Categories
itu	Italian (Turinese)	1	No distributive numerals	45.000	7.667	Romance	Indo-European	Nominal Categories
klq	Kalam	1	No distributive numerals	-5.250	144.583	Madang	Trans-New Guinea	Nominal Categories
