Gil, David. 2011. Numeral Classifiers.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 55A.
Available online at http://wals.info/feature/55A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
ako	Arabic (Kormakiti)	1	Absent	35.250	33.500	Semitic	Afro-Asiatic	Nominal Categories
tgh	Tuareg (Ghat)	1	Absent	25.000	10.167	Berber	Afro-Asiatic	Nominal Categories
bgv	Bagvalal	1	Absent	42.583	46.167	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
aml	Ambae (Lolovoli Northeast)	1	Absent	-15.417	167.883	Oceanic	Austronesian	Nominal Categories
tll	Taulil	1	Absent	-4.417	152.083	Taulil	Baining-Taulil	Nominal Categories
abk	Abkhaz	1	Absent	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Nominal Categories
aco	Acoma	1	Absent	34.917	-107.583	Keresan	Keresan	Nominal Categories
agw	Alagwa	1	Absent	-5.500	35.750	Southern Cushitic	Afro-Asiatic	Nominal Categories
ala	Alamblak	1	Absent	-4.667	143.333	Sepik Hill	Sepik	Nominal Categories
alb	Albanian	1	Absent	41.000	20.000	Albanian	Indo-European	Nominal Categories
amk	Amarakaeri	1	Absent	-12.500	-70.500	Harakmbet	Harakmbet	Nominal Categories
amb	Ambulas	1	Absent	-3.833	143.000	Middle Sepik	Sepik	Nominal Categories
ame	Amele	1	Absent	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
amh	Amharic	1	Absent	10.000	38.000	Semitic	Afro-Asiatic	Nominal Categories
ami	Amis	1	Absent	23.333	121.333	Paiwanic	Austronesian	Nominal Categories
apu	Apurinã	1	Absent	-9.000	-67.000	Arawakan	Arawakan	Nominal Categories
arb	Arabela	1	Absent	-2.000	-75.167	Zaparoan	Zaparoan	Nominal Categories
aeg	Arabic (Egyptian)	1	Absent	30.000	31.000	Semitic	Afro-Asiatic	Nominal Categories
amr	Arabic (Moroccan)	1	Absent	34.000	-6.000	Semitic	Afro-Asiatic	Nominal Categories
naj	Neo-Aramaic (Arbel Jewish)	1	Absent	31.750	35.000	Semitic	Afro-Asiatic	Nominal Categories
abo	Arbore	1	Absent	5.000	36.750	Eastern Cushitic	Afro-Asiatic	Nominal Categories
arm	Armenian (Eastern)	1	Absent	40.000	45.000	Armenian	Indo-European	Nominal Categories
aro	Arosi	1	Absent	-10.250	161.333	Oceanic	Austronesian	Nominal Categories
atk	Atakapa	1	Absent	30.000	-93.500	Atakapa	Atakapa	Nominal Categories
ata	Atayal	1	Absent	24.500	121.333	Atayalic	Austronesian	Nominal Categories
ava	Avar	1	Absent	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
awt	Awtuw	1	Absent	-3.583	142.000	Ram	Sepik	Nominal Categories
mli	Mali	1	Absent	-4.833	152.250	Baining	Baining-Taulil	Nominal Categories
brl	Baragaunle	1	Absent	28.833	83.833	Bodic	Sino-Tibetan	Nominal Categories
bae	Baré	1	Absent	1.000	-67.000	Arawakan	Arawakan	Nominal Categories
bsq	Basque	1	Absent	43.000	-3.000	Basque	Basque	Nominal Categories
brh	Brahui	1	Absent	28.500	67.000	Northern Dravidian	Dravidian	Nominal Categories
bul	Bulgarian	1	Absent	42.500	25.000	Slavic	Indo-European	Nominal Categories
but	Buriat	1	Absent	52.000	108.000	Mongolic	Altaic	Nominal Categories
bur	Burushaski	1	Absent	36.500	74.500	Burushaski	Burushaski	Nominal Categories
ckr	Canela-Krahô	1	Absent	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Nominal Categories
cap	Capanahua	1	Absent	-7.000	-74.000	Panoan	Panoan	Nominal Categories
cyv	Cayuvava	1	Absent	-13.500	-65.500	Cayuvava	Cayuvava	Nominal Categories
cha	Chamorro	1	Absent	13.450	144.750	Chamorro	Austronesian	Nominal Categories
chc	Chechen	1	Absent	43.250	45.833	Nakh	Nakh-Daghestanian	Nominal Categories
cpn	Chepang	1	Absent	27.667	84.750	Bodic	Sino-Tibetan	Nominal Categories
cjo	Chichimeca-Jonaz	1	Absent	21.667	-100.500	Chichimec	Oto-Manguean	Nominal Categories
chi	Chimariko	1	Absent	41.000	-123.000	Chimariko	Hokan	Nominal Categories
ctm	Chitimacha	1	Absent	29.667	-91.000	Chitimacha	Chitimacha	Nominal Categories
cct	Choctaw	1	Absent	32.250	-88.500	Muskogean	Muskogean	Nominal Categories
chk	Chukchi	1	Absent	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
cba	Chumash (Barbareño)	1	Absent	34.500	-120.250	Chumash	Chumash	Nominal Categories
cin	Chumash (Ineseño)	1	Absent	34.667	-120.250	Chumash	Chumash	Nominal Categories
chv	Chuvash	1	Absent	55.500	47.500	Turkic	Altaic	Nominal Categories
coo	Coos (Hanis)	1	Absent	43.500	-124.167	Coosan	Oregon Coast	Nominal Categories
cre	Cree (Plains)	1	Absent	54.000	-110.000	Algonquian	Algic	Nominal Categories
cul	Culina	1	Absent	-6.000	-70.500	Arauan	Arauan	Nominal Categories
dga	Dagaare	1	Absent	10.500	-2.667	Gur	Niger-Congo	Nominal Categories
drg	Dargwa	1	Absent	42.250	47.417	Lak-Dargwa	Nakh-Daghestanian	Nominal Categories
dat	Datooga	1	Absent	-4.333	35.333	Nilotic	Nilo-Saharan	Nominal Categories
den	Dení	1	Absent	-6.000	-67.000	Arauan	Arauan	Nominal Categories
luo	Luo	1	Absent	-0.500	34.750	Nilotic	Nilo-Saharan	Nominal Categories
diz	Dizi	1	Absent	6.167	36.500	North Omotic	Afro-Asiatic	Nominal Categories
jam	Jaminjung	1	Absent	-15.083	130.500	Jaminjungan	Australian	Nominal Categories
dji	Djingili	1	Absent	-17.750	134.000	West Barkly	Australian	Nominal Categories
dre	Drehu	1	Absent	-21.000	167.250	Oceanic	Austronesian	Nominal Categories
dyi	Dyirbal	1	Absent	-17.833	145.583	Pama-Nyungan	Australian	Nominal Categories
eng	English	1	Absent	52.000	0.000	Germanic	Indo-European	Nominal Categories
epe	Epena Pedee	1	Absent	3.000	-77.000	Choco	Choco	Nominal Categories
err	Erromangan	1	Absent	-18.833	169.167	Oceanic	Austronesian	Nominal Categories
eve	Evenki	1	Absent	56.000	125.000	Tungusic	Altaic	Nominal Categories
fij	Fijian	1	Absent	-17.833	178.000	Oceanic	Austronesian	Nominal Categories
fin	Finnish	1	Absent	62.000	25.000	Finnic	Uralic	Nominal Categories
fre	French	1	Absent	48.000	2.000	Romance	Indo-European	Nominal Categories
fma	Fula (Mauritanian)	1	Absent	16.500	-13.750	Northern Atlantic	Niger-Congo	Nominal Categories
fur	Fur	1	Absent	13.500	25.000	Fur	Nilo-Saharan	Nominal Categories
