Gil, David. 2011. Conjunctions and Universal Quantifiers.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 56A.
Available online at http://wals.info/feature/56A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
amr	Arabic (Moroccan)	1	Formally different	34.000	-6.000	Semitic	Afro-Asiatic	Nominal Categories
arm	Armenian (Eastern)	1	Formally different	40.000	45.000	Armenian	Indo-European	Nominal Categories
bae	Baré	1	Formally different	1.000	-67.000	Arawakan	Arawakan	Nominal Categories
bsq	Basque	1	Formally different	43.000	-3.000	Basque	Basque	Nominal Categories
brh	Brahui	1	Formally different	28.500	67.000	Northern Dravidian	Dravidian	Nominal Categories
jam	Jaminjung	1	Formally different	-15.083	130.500	Jaminjungan	Australian	Nominal Categories
epe	Epena Pedee	1	Formally different	3.000	-77.000	Choco	Choco	Nominal Categories
fre	French	1	Formally different	48.000	2.000	Romance	Indo-European	Nominal Categories
gaa	Gaagudju	1	Formally different	-12.583	132.833	Gaagudju	Australian	Nominal Categories
geo	Georgian	1	Formally different	42.000	44.000	Kartvelian	Kartvelian	Nominal Categories
hai	Haida	1	Formally different	53.000	-132.000	Haida	Haida	Nominal Categories
hix	Hixkaryana	1	Formally different	-1.000	-59.000	Cariban	Cariban	Nominal Categories
hzb	Hunzib	1	Formally different	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
ika	Ika	1	Formally different	10.667	-73.750	Aruak	Chibchan	Nominal Categories
kut	Kutenai	1	Formally different	49.500	-116.000	Kutenai	Kutenai	Nominal Categories
lan	Lango	1	Formally different	2.167	33.000	Nilotic	Nilo-Saharan	Nominal Categories
lat	Latvian	1	Formally different	57.000	24.000	Baltic	Indo-European	Nominal Categories
mao	Maori	1	Formally different	-40.000	176.000	Oceanic	Austronesian	Nominal Categories
mar	Maricopa	1	Formally different	33.167	-113.167	Yuman	Hokan	Nominal Categories
mau	Maung	1	Formally different	-11.917	133.500	Iwaidjan	Australian	Nominal Categories
may	Maybrat	1	Formally different	-1.333	132.500	North-Central Bird's Head	West Papuan	Nominal Categories
nht	Nahuatl (Tetelcingo)	1	Formally different	19.667	-99.000	Aztecan	Uto-Aztecan	Nominal Categories
kho	Khoekhoe	1	Formally different	-25.500	18.000	Central Khoisan	Khoisan	Nominal Categories
ndy	Ndyuka	1	Formally different	4.500	-54.500	Creoles and Pidgins	other	Nominal Categories
pba	Pima Bajo	1	Formally different	29.000	-111.000	Tepiman	Uto-Aztecan	Nominal Categories
nbd	Nubian (Dongolese)	1	Formally different	18.250	30.750	Nubian	Nilo-Saharan	Nominal Categories
pnr	Panare	1	Formally different	6.500	-66.000	Cariban	Cariban	Nominal Categories
qim	Quechua (Imbabura)	1	Formally different	0.333	-78.000	Quechuan	Quechuan	Nominal Categories
saw	Sawu	1	Formally different	-11.500	121.917	Central Malayo-Polynesian	Austronesian	Nominal Categories
sml	Semelai	1	Formally different	3.000	103.000	Aslian	Austro-Asiatic	Nominal Categories
kch	Koyra Chiini	1	Formally different	17.000	-3.000	Songhay	Nilo-Saharan	Nominal Categories
tps	Tepehuan (Southeastern)	1	Formally different	23.000	-104.500	Tepiman	Uto-Aztecan	Nominal Categories
trb	Teribe	1	Formally different	9.333	-82.667	Talamanca	Chibchan	Nominal Categories
tiw	Tiwi	1	Formally different	-11.500	131.000	Tiwian	Australian	Nominal Categories
tuk	Tukang Besi	1	Formally different	-5.500	123.500	Sulawesi	Austronesian	Nominal Categories
tur	Turkish	1	Formally different	39.000	35.000	Turkic	Altaic	Nominal Categories
vaf	Vafsi	1	Formally different	34.667	49.917	Iranian	Indo-European	Nominal Categories
war	Wari'	1	Formally different	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Nominal Categories
was	Washo	1	Formally different	39.250	-120.000	Washo	Washo	Nominal Categories
yim	Yimas	1	Formally different	-4.667	143.550	Lower Sepik	Lower Sepik-Ramu	Nominal Categories
abu	Abun	2	Formally similar, without interrogative	-0.500	132.500	North-Central Bird's Head	West Papuan	Nominal Categories
ame	Amele	2	Formally similar, without interrogative	-5.250	145.583	Madang	Trans-New Guinea	Nominal Categories
bsk	Bashkir	2	Formally similar, without interrogative	53.000	58.000	Turkic	Altaic	Nominal Categories
bkr	Batak (Karo)	2	Formally similar, without interrogative	3.250	98.250	Sumatra	Austronesian	Nominal Categories
chk	Chukchi	2	Formally similar, without interrogative	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
dut	Dutch	2	Formally similar, without interrogative	52.500	6.000	Germanic	Indo-European	Nominal Categories
eng	English	2	Formally similar, without interrogative	52.000	0.000	Germanic	Indo-European	Nominal Categories
