Dryer, Matthew S.. 2011. Position of Pronominal Possessive Affixes.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 57A.
Available online at http://wals.info/feature/57A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
ijo	Ijo (Kolokuma)	1	Possessive prefixes	4.917	5.667	Ijoid	Niger-Congo	Nominal Categories
mba	Mba	1	Possessive prefixes	1.000	25.000	Ubangi	Niger-Congo	Nominal Categories
akn	Akan	1	Possessive prefixes	6.500	-1.250	Kwa	Niger-Congo	Nominal Categories
run	Runga	1	Possessive prefixes	10.333	21.000	Maban	Nilo-Saharan	Nominal Categories
kmj	Karimojong	1	Possessive prefixes	3.000	34.167	Nilotic	Nilo-Saharan	Nominal Categories
mmv	Mamvu	1	Possessive prefixes	3.250	29.000	Mangbutu-Efe	Nilo-Saharan	Nominal Categories
ldu	Lendu	1	Possessive prefixes	2.000	30.500	Lendu	Nilo-Saharan	Nominal Categories
ain	Ainu	1	Possessive prefixes	43.000	143.000	Ainu	Ainu	Nominal Categories
niv	Nivkh	1	Possessive prefixes	53.333	142.000	Nivkh	Nivkh	Nominal Categories
ket	Ket	1	Possessive prefixes	64.000	87.000	Yeniseian	Yeniseian	Nominal Categories
uby	Ubykh	1	Possessive prefixes	43.667	39.667	Northwest Caucasian	Northwest Caucasian	Nominal Categories
abk	Abkhaz	1	Possessive prefixes	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Nominal Categories
ady	Adyghe (Abzakh)	1	Possessive prefixes	45.233	40.583	Northwest Caucasian	Northwest Caucasian	Nominal Categories
bur	Burushaski	1	Possessive prefixes	36.500	74.500	Burushaski	Burushaski	Nominal Categories
kbw	Karen (Bwe)	1	Possessive prefixes	19.500	97.000	Karen	Sino-Tibetan	Nominal Categories
kmh	Kham	1	Possessive prefixes	28.500	82.750	Bodic	Sino-Tibetan	Nominal Categories
cml	Camling	1	Possessive prefixes	27.000	86.667	Bodic	Sino-Tibetan	Nominal Categories
dmi	Dumi	1	Possessive prefixes	27.250	86.667	Bodic	Sino-Tibetan	Nominal Categories
khg	Khaling	1	Possessive prefixes	27.500	86.667	Bodic	Sino-Tibetan	Nominal Categories
ath	Athpare	1	Possessive prefixes	27.000	87.333	Bodic	Sino-Tibetan	Nominal Categories
bel	Belhare	1	Possessive prefixes	26.967	87.300	Bodic	Sino-Tibetan	Nominal Categories
bod	Bodo	1	Possessive prefixes	26.833	92.000	Bodo-Garo	Sino-Tibetan	Nominal Categories
kok	Kokborok	1	Possessive prefixes	24.333	92.500	Bodo-Garo	Sino-Tibetan	Nominal Categories
chg	Chang	1	Possessive prefixes	26.333	94.750	Northern Naga	Sino-Tibetan	Nominal Categories
mei	Meithei	1	Possessive prefixes	24.750	94.000	Kuki-Chin	Sino-Tibetan	Nominal Categories
mik	Mikir	1	Possessive prefixes	26.333	93.500	Kuki-Chin	Sino-Tibetan	Nominal Categories
ao	Ao	1	Possessive prefixes	26.583	94.667	Kuki-Chin	Sino-Tibetan	Nominal Categories
sem	Sema	1	Possessive prefixes	26.000	94.500	Kuki-Chin	Sino-Tibetan	Nominal Categories
cti	Chin (Tiddim)	1	Possessive prefixes	23.333	93.667	Kuki-Chin	Sino-Tibetan	Nominal Categories
tgn	Tugun	1	Possessive prefixes	-7.717	126.750	Central Malayo-Polynesian	Austronesian	Nominal Categories
irr	Irarutu	1	Possessive prefixes	-3.000	133.500	South Halmahera - West New Guinea	Austronesian	Nominal Categories
gan	Great Andamanese	1	Possessive prefixes	12.000	92.667	Great Andamanese	Great Andamanese	Nominal Categories
jrw	Jarawa (in Andamans)	1	Possessive prefixes	12.000	92.583	South Andamanese	South Andamanese	Nominal Categories
aga	Agarabi	1	Possessive prefixes	-6.167	146.000	Eastern Highlands	Trans-New Guinea	Nominal Categories
gds	Gadsup	1	Possessive prefixes	-6.250	146.000	Eastern Highlands	Trans-New Guinea	Nominal Categories
awa	Awa	1	Possessive prefixes	-6.667	145.750	Eastern Highlands	Trans-New Guinea	Nominal Categories
trr	Tairora	1	Possessive prefixes	-6.500	146.000	Eastern Highlands	Trans-New Guinea	Nominal Categories
kmr	Kamoro	1	Possessive prefixes	-4.333	136.000	Asmat-Kamoro	Trans-New Guinea	Nominal Categories
krw	Korowai	1	Possessive prefixes	-5.250	140.000	Awju-Dumut	Trans-New Guinea	Nominal Categories
wbn	Wambon	1	Possessive prefixes	-5.500	140.417	Awju-Dumut	Trans-New Guinea	Nominal Categories
kmb	Kombai	1	Possessive prefixes	-5.583	140.000	Awju-Dumut	Trans-New Guinea	Nominal Categories
bry	Baruya	1	Possessive prefixes	-6.917	145.917	Angan	Trans-New Guinea	Nominal Categories
ham	Hamtai	1	Possessive prefixes	-7.500	146.250	Angan	Trans-New Guinea	Nominal Categories
boa	Boazi	1	Possessive prefixes	-7.000	141.333	Marind Proper	Marind	Nominal Categories
mrd	Marind	1	Possessive prefixes	-7.833	140.167	Marind Proper	Marind	Nominal Categories
yqy	Yaqay	1	Possessive prefixes	-6.583	139.250	Marind Proper	Marind	Nominal Categories
dni	Dani (Lower Grand Valley)	1	Possessive prefixes	-4.333	138.833	Dani	Trans-New Guinea	Nominal Categories
mrs	Mairasi	1	Possessive prefixes	-3.500	134.000	Mairasi-Tanahmerah	Trans-New Guinea	Nominal Categories
kob	Kobon	1	Possessive prefixes	-5.167	144.333	Madang	Trans-New Guinea	Nominal Categories
wsk	Waskia	1	Possessive prefixes	-4.500	146.000	Madang	Trans-New Guinea	Nominal Categories
amx	Anamuxra	1	Possessive prefixes	-4.667	145.000	Madang	Trans-New Guinea	Nominal Categories
tau	Tauya	1	Possessive prefixes	-5.750	145.333	Madang	Trans-New Guinea	Nominal Categories
una	Una	1	Possessive prefixes	-4.667	140.000	Mek	Trans-New Guinea	Nominal Categories
may	Maybrat	1	Possessive prefixes	-1.333	132.500	North-Central Bird's Head	West Papuan	Nominal Categories
hat	Hatam	1	Possessive prefixes	-1.000	134.000	Hatam	West Papuan	Nominal Categories
mpu	Mpur	1	Possessive prefixes	-0.750	133.250	Kebar	West Papuan	Nominal Categories
tid	Tidore	1	Possessive prefixes	0.750	127.500	North Halmaheran	West Papuan	Nominal Categories
wma	West Makian	1	Possessive prefixes	0.500	127.583	North Halmaheran	West Papuan	Nominal Categories
sgb	Sougb	1	Possessive prefixes	-1.500	134.000	East Bird's Head	East Bird's Head	Nominal Categories
mea	Meyah	1	Possessive prefixes	-1.167	133.500	East Bird's Head	East Bird's Head	Nominal Categories
yel	Yelî Dnye	1	Possessive prefixes	-11.367	154.167	Yele	Yele	Nominal Categories
lav	Lavukaleve	1	Possessive prefixes	-9.083	159.200	Lavukaleve	Solomons East Papuan	Nominal Categories
bil	Bilua	1	Possessive prefixes	-7.750	156.667	Bilua	Solomons East Papuan	Nominal Categories
sul	Sulka	1	Possessive prefixes	-5.083	151.917	Sulka	Sulka	Nominal Categories
nas	Nasioi	1	Possessive prefixes	-6.333	155.583	East Bougainville	East Bougainville	Nominal Categories
bun	Buin	1	Possessive prefixes	-6.750	155.750	East Bougainville	East Bougainville	Nominal Categories
mot	Motuna	1	Possessive prefixes	-6.617	155.417	East Bougainville	East Bougainville	Nominal Categories
nag	Nagatman	1	Possessive prefixes	-3.750	141.500	Yale	Yale	Nominal Categories
iwa	Iwaidja	1	Possessive prefixes	-11.500	132.667	Iwaidjan	Australian	Nominal Categories
mau	Maung	1	Possessive prefixes	-11.917	133.500	Iwaidjan	Australian	Nominal Categories
bua	Burarra	1	Possessive prefixes	-12.250	134.583	Burarran	Australian	Nominal Categories
gnn	Gunin	1	Possessive prefixes	-14.250	126.667	Wororan	Australian	Nominal Categories
tli	Tlingit	1	Possessive prefixes	59.000	-135.000	Tlingit	Na-Dene	Nominal Categories
tnc	Tanacross	1	Possessive prefixes	63.500	-143.500	Athapaskan	Na-Dene	Nominal Categories
hup	Hupa	1	Possessive prefixes	41.083	-123.667	Athapaskan	Na-Dene	Nominal Categories
sla	Slave	1	Possessive prefixes	67.000	-125.000	Athapaskan	Na-Dene	Nominal Categories
chp	Chipewyan	1	Possessive prefixes	59.000	-106.000	Athapaskan	Na-Dene	Nominal Categories
src	Sarcee	1	Possessive prefixes	52.500	-116.000	Athapaskan	Na-Dene	Nominal Categories
nav	Navajo	1	Possessive prefixes	36.167	-108.000	Athapaskan	Na-Dene	Nominal Categories
wiy	Wiyot	1	Possessive prefixes	40.833	-124.167	Wiyot	Algic	Nominal Categories
yur	Yurok	1	Possessive prefixes	41.333	-124.000	Yurok	Algic	Nominal Categories
bla	Blackfoot	1	Possessive prefixes	50.000	-112.667	Algonquian	Algic	Nominal Categories
cre	Cree (Plains)	1	Possessive prefixes	54.000	-110.000	Algonquian	Algic	Nominal Categories
men	Menomini	1	Possessive prefixes	45.500	-88.333	Algonquian	Algic	Nominal Categories
cmx	Comox	1	Possessive prefixes	50.167	-125.000	Central Salish	Salishan	Nominal Categories
ksa	Keresan (Santa Ana)	1	Possessive prefixes	35.417	-106.667	Keresan	Keresan	Nominal Categories
aco	Acoma	1	Possessive prefixes	34.917	-107.583	Keresan	Keresan	Nominal Categories
yuc	Yuchi	1	Possessive prefixes	35.750	-86.750	Yuchi	Yuchi	Nominal Categories
mdn	Mandan	1	Possessive prefixes	46.500	-102.500	Siouan	Siouan	Nominal Categories
cro	Crow	1	Possessive prefixes	47.000	-108.000	Siouan	Siouan	Nominal Categories
