Bickel, Balthasar & Nichols, Johanna. 2011. Number of Possessive Nouns.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 58B.
Available online at http://wals.info/feature/58B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	None reported	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Nominal Syntax
aco	Acoma	1	None reported	34.917	-107.583	Keresan	Keresan	Nominal Syntax
ain	Ainu	1	None reported	43.000	143.000	Ainu	Ainu	Nominal Syntax
ala	Alamblak	1	None reported	-4.667	143.333	Sepik Hill	Sepik	Nominal Syntax
alw	Alawa	1	None reported	-15.167	134.250	Maran	Australian	Nominal Syntax
ame	Amele	1	None reported	-5.250	145.583	Madang	Trans-New Guinea	Nominal Syntax
amh	Amharic	1	None reported	10.000	38.000	Semitic	Afro-Asiatic	Nominal Syntax
ane	Anêm	1	None reported	-5.583	149.083	Anêm	Anêm	Nominal Syntax
apu	Apurinã	1	None reported	-9.000	-67.000	Arawakan	Arawakan	Nominal Syntax
aeg	Arabic (Egyptian)	1	None reported	30.000	31.000	Semitic	Afro-Asiatic	Nominal Syntax
arm	Armenian (Eastern)	1	None reported	40.000	45.000	Armenian	Indo-European	Nominal Syntax
amp	Arrernte (Mparntwe)	1	None reported	-24.000	136.000	Pama-Nyungan	Australian	Nominal Syntax
asm	Asmat	1	None reported	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Nominal Syntax
awp	Awa Pit	1	None reported	1.500	-78.250	Barbacoan	Barbacoan	Nominal Syntax
awt	Awtuw	1	None reported	-3.583	142.000	Ram	Sepik	Nominal Syntax
aym	Aymara	1	None reported	-17.000	-69.000	Aymaran	Aymaran	Nominal Syntax
bag	Bagirmi	1	None reported	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Nominal Syntax
baa	Barai	1	None reported	-9.333	148.083	Koiarian	Trans-New Guinea	Nominal Syntax
brs	Barasano	1	None reported	-0.167	-70.667	Tucanoan	Tucanoan	Nominal Syntax
bsq	Basque	1	None reported	43.000	-3.000	Basque	Basque	Nominal Syntax
bzi	Bauzi	1	None reported	-2.500	137.500	East Geelvink Bay	East Geelvink Bay	Nominal Syntax
bej	Beja	1	None reported	18.000	36.000	Beja	Afro-Asiatic	Nominal Syntax
bel	Belhare	1	None reported	26.967	87.300	Bodic	Sino-Tibetan	Nominal Syntax
brk	Berik	1	None reported	-2.250	138.833	Tor	Tor-Orya	Nominal Syntax
boa	Boazi	1	None reported	-7.000	141.333	Marind Proper	Marind	Nominal Syntax
brr	Bororo	1	None reported	-16.000	-57.000	Bororo	Macro-Ge	Nominal Syntax
brh	Brahui	1	None reported	28.500	67.000	Northern Dravidian	Dravidian	Nominal Syntax
arp	Arapesh (Mountain)	1	None reported	-3.467	143.167	Kombio-Arapesh	Torricelli	Nominal Syntax
