Nichols, Johanna & Bickel, Balthasar. 2011. Possessive Classification.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 59A.
Available online at http://wals.info/feature/59A
Accessed on 2013-11-03.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	No possessive classification	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Nominal Syntax
aco	Acoma	1	No possessive classification	34.917	-107.583	Keresan	Keresan	Nominal Syntax
ain	Ainu	1	No possessive classification	43.000	143.000	Ainu	Ainu	Nominal Syntax
ala	Alamblak	1	No possessive classification	-4.667	143.333	Sepik Hill	Sepik	Nominal Syntax
amh	Amharic	1	No possessive classification	10.000	38.000	Semitic	Afro-Asiatic	Nominal Syntax
apu	Apurinã	1	No possessive classification	-9.000	-67.000	Arawakan	Arawakan	Nominal Syntax
aeg	Arabic (Egyptian)	1	No possessive classification	30.000	31.000	Semitic	Afro-Asiatic	Nominal Syntax
arm	Armenian (Eastern)	1	No possessive classification	40.000	45.000	Armenian	Indo-European	Nominal Syntax
awp	Awa Pit	1	No possessive classification	1.500	-78.250	Barbacoan	Barbacoan	Nominal Syntax
awt	Awtuw	1	No possessive classification	-3.583	142.000	Ram	Sepik	Nominal Syntax
aym	Aymara	1	No possessive classification	-17.000	-69.000	Aymaran	Aymaran	Nominal Syntax
bag	Bagirmi	1	No possessive classification	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Nominal Syntax
baa	Barai	1	No possessive classification	-9.333	148.083	Koiarian	Trans-New Guinea	Nominal Syntax
bsq	Basque	1	No possessive classification	43.000	-3.000	Basque	Basque	Nominal Syntax
bzi	Bauzi	1	No possessive classification	-2.500	137.500	East Geelvink Bay	East Geelvink Bay	Nominal Syntax
bej	Beja	1	No possessive classification	18.000	36.000	Beja	Afro-Asiatic	Nominal Syntax
bel	Belhare	1	No possessive classification	26.967	87.300	Bodic	Sino-Tibetan	Nominal Syntax
brk	Berik	1	No possessive classification	-2.250	138.833	Tor	Tor-Orya	Nominal Syntax
brh	Brahui	1	No possessive classification	28.500	67.000	Northern Dravidian	Dravidian	Nominal Syntax
arp	Arapesh (Mountain)	1	No possessive classification	-3.467	143.167	Kombio-Arapesh	Torricelli	Nominal Syntax
brm	Burmese	1	No possessive classification	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Nominal Syntax
cax	Campa (Axininca)	1	No possessive classification	-12.000	-74.000	Arawakan	Arawakan	Nominal Syntax
