Maddieson, Ian. 2011. Voicing and Gaps in Plosive Systems.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 5A.
Available online at http://wals.info/feature/5A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	1	Other	-29.000	-61.000	Guaicuruan	Guaicuruan	Phonology
ach	Aché	1	Other	-25.250	-55.167	Tupi-Guaraní	Tupian	Phonology
acm	Achumawi	1	Other	41.500	-121.000	Palaihnihan	Hokan	Phonology
aco	Acoma	1	Other	34.917	-107.583	Keresan	Keresan	Phonology
aht	Ahtna	1	Other	62.000	-145.000	Athapaskan	Na-Dene	Phonology
ain	Ainu	1	Other	43.000	143.000	Ainu	Ainu	Phonology
abm	Alabama	1	Other	32.333	-87.417	Muskogean	Muskogean	Phonology
alw	Alawa	1	Other	-15.167	134.250	Maran	Australian	Phonology
aea	Aleut (Eastern)	1	Other	54.750	-164.000	Aleut	Eskimo-Aleut	Phonology
amc	Amahuaca	1	Other	-10.500	-72.500	Panoan	Panoan	Phonology
amu	Amuesha	1	Other	-10.500	-75.417	Arawakan	Arawakan	Phonology
amz	Amuzgo	1	Other	16.833	-98.000	Amuzgoan	Oto-Manguean	Phonology
ant	Angaatiha	1	Other	-7.217	146.250	Angan	Trans-New Guinea	Phonology
ao	Ao	1	Other	26.583	94.667	Kuki-Chin	Sino-Tibetan	Phonology
api	Apinayé	1	Other	-5.500	-48.000	Ge-Kaingang	Macro-Ge	Phonology
apu	Apurinã	1	Other	-9.000	-67.000	Arawakan	Arawakan	Phonology
arb	Arabela	1	Other	-2.000	-75.167	Zaparoan	Zaparoan	Phonology
arc	Archi	1	Other	42.000	46.833	Lezgic	Nakh-Daghestanian	Phonology
arm	Armenian (Eastern)	1	Other	40.000	45.000	Armenian	Indo-European	Phonology
asm	Asmat	1	Other	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Phonology
ata	Atayal	1	Other	24.500	121.333	Atayalic	Austronesian	Phonology
ava	Avar	1	Other	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
awp	Awa Pit	1	Other	1.500	-78.250	Barbacoan	Barbacoan	Phonology
aym	Aymara	1	Other	-17.000	-69.000	Aymaran	Aymaran	Phonology
bai	Bai	1	Other	26.000	100.000	Bai	Sino-Tibetan	Phonology
bng	Baining	1	Other	-4.583	152.000	Baining	Baining-Taulil	Phonology
byu	Bandjalang (Yugumbir)	1	Other	-27.917	153.000	Pama-Nyungan	Australian	Phonology
brd	Bardi	1	Other	-16.583	122.917	Nyulnyulan	Australian	Phonology
ttu	Tsova-Tush	1	Other	42.500	45.500	Nakh	Nakh-Daghestanian	Phonology
bee	Beembe	1	Other	-3.917	14.083	Bantoid	Niger-Congo	Phonology
bco	Bella Coola	1	Other	52.500	-126.667	Bella Coola	Salishan	Phonology
ber	Berta	1	Other	10.333	34.667	Berta	Nilo-Saharan	Phonology
bra	Brao	1	Other	14.167	107.500	Bahnaric	Austro-Asiatic	Phonology
bua	Burarra	1	Other	-12.250	134.583	Burarran	Australian	Phonology
cac	Cacua	1	Other	1.083	-70.000	Cacua-Nukak	Cacua-Nukak	Phonology
