Gil, David. 2011. Genitives, Adjectives and Relative Clauses.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 60A.
Available online at http://wals.info/feature/60A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
beg	Begak-Ida'an	1	Weakly differentiated	5.250	118.833	Northwest Malayo-Polynesian	Austronesian	Nominal Syntax
khm	Khmer	1	Weakly differentiated	12.500	105.000	Khmer	Austro-Asiatic	Nominal Syntax
cnt	Cantonese	1	Weakly differentiated	23.000	113.000	Chinese	Sino-Tibetan	Nominal Syntax
cme	Cham (Eastern)	1	Weakly differentiated	11.333	108.500	Malayic	Austronesian	Nominal Syntax
hok	Hokkien	1	Weakly differentiated	25.000	118.000	Chinese	Sino-Tibetan	Nominal Syntax
mnd	Mandarin	1	Weakly differentiated	34.000	110.000	Chinese	Sino-Tibetan	Nominal Syntax
ind	Indonesian	1	Weakly differentiated	0.000	106.000	Malayic	Austronesian	Nominal Syntax
lan	Lango	1	Weakly differentiated	2.167	33.000	Nilotic	Nilo-Saharan	Nominal Syntax
lov	Loven	1	Weakly differentiated	15.000	106.333	Bahnaric	Austro-Asiatic	Nominal Syntax
may	Maybrat	1	Weakly differentiated	-1.333	132.500	North-Central Bird's Head	West Papuan	Nominal Syntax
min	Minangkabau	1	Weakly differentiated	-1.000	101.000	Malayic	Austronesian	Nominal Syntax
mos	Mosetén	1	Weakly differentiated	-14.750	-67.833	Mosetenan	Mosetenan	Nominal Syntax
ngz	Ngizim	1	Weakly differentiated	12.083	10.917	West Chadic	Afro-Asiatic	Nominal Syntax
pad	Padoe	1	Weakly differentiated	-2.333	121.333	Sulawesi	Austronesian	Nominal Syntax
sml	Semelai	1	Weakly differentiated	3.000	103.000	Aslian	Austro-Asiatic	Nominal Syntax
gil	Gilaki	2	Genitives and adjectives collapsed	37.333	50.000	Iranian	Indo-European	Nominal Syntax
jpn	Japanese	2	Genitives and adjectives collapsed	37.000	140.000	Japanese	Japanese	Nominal Syntax
mzn	Mazanderani	2	Genitives and adjectives collapsed	36.500	52.000	Iranian	Indo-European	Nominal Syntax
ndy	Ndyuka	2	Genitives and adjectives collapsed	4.500	-54.500	Creoles and Pidgins	other	Nominal Syntax
prs	Persian	2	Genitives and adjectives collapsed	32.000	54.000	Iranian	Indo-European	Nominal Syntax
rcp	Russian-Chinese Pidgin (Birobidjan)	2	Genitives and adjectives collapsed	48.800	132.950	Creoles and Pidgins	other	Nominal Syntax
swv	Swedish (Västerbotten)	2	Genitives and adjectives collapsed	64.250	19.750	Germanic	Indo-European	Nominal Syntax
yag	Yagua	2	Genitives and adjectives collapsed	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Nominal Syntax
naj	Neo-Aramaic (Arbel Jewish)	3	Genitives and relative clauses collapsed	31.750	35.000	Semitic	Afro-Asiatic	Nominal Syntax
brm	Burmese	3	Genitives and relative clauses collapsed	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Nominal Syntax
ain	Ainu	4	Adjectives and relative clauses collapsed	43.000	143.000	Ainu	Ainu	Nominal Syntax
ame	Amele	4	Adjectives and relative clauses collapsed	-5.250	145.583	Madang	Trans-New Guinea	Nominal Syntax
bal	Balinese	4	Adjectives and relative clauses collapsed	-8.333	115.250	Bali-Sasak	Austronesian	Nominal Syntax
