Gil, David. 2011. Adjectives without Nouns.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 61A.
Available online at http://wals.info/feature/61A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
kay	Kayardild	1	Not without noun	-17.050	139.500	Tangkic	Australian	Nominal Syntax
abk	Abkhaz	2	Without marking	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Nominal Syntax
aly	Alyawarra	2	Without marking	-22.500	135.000	Pama-Nyungan	Australian	Nominal Syntax
ame	Amele	2	Without marking	-5.250	145.583	Madang	Trans-New Guinea	Nominal Syntax
amr	Arabic (Moroccan)	2	Without marking	34.000	-6.000	Semitic	Afro-Asiatic	Nominal Syntax
ava	Avar	2	Without marking	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Syntax
awp	Awa Pit	2	Without marking	1.500	-78.250	Barbacoan	Barbacoan	Nominal Syntax
bae	Baré	2	Without marking	1.000	-67.000	Arawakan	Arawakan	Nominal Syntax
bsq	Basque	2	Without marking	43.000	-3.000	Basque	Basque	Nominal Syntax
brm	Burmese	2	Without marking	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Nominal Syntax
cha	Chamorro	2	Without marking	13.450	144.750	Chamorro	Austronesian	Nominal Syntax
drg	Dargwa	2	Without marking	42.250	47.417	Lak-Dargwa	Nakh-Daghestanian	Nominal Syntax
jam	Jaminjung	2	Without marking	-15.083	130.500	Jaminjungan	Australian	Nominal Syntax
dyi	Dyirbal	2	Without marking	-17.833	145.583	Pama-Nyungan	Australian	Nominal Syntax
eve	Evenki	2	Without marking	56.000	125.000	Tungusic	Altaic	Nominal Syntax
fin	Finnish	2	Without marking	62.000	25.000	Finnic	Uralic	Nominal Syntax
fre	French	2	Without marking	48.000	2.000	Romance	Indo-European	Nominal Syntax
gaa	Gaagudju	2	Without marking	-12.583	132.833	Gaagudju	Australian	Nominal Syntax
geo	Georgian	2	Without marking	42.000	44.000	Kartvelian	Kartvelian	Nominal Syntax
goo	Gooniyandi	2	Without marking	-18.333	126.333	Bunuban	Australian	Nominal Syntax
gum	Gumbaynggir	2	Without marking	-30.167	152.500	Pama-Nyungan	Australian	Nominal Syntax
heb	Hebrew (Modern)	2	Without marking	31.500	34.833	Semitic	Afro-Asiatic	Nominal Syntax
hmd	Hmong Daw	2	Without marking	26.000	105.000	Hmong-Mien	Hmong-Mien	Nominal Syntax
hun	Hungarian	2	Without marking	47.000	20.000	Ugric	Uralic	Nominal Syntax
knr	Kanuri	2	Without marking	12.000	13.000	Western Saharan	Nilo-Saharan	Nominal Syntax
kha	Khalkha	2	Without marking	47.000	105.000	Mongolic	Altaic	Nominal Syntax
krf	Korafe	2	Without marking	-9.050	149.083	Binanderean	Trans-New Guinea	Nominal Syntax
kfe	Koromfe	2	Without marking	14.250	-0.917	Gur	Niger-Congo	Nominal Syntax
kut	Kutenai	2	Without marking	49.500	-116.000	Kutenai	Kutenai	Nominal Syntax
lil	Lillooet	2	Without marking	50.750	-122.000	Interior Salish	Salishan	Nominal Syntax
luc	Lucazi	2	Without marking	-14.000	20.000	Bantoid	Niger-Congo	Nominal Syntax
mks	Makassar	2	Without marking	-5.417	119.583	Sulawesi	Austronesian	Nominal Syntax
mmb	Mangap-Mbula	2	Without marking	-5.667	148.083	Oceanic	Austronesian	Nominal Syntax
mrg	Margi	2	Without marking	11.000	13.000	Biu-Mandara	Afro-Asiatic	Nominal Syntax
mar	Maricopa	2	Without marking	33.167	-113.167	Yuman	Hokan	Nominal Syntax
mrt	Martuthunira	2	Without marking	-20.833	116.500	Pama-Nyungan	Australian	Nominal Syntax
mau	Maung	2	Without marking	-11.917	133.500	Iwaidjan	Australian	Nominal Syntax
yes	Yessan-Mayo	2	Without marking	-4.167	142.583	Tama Sepik	Sepik	Nominal Syntax
mbg	Mbugu	2	Without marking	-4.333	38.167	Southern Cushitic	Afro-Asiatic	Nominal Syntax
min	Minangkabau	2	Without marking	-1.000	101.000	Malayic	Austronesian	Nominal Syntax
mos	Mosetén	2	Without marking	-14.750	-67.833	Mosetenan	Mosetenan	Nominal Syntax
nkk	Nakkara	2	Without marking	-12.117	134.417	Nakkara	Australian	Nominal Syntax
kho	Khoekhoe	2	Without marking	-25.500	18.000	Central Khoisan	Khoisan	Nominal Syntax
ngz	Ngizim	2	Without marking	12.083	10.917	West Chadic	Afro-Asiatic	Nominal Syntax
nbd	Nubian (Dongolese)	2	Without marking	18.250	30.750	Nubian	Nilo-Saharan	Nominal Syntax
pnr	Panare	2	Without marking	6.500	-66.000	Cariban	Cariban	Nominal Syntax
ood	O'odham	2	Without marking	32.000	-112.000	Tepiman	Uto-Aztecan	Nominal Syntax
prs	Persian	2	Without marking	32.000	54.000	Iranian	Indo-European	Nominal Syntax
qim	Quechua (Imbabura)	2	Without marking	0.333	-78.000	Quechuan	Quechuan	Nominal Syntax
rus	Russian	2	Without marking	56.000	38.000	Slavic	Indo-European	Nominal Syntax
rcp	Russian-Chinese Pidgin (Birobidjan)	2	Without marking	48.800	132.950	Creoles and Pidgins	other	Nominal Syntax
ses	Sesotho	2	Without marking	-28.000	27.000	Bantoid	Niger-Congo	Nominal Syntax
shk	Shipibo-Konibo	2	Without marking	-7.500	-75.000	Panoan	Panoan	Nominal Syntax
spa	Spanish	2	Without marking	40.000	-4.000	Romance	Indo-European	Nominal Syntax
sup	Supyire	2	Without marking	11.500	-5.583	Gur	Niger-Congo	Nominal Syntax
swa	Swahili	2	Without marking	-6.500	39.000	Bantoid	Niger-Congo	Nominal Syntax
tag	Tagalog	2	Without marking	15.000	121.000	Meso-Philippine	Austronesian	Nominal Syntax
tam	Tamang	2	Without marking	28.000	85.250	Bodic	Sino-Tibetan	Nominal Syntax
tvo	Tatar	2	Without marking	56.000	49.500	Turkic	Altaic	Nominal Syntax
taw	Tawala	2	Without marking	-10.333	150.667	Oceanic	Austronesian	Nominal Syntax
tha	Thai	2	Without marking	16.000	101.000	Kam-Tai	Tai-Kadai	Nominal Syntax
tiw	Tiwi	2	Without marking	-11.500	131.000	Tiwian	Australian	Nominal Syntax
tuk	Tukang Besi	2	Without marking	-5.500	123.500	Sulawesi	Austronesian	Nominal Syntax
tnn	Tunen	2	Without marking	4.750	10.667	Bantoid	Niger-Congo	Nominal Syntax
tur	Turkish	2	Without marking	39.000	35.000	Turkic	Altaic	Nominal Syntax
ura	Ura	2	Without marking	-18.667	169.083	Oceanic	Austronesian	Nominal Syntax
vaf	Vafsi	2	Without marking	34.667	49.917	Iranian	Indo-European	Nominal Syntax
war	Wari'	2	Without marking	-11.333	-65.000	Chapacura-Wanham	Chapacura-Wanham	Nominal Syntax
wat	Watjarri	2	Without marking	-26.000	117.500	Pama-Nyungan	Australian	Nominal Syntax
wir	Wirangu	2	Without marking	-32.000	134.000	Pama-Nyungan	Australian	Nominal Syntax
yid	Yidiny	2	Without marking	-17.000	145.750	Pama-Nyungan	Australian	Nominal Syntax
yim	Yimas	2	Without marking	-4.667	143.550	Lower Sepik	Lower Sepik-Ramu	Nominal Syntax
yng	Yingkarta	2	Without marking	-25.167	114.833	Pama-Nyungan	Australian	Nominal Syntax
zul	Zulu	2	Without marking	-30.000	30.000	Bantoid	Niger-Congo	Nominal Syntax
cba	Chumash (Barbareño)	3	Marked by prefix	34.500	-120.250	Chumash	Chumash	Nominal Syntax
gav	Gavião	3	Marked by prefix	-10.667	-62.000	Monde	Tupian	Nominal Syntax
hat	Hatam	3	Marked by prefix	-1.000	134.000	Hatam	West Papuan	Nominal Syntax
hpd	Hup	3	Marked by prefix	0.167	-69.250	Nadahup	Nadahup	Nominal Syntax
mxc	Mixtec (Chalcatongo)	3	Marked by prefix	17.050	-97.583	Mixtecan	Oto-Manguean	Nominal Syntax
sml	Semelai	3	Marked by prefix	3.000	103.000	Aslian	Austro-Asiatic	Nominal Syntax
kch	Koyra Chiini	3	Marked by prefix	17.000	-3.000	Songhay	Nilo-Saharan	Nominal Syntax
aml	Ambae (Lolovoli Northeast)	4	Marked by suffix	-15.417	167.883	Oceanic	Austronesian	Nominal Syntax
bel	Belhare	4	Marked by suffix	26.967	87.300	Bodic	Sino-Tibetan	Nominal Syntax
cem	Cèmuhî	4	Marked by suffix	-20.833	165.167	Oceanic	Austronesian	Nominal Syntax
hzb	Hunzib	4	Marked by suffix	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Syntax
imo	Imonda	4	Marked by suffix	-3.333	141.167	Border	Border	Nominal Syntax
ing	Ingush	4	Marked by suffix	43.167	45.083	Nakh	Nakh-Daghestanian	Nominal Syntax
kwz	Kwazá	4	Marked by suffix	-12.583	-60.667	Kwaza	Kwaza	Nominal Syntax
lez	Lezgian	4	Marked by suffix	41.667	47.833	Lezgic	Nakh-Daghestanian	Nominal Syntax
ara	Arawak	4	Marked by suffix	5.500	-55.167	Arawakan	Arawakan	Nominal Syntax
nvs	Nivkh (South Sakhalin)	4	Marked by suffix	47.000	142.500	Nivkh	Nivkh	Nominal Syntax
stl	Santali	4	Marked by suffix	24.500	87.000	Munda	Austro-Asiatic	Nominal Syntax
yag	Yagua	4	Marked by suffix	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Nominal Syntax
yko	Yukaghir (Kolyma)	4	Marked by suffix	65.750	150.833	Yukaghir	Yukaghir	Nominal Syntax
agw	Alagwa	5	Marked by preceding word	-5.500	35.750	Southern Cushitic	Afro-Asiatic	Nominal Syntax
alb	Albanian	5	Marked by preceding word	41.000	20.000	Albanian	Indo-European	Nominal Syntax
naj	Neo-Aramaic (Arbel Jewish)	5	Marked by preceding word	31.750	35.000	Semitic	Afro-Asiatic	Nominal Syntax
bal	Balinese	5	Marked by preceding word	-8.333	115.250	Bali-Sasak	Austronesian	Nominal Syntax
bkr	Batak (Karo)	5	Marked by preceding word	3.250	98.250	Sumatra	Austronesian	Nominal Syntax
brn	Burunge	5	Marked by preceding word	-5.333	36.000	Southern Cushitic	Afro-Asiatic	Nominal Syntax
ind	Indonesian	5	Marked by preceding word	0.000	106.000	Malayic	Austronesian	Nominal Syntax
irq	Iraqw	5	Marked by preceding word	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Nominal Syntax
iri	Irish	5	Marked by preceding word	53.000	-8.000	Celtic	Indo-European	Nominal Syntax
jav	Javanese	5	Marked by preceding word	-7.000	111.000	Javanese	Austronesian	Nominal Syntax
lan	Lango	5	Marked by preceding word	2.167	33.000	Nilotic	Nilo-Saharan	Nominal Syntax
lov	Loven	5	Marked by preceding word	15.000	106.333	Bahnaric	Austro-Asiatic	Nominal Syntax
myn	Ma'anyan	5	Marked by preceding word	-2.000	115.000	Barito	Austronesian	Nominal Syntax
mal	Malagasy	5	Marked by preceding word	-20.000	47.000	Barito	Austronesian	Nominal Syntax
may	Maybrat	5	Marked by preceding word	-1.333	132.500	North-Central Bird's Head	West Papuan	Nominal Syntax
nan	Nandi	5	Marked by preceding word	0.250	35.000	Nilotic	Nilo-Saharan	Nominal Syntax
tid	Tidore	5	Marked by preceding word	0.750	127.500	North Halmaheran	West Papuan	Nominal Syntax
vie	Vietnamese	5	Marked by preceding word	10.500	106.500	Viet-Muong	Austro-Asiatic	Nominal Syntax
cnt	Cantonese	6	Marked by following word	23.000	113.000	Chinese	Sino-Tibetan	Nominal Syntax
hok	Hokkien	6	Marked by following word	25.000	118.000	Chinese	Sino-Tibetan	Nominal Syntax
mnd	Mandarin	6	Marked by following word	34.000	110.000	Chinese	Sino-Tibetan	Nominal Syntax
eng	English	6	Marked by following word	52.000	0.000	Germanic	Indo-European	Nominal Syntax
hin	Hindi	6	Marked by following word	25.000	77.000	Indic	Indo-European	Nominal Syntax
kor	Korean	6	Marked by following word	37.500	128.000	Korean	Korean	Nominal Syntax
ndy	Ndyuka	6	Marked by following word	4.500	-54.500	Creoles and Pidgins	other	Nominal Syntax
lai	Lai	7	Marked by mixed or other strategies	22.667	93.667	Kuki-Chin	Sino-Tibetan	Nominal Syntax
chk	Chukchi	7	Marked by mixed or other strategies	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Syntax
epe	Epena Pedee	7	Marked by mixed or other strategies	3.000	-77.000	Choco	Choco	Nominal Syntax
jpn	Japanese	7	Marked by mixed or other strategies	37.000	140.000	Japanese	Japanese	Nominal Syntax
kyl	Kayah Li (Eastern)	7	Marked by mixed or other strategies	19.000	97.500	Karen	Sino-Tibetan	Nominal Syntax
