Koptjevskaja-Tamm, Maria. 2011. Action Nominal Constructions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 62A.
Available online at http://wals.info/feature/62A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
axv	Akhvakh	1	Sentential	42.333	46.333	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Syntax
apu	Apurinã	1	Sentential	-9.000	-67.000	Arawakan	Arawakan	Nominal Syntax
arc	Archi	1	Sentential	42.000	46.833	Lezgic	Nakh-Daghestanian	Nominal Syntax
ava	Avar	1	Sentential	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Syntax
brs	Barasano	1	Sentential	-0.167	-70.667	Tucanoan	Tucanoan	Nominal Syntax
bsq	Basque	1	Sentential	43.000	-3.000	Basque	Basque	Nominal Syntax
bez	Bezhta	1	Sentential	42.083	46.167	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Syntax
bur	Burushaski	1	Sentential	36.500	74.500	Burushaski	Burushaski	Nominal Syntax
ckr	Canela-Krahô	1	Sentential	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Nominal Syntax
chm	Chamalal	1	Sentential	42.550	46.050	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Syntax
god	Godoberi	1	Sentential	42.667	46.083	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Syntax
ing	Ingush	1	Sentential	43.167	45.083	Nakh	Nakh-Daghestanian	Nominal Syntax
kob	Kobon	1	Sentential	-5.167	144.333	Madang	Trans-New Guinea	Nominal Syntax
kor	Korean	1	Sentential	37.500	128.000	Korean	Korean	Nominal Syntax
lak	Lak	1	Sentential	42.167	47.167	Lak-Dargwa	Nakh-Daghestanian	Nominal Syntax
lav	Lavukaleve	1	Sentential	-9.083	159.200	Lavukaleve	Solomons East Papuan	Nominal Syntax
lez	Lezgian	1	Sentential	41.667	47.833	Lezgic	Nakh-Daghestanian	Nominal Syntax
nmb	Nambikuára	1	Sentential	-13.000	-59.000	Nambikuaran	Nambikuaran	Nominal Syntax
nep	Nepali	1	Sentential	28.000	85.000	Indic	Indo-European	Nominal Syntax
niv	Nivkh	1	Sentential	53.333	142.000	Nivkh	Nivkh	Nominal Syntax
prh	Pirahã	1	Sentential	-7.000	-62.000	Mura	Mura	Nominal Syntax
qim	Quechua (Imbabura)	1	Sentential	0.333	-78.000	Quechuan	Quechuan	Nominal Syntax
tml	Tamil	1	Sentential	11.000	78.500	Southern Dravidian	Dravidian	Nominal Syntax
yag	Yagua	1	Sentential	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Nominal Syntax
ysi	Yupik (Sirenik)	1	Sentential	64.500	-174.000	Eskimo	Eskimo-Aleut	Nominal Syntax
ame	Amele	2	Possessive-Accusative	-5.250	145.583	Madang	Trans-New Guinea	Nominal Syntax
amh	Amharic	2	Possessive-Accusative	10.000	38.000	Semitic	Afro-Asiatic	Nominal Syntax
arm	Armenian (Eastern)	2	Possessive-Accusative	40.000	45.000	Armenian	Indo-European	Nominal Syntax
but	Buriat	2	Possessive-Accusative	52.000	108.000	Mongolic	Altaic	Nominal Syntax
eve	Evenki	2	Possessive-Accusative	56.000	125.000	Tungusic	Altaic	Nominal Syntax
hin	Hindi	2	Possessive-Accusative	25.000	77.000	Indic	Indo-European	Nominal Syntax
kha	Khalkha	2	Possessive-Accusative	47.000	105.000	Mongolic	Altaic	Nominal Syntax
kro	Krongo	2	Possessive-Accusative	10.500	30.000	Kadugli	Kadugli	Nominal Syntax
lan	Lango	2	Possessive-Accusative	2.167	33.000	Nilotic	Nilo-Saharan	Nominal Syntax
luv	Luvale	2	Possessive-Accusative	-12.000	22.000	Bantoid	Niger-Congo	Nominal Syntax
map	Mapudungun	2	Possessive-Accusative	-38.000	-72.000	Araucanian	Araucanian	Nominal Syntax
mme	Mari (Meadow)	2	Possessive-Accusative	57.000	48.000	Mari	Uralic	Nominal Syntax
mar	Maricopa	2	Possessive-Accusative	33.167	-113.167	Yuman	Hokan	Nominal Syntax
nen	Nenets	2	Possessive-Accusative	69.000	72.000	Samoyedic	Uralic	Nominal Syntax
nez	Nez Perce	2	Possessive-Accusative	46.000	-116.000	Sahaptian	Penutian	Nominal Syntax
orh	Oromo (Harar)	2	Possessive-Accusative	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Nominal Syntax
pan	Panjabi	2	Possessive-Accusative	31.000	74.000	Indic	Indo-European	Nominal Syntax
san	Sango	2	Possessive-Accusative	5.000	18.000	Ubangi	Niger-Congo	Nominal Syntax
skp	Selkup	2	Possessive-Accusative	65.000	82.000	Samoyedic	Uralic	Nominal Syntax
swa	Swahili	2	Possessive-Accusative	-6.500	39.000	Bantoid	Niger-Congo	Nominal Syntax
tag	Tagalog	2	Possessive-Accusative	15.000	121.000	Meso-Philippine	Austronesian	Nominal Syntax
tur	Turkish	2	Possessive-Accusative	39.000	35.000	Turkic	Altaic	Nominal Syntax
tuv	Tuvan	2	Possessive-Accusative	52.000	95.000	Turkic	Altaic	Nominal Syntax
vat	Vata	2	Possessive-Accusative	5.833	-5.417	Kru	Niger-Congo	Nominal Syntax
vie	Vietnamese	2	Possessive-Accusative	10.500	106.500	Viet-Muong	Austro-Asiatic	Nominal Syntax
wik	Wikchamni	2	Possessive-Accusative	36.417	-119.083	Yokuts	Penutian	Nominal Syntax
yim	Yimas	2	Possessive-Accusative	-4.667	143.550	Lower Sepik	Lower Sepik-Ramu	Nominal Syntax
yko	Yukaghir (Kolyma)	2	Possessive-Accusative	65.750	150.833	Yukaghir	Yukaghir	Nominal Syntax
lnd	Linda	2	Possessive-Accusative	6.500	20.750	Ubangi	Niger-Congo	Nominal Syntax
abk	Abkhaz	3	Ergative-Possessive	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Nominal Syntax
alb	Albanian	3	Ergative-Possessive	41.000	20.000	Albanian	Indo-European	Nominal Syntax
apl	Apalaí	3	Ergative-Possessive	0.000	-54.000	Cariban	Cariban	Nominal Syntax
bul	Bulgarian	3	Ergative-Possessive	42.500	25.000	Slavic	Indo-European	Nominal Syntax
car	Carib	3	Ergative-Possessive	5.500	-56.000	Cariban	Cariban	Nominal Syntax
crj	Carijona	3	Ergative-Possessive	1.000	-73.000	Cariban	Cariban	Nominal Syntax
dut	Dutch	3	Ergative-Possessive	52.500	6.000	Germanic	Indo-European	Nominal Syntax
fre	French	3	Ergative-Possessive	48.000	2.000	Romance	Indo-European	Nominal Syntax
geo	Georgian	3	Ergative-Possessive	42.000	44.000	Kartvelian	Kartvelian	Nominal Syntax
ger	German	3	Ergative-Possessive	52.000	10.000	Germanic	Indo-European	Nominal Syntax
grk	Greek (Modern)	3	Ergative-Possessive	39.000	22.000	Greek	Indo-European	Nominal Syntax
hix	Hixkaryana	3	Ergative-Possessive	-1.000	-59.000	Cariban	Cariban	Nominal Syntax
ind	Indonesian	3	Ergative-Possessive	0.000	106.000	Malayic	Austronesian	Nominal Syntax
kbl	Kabyle	3	Ergative-Possessive	36.500	5.000	Berber	Afro-Asiatic	Nominal Syntax
kji	Kurmanji	3	Ergative-Possessive	38.000	42.000	Iranian	Indo-European	Nominal Syntax
prs	Persian	3	Ergative-Possessive	32.000	54.000	Iranian	Indo-European	Nominal Syntax
rus	Russian	3	Ergative-Possessive	56.000	38.000	Slavic	Indo-European	Nominal Syntax
spa	Spanish	3	Ergative-Possessive	40.000	-4.000	Romance	Indo-European	Nominal Syntax
wai	Wai Wai	3	Ergative-Possessive	1.000	-59.000	Cariban	Cariban	Nominal Syntax
wyn	Wayana	3	Ergative-Possessive	3.250	-54.167	Cariban	Cariban	Nominal Syntax
wel	Welsh	3	Ergative-Possessive	52.000	-3.000	Celtic	Indo-European	Nominal Syntax
bam	Bambara	4	Double-Possessive	12.500	-7.500	Western Mande	Niger-Congo	Nominal Syntax
dbw	Dan (Blowo)	4	Double-Possessive	7.333	-8.167	Eastern Mande	Niger-Congo	Nominal Syntax
fin	Finnish	4	Double-Possessive	62.000	25.000	Finnic	Uralic	Nominal Syntax
jpn	Japanese	4	Double-Possessive	37.000	140.000	Japanese	Japanese	Nominal Syntax
lat	Latvian	4	Double-Possessive	57.000	24.000	Baltic	Indo-European	Nominal Syntax
mlt	Maltese	4	Double-Possessive	35.917	14.417	Semitic	Afro-Asiatic	Nominal Syntax
tuk	Tukang Besi	4	Double-Possessive	-5.500	123.500	Sulawesi	Austronesian	Nominal Syntax
brm	Burmese	5	Other	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Nominal Syntax
cha	Chamorro	5	Other	13.450	144.750	Chamorro	Austronesian	Nominal Syntax
ice	Icelandic	5	Other	65.000	-17.000	Germanic	Indo-European	Nominal Syntax
sam	Samoan	5	Other	-13.917	-171.833	Oceanic	Austronesian	Nominal Syntax
swe	Swedish	5	Other	60.000	15.000	Germanic	Indo-European	Nominal Syntax
wra	Warao	5	Other	9.333	-61.667	Warao	Warao	Nominal Syntax
agl	Aghul	6	Mixed	41.750	47.667	Lezgic	Nakh-Daghestanian	Nominal Syntax
aeg	Arabic (Egyptian)	6	Mixed	30.000	31.000	Semitic	Afro-Asiatic	Nominal Syntax
eng	English	6	Mixed	52.000	0.000	Germanic	Indo-European	Nominal Syntax
est	Estonian	6	Mixed	59.000	26.000	Finnic	Uralic	Nominal Syntax
heb	Hebrew (Modern)	6	Mixed	31.500	34.833	Semitic	Afro-Asiatic	Nominal Syntax
iri	Irish	6	Mixed	53.000	-8.000	Celtic	Indo-European	Nominal Syntax
knd	Kannada	6	Mixed	14.000	76.000	Southern Dravidian	Dravidian	Nominal Syntax
knr	Kanuri	6	Mixed	12.000	13.000	Western Saharan	Nilo-Saharan	Nominal Syntax
mao	Maori	6	Mixed	-40.000	176.000	Oceanic	Austronesian	Nominal Syntax
sup	Supyire	6	Mixed	11.500	-5.583	Gur	Niger-Congo	Nominal Syntax
tha	Thai	6	Mixed	16.000	101.000	Kam-Tai	Tai-Kadai	Nominal Syntax
tsa	Tsakhur	6	Mixed	41.667	47.167	Lezgic	Nakh-Daghestanian	Nominal Syntax
tvl	Tuvaluan	6	Mixed	-8.500	179.167	Oceanic	Austronesian	Nominal Syntax
lel	Lele	6	Mixed	9.083	15.583	East Chadic	Afro-Asiatic	Nominal Syntax
chk	Chukchi	7	Restricted	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Syntax
cre	Cree (Plains)	7	Restricted	54.000	-110.000	Algonquian	Algic	Nominal Syntax
tms	Tommo So	7	Restricted	15.000	-3.000	Dogon	Niger-Congo	Nominal Syntax
ewe	Ewe	7	Restricted	6.333	0.417	Kwa	Niger-Congo	Nominal Syntax
fni	Fula (Nigerian)	7	Restricted	8.167	10.500	Northern Atlantic	Niger-Congo	Nominal Syntax
bet	Bété	7	Restricted	6.250	-6.250	Kru	Niger-Congo	Nominal Syntax
grw	Greenlandic (West)	7	Restricted	64.000	-51.000	Eskimo	Eskimo-Aleut	Nominal Syntax
gua	Guaraní	7	Restricted	-26.000	-56.000	Tupi-Guaraní	Tupian	Nominal Syntax
hau	Hausa	7	Restricted	12.000	7.000	West Chadic	Afro-Asiatic	Nominal Syntax
hun	Hungarian	7	Restricted	47.000	20.000	Ugric	Uralic	Nominal Syntax
iql	Inuktitut (Quebec-Labrador)	7	Restricted	62.000	-73.000	Eskimo	Eskimo-Aleut	Nominal Syntax
irq	Iraqw	7	Restricted	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Nominal Syntax
ket	Ket	7	Restricted	64.000	87.000	Yeniseian	Yeniseian	Nominal Syntax
kmu	Khmu'	7	Restricted	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Nominal Syntax
kio	Kiowa	7	Restricted	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Nominal Syntax
kfe	Koromfe	7	Restricted	14.250	-0.917	Gur	Niger-Congo	Nominal Syntax
kuo	Kuot	7	Restricted	-3.050	151.500	Kuot	Kuot	Nominal Syntax
wch	Wichí	7	Restricted	-22.500	-62.583	Matacoan	Matacoan	Nominal Syntax
pms	Paamese	7	Restricted	-16.500	168.250	Oceanic	Austronesian	Nominal Syntax
kse	Koyraboro Senni	7	Restricted	16.000	0.000	Songhay	Nilo-Saharan	Nominal Syntax
tep	Tepehua (Tlachichilco)	7	Restricted	20.583	-98.250	Totonacan	Totonacan	Nominal Syntax
xun	!Xun (Ekoka)	7	Restricted	-19.667	18.000	Northern Khoisan	Khoisan	Nominal Syntax
yor	Yoruba	7	Restricted	8.000	4.333	Defoid	Niger-Congo	Nominal Syntax
qch	Quiché	7	Restricted	15.000	-91.417	Mayan	Mayan	Nominal Syntax
