Stassen, Leon. 2011. Noun Phrase Conjunction.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 63A.
Available online at http://wals.info/feature/63A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	'And' different from 'with'	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Nominal Syntax
ahu	Aghu	1	'And' different from 'with'	-6.167	140.167	Awju-Dumut	Trans-New Guinea	Nominal Syntax
ain	Ainu	1	'And' different from 'with'	43.000	143.000	Ainu	Ainu	Nominal Syntax
abm	Alabama	1	'And' different from 'with'	32.333	-87.417	Muskogean	Muskogean	Nominal Syntax
ala	Alamblak	1	'And' different from 'with'	-4.667	143.333	Sepik Hill	Sepik	Nominal Syntax
alb	Albanian	1	'And' different from 'with'	41.000	20.000	Albanian	Indo-European	Nominal Syntax
amh	Amharic	1	'And' different from 'with'	10.000	38.000	Semitic	Afro-Asiatic	Nominal Syntax
adk	Andoke	1	'And' different from 'with'	-0.667	-72.000	Andoke	Andoke	Nominal Syntax
aeg	Arabic (Egyptian)	1	'And' different from 'with'	30.000	31.000	Semitic	Afro-Asiatic	Nominal Syntax
arc	Archi	1	'And' different from 'with'	42.000	46.833	Lezgic	Nakh-Daghestanian	Nominal Syntax
arm	Armenian (Eastern)	1	'And' different from 'with'	40.000	45.000	Armenian	Indo-European	Nominal Syntax
amp	Arrernte (Mparntwe)	1	'And' different from 'with'	-24.000	136.000	Pama-Nyungan	Australian	Nominal Syntax
asm	Asmat	1	'And' different from 'with'	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Nominal Syntax
ava	Avar	1	'And' different from 'with'	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Syntax
awt	Awtuw	1	'And' different from 'with'	-3.583	142.000	Ram	Sepik	Nominal Syntax
bam	Bambara	1	'And' different from 'with'	12.500	-7.500	Western Mande	Niger-Congo	Nominal Syntax
nar	Nara (in Ethiopia)	1	'And' different from 'with'	15.083	37.583	Nara	Nilo-Saharan	Nominal Syntax
bsq	Basque	1	'And' different from 'with'	43.000	-3.000	Basque	Basque	Nominal Syntax
bej	Beja	1	'And' different from 'with'	18.000	36.000	Beja	Afro-Asiatic	Nominal Syntax
bla	Blackfoot	1	'And' different from 'with'	50.000	-112.667	Algonquian	Algic	Nominal Syntax
bre	Breton	1	'And' different from 'with'	48.000	-3.000	Celtic	Indo-European	Nominal Syntax
bri	Bribri	1	'And' different from 'with'	9.417	-83.000	Talamanca	Chibchan	Nominal Syntax
bul	Bulgarian	1	'And' different from 'with'	42.500	25.000	Slavic	Indo-European	Nominal Syntax
bur	Burushaski	1	'And' different from 'with'	36.500	74.500	Burushaski	Burushaski	Nominal Syntax
khm	Khmer	1	'And' different from 'with'	12.500	105.000	Khmer	Austro-Asiatic	Nominal Syntax
nca	Nicobarese (Car)	1	'And' different from 'with'	9.000	93.000	Nicobarese	Austro-Asiatic	Nominal Syntax
cct	Choctaw	1	'And' different from 'with'	32.250	-88.500	Muskogean	Muskogean	Nominal Syntax
chk	Chukchi	1	'And' different from 'with'	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Syntax
coo	Coos (Hanis)	1	'And' different from 'with'	43.500	-124.167	Coosan	Oregon Coast	Nominal Syntax
dag	Daga	1	'And' different from 'with'	-10.000	149.333	Dagan	Dagan	Nominal Syntax
diy	Diyari	1	'And' different from 'with'	-28.000	139.000	Pama-Nyungan	Australian	Nominal Syntax
dut	Dutch	1	'And' different from 'with'	52.500	6.000	Germanic	Indo-European	Nominal Syntax
dyi	Dyirbal	1	'And' different from 'with'	-17.833	145.583	Pama-Nyungan	Australian	Nominal Syntax
eng	English	1	'And' different from 'with'	52.000	0.000	Germanic	Indo-European	Nominal Syntax
est	Estonian	1	'And' different from 'with'	59.000	26.000	Finnic	Uralic	Nominal Syntax
fin	Finnish	1	'And' different from 'with'	62.000	25.000	Finnic	Uralic	Nominal Syntax
fre	French	1	'And' different from 'with'	48.000	2.000	Romance	Indo-European	Nominal Syntax
gae	Gaelic (Scots)	1	'And' different from 'with'	57.000	-4.000	Celtic	Indo-European	Nominal Syntax
geo	Georgian	1	'And' different from 'with'	42.000	44.000	Kartvelian	Kartvelian	Nominal Syntax
gid	Gidabal	1	'And' different from 'with'	-28.417	152.417	Pama-Nyungan	Australian	Nominal Syntax
grk	Greek (Modern)	1	'And' different from 'with'	39.000	22.000	Greek	Indo-European	Nominal Syntax
gua	Guaraní	1	'And' different from 'with'	-26.000	-56.000	Tupi-Guaraní	Tupian	Nominal Syntax
gum	Gumbaynggir	1	'And' different from 'with'	-30.167	152.500	Pama-Nyungan	Australian	Nominal Syntax
heb	Hebrew (Modern)	1	'And' different from 'with'	31.500	34.833	Semitic	Afro-Asiatic	Nominal Syntax
hin	Hindi	1	'And' different from 'with'	25.000	77.000	Indic	Indo-European	Nominal Syntax
