Haspelmath, Martin. 2011. Nominal and Verbal Conjunction.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 64A.
Available online at http://wals.info/feature/64A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
eve	Evenki	1	Identity	56.000	125.000	Tungusic	Altaic	Nominal Syntax
udh	Udihe	1	Identity	47.667	136.250	Tungusic	Altaic	Nominal Syntax
ket	Ket	1	Identity	64.000	87.000	Yeniseian	Yeniseian	Nominal Syntax
sno	Saami (Northern)	1	Identity	69.000	24.000	Saami	Uralic	Nominal Syntax
skp	Selkup	1	Identity	65.000	82.000	Samoyedic	Uralic	Nominal Syntax
rus	Russian	1	Identity	56.000	38.000	Slavic	Indo-European	Nominal Syntax
kgu	Kalkatungu	1	Identity	-21.000	139.500	Pama-Nyungan	Australian	Nominal Syntax
map	Mapudungun	1	Identity	-38.000	-72.000	Araucanian	Araucanian	Nominal Syntax
pal	Palauan	1	Identity	7.500	134.583	Palauan	Austronesian	Nominal Syntax
abk	Abkhaz	1	Identity	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Nominal Syntax
aeg	Arabic (Egyptian)	1	Identity	30.000	31.000	Semitic	Afro-Asiatic	Nominal Syntax
bsq	Basque	1	Identity	43.000	-3.000	Basque	Basque	Nominal Syntax
baw	Bawm	1	Identity	22.500	92.250	Kuki-Chin	Sino-Tibetan	Nominal Syntax
brh	Brahui	1	Identity	28.500	67.000	Northern Dravidian	Dravidian	Nominal Syntax
cha	Chamorro	1	Identity	13.450	144.750	Chamorro	Austronesian	Nominal Syntax
chk	Chukchi	1	Identity	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Syntax
eng	English	1	Identity	52.000	0.000	Germanic	Indo-European	Nominal Syntax
err	Erromangan	1	Identity	-18.833	169.167	Oceanic	Austronesian	Nominal Syntax
grw	Greenlandic (West)	1	Identity	64.000	-51.000	Eskimo	Eskimo-Aleut	Nominal Syntax
fin	Finnish	1	Identity	62.000	25.000	Finnic	Uralic	Nominal Syntax
fre	French	1	Identity	48.000	2.000	Romance	Indo-European	Nominal Syntax
gar	Garo	1	Identity	25.667	90.500	Bodo-Garo	Sino-Tibetan	Nominal Syntax
geo	Georgian	1	Identity	42.000	44.000	Kartvelian	Kartvelian	Nominal Syntax
ger	German	1	Identity	52.000	10.000	Germanic	Indo-European	Nominal Syntax
gol	Gola	1	Identity	7.250	-10.833	Southern Atlantic	Niger-Congo	Nominal Syntax
grk	Greek (Modern)	1	Identity	39.000	22.000	Greek	Indo-European	Nominal Syntax
gua	Guaraní	1	Identity	-26.000	-56.000	Tupi-Guaraní	Tupian	Nominal Syntax
heb	Hebrew (Modern)	1	Identity	31.500	34.833	Semitic	Afro-Asiatic	Nominal Syntax
hin	Hindi	1	Identity	25.000	77.000	Indic	Indo-European	Nominal Syntax
hmo	Hmong Njua	1	Identity	28.000	105.000	Hmong-Mien	Hmong-Mien	Nominal Syntax
hun	Hungarian	1	Identity	47.000	20.000	Ugric	Uralic	Nominal Syntax
hzb	Hunzib	1	Identity	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Syntax
ind	Indonesian	1	Identity	0.000	106.000	Malayic	Austronesian	Nominal Syntax
irq	Iraqw	1	Identity	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Nominal Syntax
kas	Kashmiri	1	Identity	34.000	76.000	Indic	Indo-European	Nominal Syntax
ker	Kera	1	Identity	9.833	15.083	East Chadic	Afro-Asiatic	Nominal Syntax
khs	Khasi	1	Identity	25.500	92.000	Khasian	Austro-Asiatic	Nominal Syntax
