Dahl, Östen & Velupillai, Viveka. 2011. The Past Tense.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 66A.
Available online at http://wals.info/feature/66A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Present, no remoteness distinctions	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Verbal Categories
afr	Afrikaans	1	Present, no remoteness distinctions	-31.000	22.000	Germanic	Indo-European	Verbal Categories
alw	Alawa	1	Present, no remoteness distinctions	-15.167	134.250	Maran	Australian	Verbal Categories
aly	Alyawarra	1	Present, no remoteness distinctions	-22.500	135.000	Pama-Nyungan	Australian	Verbal Categories
amh	Amharic	1	Present, no remoteness distinctions	10.000	38.000	Semitic	Afro-Asiatic	Verbal Categories
aeg	Arabic (Egyptian)	1	Present, no remoteness distinctions	30.000	31.000	Semitic	Afro-Asiatic	Verbal Categories
atu	Arabic (Tunisian)	1	Present, no remoteness distinctions	36.750	10.250	Semitic	Afro-Asiatic	Verbal Categories
arm	Armenian (Eastern)	1	Present, no remoteness distinctions	40.000	45.000	Armenian	Indo-European	Verbal Categories
atc	Atchin	1	Present, no remoteness distinctions	-16.000	167.333	Oceanic	Austronesian	Verbal Categories
avo	Avokaya	1	Present, no remoteness distinctions	4.667	30.000	Moru-Ma'di	Nilo-Saharan	Verbal Categories
awp	Awa Pit	1	Present, no remoteness distinctions	1.500	-78.250	Barbacoan	Barbacoan	Verbal Categories
awn	Awngi	1	Present, no remoteness distinctions	10.833	36.667	Central Cushitic	Afro-Asiatic	Verbal Categories
aze	Azerbaijani	1	Present, no remoteness distinctions	40.500	48.500	Turkic	Altaic	Verbal Categories
bnj	Bandjalang	1	Present, no remoteness distinctions	-28.750	153.000	Pama-Nyungan	Australian	Verbal Categories
bar	Bari	1	Present, no remoteness distinctions	5.000	31.667	Nilotic	Nilo-Saharan	Verbal Categories
bsq	Basque	1	Present, no remoteness distinctions	43.000	-3.000	Basque	Basque	Verbal Categories
bej	Beja	1	Present, no remoteness distinctions	18.000	36.000	Beja	Afro-Asiatic	Verbal Categories
ben	Bengali	1	Present, no remoteness distinctions	24.000	90.000	Indic	Indo-European	Verbal Categories
brh	Brahui	1	Present, no remoteness distinctions	28.500	67.000	Northern Dravidian	Dravidian	Verbal Categories
bul	Bulgarian	1	Present, no remoteness distinctions	42.500	25.000	Slavic	Indo-European	Verbal Categories
bur	Burushaski	1	Present, no remoteness distinctions	36.500	74.500	Burushaski	Burushaski	Verbal Categories
dag	Daga	1	Present, no remoteness distinctions	-10.000	149.333	Dagan	Dagan	Verbal Categories
did	Didinga	1	Present, no remoteness distinctions	4.500	33.500	Surmic	Nilo-Saharan	Verbal Categories
eng	English	1	Present, no remoteness distinctions	52.000	0.000	Germanic	Indo-European	Verbal Categories
eve	Evenki	1	Present, no remoteness distinctions	56.000	125.000	Tungusic	Altaic	Verbal Categories
fij	Fijian	1	Present, no remoteness distinctions	-17.833	178.000	Oceanic	Austronesian	Verbal Categories
fin	Finnish	1	Present, no remoteness distinctions	62.000	25.000	Finnic	Uralic	Verbal Categories
fre	French	1	Present, no remoteness distinctions	48.000	2.000	Romance	Indo-European	Verbal Categories
geo	Georgian	1	Present, no remoteness distinctions	42.000	44.000	Kartvelian	Kartvelian	Verbal Categories
ger	German	1	Present, no remoteness distinctions	52.000	10.000	Germanic	Indo-European	Verbal Categories
goo	Gooniyandi	1	Present, no remoteness distinctions	-18.333	126.333	Bunuban	Australian	Verbal Categories
grk	Greek (Modern)	1	Present, no remoteness distinctions	39.000	22.000	Greek	Indo-European	Verbal Categories
gua	Guaraní	1	Present, no remoteness distinctions	-26.000	-56.000	Tupi-Guaraní	Tupian	Verbal Categories
gug	Gugada	1	Present, no remoteness distinctions	-30.000	134.000	Pama-Nyungan	Australian	Verbal Categories
hwc	Hawaiian Creole	1	Present, no remoteness distinctions	21.500	-158.000	Creoles and Pidgins	other	Verbal Categories
heb	Hebrew (Modern)	1	Present, no remoteness distinctions	31.500	34.833	Semitic	Afro-Asiatic	Verbal Categories
hin	Hindi	1	Present, no remoteness distinctions	25.000	77.000	Indic	Indo-European	Verbal Categories
hun	Hungarian	1	Present, no remoteness distinctions	47.000	20.000	Ugric	Uralic	Verbal Categories
ice	Icelandic	1	Present, no remoteness distinctions	65.000	-17.000	Germanic	Indo-European	Verbal Categories
imo	Imonda	1	Present, no remoteness distinctions	-3.333	141.167	Border	Border	Verbal Categories
jpn	Japanese	1	Present, no remoteness distinctions	37.000	140.000	Japanese	Japanese	Verbal Categories
jiv	Jivaro	1	Present, no remoteness distinctions	-2.500	-78.000	Jivaroan	Jivaroan	Verbal Categories
knk	Kanakuru	1	Present, no remoteness distinctions	10.000	12.000	West Chadic	Afro-Asiatic	Verbal Categories
knd	Kannada	1	Present, no remoteness distinctions	14.000	76.000	Southern Dravidian	Dravidian	Verbal Categories
knr	Kanuri	1	Present, no remoteness distinctions	12.000	13.000	Western Saharan	Nilo-Saharan	Verbal Categories
kha	Khalkha	1	Present, no remoteness distinctions	47.000	105.000	Mongolic	Altaic	Verbal Categories
kor	Korean	1	Present, no remoteness distinctions	37.500	128.000	Korean	Korean	Verbal Categories
kfc	Kriol (Fitzroy Crossing)	1	Present, no remoteness distinctions	-18.167	125.583	Creoles and Pidgins	other	Verbal Categories
kui	Kui (in India)	1	Present, no remoteness distinctions	20.000	83.500	South-Central Dravidian	Dravidian	Verbal Categories
kya	Kuku-Yalanji	1	Present, no remoteness distinctions	-16.000	145.000	Pama-Nyungan	Australian	Verbal Categories
kji	Kurmanji	1	Present, no remoteness distinctions	38.000	42.000	Iranian	Indo-European	Verbal Categories
lat	Latvian	1	Present, no remoteness distinctions	57.000	24.000	Baltic	Indo-European	Verbal Categories
