Dahl, Östen & Velupillai, Viveka. 2011. The Future Tense.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 67A.
Available online at http://wals.info/feature/67A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Inflectional future exists	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Verbal Categories
ala	Alamblak	1	Inflectional future exists	-4.667	143.333	Sepik Hill	Sepik	Verbal Categories
alw	Alawa	1	Inflectional future exists	-15.167	134.250	Maran	Australian	Verbal Categories
aly	Alyawarra	1	Inflectional future exists	-22.500	135.000	Pama-Nyungan	Australian	Verbal Categories
ame	Amele	1	Inflectional future exists	-5.250	145.583	Madang	Trans-New Guinea	Verbal Categories
apu	Apurinã	1	Inflectional future exists	-9.000	-67.000	Arawakan	Arawakan	Verbal Categories
aeg	Arabic (Egyptian)	1	Inflectional future exists	30.000	31.000	Semitic	Afro-Asiatic	Verbal Categories
asm	Asmat	1	Inflectional future exists	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Verbal Categories
awp	Awa Pit	1	Inflectional future exists	1.500	-78.250	Barbacoan	Barbacoan	Verbal Categories
awn	Awngi	1	Inflectional future exists	10.833	36.667	Central Cushitic	Afro-Asiatic	Verbal Categories
aze	Azerbaijani	1	Inflectional future exists	40.500	48.500	Turkic	Altaic	Verbal Categories
bng	Baining	1	Inflectional future exists	-4.583	152.000	Baining	Baining-Taulil	Verbal Categories
blc	Baluchi	1	Inflectional future exists	28.000	62.000	Iranian	Indo-European	Verbal Categories
bnj	Bandjalang	1	Inflectional future exists	-28.750	153.000	Pama-Nyungan	Australian	Verbal Categories
bsq	Basque	1	Inflectional future exists	43.000	-3.000	Basque	Basque	Verbal Categories
ben	Bengali	1	Inflectional future exists	24.000	90.000	Indic	Indo-European	Verbal Categories
bon	Bongu	1	Inflectional future exists	-5.500	145.917	Madang	Trans-New Guinea	Verbal Categories
arp	Arapesh (Mountain)	1	Inflectional future exists	-3.467	143.167	Kombio-Arapesh	Torricelli	Verbal Categories
bui	Buli (in Indonesia)	1	Inflectional future exists	1.000	128.500	South Halmahera - West New Guinea	Austronesian	Verbal Categories
bur	Burushaski	1	Inflectional future exists	36.500	74.500	Burushaski	Burushaski	Verbal Categories
cbo	Chácobo	1	Inflectional future exists	-12.167	-66.750	Panoan	Panoan	Verbal Categories
cpn	Chepang	1	Inflectional future exists	27.667	84.750	Bodic	Sino-Tibetan	Verbal Categories
cyn	Cheyenne	1	Inflectional future exists	47.000	-95.000	Algonquian	Algic	Verbal Categories
cpl	Chinantec (Palantla)	1	Inflectional future exists	18.833	-96.750	Chinantecan	Oto-Manguean	Verbal Categories
chk	Chukchi	1	Inflectional future exists	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Verbal Categories
coc	Cocama	1	Inflectional future exists	-5.000	-74.500	Tupi-Guaraní	Tupian	Verbal Categories
dag	Daga	1	Inflectional future exists	-10.000	149.333	Dagan	Dagan	Verbal Categories
dni	Dani (Lower Grand Valley)	1	Inflectional future exists	-4.333	138.833	Dani	Trans-New Guinea	Verbal Categories
dio	Diola-Fogny	1	Inflectional future exists	13.000	-16.250	Northern Atlantic	Niger-Congo	Verbal Categories
egn	Engenni	1	Inflectional future exists	5.167	6.383	Edoid	Niger-Congo	Verbal Categories
eve	Evenki	1	Inflectional future exists	56.000	125.000	Tungusic	Altaic	Verbal Categories
ewe	Ewe	1	Inflectional future exists	6.333	0.417	Kwa	Niger-Congo	Verbal Categories
akn	Akan	1	Inflectional future exists	6.500	-1.250	Kwa	Niger-Congo	Verbal Categories
fre	French	1	Inflectional future exists	48.000	2.000	Romance	Indo-European	Verbal Categories
geo	Georgian	1	Inflectional future exists	42.000	44.000	Kartvelian	Kartvelian	Verbal Categories
goo	Gooniyandi	1	Inflectional future exists	-18.333	126.333	Bunuban	Australian	Verbal Categories
grb	Grebo	1	Inflectional future exists	5.000	-8.000	Kru	Niger-Congo	Verbal Categories
grw	Greenlandic (West)	1	Inflectional future exists	64.000	-51.000	Eskimo	Eskimo-Aleut	Verbal Categories
gua	Guaraní	1	Inflectional future exists	-26.000	-56.000	Tupi-Guaraní	Tupian	Verbal Categories
gug	Gugada	1	Inflectional future exists	-30.000	134.000	Pama-Nyungan	Australian	Verbal Categories
hal	Halia	1	Inflectional future exists	-5.250	154.667	Oceanic	Austronesian	Verbal Categories
heb	Hebrew (Modern)	1	Inflectional future exists	31.500	34.833	Semitic	Afro-Asiatic	Verbal Categories
hin	Hindi	1	Inflectional future exists	25.000	77.000	Indic	Indo-European	Verbal Categories
imo	Imonda	1	Inflectional future exists	-3.333	141.167	Border	Border	Verbal Categories
ins	Inuktitut (Salluit)	1	Inflectional future exists	62.000	-76.000	Eskimo	Eskimo-Aleut	Verbal Categories
grf	Garífuna	1	Inflectional future exists	15.667	-88.000	Arawakan	Arawakan	Verbal Categories
jiv	Jivaro	1	Inflectional future exists	-2.500	-78.000	Jivaroan	Jivaroan	Verbal Categories
knk	Kanakuru	1	Inflectional future exists	10.000	12.000	West Chadic	Afro-Asiatic	Verbal Categories
knd	Kannada	1	Inflectional future exists	14.000	76.000	Southern Dravidian	Dravidian	Verbal Categories
knr	Kanuri	1	Inflectional future exists	12.000	13.000	Western Saharan	Nilo-Saharan	Verbal Categories
krk	Karok	1	Inflectional future exists	41.667	-123.000	Karok	Karok	Verbal Categories
kay	Kayardild	1	Inflectional future exists	-17.050	139.500	Tangkic	Australian	Verbal Categories
kew	Kewa	1	Inflectional future exists	-6.500	143.833	Engan	Trans-New Guinea	Verbal Categories
kio	Kiowa	1	Inflectional future exists	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Verbal Categories
koa	Koasati	1	Inflectional future exists	34.833	-85.167	Muskogean	Muskogean	Verbal Categories
kui	Kui (in India)	1	Inflectional future exists	20.000	83.500	South-Central Dravidian	Dravidian	Verbal Categories
kji	Kurmanji	1	Inflectional future exists	38.000	42.000	Iranian	Indo-European	Verbal Categories
kut	Kutenai	1	Inflectional future exists	49.500	-116.000	Kutenai	Kutenai	Verbal Categories
lat	Latvian	1	Inflectional future exists	57.000	24.000	Baltic	Indo-European	Verbal Categories
lav	Lavukaleve	1	Inflectional future exists	-9.083	159.200	Lavukaleve	Solomons East Papuan	Verbal Categories
lez	Lezgian	1	Inflectional future exists	41.667	47.833	Lezgic	Nakh-Daghestanian	Verbal Categories
lda	Luganda	1	Inflectional future exists	0.500	32.167	Bantoid	Niger-Congo	Verbal Categories
luv	Luvale	1	Inflectional future exists	-12.000	22.000	Bantoid	Niger-Congo	Verbal Categories
mne	Maidu (Northeast)	1	Inflectional future exists	40.000	-120.667	Maiduan	Penutian	Verbal Categories
mai	Maithili	1	Inflectional future exists	26.000	86.000	Indic	Indo-European	Verbal Categories
map	Mapudungun	1	Inflectional future exists	-38.000	-72.000	Araucanian	Araucanian	Verbal Categories
mrg	Margi	1	Inflectional future exists	11.000	13.000	Biu-Mandara	Afro-Asiatic	Verbal Categories
mar	Maricopa	1	Inflectional future exists	33.167	-113.167	Yuman	Hokan	Verbal Categories
mrt	Martuthunira	1	Inflectional future exists	-20.833	116.500	Pama-Nyungan	Australian	Verbal Categories
wch	Wichí	1	Inflectional future exists	-22.500	-62.583	Matacoan	Matacoan	Verbal Categories
mau	Maung	1	Inflectional future exists	-11.917	133.500	Iwaidjan	Australian	Verbal Categories
