Dahl, Östen & Velupillai, Viveka. 2011. The Perfect.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 68A.
Available online at http://wals.info/feature/68A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
eng	English	1	From possessive	52.000	0.000	Germanic	Indo-European	Verbal Categories
fre	French	1	From possessive	48.000	2.000	Romance	Indo-European	Verbal Categories
ger	German	1	From possessive	52.000	10.000	Germanic	Indo-European	Verbal Categories
grk	Greek (Modern)	1	From possessive	39.000	22.000	Greek	Indo-European	Verbal Categories
ice	Icelandic	1	From possessive	65.000	-17.000	Germanic	Indo-European	Verbal Categories
spa	Spanish	1	From possessive	40.000	-4.000	Romance	Indo-European	Verbal Categories
swe	Swedish	1	From possessive	60.000	15.000	Germanic	Indo-European	Verbal Categories
afr	Afrikaans	2	From 'finish', 'already'	-31.000	22.000	Germanic	Indo-European	Verbal Categories
ame	Amele	2	From 'finish', 'already'	-5.250	145.583	Madang	Trans-New Guinea	Verbal Categories
bon	Bongu	2	From 'finish', 'already'	-5.500	145.917	Madang	Trans-New Guinea	Verbal Categories
bui	Buli (in Indonesia)	2	From 'finish', 'already'	1.000	128.500	South Halmahera - West New Guinea	Austronesian	Verbal Categories
brm	Burmese	2	From 'finish', 'already'	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Verbal Categories
khm	Khmer	2	From 'finish', 'already'	12.500	105.000	Khmer	Austro-Asiatic	Verbal Categories
egn	Engenni	2	From 'finish', 'already'	5.167	6.383	Edoid	Niger-Congo	Verbal Categories
fij	Fijian	2	From 'finish', 'already'	-17.833	178.000	Oceanic	Austronesian	Verbal Categories
ind	Indonesian	2	From 'finish', 'already'	0.000	106.000	Malayic	Austronesian	Verbal Categories
ins	Inuktitut (Salluit)	2	From 'finish', 'already'	62.000	-76.000	Eskimo	Eskimo-Aleut	Verbal Categories
ise	Isekiri	2	From 'finish', 'already'	5.667	5.500	Defoid	Niger-Congo	Verbal Categories
jav	Javanese	2	From 'finish', 'already'	-7.000	111.000	Javanese	Austronesian	Verbal Categories
kmu	Khmu'	2	From 'finish', 'already'	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Verbal Categories
lao	Lao	2	From 'finish', 'already'	18.000	103.000	Kam-Tai	Tai-Kadai	Verbal Categories
mei	Meithei	2	From 'finish', 'already'	24.750	94.000	Kuki-Chin	Sino-Tibetan	Verbal Categories
sml	Semelai	2	From 'finish', 'already'	3.000	103.000	Aslian	Austro-Asiatic	Verbal Categories
sun	Sundanese	2	From 'finish', 'already'	-7.000	107.000	Sundanese	Austronesian	Verbal Categories
tne	Temne	2	From 'finish', 'already'	8.667	-13.083	Southern Atlantic	Niger-Congo	Verbal Categories
tny	Tenyer	2	From 'finish', 'already'	10.667	-4.500	Gur	Niger-Congo	Verbal Categories
tha	Thai	2	From 'finish', 'already'	16.000	101.000	Kam-Tai	Tai-Kadai	Verbal Categories
yor	Yoruba	2	From 'finish', 'already'	8.000	4.333	Defoid	Niger-Congo	Verbal Categories
abk	Abkhaz	3	Other perfect	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Verbal Categories
aly	Alyawarra	3	Other perfect	-22.500	135.000	Pama-Nyungan	Australian	Verbal Categories
amh	Amharic	3	Other perfect	10.000	38.000	Semitic	Afro-Asiatic	Verbal Categories
arm	Armenian (Eastern)	3	Other perfect	40.000	45.000	Armenian	Indo-European	Verbal Categories
asm	Asmat	3	Other perfect	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Verbal Categories
awn	Awngi	3	Other perfect	10.833	36.667	Central Cushitic	Afro-Asiatic	Verbal Categories
aze	Azerbaijani	3	Other perfect	40.500	48.500	Turkic	Altaic	Verbal Categories
bng	Baining	3	Other perfect	-4.583	152.000	Baining	Baining-Taulil	Verbal Categories
blc	Baluchi	3	Other perfect	28.000	62.000	Iranian	Indo-European	Verbal Categories
bar	Bari	3	Other perfect	5.000	31.667	Nilotic	Nilo-Saharan	Verbal Categories
bsq	Basque	3	Other perfect	43.000	-3.000	Basque	Basque	Verbal Categories
bej	Beja	3	Other perfect	18.000	36.000	Beja	Afro-Asiatic	Verbal Categories
ben	Bengali	3	Other perfect	24.000	90.000	Indic	Indo-European	Verbal Categories
brh	Brahui	3	Other perfect	28.500	67.000	Northern Dravidian	Dravidian	Verbal Categories
bul	Bulgarian	3	Other perfect	42.500	25.000	Slavic	Indo-European	Verbal Categories
but	Buriat	3	Other perfect	52.000	108.000	Mongolic	Altaic	Verbal Categories
bur	Burushaski	3	Other perfect	36.500	74.500	Burushaski	Burushaski	Verbal Categories
cnt	Cantonese	3	Other perfect	23.000	113.000	Chinese	Sino-Tibetan	Verbal Categories
cpn	Chepang	3	Other perfect	27.667	84.750	Bodic	Sino-Tibetan	Verbal Categories
lai	Lai	3	Other perfect	22.667	93.667	Kuki-Chin	Sino-Tibetan	Verbal Categories
cpl	Chinantec (Palantla)	3	Other perfect	18.833	-96.750	Chinantecan	Oto-Manguean	Verbal Categories
coc	Cocama	3	Other perfect	-5.000	-74.500	Tupi-Guaraní	Tupian	Verbal Categories
eve	Evenki	3	Other perfect	56.000	125.000	Tungusic	Altaic	Verbal Categories
akn	Akan	3	Other perfect	6.500	-1.250	Kwa	Niger-Congo	Verbal Categories
fin	Finnish	3	Other perfect	62.000	25.000	Finnic	Uralic	Verbal Categories
grb	Grebo	3	Other perfect	5.000	-8.000	Kru	Niger-Congo	Verbal Categories
nbr	Ngäbere	3	Other perfect	8.667	-82.000	Guaymi	Chibchan	Verbal Categories
hin	Hindi	3	Other perfect	25.000	77.000	Indic	Indo-European	Verbal Categories
imo	Imonda	3	Other perfect	-3.333	141.167	Border	Border	Verbal Categories
grf	Garífuna	3	Other perfect	15.667	-88.000	Arawakan	Arawakan	Verbal Categories
jiv	Jivaro	3	Other perfect	-2.500	-78.000	Jivaroan	Jivaroan	Verbal Categories
knd	Kannada	3	Other perfect	14.000	76.000	Southern Dravidian	Dravidian	Verbal Categories
knr	Kanuri	3	Other perfect	12.000	13.000	Western Saharan	Nilo-Saharan	Verbal Categories
krk	Karok	3	Other perfect	41.667	-123.000	Karok	Karok	Verbal Categories
kew	Kewa	3	Other perfect	-6.500	143.833	Engan	Trans-New Guinea	Verbal Categories
kha	Khalkha	3	Other perfect	47.000	105.000	Mongolic	Altaic	Verbal Categories
kho	Khoekhoe	3	Other perfect	-25.500	18.000	Central Khoisan	Khoisan	Verbal Categories
kik	Kikuyu	3	Other perfect	-0.750	36.750	Bantoid	Niger-Congo	Verbal Categories
kro	Krongo	3	Other perfect	10.500	30.000	Kadugli	Kadugli	Verbal Categories
kui	Kui (in India)	3	Other perfect	20.000	83.500	South-Central Dravidian	Dravidian	Verbal Categories
lah	Lahu	3	Other perfect	20.000	98.167	Burmese-Lolo	Sino-Tibetan	Verbal Categories
lat	Latvian	3	Other perfect	57.000	24.000	Baltic	Indo-European	Verbal Categories
lez	Lezgian	3	Other perfect	41.667	47.833	Lezgic	Nakh-Daghestanian	Verbal Categories
lda	Luganda	3	Other perfect	0.500	32.167	Bantoid	Niger-Congo	Verbal Categories
luv	Luvale	3	Other perfect	-12.000	22.000	Bantoid	Niger-Congo	Verbal Categories
mne	Maidu (Northeast)	3	Other perfect	40.000	-120.667	Maiduan	Penutian	Verbal Categories
mai	Maithili	3	Other perfect	26.000	86.000	Indic	Indo-European	Verbal Categories
man	Mano	3	Other perfect	7.000	-9.000	Eastern Mande	Niger-Congo	Verbal Categories
mao	Maori	3	Other perfect	-40.000	176.000	Oceanic	Austronesian	Verbal Categories
mrg	Margi	3	Other perfect	11.000	13.000	Biu-Mandara	Afro-Asiatic	Verbal Categories
mtg	Montagnais	3	Other perfect	52.000	-65.000	Algonquian	Algic	Verbal Categories
mtu	Motu	3	Other perfect	-9.333	147.000	Oceanic	Austronesian	Verbal Categories
mwe	Mwera	3	Other perfect	-9.000	39.000	Bantoid	Niger-Congo	Verbal Categories
nak	Nakanai	3	Other perfect	-5.583	150.583	Oceanic	Austronesian	Verbal Categories
raw	Rawang	3	Other perfect	27.500	97.500	Nungish	Sino-Tibetan	Verbal Categories
orh	Oromo (Harar)	3	Other perfect	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Verbal Categories
pai	Paiwan	3	Other perfect	22.500	120.833	Paiwanic	Austronesian	Verbal Categories
plg	Palaung	3	Other perfect	22.667	96.667	Palaung-Khmuic	Austro-Asiatic	Verbal Categories
pan	Panjabi	3	Other perfect	31.000	74.000	Indic	Indo-European	Verbal Categories
ood	O'odham	3	Other perfect	32.000	-112.000	Tepiman	Uto-Aztecan	Verbal Categories
ram	Rama	3	Other perfect	11.750	-83.750	Rama	Chibchan	Verbal Categories
rap	Rapanui	3	Other perfect	-27.117	-109.367	Oceanic	Austronesian	Verbal Categories
ruk	Rukai	3	Other perfect	22.833	120.833	Tsouic	Austronesian	Verbal Categories
ses	Sesotho	3	Other perfect	-28.000	27.000	Bantoid	Niger-Congo	Verbal Categories
sla	Slave	3	Other perfect	67.000	-125.000	Athapaskan	Na-Dene	Verbal Categories
sup	Supyire	3	Other perfect	11.500	-5.583	Gur	Niger-Congo	Verbal Categories
swa	Swahili	3	Other perfect	-6.500	39.000	Bantoid	Niger-Congo	Verbal Categories
tah	Tahitian	3	Other perfect	-17.667	-149.583	Oceanic	Austronesian	Verbal Categories
tml	Tamil	3	Other perfect	11.000	78.500	Southern Dravidian	Dravidian	Verbal Categories
tem	Tem	3	Other perfect	8.667	0.500	Gur	Niger-Congo	Verbal Categories
tgr	Tigré	3	Other perfect	16.500	38.500	Semitic	Afro-Asiatic	Verbal Categories
toj	Tojolabal	3	Other perfect	16.333	-91.500	Mayan	Mayan	Verbal Categories
tuc	Tucano	3	Other perfect	0.500	-69.167	Tucanoan	Tucanoan	Verbal Categories
udm	Udmurt	3	Other perfect	57.500	52.500	Permic	Uralic	Verbal Categories
uyg	Uyghur	3	Other perfect	40.000	80.000	Turkic	Altaic	Verbal Categories
vie	Vietnamese	3	Other perfect	10.500	106.500	Viet-Muong	Austro-Asiatic	Verbal Categories
wlf	Wolof	3	Other perfect	15.250	-16.000	Northern Atlantic	Niger-Congo	Verbal Categories
