Dryer, Matthew S.. 2011. Position of Tense-Aspect Affixes.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 69A.
Available online at http://wals.info/feature/69A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
mro	Moro	1	Tense-aspect prefixes	11.000	30.167	Heiban	Niger-Congo	Verbal Categories
tou	Toussian	1	Tense-aspect prefixes	11.000	-4.667	Gur	Niger-Congo	Verbal Categories
zan	Zande	1	Tense-aspect prefixes	4.000	26.000	Ubangi	Niger-Congo	Verbal Categories
nza	Nzakara	1	Tense-aspect prefixes	5.000	23.000	Ubangi	Niger-Congo	Verbal Categories
bbu	Barambu	1	Tense-aspect prefixes	3.500	27.000	Ubangi	Niger-Congo	Verbal Categories
ma	Ma	1	Tense-aspect prefixes	3.500	28.000	Ubangi	Niger-Congo	Verbal Categories
mba	Mba	1	Tense-aspect prefixes	1.000	25.000	Ubangi	Niger-Congo	Verbal Categories
akn	Akan	1	Tense-aspect prefixes	6.500	-1.250	Kwa	Niger-Congo	Verbal Categories
ayi	Anyi	1	Tense-aspect prefixes	7.000	-3.500	Kwa	Niger-Congo	Verbal Categories
nkn	Nkonya	1	Tense-aspect prefixes	7.167	0.250	Kwa	Niger-Congo	Verbal Categories
llm	Lelemi	1	Tense-aspect prefixes	7.333	0.500	Kwa	Niger-Congo	Verbal Categories
adi	Adioukrou	1	Tense-aspect prefixes	5.417	-4.583	Kwa	Niger-Congo	Verbal Categories
bir	Birom	1	Tense-aspect prefixes	9.667	8.833	Platoid	Niger-Congo	Verbal Categories
obo	Obolo	1	Tense-aspect prefixes	4.583	7.833	Cross River	Niger-Congo	Verbal Categories
amo	Amo	1	Tense-aspect prefixes	10.333	8.667	Kainji	Niger-Congo	Verbal Categories
mgk	Mungaka	1	Tense-aspect prefixes	5.917	10.000	Bantoid	Niger-Congo	Verbal Categories
bku	Bakueri	1	Tense-aspect prefixes	4.250	9.250	Bantoid	Niger-Congo	Verbal Categories
tki	Tuki	1	Tense-aspect prefixes	4.583	11.500	Bantoid	Niger-Congo	Verbal Categories
ewo	Ewondo	1	Tense-aspect prefixes	4.000	12.000	Bantoid	Niger-Congo	Verbal Categories
ndu	Ndumu	1	Tense-aspect prefixes	-1.667	13.583	Bantoid	Niger-Congo	Verbal Categories
yns	Yansi	1	Tense-aspect prefixes	-3.833	18.000	Bantoid	Niger-Congo	Verbal Categories
bsh	Bushoong	1	Tense-aspect prefixes	-4.500	21.500	Bantoid	Niger-Congo	Verbal Categories
kba	Kamba	1	Tense-aspect prefixes	-1.500	38.000	Bantoid	Niger-Congo	Verbal Categories
shm	Shambala	1	Tense-aspect prefixes	-4.250	38.250	Bantoid	Niger-Congo	Verbal Categories
pre	Pare	1	Tense-aspect prefixes	-4.000	36.500	Bantoid	Niger-Congo	Verbal Categories
swa	Swahili	1	Tense-aspect prefixes	-6.500	39.000	Bantoid	Niger-Congo	Verbal Categories
lda	Luganda	1	Tense-aspect prefixes	0.500	32.167	Bantoid	Niger-Congo	Verbal Categories
nko	Nkore-Kiga	1	Tense-aspect prefixes	-0.917	29.833	Bantoid	Niger-Congo	Verbal Categories
rny	Runyankore	1	Tense-aspect prefixes	-0.500	30.500	Bantoid	Niger-Congo	Verbal Categories
rru	Runyoro-Rutooro	1	Tense-aspect prefixes	1.500	31.333	Bantoid	Niger-Congo	Verbal Categories
hya	Haya	1	Tense-aspect prefixes	-2.000	31.500	Bantoid	Niger-Congo	Verbal Categories
hnd	Hunde	1	Tense-aspect prefixes	-1.167	28.833	Bantoid	Niger-Congo	Verbal Categories
kin	Kinyarwanda	1	Tense-aspect prefixes	-2.000	30.000	Bantoid	Niger-Congo	Verbal Categories
luv	Luvale	1	Tense-aspect prefixes	-12.000	22.000	Bantoid	Niger-Congo	Verbal Categories
kwn	Kwangali	1	Tense-aspect prefixes	-18.000	19.500	Bantoid	Niger-Congo	Verbal Categories
sub	Subiya	1	Tense-aspect prefixes	-17.750	24.917	Bantoid	Niger-Congo	Verbal Categories
bem	Bemba	1	Tense-aspect prefixes	-10.000	28.250	Bantoid	Niger-Congo	Verbal Categories
toz	Tonga (in Zambia)	1	Tense-aspect prefixes	-17.000	27.000	Bantoid	Niger-Congo	Verbal Categories
