van der Auwera, Johan & Lejeune, Ludo (with Pappuswamy, Umarani & Goussev, Valentin). 2011. The Morphological Imperative.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 70A.
Available online at http://wals.info/feature/70A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Second singular and second plural	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Verbal Categories
acl	Acholi	1	Second singular and second plural	3.000	32.667	Nilotic	Nilo-Saharan	Verbal Categories
acu	Achuar	1	Second singular and second plural	-2.667	-76.000	Jivaroan	Jivaroan	Verbal Categories
aco	Acoma	1	Second singular and second plural	34.917	-107.583	Keresan	Keresan	Verbal Categories
ala	Alamblak	1	Second singular and second plural	-4.667	143.333	Sepik Hill	Sepik	Verbal Categories
amh	Amharic	1	Second singular and second plural	10.000	38.000	Semitic	Afro-Asiatic	Verbal Categories
adk	Andoke	1	Second singular and second plural	-0.667	-72.000	Andoke	Andoke	Verbal Categories
apl	Apalaí	1	Second singular and second plural	0.000	-54.000	Cariban	Cariban	Verbal Categories
abb	Arabic (Abbéché Chad)	1	Second singular and second plural	13.833	20.833	Semitic	Afro-Asiatic	Verbal Categories
aeg	Arabic (Egyptian)	1	Second singular and second plural	30.000	31.000	Semitic	Afro-Asiatic	Verbal Categories
arg	Arabic (Gulf)	1	Second singular and second plural	26.000	49.000	Semitic	Afro-Asiatic	Verbal Categories
amr	Arabic (Moroccan)	1	Second singular and second plural	34.000	-6.000	Semitic	Afro-Asiatic	Verbal Categories
anl	Arabic (North Levantine Spoken)	1	Second singular and second plural	33.750	36.000	Semitic	Afro-Asiatic	Verbal Categories
ars	Arabic (San'ani)	1	Second singular and second plural	16.000	44.000	Semitic	Afro-Asiatic	Verbal Categories
ard	Arandai	1	Second singular and second plural	-2.083	133.000	South Bird's Head	Marind	Verbal Categories
ana	Araona	1	Second singular and second plural	-12.333	-67.750	Tacanan	Tacanan	Verbal Categories
arm	Armenian (Eastern)	1	Second singular and second plural	40.000	45.000	Armenian	Indo-European	Verbal Categories
ath	Athpare	1	Second singular and second plural	27.000	87.333	Bodic	Sino-Tibetan	Verbal Categories
ava	Avar	1	Second singular and second plural	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
