van der Auwera, Johan & Lejeune, Ludo (with Goussev, Valentin). 2011. The Prohibitive.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 71A.
Available online at http://wals.info/feature/71A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
akn	Akan	1	Normal imperative + normal negative	6.500	-1.250	Kwa	Niger-Congo	Verbal Categories
ago	Angolar	1	Normal imperative + normal negative	0.250	6.500	Creoles and Pidgins	other	Verbal Categories
apl	Apalaí	1	Normal imperative + normal negative	0.000	-54.000	Cariban	Cariban	Verbal Categories
apa	Arabic (Palestinian)	1	Normal imperative + normal negative	32.000	35.250	Semitic	Afro-Asiatic	Verbal Categories
au	Au	1	Normal imperative + normal negative	-3.583	142.083	Wapei-Palei	Torricelli	Verbal Categories
ayr	Ayoreo	1	Normal imperative + normal negative	-20.250	-59.250	Zamucoan	Zamucoan	Verbal Categories
azi	Azari (Iranian)	1	Normal imperative + normal negative	37.500	47.000	Turkic	Altaic	Verbal Categories
bag	Bagirmi	1	Normal imperative + normal negative	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Verbal Categories
lnd	Linda	1	Normal imperative + normal negative	6.500	20.750	Ubangi	Niger-Congo	Verbal Categories
brs	Barasano	1	Normal imperative + normal negative	-0.167	-70.667	Tucanoan	Tucanoan	Verbal Categories
bsk	Bashkir	1	Normal imperative + normal negative	53.000	58.000	Turkic	Altaic	Verbal Categories
bsq	Basque	1	Normal imperative + normal negative	43.000	-3.000	Basque	Basque	Verbal Categories
tas	Tashlhiyt	1	Normal imperative + normal negative	31.000	-5.000	Berber	Afro-Asiatic	Verbal Categories
bfg	Berber (Figuig)	1	Normal imperative + normal negative	32.500	-1.500	Berber	Afro-Asiatic	Verbal Categories
bii	Biri	1	Normal imperative + normal negative	-20.500	146.500	Pama-Nyungan	Australian	Verbal Categories
brz	Birri	1	Normal imperative + normal negative	5.500	25.167	Bongo-Bagirmi	Nilo-Saharan	Verbal Categories
bur	Burushaski	1	Normal imperative + normal negative	36.500	74.500	Burushaski	Burushaski	Verbal Categories
ckr	Canela-Krahô	1	Normal imperative + normal negative	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Verbal Categories
cay	Cayapa	1	Normal imperative + normal negative	0.667	-79.000	Barbacoan	Barbacoan	Verbal Categories
