van der Auwera, Johan & Dobrushina, Nina & Goussev, Valentin. 2011. Imperative-Hortative Systems.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 72A.
Available online at http://wals.info/feature/72A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
acu	Achuar	1	Maximal system	-2.667	-76.000	Jivaroan	Jivaroan	Verbal Categories
awn	Awngi	1	Maximal system	10.833	36.667	Central Cushitic	Afro-Asiatic	Verbal Categories
ala	Alamblak	1	Maximal system	-4.667	143.333	Sepik Hill	Sepik	Verbal Categories
alb	Albanian	1	Maximal system	41.000	20.000	Albanian	Indo-European	Verbal Categories
aea	Aleut (Eastern)	1	Maximal system	54.750	-164.000	Aleut	Eskimo-Aleut	Verbal Categories
ame	Amele	1	Maximal system	-5.250	145.583	Madang	Trans-New Guinea	Verbal Categories
anl	Arabic (North Levantine Spoken)	1	Maximal system	33.750	36.000	Semitic	Afro-Asiatic	Verbal Categories
ark	Araki	1	Maximal system	-15.667	166.917	Oceanic	Austronesian	Verbal Categories
ath	Athpare	1	Maximal system	27.000	87.333	Bodic	Sino-Tibetan	Verbal Categories
aym	Aymara	1	Maximal system	-17.000	-69.000	Aymaran	Aymaran	Verbal Categories
brs	Barasano	1	Maximal system	-0.167	-70.667	Tucanoan	Tucanoan	Verbal Categories
bsk	Bashkir	1	Maximal system	53.000	58.000	Turkic	Altaic	Verbal Categories
bkr	Batak (Karo)	1	Maximal system	3.250	98.250	Sumatra	Austronesian	Verbal Categories
bul	Bulgarian	1	Maximal system	42.500	25.000	Slavic	Indo-European	Verbal Categories
cak	Cakchiquel	1	Maximal system	14.500	-91.000	Mayan	Mayan	Verbal Categories
chk	Chukchi	1	Maximal system	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Verbal Categories
cor	Cora	1	Maximal system	22.167	-104.833	Corachol	Uto-Aztecan	Verbal Categories
dag	Daga	1	Maximal system	-10.000	149.333	Dagan	Dagan	Verbal Categories
dni	Dani (Lower Grand Valley)	1	Maximal system	-4.333	138.833	Dani	Trans-New Guinea	Verbal Categories
tbu	Tubu	1	Maximal system	16.000	15.000	Western Saharan	Nilo-Saharan	Verbal Categories
dio	Diola-Fogny	1	Maximal system	13.000	-16.250	Northern Atlantic	Niger-Congo	Verbal Categories
ysi	Yupik (Sirenik)	1	Maximal system	64.500	-174.000	Eskimo	Eskimo-Aleut	Verbal Categories
est	Estonian	1	Maximal system	59.000	26.000	Finnic	Uralic	Verbal Categories
evn	Even	1	Maximal system	68.000	130.000	Tungusic	Altaic	Verbal Categories
eve	Evenki	1	Maximal system	56.000	125.000	Tungusic	Altaic	Verbal Categories
fin	Finnish	1	Maximal system	62.000	25.000	Finnic	Uralic	Verbal Categories
fni	Fula (Nigerian)	1	Maximal system	8.167	10.500	Northern Atlantic	Niger-Congo	Verbal Categories
gam	Gamo	1	Maximal system	6.667	37.250	North Omotic	Afro-Asiatic	Verbal Categories
gbk	Gbaya Kara	1	Maximal system	6.000	15.000	Ubangi	Niger-Congo	Verbal Categories
goo	Gooniyandi	1	Maximal system	-18.333	126.333	Bunuban	Australian	Verbal Categories
grk	Greek (Modern)	1	Maximal system	39.000	22.000	Greek	Indo-European	Verbal Categories
gua	Guaraní	1	Maximal system	-26.000	-56.000	Tupi-Guaraní	Tupian	Verbal Categories
gmz	Gumuz	1	Maximal system	12.500	35.833	Gumuz	Nilo-Saharan	Verbal Categories
haw	Hawaiian	1	Maximal system	19.583	-155.500	Oceanic	Austronesian	Verbal Categories
heb	Hebrew (Modern)	1	Maximal system	31.500	34.833	Semitic	Afro-Asiatic	Verbal Categories
her	Herero	1	Maximal system	-20.583	19.000	Bantoid	Niger-Congo	Verbal Categories
hix	Hixkaryana	1	Maximal system	-1.000	-59.000	Cariban	Cariban	Verbal Categories
hun	Hungarian	1	Maximal system	47.000	20.000	Ugric	Uralic	Verbal Categories
hzb	Hunzib	1	Maximal system	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
ing	Ingush	1	Maximal system	43.167	45.083	Nakh	Nakh-Daghestanian	Verbal Categories
irq	Iraqw	1	Maximal system	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Verbal Categories
iri	Irish	1	Maximal system	53.000	-8.000	Celtic	Indo-European	Verbal Categories
jak	Jakaltek	1	Maximal system	15.667	-91.667	Mayan	Mayan	Verbal Categories
jaq	Jaqaru	1	Maximal system	-13.000	-76.000	Aymaran	Aymaran	Verbal Categories
juh	Ju|'hoan	1	Maximal system	-19.000	21.000	Northern Khoisan	Khoisan	Verbal Categories
nan	Nandi	1	Maximal system	0.250	35.000	Nilotic	Nilo-Saharan	Verbal Categories
kmk	Kalmyk	1	Maximal system	44.000	83.000	Mongolic	Altaic	Verbal Categories
knd	Kannada	1	Maximal system	14.000	76.000	Southern Dravidian	Dravidian	Verbal Categories
ham	Hamtai	1	Maximal system	-7.500	146.250	Angan	Trans-New Guinea	Verbal Categories
krk	Karok	1	Maximal system	41.667	-123.000	Karok	Karok	Verbal Categories
kyl	Kayah Li (Eastern)	1	Maximal system	19.000	97.500	Karen	Sino-Tibetan	Verbal Categories
krq	Kerek	1	Maximal system	62.250	175.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Verbal Categories
kte	Kete	1	Maximal system	-7.000	22.833	Bantoid	Niger-Congo	Verbal Categories
kha	Khalkha	1	Maximal system	47.000	105.000	Mongolic	Altaic	Verbal Categories
kho	Khoekhoe	1	Maximal system	-25.500	18.000	Central Khoisan	Khoisan	Verbal Categories
klv	Kilivila	1	Maximal system	-8.500	151.083	Oceanic	Austronesian	Verbal Categories
kil	Kiluba	1	Maximal system	-8.000	26.000	Bantoid	Niger-Congo	Verbal Categories
kim	Kimaghama	1	Maximal system	-8.000	138.500	Kolopom	Kolopom	Verbal Categories
klm	Klamath	1	Maximal system	42.500	-121.500	Klamath-Modoc	Penutian	Verbal Categories
koa	Koasati	1	Maximal system	34.833	-85.167	Muskogean	Muskogean	Verbal Categories
kob	Kobon	1	Maximal system	-5.167	144.333	Madang	Trans-New Guinea	Verbal Categories
kon	Kongo	1	Maximal system	-5.000	15.000	Bantoid	Niger-Congo	Verbal Categories
krn	Korana	1	Maximal system	-29.500	20.500	Central Khoisan	Khoisan	Verbal Categories
kro	Krongo	1	Maximal system	10.500	30.000	Kadugli	Kadugli	Verbal Categories
kui	Kui (in India)	1	Maximal system	20.000	83.500	South-Central Dravidian	Dravidian	Verbal Categories
knm	Kunama	1	Maximal system	14.500	37.000	Kunama	Nilo-Saharan	Verbal Categories
lak	Lak	1	Maximal system	42.167	47.167	Lak-Dargwa	Nakh-Daghestanian	Verbal Categories
lep	Lepcha	1	Maximal system	27.167	88.500	Lepcha	Sino-Tibetan	Verbal Categories
lug	Lugbara	1	Maximal system	3.083	30.917	Moru-Ma'di	Nilo-Saharan	Verbal Categories
lgt	Logoti	1	Maximal system	3.500	30.000	Moru-Ma'di	Nilo-Saharan	Verbal Categories
loz	Lozi	1	Maximal system	-17.833	26.000	Bantoid	Niger-Congo	Verbal Categories
luv	Luvale	1	Maximal system	-12.000	22.000	Bantoid	Niger-Congo	Verbal Categories
mcd	Macedonian	1	Maximal system	41.667	21.750	Slavic	Indo-European	Verbal Categories
mai	Maithili	1	Maximal system	26.000	86.000	Indic	Indo-European	Verbal Categories
mal	Malagasy	1	Maximal system	-20.000	47.000	Barito	Austronesian	Verbal Categories
mnm	Manam	1	Maximal system	-4.000	145.000	Oceanic	Austronesian	Verbal Categories
mdk	Mandinka	1	Maximal system	13.000	-15.667	Western Mande	Niger-Congo	Verbal Categories
mao	Maori	1	Maximal system	-40.000	176.000	Oceanic	Austronesian	Verbal Categories
mhi	Marathi	1	Maximal system	19.000	76.000	Indic	Indo-European	Verbal Categories
mrg	Margi	1	Maximal system	11.000	13.000	Biu-Mandara	Afro-Asiatic	Verbal Categories
mei	Meithei	1	Maximal system	24.750	94.000	Kuki-Chin	Sino-Tibetan	Verbal Categories
mss	Miwok (Southern Sierra)	1	Maximal system	37.500	-120.000	Miwok	Penutian	Verbal Categories
mok	Mokilese	1	Maximal system	6.667	159.750	Oceanic	Austronesian	Verbal Categories
mgo	Mongo	1	Maximal system	0.000	21.000	Bantoid	Niger-Congo	Verbal Categories
mwe	Mwera	1	Maximal system	-9.000	39.000	Bantoid	Niger-Congo	Verbal Categories
nht	Nahuatl (Tetelcingo)	1	Maximal system	19.667	-99.000	Aztecan	Uto-Aztecan	Verbal Categories
nen	Nenets	1	Maximal system	69.000	72.000	Samoyedic	Uralic	Verbal Categories
nep	Nepali	1	Maximal system	28.000	85.000	Indic	Indo-European	Verbal Categories
nez	Nez Perce	1	Maximal system	46.000	-116.000	Sahaptian	Penutian	Verbal Categories
nti	Ngiti	1	Maximal system	1.333	30.250	Lendu	Nilo-Saharan	Verbal Categories
