Dobrushina, Nina & van der Auwera, Johan & Goussev, Valentin. 2011. The Optative.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 73A.
Available online at http://wals.info/feature/73A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abz	Abaza	1	Inflectional optative present	44.000	42.000	Northwest Caucasian	Northwest Caucasian	Verbal Categories
abk	Abkhaz	1	Inflectional optative present	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Verbal Categories
adt	Adyghe (Temirgoy)	1	Inflectional optative present	45.217	39.700	Northwest Caucasian	Northwest Caucasian	Verbal Categories
agl	Aghul	1	Inflectional optative present	41.750	47.667	Lezgic	Nakh-Daghestanian	Verbal Categories
alb	Albanian	1	Inflectional optative present	41.000	20.000	Albanian	Indo-European	Verbal Categories
arc	Archi	1	Inflectional optative present	42.000	46.833	Lezgic	Nakh-Daghestanian	Verbal Categories
ava	Avar	1	Inflectional optative present	42.500	46.500	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
aym	Aymara	1	Inflectional optative present	-17.000	-69.000	Aymaran	Aymaran	Verbal Categories
aze	Azerbaijani	1	Inflectional optative present	40.500	48.500	Turkic	Altaic	Verbal Categories
bgv	Bagvalal	1	Inflectional optative present	42.583	46.167	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
bez	Bezhta	1	Inflectional optative present	42.083	46.167	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
but	Buriat	1	Inflectional optative present	52.000	108.000	Mongolic	Altaic	Verbal Categories
chc	Chechen	1	Inflectional optative present	43.250	45.833	Nakh	Nakh-Daghestanian	Verbal Categories
cle	Chinantec (Lealao)	1	Inflectional optative present	17.333	-95.917	Chinantecan	Oto-Manguean	Verbal Categories
drg	Dargwa	1	Inflectional optative present	42.250	47.417	Lak-Dargwa	Nakh-Daghestanian	Verbal Categories
tsz	Tsez	1	Inflectional optative present	42.250	45.750	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
dmi	Dumi	1	Inflectional optative present	27.250	86.667	Bodic	Sino-Tibetan	Verbal Categories
eve	Evenki	1	Inflectional optative present	56.000	125.000	Tungusic	Altaic	Verbal Categories
geo	Georgian	1	Inflectional optative present	42.000	44.000	Kartvelian	Kartvelian	Verbal Categories
god	Godoberi	1	Inflectional optative present	42.667	46.083	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
gua	Guaraní	1	Inflectional optative present	-26.000	-56.000	Tupi-Guaraní	Tupian	Verbal Categories
hay	Hayu	1	Inflectional optative present	27.250	86.000	Bodic	Sino-Tibetan	Verbal Categories
hzb	Hunzib	1	Inflectional optative present	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
ing	Ingush	1	Inflectional optative present	43.167	45.083	Nakh	Nakh-Daghestanian	Verbal Categories
kab	Kabardian	1	Inflectional optative present	43.500	43.500	Northwest Caucasian	Northwest Caucasian	Verbal Categories
krm	Karaim	1	Inflectional optative present	54.667	24.917	Turkic	Altaic	Verbal Categories
kha	Khalkha	1	Inflectional optative present	47.000	105.000	Mongolic	Altaic	Verbal Categories
klg	Kulung	1	Inflectional optative present	27.500	87.000	Bodic	Sino-Tibetan	Verbal Categories
kuq	Kumyk	1	Inflectional optative present	43.000	47.333	Turkic	Altaic	Verbal Categories
lad	Ladakhi	1	Inflectional optative present	34.000	78.000	Bodic	Sino-Tibetan	Verbal Categories
lez	Lezgian	1	Inflectional optative present	41.667	47.833	Lezgic	Nakh-Daghestanian	Verbal Categories
lim	Limbu	1	Inflectional optative present	27.167	87.750	Bodic	Sino-Tibetan	Verbal Categories
mar	Maricopa	1	Inflectional optative present	33.167	-113.167	Yuman	Hokan	Verbal Categories
