van der Auwera, Johan & Ammann, Andreas. 2011. Epistemic Possibility.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 75A.
Available online at http://wals.info/feature/75A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Verbal constructions	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Verbal Categories
ace	Acehnese	1	Verbal constructions	5.500	95.500	Malayic	Austronesian	Verbal Categories
alb	Albanian	1	Verbal constructions	41.000	20.000	Albanian	Indo-European	Verbal Categories
amh	Amharic	1	Verbal constructions	10.000	38.000	Semitic	Afro-Asiatic	Verbal Categories
amr	Arabic (Moroccan)	1	Verbal constructions	34.000	-6.000	Semitic	Afro-Asiatic	Verbal Categories
arg	Arabic (Gulf)	1	Verbal constructions	26.000	49.000	Semitic	Afro-Asiatic	Verbal Categories
aeg	Arabic (Egyptian)	1	Verbal constructions	30.000	31.000	Semitic	Afro-Asiatic	Verbal Categories
bam	Bambara	1	Verbal constructions	12.500	-7.500	Western Mande	Niger-Congo	Verbal Categories
bet	Bété	1	Verbal constructions	6.250	-6.250	Kru	Niger-Congo	Verbal Categories
ctl	Catalan	1	Verbal constructions	41.750	2.000	Romance	Indo-European	Verbal Categories
mnd	Mandarin	1	Verbal constructions	34.000	110.000	Chinese	Sino-Tibetan	Verbal Categories
dsh	Danish	1	Verbal constructions	56.000	10.000	Germanic	Indo-European	Verbal Categories
dut	Dutch	1	Verbal constructions	52.500	6.000	Germanic	Indo-European	Verbal Categories
eng	English	1	Verbal constructions	52.000	0.000	Germanic	Indo-European	Verbal Categories
far	Faroese	1	Verbal constructions	62.000	-7.000	Germanic	Indo-European	Verbal Categories
fin	Finnish	1	Verbal constructions	62.000	25.000	Finnic	Uralic	Verbal Categories
fre	French	1	Verbal constructions	48.000	2.000	Romance	Indo-European	Verbal Categories
ger	German	1	Verbal constructions	52.000	10.000	Germanic	Indo-European	Verbal Categories
grb	Grebo	1	Verbal constructions	5.000	-8.000	Kru	Niger-Congo	Verbal Categories
grk	Greek (Modern)	1	Verbal constructions	39.000	22.000	Greek	Indo-European	Verbal Categories
hau	Hausa	1	Verbal constructions	12.000	7.000	West Chadic	Afro-Asiatic	Verbal Categories
heb	Hebrew (Modern)	1	Verbal constructions	31.500	34.833	Semitic	Afro-Asiatic	Verbal Categories
hin	Hindi	1	Verbal constructions	25.000	77.000	Indic	Indo-European	Verbal Categories
hun	Hungarian	1	Verbal constructions	47.000	20.000	Ugric	Uralic	Verbal Categories
ice	Icelandic	1	Verbal constructions	65.000	-17.000	Germanic	Indo-European	Verbal Categories
igb	Igbo	1	Verbal constructions	6.000	7.333	Igboid	Niger-Congo	Verbal Categories
iri	Irish	1	Verbal constructions	53.000	-8.000	Celtic	Indo-European	Verbal Categories
ita	Italian	1	Verbal constructions	43.000	12.000	Romance	Indo-European	Verbal Categories
kam	Kambera	1	Verbal constructions	-9.833	120.167	Central Malayo-Polynesian	Austronesian	Verbal Categories
knd	Kannada	1	Verbal constructions	14.000	76.000	Southern Dravidian	Dravidian	Verbal Categories
kas	Kashmiri	1	Verbal constructions	34.000	76.000	Indic	Indo-European	Verbal Categories
kol	Kolami	1	Verbal constructions	20.000	78.500	Central Dravidian	Dravidian	Verbal Categories
kfe	Koromfe	1	Verbal constructions	14.250	-0.917	Gur	Niger-Congo	Verbal Categories
kui	Kui (in India)	1	Verbal constructions	20.000	83.500	South-Central Dravidian	Dravidian	Verbal Categories
lak	Lak	1	Verbal constructions	42.167	47.167	Lak-Dargwa	Nakh-Daghestanian	Verbal Categories
lat	Latvian	1	Verbal constructions	57.000	24.000	Baltic	Indo-European	Verbal Categories
lit	Lithuanian	1	Verbal constructions	55.000	24.000	Baltic	Indo-European	Verbal Categories
mcd	Macedonian	1	Verbal constructions	41.667	21.750	Slavic	Indo-European	Verbal Categories
mym	Malayalam	1	Verbal constructions	10.000	76.500	Southern Dravidian	Dravidian	Verbal Categories
mlt	Maltese	1	Verbal constructions	35.917	14.417	Semitic	Afro-Asiatic	Verbal Categories
mhi	Marathi	1	Verbal constructions	19.000	76.000	Indic	Indo-European	Verbal Categories
meh	Mehri	1	Verbal constructions	17.000	51.500	Semitic	Afro-Asiatic	Verbal Categories
mei	Meithei	1	Verbal constructions	24.750	94.000	Kuki-Chin	Sino-Tibetan	Verbal Categories
mok	Mokilese	1	Verbal constructions	6.667	159.750	Oceanic	Austronesian	Verbal Categories
mdg	Mundang	1	Verbal constructions	9.667	14.500	Adamawa	Niger-Congo	Verbal Categories
orh	Oromo (Harar)	1	Verbal constructions	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Verbal Categories
pol	Polish	1	Verbal constructions	52.000	20.000	Slavic	Indo-European	Verbal Categories
por	Portuguese	1	Verbal constructions	39.000	-8.000	Romance	Indo-European	Verbal Categories
pan	Panjabi	1	Verbal constructions	31.000	74.000	Indic	Indo-European	Verbal Categories
rka	Romani (Kalderash)	1	Verbal constructions	45.000	21.000	Indic	Indo-European	Verbal Categories
rom	Romanian	1	Verbal constructions	46.000	25.000	Romance	Indo-European	Verbal Categories
rus	Russian	1	Verbal constructions	56.000	38.000	Slavic	Indo-European	Verbal Categories
sno	Saami (Northern)	1	Verbal constructions	69.000	24.000	Saami	Uralic	Verbal Categories
scr	Serbian-Croatian	1	Verbal constructions	44.000	19.000	Slavic	Indo-European	Verbal Categories
spa	Spanish	1	Verbal constructions	40.000	-4.000	Romance	Indo-European	Verbal Categories
sup	Supyire	1	Verbal constructions	11.500	-5.583	Gur	Niger-Congo	Verbal Categories
swe	Swedish	1	Verbal constructions	60.000	15.000	Germanic	Indo-European	Verbal Categories
tel	Telugu	1	Verbal constructions	16.000	79.000	South-Central Dravidian	Dravidian	Verbal Categories
tha	Thai	1	Verbal constructions	16.000	101.000	Kam-Tai	Tai-Kadai	Verbal Categories
tuk	Tukang Besi	1	Verbal constructions	-5.500	123.500	Sulawesi	Austronesian	Verbal Categories
tuv	Tuvan	1	Verbal constructions	52.000	95.000	Turkic	Altaic	Verbal Categories
vie	Vietnamese	1	Verbal constructions	10.500	106.500	Viet-Muong	Austro-Asiatic	Verbal Categories
wlf	Wolof	1	Verbal constructions	15.250	-16.000	Northern Atlantic	Niger-Congo	Verbal Categories
yor	Yoruba	1	Verbal constructions	8.000	4.333	Defoid	Niger-Congo	Verbal Categories
ewe	Ewe	1	Verbal constructions	6.333	0.417	Kwa	Niger-Congo	Verbal Categories
aco	Acoma	2	Affixes on verbs	34.917	-107.583	Keresan	Keresan	Verbal Categories
apu	Apurinã	2	Affixes on verbs	-9.000	-67.000	Arawakan	Arawakan	Verbal Categories
ana	Araona	2	Affixes on verbs	-12.333	-67.750	Tacanan	Tacanan	Verbal Categories
asm	Asmat	2	Affixes on verbs	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Verbal Categories
awp	Awa Pit	2	Affixes on verbs	1.500	-78.250	Barbacoan	Barbacoan	Verbal Categories
bsq	Basque	2	Affixes on verbs	43.000	-3.000	Basque	Basque	Verbal Categories
brh	Brahui	2	Affixes on verbs	28.500	67.000	Northern Dravidian	Dravidian	Verbal Categories
bri	Bribri	2	Affixes on verbs	9.417	-83.000	Talamanca	Chibchan	Verbal Categories
bur	Burushaski	2	Affixes on verbs	36.500	74.500	Burushaski	Burushaski	Verbal Categories
cyv	Cayuvava	2	Affixes on verbs	-13.500	-65.500	Cayuvava	Cayuvava	Verbal Categories
chv	Chuvash	2	Affixes on verbs	55.500	47.500	Turkic	Altaic	Verbal Categories
cmn	Comanche	2	Affixes on verbs	33.500	-101.500	Numic	Uto-Aztecan	Verbal Categories
cre	Cree (Plains)	2	Affixes on verbs	54.000	-110.000	Algonquian	Algic	Verbal Categories
dag	Daga	2	Affixes on verbs	-10.000	149.333	Dagan	Dagan	Verbal Categories
dni	Dani (Lower Grand Valley)	2	Affixes on verbs	-4.333	138.833	Dani	Trans-New Guinea	Verbal Categories
die	Diegueño (Mesa Grande)	2	Affixes on verbs	32.667	-116.167	Yuman	Hokan	Verbal Categories
eka	Ekari	2	Affixes on verbs	-3.833	135.500	Wissel Lakes-Kemandoga	Trans-New Guinea	Verbal Categories
epe	Epena Pedee	2	Affixes on verbs	3.000	-77.000	Choco	Choco	Verbal Categories
eve	Evenki	2	Affixes on verbs	56.000	125.000	Tungusic	Altaic	Verbal Categories
fni	Fula (Nigerian)	2	Affixes on verbs	8.167	10.500	Northern Atlantic	Niger-Congo	Verbal Categories
fur	Fur	2	Affixes on verbs	13.500	25.000	Fur	Nilo-Saharan	Verbal Categories
gar	Garo	2	Affixes on verbs	25.667	90.500	Bodo-Garo	Sino-Tibetan	Verbal Categories
goo	Gooniyandi	2	Affixes on verbs	-18.333	126.333	Bunuban	Australian	Verbal Categories
grw	Greenlandic (West)	2	Affixes on verbs	64.000	-51.000	Eskimo	Eskimo-Aleut	Verbal Categories
hai	Haida	2	Affixes on verbs	53.000	-132.000	Haida	Haida	Verbal Categories
ika	Ika	2	Affixes on verbs	10.667	-73.750	Aruak	Chibchan	Verbal Categories
imo	Imonda	2	Affixes on verbs	-3.333	141.167	Border	Border	Verbal Categories
ham	Hamtai	2	Affixes on verbs	-7.500	146.250	Angan	Trans-New Guinea	Verbal Categories
kay	Kayardild	2	Affixes on verbs	-17.050	139.500	Tangkic	Australian	Verbal Categories
klv	Kilivila	2	Affixes on verbs	-8.500	151.083	Oceanic	Austronesian	Verbal Categories
kio	Kiowa	2	Affixes on verbs	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Verbal Categories
koa	Koasati	2	Affixes on verbs	34.833	-85.167	Muskogean	Muskogean	Verbal Categories
lad	Ladakhi	2	Affixes on verbs	34.000	78.000	Bodic	Sino-Tibetan	Verbal Categories
lkt	Lakhota	2	Affixes on verbs	43.833	-101.833	Siouan	Siouan	Verbal Categories
lep	Lepcha	2	Affixes on verbs	27.167	88.500	Lepcha	Sino-Tibetan	Verbal Categories
mai	Maithili	2	Affixes on verbs	26.000	86.000	Indic	Indo-European	Verbal Categories
myi	Mangarrayi	2	Affixes on verbs	-14.667	133.500	Mangarrayi	Australian	Verbal Categories
mns	Mansi	2	Affixes on verbs	62.000	62.000	Ugric	Uralic	Verbal Categories
nma	Naga (Mao)	2	Affixes on verbs	25.500	94.333	Kuki-Chin	Sino-Tibetan	Verbal Categories
map	Mapudungun	2	Affixes on verbs	-38.000	-72.000	Araucanian	Araucanian	Verbal Categories
mar	Maricopa	2	Affixes on verbs	33.167	-113.167	Yuman	Hokan	Verbal Categories
mss	Miwok (Southern Sierra)	2	Affixes on verbs	37.500	-120.000	Miwok	Penutian	Verbal Categories
mxc	Mixtec (Chalcatongo)	2	Affixes on verbs	17.050	-97.583	Mixtecan	Oto-Manguean	Verbal Categories
nav	Navajo	2	Affixes on verbs	36.167	-108.000	Athapaskan	Na-Dene	Verbal Categories
niv	Nivkh	2	Affixes on verbs	53.333	142.000	Nivkh	Nivkh	Verbal Categories
ond	Oneida	2	Affixes on verbs	43.000	-75.667	Northern Iroquoian	Iroquoian	Verbal Categories
pms	Paamese	2	Affixes on verbs	-16.500	168.250	Oceanic	Austronesian	Verbal Categories
