van der Auwera, Johan & Ammann, Andreas. 2011. Overlap between Situational and Epistemic Modal Marking.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 76A.
Available online at http://wals.info/feature/76A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
aeg	Arabic (Egyptian)	1	Overlap for both possibility and necessity	30.000	31.000	Semitic	Afro-Asiatic	Verbal Categories
bsq	Basque	1	Overlap for both possibility and necessity	43.000	-3.000	Basque	Basque	Verbal Categories
mnd	Mandarin	1	Overlap for both possibility and necessity	34.000	110.000	Chinese	Sino-Tibetan	Verbal Categories
dsh	Danish	1	Overlap for both possibility and necessity	56.000	10.000	Germanic	Indo-European	Verbal Categories
dut	Dutch	1	Overlap for both possibility and necessity	52.500	6.000	Germanic	Indo-European	Verbal Categories
eng	English	1	Overlap for both possibility and necessity	52.000	0.000	Germanic	Indo-European	Verbal Categories
far	Faroese	1	Overlap for both possibility and necessity	62.000	-7.000	Germanic	Indo-European	Verbal Categories
fin	Finnish	1	Overlap for both possibility and necessity	62.000	25.000	Finnic	Uralic	Verbal Categories
fre	French	1	Overlap for both possibility and necessity	48.000	2.000	Romance	Indo-European	Verbal Categories
ger	German	1	Overlap for both possibility and necessity	52.000	10.000	Germanic	Indo-European	Verbal Categories
grk	Greek (Modern)	1	Overlap for both possibility and necessity	39.000	22.000	Greek	Indo-European	Verbal Categories
grw	Greenlandic (West)	1	Overlap for both possibility and necessity	64.000	-51.000	Eskimo	Eskimo-Aleut	Verbal Categories
heb	Hebrew (Modern)	1	Overlap for both possibility and necessity	31.500	34.833	Semitic	Afro-Asiatic	Verbal Categories
iri	Irish	1	Overlap for both possibility and necessity	53.000	-8.000	Celtic	Indo-European	Verbal Categories
ita	Italian	1	Overlap for both possibility and necessity	43.000	12.000	Romance	Indo-European	Verbal Categories
knd	Kannada	1	Overlap for both possibility and necessity	14.000	76.000	Southern Dravidian	Dravidian	Verbal Categories
kas	Kashmiri	1	Overlap for both possibility and necessity	34.000	76.000	Indic	Indo-European	Verbal Categories
