de Haan, Ferdinand. 2011. Coding of Evidentiality.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 78A.
Available online at http://wals.info/feature/78A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	No grammatical evidentials	-19.000	21.000	Northern Khoisan	Khoisan	Verbal Categories
abi	Abipón	1	No grammatical evidentials	-29.000	-61.000	Guaicuruan	Guaicuruan	Verbal Categories
agr	Aguaruna	1	No grammatical evidentials	-5.000	-78.000	Jivaroan	Jivaroan	Verbal Categories
ala	Alamblak	1	No grammatical evidentials	-4.667	143.333	Sepik Hill	Sepik	Verbal Categories
alw	Alawa	1	No grammatical evidentials	-15.167	134.250	Maran	Australian	Verbal Categories
ame	Amele	1	No grammatical evidentials	-5.250	145.583	Madang	Trans-New Guinea	Verbal Categories
awp	Awa Pit	1	No grammatical evidentials	1.500	-78.250	Barbacoan	Barbacoan	Verbal Categories
cax	Campa (Axininca)	1	No grammatical evidentials	-12.000	-74.000	Arawakan	Arawakan	Verbal Categories
mxt	Mixtec (Ayutla)	1	No grammatical evidentials	16.917	-99.167	Mixtecan	Oto-Manguean	Verbal Categories
baa	Barai	1	No grammatical evidentials	-9.333	148.083	Koiarian	Trans-New Guinea	Verbal Categories
baw	Bawm	1	No grammatical evidentials	22.500	92.250	Kuki-Chin	Sino-Tibetan	Verbal Categories
beb	Benabena	1	No grammatical evidentials	-6.167	145.500	Eastern Highlands	Trans-New Guinea	Verbal Categories
bla	Blackfoot	1	No grammatical evidentials	50.000	-112.667	Algonquian	Algic	Verbal Categories
brh	Brahui	1	No grammatical evidentials	28.500	67.000	Northern Dravidian	Dravidian	Verbal Categories
bre	Breton	1	No grammatical evidentials	48.000	-3.000	Celtic	Indo-European	Verbal Categories
bdk	Budukh	1	No grammatical evidentials	41.167	48.417	Lezgic	Nakh-Daghestanian	Verbal Categories
arp	Arapesh (Mountain)	1	No grammatical evidentials	-3.467	143.167	Kombio-Arapesh	Torricelli	Verbal Categories
bur	Burushaski	1	No grammatical evidentials	36.500	74.500	Burushaski	Burushaski	Verbal Categories
khm	Khmer	1	No grammatical evidentials	12.500	105.000	Khmer	Austro-Asiatic	Verbal Categories
can	Candoshi	1	No grammatical evidentials	-4.167	-77.000	Candoshi	Candoshi	Verbal Categories
ckr	Canela-Krahô	1	No grammatical evidentials	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Verbal Categories
cyv	Cayuvava	1	No grammatical evidentials	-13.500	-65.500	Cayuvava	Cayuvava	Verbal Categories
mxc	Mixtec (Chalcatongo)	1	No grammatical evidentials	17.050	-97.583	Mixtecan	Oto-Manguean	Verbal Categories
