Veselinova, Ljuba N.. 2011. Suppletion According to Tense and Aspect.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 79A.
Available online at http://wals.info/feature/79A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Tense	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Verbal Categories
ala	Alamblak	1	Tense	-4.667	143.333	Sepik Hill	Sepik	Verbal Categories
awp	Awa Pit	1	Tense	1.500	-78.250	Barbacoan	Barbacoan	Verbal Categories
bsq	Basque	1	Tense	43.000	-3.000	Basque	Basque	Verbal Categories
brh	Brahui	1	Tense	28.500	67.000	Northern Dravidian	Dravidian	Verbal Categories
bul	Bulgarian	1	Tense	42.500	25.000	Slavic	Indo-European	Verbal Categories
car	Carib	1	Tense	5.500	-56.000	Cariban	Cariban	Verbal Categories
cha	Chamorro	1	Tense	13.450	144.750	Chamorro	Austronesian	Verbal Categories
dut	Dutch	1	Tense	52.500	6.000	Germanic	Indo-European	Verbal Categories
eng	English	1	Tense	52.000	0.000	Germanic	Indo-European	Verbal Categories
ewe	Ewe	1	Tense	6.333	0.417	Kwa	Niger-Congo	Verbal Categories
fur	Fur	1	Tense	13.500	25.000	Fur	Nilo-Saharan	Verbal Categories
ger	German	1	Tense	52.000	10.000	Germanic	Indo-European	Verbal Categories
heb	Hebrew (Modern)	1	Tense	31.500	34.833	Semitic	Afro-Asiatic	Verbal Categories
hix	Hixkaryana	1	Tense	-1.000	-59.000	Cariban	Cariban	Verbal Categories
hun	Hungarian	1	Tense	47.000	20.000	Ugric	Uralic	Verbal Categories
hzb	Hunzib	1	Tense	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
knd	Kannada	1	Tense	14.000	76.000	Southern Dravidian	Dravidian	Verbal Categories
knr	Kanuri	1	Tense	12.000	13.000	Western Saharan	Nilo-Saharan	Verbal Categories
kew	Kewa	1	Tense	-6.500	143.833	Engan	Trans-New Guinea	Verbal Categories
kho	Khoekhoe	1	Tense	-25.500	18.000	Central Khoisan	Khoisan	Verbal Categories
kuo	Kuot	1	Tense	-3.050	151.500	Kuot	Kuot	Verbal Categories
lat	Latvian	1	Tense	57.000	24.000	Baltic	Indo-European	Verbal Categories
mac	Macushi	1	Tense	4.000	-60.000	Cariban	Cariban	Verbal Categories
mcd	Macedonian	1	Tense	41.667	21.750	Slavic	Indo-European	Verbal Categories
mau	Maung	1	Tense	-11.917	133.500	Iwaidjan	Australian	Verbal Categories
mun	Mundari	1	Tense	23.000	84.667	Munda	Austro-Asiatic	Verbal Categories
orh	Oromo (Harar)	1	Tense	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Verbal Categories
pip	Pipil	1	Tense	13.833	-89.583	Aztecan	Uto-Aztecan	Verbal Categories
sue	Suena	1	Tense	-7.750	147.550	Binanderean	Trans-New Guinea	Verbal Categories
swe	Swedish	1	Tense	60.000	15.000	Germanic	Indo-European	Verbal Categories
tuk	Tukang Besi	1	Tense	-5.500	123.500	Sulawesi	Austronesian	Verbal Categories
tna	Turkana	1	Tense	3.000	35.500	Nilotic	Nilo-Saharan	Verbal Categories
tur	Turkish	1	Tense	39.000	35.000	Turkic	Altaic	Verbal Categories
usa	Usan	1	Tense	-4.833	145.167	Madang	Trans-New Guinea	Verbal Categories
yim	Yimas	1	Tense	-4.667	143.550	Lower Sepik	Lower Sepik-Ramu	Verbal Categories
cle	Chinantec (Lealao)	2	Aspect	17.333	-95.917	Chinantecan	Oto-Manguean	Verbal Categories
ika	Ika	2	Aspect	10.667	-73.750	Aruak	Chibchan	Verbal Categories
mra	Mara	2	Aspect	-15.000	135.167	Maran	Australian	Verbal Categories
mxc	Mixtec (Chalcatongo)	2	Aspect	17.050	-97.583	Mixtecan	Oto-Manguean	Verbal Categories
nug	Nunggubuyu	2	Aspect	-13.750	135.667	Nunggubuyu	Australian	Verbal Categories
ond	Oneida	2	Aspect	43.000	-75.667	Northern Iroquoian	Iroquoian	Verbal Categories
oix	Otomí (Ixtenco)	2	Aspect	19.083	-97.917	Otomian	Oto-Manguean	Verbal Categories
sla	Slave	2	Aspect	67.000	-125.000	Athapaskan	Na-Dene	Verbal Categories
wic	Wichita	2	Aspect	33.333	-97.333	Caddoan	Caddoan	Verbal Categories
tpn	Tepehuan (Northern)	2	Aspect	26.333	-107.000	Tepiman	Uto-Aztecan	Verbal Categories
arm	Armenian (Eastern)	3	Tense and aspect	40.000	45.000	Armenian	Indo-European	Verbal Categories
ben	Bengali	3	Tense and aspect	24.000	90.000	Indic	Indo-European	Verbal Categories
bur	Burushaski	3	Tense and aspect	36.500	74.500	Burushaski	Burushaski	Verbal Categories
blr	Belorussian	3	Tense and aspect	54.000	28.000	Slavic	Indo-European	Verbal Categories
cze	Czech	3	Tense and aspect	50.000	15.000	Slavic	Indo-European	Verbal Categories
fre	French	3	Tense and aspect	48.000	2.000	Romance	Indo-European	Verbal Categories
geo	Georgian	3	Tense and aspect	42.000	44.000	Kartvelian	Kartvelian	Verbal Categories
grk	Greek (Modern)	3	Tense and aspect	39.000	22.000	Greek	Indo-European	Verbal Categories
hin	Hindi	3	Tense and aspect	25.000	77.000	Indic	Indo-European	Verbal Categories
ing	Ingush	3	Tense and aspect	43.167	45.083	Nakh	Nakh-Daghestanian	Verbal Categories
iri	Irish	3	Tense and aspect	53.000	-8.000	Celtic	Indo-European	Verbal Categories
lez	Lezgian	3	Tense and aspect	41.667	47.833	Lezgic	Nakh-Daghestanian	Verbal Categories
nht	Nahuatl (Tetelcingo)	3	Tense and aspect	19.667	-99.000	Aztecan	Uto-Aztecan	Verbal Categories
psh	Pashto	3	Tense and aspect	33.000	67.000	Iranian	Indo-European	Verbal Categories
prs	Persian	3	Tense and aspect	32.000	54.000	Iranian	Indo-European	Verbal Categories
pol	Polish	3	Tense and aspect	52.000	20.000	Slavic	Indo-European	Verbal Categories
rus	Russian	3	Tense and aspect	56.000	38.000	Slavic	Indo-European	Verbal Categories
scr	Serbian-Croatian	3	Tense and aspect	44.000	19.000	Slavic	Indo-European	Verbal Categories
svk	Slovak	3	Tense and aspect	49.000	20.000	Slavic	Indo-European	Verbal Categories
slo	Slovene	3	Tense and aspect	46.000	15.000	Slavic	Indo-European	Verbal Categories
sou	Sorbian (Upper)	3	Tense and aspect	51.833	14.500	Slavic	Indo-European	Verbal Categories
spa	Spanish	3	Tense and aspect	40.000	-4.000	Romance	Indo-European	Verbal Categories
sup	Supyire	3	Tense and aspect	11.500	-5.583	Gur	Niger-Congo	Verbal Categories
ukr	Ukrainian	3	Tense and aspect	49.000	33.000	Slavic	Indo-European	Verbal Categories
xun	!Xun (Ekoka)	4	None	-19.667	18.000	Northern Khoisan	Khoisan	Verbal Categories
aco	Acoma	4	None	34.917	-107.583	Keresan	Keresan	Verbal Categories
ain	Ainu	4	None	43.000	143.000	Ainu	Ainu	Verbal Categories
agw	Alagwa	4	None	-5.500	35.750	Southern Cushitic	Afro-Asiatic	Verbal Categories
ame	Amele	4	None	-5.250	145.583	Madang	Trans-New Guinea	Verbal Categories
apu	Apurinã	4	None	-9.000	-67.000	Arawakan	Arawakan	Verbal Categories
abn	Arabana	4	None	-28.250	136.250	Pama-Nyungan	Australian	Verbal Categories
atu	Arabic (Tunisian)	4	None	36.750	10.250	Semitic	Afro-Asiatic	Verbal Categories
aeg	Arabic (Egyptian)	4	None	30.000	31.000	Semitic	Afro-Asiatic	Verbal Categories
amr	Arabic (Moroccan)	4	None	34.000	-6.000	Semitic	Afro-Asiatic	Verbal Categories
ana	Araona	4	None	-12.333	-67.750	Tacanan	Tacanan	Verbal Categories
asm	Asmat	4	None	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Verbal Categories
aym	Aymara	4	None	-17.000	-69.000	Aymaran	Aymaran	Verbal Categories
bag	Bagirmi	4	None	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Verbal Categories
brs	Barasano	4	None	-0.167	-70.667	Tucanoan	Tucanoan	Verbal Categories
arp	Arapesh (Mountain)	4	None	-3.467	143.167	Kombio-Arapesh	Torricelli	Verbal Categories
brm	Burmese	4	None	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Verbal Categories
cah	Cahuilla	4	None	33.500	-116.250	Takic	Uto-Aztecan	Verbal Categories
ckr	Canela-Krahô	4	None	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Verbal Categories
cyv	Cayuvava	4	None	-13.500	-65.500	Cayuvava	Cayuvava	Verbal Categories
cnt	Cantonese	4	None	23.000	113.000	Chinese	Sino-Tibetan	Verbal Categories
mnd	Mandarin	4	None	34.000	110.000	Chinese	Sino-Tibetan	Verbal Categories
chk	Chukchi	4	None	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Verbal Categories
cmn	Comanche	4	None	33.500	-101.500	Numic	Uto-Aztecan	Verbal Categories
cre	Cree (Plains)	4	None	54.000	-110.000	Algonquian	Algic	Verbal Categories
dag	Daga	4	None	-10.000	149.333	Dagan	Dagan	Verbal Categories
dni	Dani (Lower Grand Valley)	4	None	-4.333	138.833	Dani	Trans-New Guinea	Verbal Categories
dio	Diola-Fogny	4	None	13.000	-16.250	Northern Atlantic	Niger-Congo	Verbal Categories
eve	Evenki	4	None	56.000	125.000	Tungusic	Altaic	Verbal Categories
fij	Fijian	4	None	-17.833	178.000	Oceanic	Austronesian	Verbal Categories
fin	Finnish	4	None	62.000	25.000	Finnic	Uralic	Verbal Categories
gar	Garo	4	None	25.667	90.500	Bodo-Garo	Sino-Tibetan	Verbal Categories
goo	Gooniyandi	4	None	-18.333	126.333	Bunuban	Australian	Verbal Categories
grb	Grebo	4	None	5.000	-8.000	Kru	Niger-Congo	Verbal Categories
grw	Greenlandic (West)	4	None	64.000	-51.000	Eskimo	Eskimo-Aleut	Verbal Categories
gua	Guaraní	4	None	-26.000	-56.000	Tupi-Guaraní	Tupian	Verbal Categories
hau	Hausa	4	None	12.000	7.000	West Chadic	Afro-Asiatic	Verbal Categories
hop	Hopi	4	None	36.000	-110.000	Hopi	Uto-Aztecan	Verbal Categories
hup	Hupa	4	None	41.083	-123.667	Athapaskan	Na-Dene	Verbal Categories
igb	Igbo	4	None	6.000	7.333	Igboid	Niger-Congo	Verbal Categories
imo	Imonda	4	None	-3.333	141.167	Border	Border	Verbal Categories
ind	Indonesian	4	None	0.000	106.000	Malayic	Austronesian	Verbal Categories
irq	Iraqw	4	None	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Verbal Categories
jak	Jakaltek	4	None	15.667	-91.667	Mayan	Mayan	Verbal Categories
jpn	Japanese	4	None	37.000	140.000	Japanese	Japanese	Verbal Categories
qaw	Qawasqar	4	None	-49.000	-75.000	Alacalufan	Alacalufan	Verbal Categories
kay	Kayardild	4	None	-17.050	139.500	Tangkic	Australian	Verbal Categories
ket	Ket	4	None	64.000	87.000	Yeniseian	Yeniseian	Verbal Categories
kha	Khalkha	4	None	47.000	105.000	Mongolic	Altaic	Verbal Categories
khs	Khasi	4	None	25.500	92.000	Khasian	Austro-Asiatic	Verbal Categories
khm	Khmer	4	None	12.500	105.000	Khmer	Austro-Asiatic	Verbal Categories
klv	Kilivila	4	None	-8.500	151.083	Oceanic	Austronesian	Verbal Categories
kio	Kiowa	4	None	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Verbal Categories
koa	Koasati	4	None	34.833	-85.167	Muskogean	Muskogean	Verbal Categories
kor	Korean	4	None	37.500	128.000	Korean	Korean	Verbal Categories
kro	Krongo	4	None	10.500	30.000	Kadugli	Kadugli	Verbal Categories
knm	Kunama	4	None	14.500	37.000	Kunama	Nilo-Saharan	Verbal Categories
kut	Kutenai	4	None	49.500	-116.000	Kutenai	Kutenai	Verbal Categories
lad	Ladakhi	4	None	34.000	78.000	Bodic	Sino-Tibetan	Verbal Categories
lkt	Lakhota	4	None	43.833	-101.833	Siouan	Siouan	Verbal Categories
lan	Lango	4	None	2.167	33.000	Nilotic	Nilo-Saharan	Verbal Categories
lav	Lavukaleve	4	None	-9.083	159.200	Lavukaleve	Solomons East Papuan	Verbal Categories
luv	Luvale	4	None	-12.000	22.000	Bantoid	Niger-Congo	Verbal Categories
mak	Makah	4	None	48.333	-124.667	Southern Wakashan	Wakashan	Verbal Categories
mal	Malagasy	4	None	-20.000	47.000	Barito	Austronesian	Verbal Categories
mlt	Maltese	4	None	35.917	14.417	Semitic	Afro-Asiatic	Verbal Categories
myi	Mangarrayi	4	None	-14.667	133.500	Mangarrayi	Australian	Verbal Categories
maw	Maninka (Western)	4	None	13.000	-11.000	Western Mande	Niger-Congo	Verbal Categories
