Veselinova, Ljuba N.. 2011. Suppletion in Imperatives and Hortatives.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 79B.
Available online at http://wals.info/feature/79B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
bul	Bulgarian	1	A regular and a suppletive form alternate	42.500	25.000	Slavic	Indo-European	Verbal Categories
gua	Guaraní	1	A regular and a suppletive form alternate	-26.000	-56.000	Tupi-Guaraní	Tupian	Verbal Categories
hun	Hungarian	1	A regular and a suppletive form alternate	47.000	20.000	Ugric	Uralic	Verbal Categories
irq	Iraqw	1	A regular and a suppletive form alternate	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Verbal Categories
mcd	Macedonian	1	A regular and a suppletive form alternate	41.667	21.750	Slavic	Indo-European	Verbal Categories
nht	Nahuatl (Tetelcingo)	1	A regular and a suppletive form alternate	19.667	-99.000	Aztecan	Uto-Aztecan	Verbal Categories
scr	Serbian-Croatian	1	A regular and a suppletive form alternate	44.000	19.000	Slavic	Indo-European	Verbal Categories
bma	Berber (Middle Atlas)	1	A regular and a suppletive form alternate	33.000	-5.000	Berber	Afro-Asiatic	Verbal Categories
aco	Acoma	3	Hortative	34.917	-107.583	Keresan	Keresan	Verbal Categories
kro	Krongo	3	Hortative	10.500	30.000	Kadugli	Kadugli	Verbal Categories
xun	!Xun (Ekoka)	2	Imperative	-19.667	18.000	Northern Khoisan	Khoisan	Verbal Categories
aeg	Arabic (Egyptian)	2	Imperative	30.000	31.000	Semitic	Afro-Asiatic	Verbal Categories
amr	Arabic (Moroccan)	2	Imperative	34.000	-6.000	Semitic	Afro-Asiatic	Verbal Categories
atu	Arabic (Tunisian)	2	Imperative	36.750	10.250	Semitic	Afro-Asiatic	Verbal Categories
arm	Armenian (Eastern)	2	Imperative	40.000	45.000	Armenian	Indo-European	Verbal Categories
car	Carib	2	Imperative	5.500	-56.000	Cariban	Cariban	Verbal Categories
fin	Finnish	2	Imperative	62.000	25.000	Finnic	Uralic	Verbal Categories
geo	Georgian	2	Imperative	42.000	44.000	Kartvelian	Kartvelian	Verbal Categories
grk	Greek (Modern)	2	Imperative	39.000	22.000	Greek	Indo-European	Verbal Categories
hop	Hopi	2	Imperative	36.000	-110.000	Hopi	Uto-Aztecan	Verbal Categories
ing	Ingush	2	Imperative	43.167	45.083	Nakh	Nakh-Daghestanian	Verbal Categories
iri	Irish	2	Imperative	53.000	-8.000	Celtic	Indo-European	Verbal Categories
jak	Jakaltek	2	Imperative	15.667	-91.667	Mayan	Mayan	Verbal Categories
knr	Kanuri	2	Imperative	12.000	13.000	Western Saharan	Nilo-Saharan	Verbal Categories
knm	Kunama	2	Imperative	14.500	37.000	Kunama	Nilo-Saharan	Verbal Categories
lez	Lezgian	2	Imperative	41.667	47.833	Lezgic	Nakh-Daghestanian	Verbal Categories
luv	Luvale	2	Imperative	-12.000	22.000	Bantoid	Niger-Congo	Verbal Categories
mlt	Maltese	2	Imperative	35.917	14.417	Semitic	Afro-Asiatic	Verbal Categories
wch	Wichí	2	Imperative	-22.500	-62.583	Matacoan	Matacoan	Verbal Categories
mxc	Mixtec (Chalcatongo)	2	Imperative	17.050	-97.583	Mixtecan	Oto-Manguean	Verbal Categories
mrl	Murle	2	Imperative	6.500	33.500	Surmic	Nilo-Saharan	Verbal Categories
nen	Nenets	2	Imperative	69.000	72.000	Samoyedic	Uralic	Verbal Categories
orb	Oromo (Boraana)	2	Imperative	4.500	38.500	Eastern Cushitic	Afro-Asiatic	Verbal Categories
