Maddieson, Ian. 2011. Glottalized Consonants.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 7A.
Available online at http://wals.info/feature/7A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
ood	O'odham	1	No glottalized consonants	32.000	-112.000	Tepiman	Uto-Aztecan	Phonology
abi	Abipón	1	No glottalized consonants	-29.000	-61.000	Guaicuruan	Guaicuruan	Phonology
ach	Aché	1	No glottalized consonants	-25.250	-55.167	Tupi-Guaraní	Tupian	Phonology
acm	Achumawi	1	No glottalized consonants	41.500	-121.000	Palaihnihan	Hokan	Phonology
adz	Adzera	1	No glottalized consonants	-6.250	146.250	Oceanic	Austronesian	Phonology
agh	Aghem	1	No glottalized consonants	6.667	10.000	Bantoid	Niger-Congo	Phonology
ain	Ainu	1	No glottalized consonants	43.000	143.000	Ainu	Ainu	Phonology
akn	Akan	1	No glottalized consonants	6.500	-1.250	Kwa	Niger-Congo	Phonology
akw	Akawaio	1	No glottalized consonants	6.000	-59.500	Cariban	Cariban	Phonology
abm	Alabama	1	No glottalized consonants	32.333	-87.417	Muskogean	Muskogean	Phonology
ala	Alamblak	1	No glottalized consonants	-4.667	143.333	Sepik Hill	Sepik	Phonology
alw	Alawa	1	No glottalized consonants	-15.167	134.250	Maran	Australian	Phonology
alb	Albanian	1	No glottalized consonants	41.000	20.000	Albanian	Indo-European	Phonology
aea	Aleut (Eastern)	1	No glottalized consonants	54.750	-164.000	Aleut	Eskimo-Aleut	Phonology
ald	Alladian	1	No glottalized consonants	5.167	-4.333	Kwa	Niger-Congo	Phonology
amc	Amahuaca	1	No glottalized consonants	-10.500	-72.500	Panoan	Panoan	Phonology
ame	Amele	1	No glottalized consonants	-5.250	145.583	Madang	Trans-New Guinea	Phonology
amo	Amo	1	No glottalized consonants	10.333	8.667	Kainji	Niger-Congo	Phonology
amu	Amuesha	1	No glottalized consonants	-10.500	-75.417	Arawakan	Arawakan	Phonology
amz	Amuzgo	1	No glottalized consonants	16.833	-98.000	Amuzgoan	Oto-Manguean	Phonology
gan	Great Andamanese	1	No glottalized consonants	12.000	92.667	Great Andamanese	Great Andamanese	Phonology
adk	Andoke	1	No glottalized consonants	-0.667	-72.000	Andoke	Andoke	Phonology
ant	Angaatiha	1	No glottalized consonants	-7.217	146.250	Angan	Trans-New Guinea	Phonology
ao	Ao	1	No glottalized consonants	26.583	94.667	Kuki-Chin	Sino-Tibetan	Phonology
