Veselinova, Ljuba N.. 2011. Verbal Number and Suppletion.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 80A.
Available online at http://wals.info/feature/80A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	None	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Verbal Categories
aco	Acoma	1	None	34.917	-107.583	Keresan	Keresan	Verbal Categories
agw	Alagwa	1	None	-5.500	35.750	Southern Cushitic	Afro-Asiatic	Verbal Categories
ala	Alamblak	1	None	-4.667	143.333	Sepik Hill	Sepik	Verbal Categories
apu	Apurinã	1	None	-9.000	-67.000	Arawakan	Arawakan	Verbal Categories
abn	Arabana	1	None	-28.250	136.250	Pama-Nyungan	Australian	Verbal Categories
aeg	Arabic (Egyptian)	1	None	30.000	31.000	Semitic	Afro-Asiatic	Verbal Categories
amr	Arabic (Moroccan)	1	None	34.000	-6.000	Semitic	Afro-Asiatic	Verbal Categories
atu	Arabic (Tunisian)	1	None	36.750	10.250	Semitic	Afro-Asiatic	Verbal Categories
ana	Araona	1	None	-12.333	-67.750	Tacanan	Tacanan	Verbal Categories
arm	Armenian (Eastern)	1	None	40.000	45.000	Armenian	Indo-European	Verbal Categories
asm	Asmat	1	None	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Verbal Categories
awp	Awa Pit	1	None	1.500	-78.250	Barbacoan	Barbacoan	Verbal Categories
aym	Aymara	1	None	-17.000	-69.000	Aymaran	Aymaran	Verbal Categories
bag	Bagirmi	1	None	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Verbal Categories
bsq	Basque	1	None	43.000	-3.000	Basque	Basque	Verbal Categories
ben	Bengali	1	None	24.000	90.000	Indic	Indo-European	Verbal Categories
brh	Brahui	1	None	28.500	67.000	Northern Dravidian	Dravidian	Verbal Categories
arp	Arapesh (Mountain)	1	None	-3.467	143.167	Kombio-Arapesh	Torricelli	Verbal Categories
bul	Bulgarian	1	None	42.500	25.000	Slavic	Indo-European	Verbal Categories
brm	Burmese	1	None	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Verbal Categories
blr	Belorussian	1	None	54.000	28.000	Slavic	Indo-European	Verbal Categories
car	Carib	1	None	5.500	-56.000	Cariban	Cariban	Verbal Categories
cyv	Cayuvava	1	None	-13.500	-65.500	Cayuvava	Cayuvava	Verbal Categories
cha	Chamorro	1	None	13.450	144.750	Chamorro	Austronesian	Verbal Categories
cle	Chinantec (Lealao)	1	None	17.333	-95.917	Chinantecan	Oto-Manguean	Verbal Categories
cnt	Cantonese	1	None	23.000	113.000	Chinese	Sino-Tibetan	Verbal Categories
mnd	Mandarin	1	None	34.000	110.000	Chinese	Sino-Tibetan	Verbal Categories
chk	Chukchi	1	None	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Verbal Categories
cre	Cree (Plains)	1	None	54.000	-110.000	Algonquian	Algic	Verbal Categories
cze	Czech	1	None	50.000	15.000	Slavic	Indo-European	Verbal Categories
dag	Daga	1	None	-10.000	149.333	Dagan	Dagan	Verbal Categories
dni	Dani (Lower Grand Valley)	1	None	-4.333	138.833	Dani	Trans-New Guinea	Verbal Categories
dio	Diola-Fogny	1	None	13.000	-16.250	Northern Atlantic	Niger-Congo	Verbal Categories
dut	Dutch	1	None	52.500	6.000	Germanic	Indo-European	Verbal Categories
eng	English	1	None	52.000	0.000	Germanic	Indo-European	Verbal Categories
ewe	Ewe	1	None	6.333	0.417	Kwa	Niger-Congo	Verbal Categories
eve	Evenki	1	None	56.000	125.000	Tungusic	Altaic	Verbal Categories
fij	Fijian	1	None	-17.833	178.000	Oceanic	Austronesian	Verbal Categories
fin	Finnish	1	None	62.000	25.000	Finnic	Uralic	Verbal Categories
fre	French	1	None	48.000	2.000	Romance	Indo-European	Verbal Categories
fur	Fur	1	None	13.500	25.000	Fur	Nilo-Saharan	Verbal Categories
grf	Garífuna	1	None	15.667	-88.000	Arawakan	Arawakan	Verbal Categories
gar	Garo	1	None	25.667	90.500	Bodo-Garo	Sino-Tibetan	Verbal Categories
ger	German	1	None	52.000	10.000	Germanic	Indo-European	Verbal Categories
goo	Gooniyandi	1	None	-18.333	126.333	Bunuban	Australian	Verbal Categories
grb	Grebo	1	None	5.000	-8.000	Kru	Niger-Congo	Verbal Categories
grk	Greek (Modern)	1	None	39.000	22.000	Greek	Indo-European	Verbal Categories
grw	Greenlandic (West)	1	None	64.000	-51.000	Eskimo	Eskimo-Aleut	Verbal Categories
gua	Guaraní	1	None	-26.000	-56.000	Tupi-Guaraní	Tupian	Verbal Categories
hau	Hausa	1	None	12.000	7.000	West Chadic	Afro-Asiatic	Verbal Categories
heb	Hebrew (Modern)	1	None	31.500	34.833	Semitic	Afro-Asiatic	Verbal Categories
hin	Hindi	1	None	25.000	77.000	Indic	Indo-European	Verbal Categories
hix	Hixkaryana	1	None	-1.000	-59.000	Cariban	Cariban	Verbal Categories
hun	Hungarian	1	None	47.000	20.000	Ugric	Uralic	Verbal Categories
hzb	Hunzib	1	None	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Verbal Categories
igb	Igbo	1	None	6.000	7.333	Igboid	Niger-Congo	Verbal Categories
ika	Ika	1	None	10.667	-73.750	Aruak	Chibchan	Verbal Categories
ind	Indonesian	1	None	0.000	106.000	Malayic	Austronesian	Verbal Categories
irq	Iraqw	1	None	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Verbal Categories
iri	Irish	1	None	53.000	-8.000	Celtic	Indo-European	Verbal Categories
jak	Jakaltek	1	None	15.667	-91.667	Mayan	Mayan	Verbal Categories
jpn	Japanese	1	None	37.000	140.000	Japanese	Japanese	Verbal Categories
knd	Kannada	1	None	14.000	76.000	Southern Dravidian	Dravidian	Verbal Categories
