Dryer, Matthew S.. 2011. Order of Subject, Object and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 81A.
Available online at http://wals.info/feature/81A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
kho	Khoekhoe	1	SOV	-25.500	18.000	Central Khoisan	Khoisan	Word Order
ras	Rashad	1	SOV	11.833	31.050	Rashad	Niger-Congo	Word Order
ori	Orig	1	SOV	12.167	30.833	Rashad	Niger-Congo	Word Order
bus	Busa	1	SOV	9.667	4.000	Eastern Mande	Niger-Congo	Word Order
dan	Dan	1	SOV	7.500	-8.000	Eastern Mande	Niger-Congo	Word Order
maw	Maninka (Western)	1	SOV	13.000	-11.000	Western Mande	Niger-Congo	Word Order
mkg	Mandinka (Gambian)	1	SOV	13.417	-16.000	Western Mande	Niger-Congo	Word Order
bam	Bambara	1	SOV	12.500	-7.500	Western Mande	Niger-Congo	Word Order
mka	Mauka	1	SOV	8.333	-7.500	Western Mande	Niger-Congo	Word Order
vai	Vai	1	SOV	6.917	-11.250	Western Mande	Niger-Congo	Word Order
sus	Susu	1	SOV	10.000	-13.000	Western Mande	Niger-Congo	Word Order
mde	Mende	1	SOV	7.833	-11.500	Western Mande	Niger-Congo	Word Order
snn	Soninke	1	SOV	15.000	-10.500	Western Mande	Niger-Congo	Word Order
ijo	Ijo (Kolokuma)	1	SOV	4.917	5.667	Ijoid	Niger-Congo	Word Order
sme	Seme	1	SOV	11.000	-4.917	Kru	Niger-Congo	Word Order
dds	Donno So	1	SOV	14.333	-3.583	Dogon	Niger-Congo	Word Order
sup	Supyire	1	SOV	11.500	-5.583	Gur	Niger-Congo	Word Order
tnn	Tunen	1	SOV	4.750	10.667	Bantoid	Niger-Congo	Word Order
kse	Koyraboro Senni	1	SOV	16.000	0.000	Songhay	Nilo-Saharan	Word Order
knr	Kanuri	1	SOV	12.000	13.000	Western Saharan	Nilo-Saharan	Word Order
kbu	Kanembu	1	SOV	14.000	15.000	Western Saharan	Nilo-Saharan	Word Order
tbu	Tubu	1	SOV	16.000	15.000	Western Saharan	Nilo-Saharan	Word Order
mab	Maba	1	SOV	13.750	20.833	Maban	Nilo-Saharan	Word Order
msl	Masalit	1	SOV	13.333	22.000	Maban	Nilo-Saharan	Word Order
run	Runga	1	SOV	10.333	21.000	Maban	Nilo-Saharan	Word Order
fur	Fur	1	SOV	13.500	25.000	Fur	Nilo-Saharan	Word Order
nar	Nara (in Ethiopia)	1	SOV	15.083	37.583	Nara	Nilo-Saharan	Word Order
nyi	Nyimang	1	SOV	12.167	29.333	Nyimang	Nilo-Saharan	Word Order
tma	Tama	1	SOV	14.500	22.000	Taman	Nilo-Saharan	Word Order
sil	Sila	1	SOV	12.333	21.750	Daju	Nilo-Saharan	Word Order
knm	Kunama	1	SOV	14.500	37.000	Kunama	Nilo-Saharan	Word Order
shb	Shabo	1	SOV	7.583	35.417	Shabo	Nilo-Saharan	Word Order
dim	Dime	1	SOV	6.167	36.250	South Omotic	Afro-Asiatic	Word Order
gim	Gimira	1	SOV	7.000	35.750	North Omotic	Afro-Asiatic	Word Order
wly	Wolaytta	1	SOV	6.833	37.750	North Omotic	Afro-Asiatic	Word Order
zay	Zayse	1	SOV	5.917	37.333	North Omotic	Afro-Asiatic	Word Order
bej	Beja	1	SOV	18.000	36.000	Beja	Afro-Asiatic	Word Order
kem	Kemant	1	SOV	12.667	37.417	Central Cushitic	Afro-Asiatic	Word Order
qaf	Qafar	1	SOV	12.000	42.000	Eastern Cushitic	Afro-Asiatic	Word Order
dha	Dhaasanac	1	SOV	4.667	36.333	Eastern Cushitic	Afro-Asiatic	Word Order
abo	Arbore	1	SOV	5.000	36.750	Eastern Cushitic	Afro-Asiatic	Word Order
som	Somali	1	SOV	3.000	45.000	Eastern Cushitic	Afro-Asiatic	Word Order
orh	Oromo (Harar)	1	SOV	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Word Order
orw	Oromo (Waata)	1	SOV	-3.333	39.833	Eastern Cushitic	Afro-Asiatic	Word Order
irq	Iraqw	1	SOV	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Word Order
naj	Neo-Aramaic (Arbel Jewish)	1	SOV	31.750	35.000	Semitic	Afro-Asiatic	Word Order
tgr	Tigré	1	SOV	16.500	38.500	Semitic	Afro-Asiatic	Word Order
tig	Tigrinya	1	SOV	14.500	38.500	Semitic	Afro-Asiatic	Word Order
amh	Amharic	1	SOV	10.000	38.000	Semitic	Afro-Asiatic	Word Order
sod	Soddo	1	SOV	8.500	38.500	Semitic	Afro-Asiatic	Word Order
chh	Chaha	1	SOV	8.113	37.933	Semitic	Afro-Asiatic	Word Order
bsq	Basque	1	SOV	43.000	-3.000	Basque	Basque	Word Order
arw	Armenian (Western)	1	SOV	38.500	43.500	Armenian	Indo-European	Word Order
snh	Sinhala	1	SOV	7.000	80.500	Indic	Indo-European	Word Order
khw	Khowar	1	SOV	36.000	72.000	Indic	Indo-European	Word Order
bkt	Brokskat	1	SOV	35.333	76.500	Indic	Indo-European	Word Order
sna	Shina	1	SOV	36.000	74.000	Indic	Indo-European	Word Order
sav	Savi	1	SOV	35.000	71.500	Indic	Indo-European	Word Order
mhi	Marathi	1	SOV	19.000	76.000	Indic	Indo-European	Word Order
hin	Hindi	1	SOV	25.000	77.000	Indic	Indo-European	Word Order
urd	Urdu	1	SOV	25.000	67.000	Indic	Indo-European	Word Order
lmn	Lamani	1	SOV	17.000	77.000	Indic	Indo-European	Word Order
pan	Panjabi	1	SOV	31.000	74.000	Indic	Indo-European	Word Order
skw	Shekhawati	1	SOV	28.000	75.500	Indic	Indo-European	Word Order
guj	Gujarati	1	SOV	23.000	72.000	Indic	Indo-European	Word Order
kum	Kumauni	1	SOV	30.000	80.000	Indic	Indo-European	Word Order
nep	Nepali	1	SOV	28.000	85.000	Indic	Indo-European	Word Order
bho	Bhojpuri	1	SOV	26.000	84.000	Indic	Indo-European	Word Order
pra	Prasuni	1	SOV	35.500	71.000	Indic	Indo-European	Word Order
oss	Ossetic	1	SOV	43.000	44.000	Iranian	Indo-European	Word Order
wak	Wakhi	1	SOV	36.500	72.000	Iranian	Indo-European	Word Order
psh	Pashto	1	SOV	33.000	67.000	Iranian	Indo-European	Word Order
krd	Kurdish (Central)	1	SOV	36.000	44.000	Iranian	Indo-European	Word Order
prs	Persian	1	SOV	32.000	54.000	Iranian	Indo-European	Word Order
taj	Tajik	1	SOV	38.667	70.000	Iranian	Indo-European	Word Order
srb	Sorbian	1	SOV	51.500	14.000	Slavic	Indo-European	Word Order
nen	Nenets	1	SOV	69.000	72.000	Samoyedic	Uralic	Word Order
ene	Enets	1	SOV	67.500	86.500	Samoyedic	Uralic	Word Order
nga	Nganasan	1	SOV	71.000	93.000	Samoyedic	Uralic	Word Order
kms	Kamass	1	SOV	52.000	92.000	Samoyedic	Uralic	Word Order
skp	Selkup	1	SOV	65.000	82.000	Samoyedic	Uralic	Word Order
kty	Khanty	1	SOV	65.000	65.000	Ugric	Uralic	Word Order
mns	Mansi	1	SOV	62.000	62.000	Ugric	Uralic	Word Order
udm	Udmurt	1	SOV	57.500	52.500	Permic	Uralic	Word Order
ytu	Yukaghir (Tundra)	1	SOV	69.000	155.000	Yukaghir	Yukaghir	Word Order
yko	Yukaghir (Kolyma)	1	SOV	65.750	150.833	Yukaghir	Yukaghir	Word Order
dgr	Dagur	1	SOV	48.000	124.000	Mongolic	Altaic	Word Order
but	Buriat	1	SOV	52.000	108.000	Mongolic	Altaic	Word Order
kha	Khalkha	1	SOV	47.000	105.000	Mongolic	Altaic	Word Order
evn	Even	1	SOV	68.000	130.000	Tungusic	Altaic	Word Order
eve	Evenki	1	SOV	56.000	125.000	Tungusic	Altaic	Word Order
mnc	Manchu	1	SOV	49.500	127.500	Tungusic	Altaic	Word Order
udh	Udihe	1	SOV	47.667	136.250	Tungusic	Altaic	Word Order
chv	Chuvash	1	SOV	55.500	47.500	Turkic	Altaic	Word Order
khl	Khalaj	1	SOV	35.000	50.000	Turkic	Altaic	Word Order
aze	Azerbaijani	1	SOV	40.500	48.500	Turkic	Altaic	Word Order
tur	Turkish	1	SOV	39.000	35.000	Turkic	Altaic	Word Order
tkm	Turkmen	1	SOV	40.000	58.000	Turkic	Altaic	Word Order
uzb	Uzbek	1	SOV	39.000	66.000	Turkic	Altaic	Word Order
tvo	Tatar	1	SOV	56.000	49.500	Turkic	Altaic	Word Order
kkp	Karakalpak	1	SOV	43.000	60.000	Turkic	Altaic	Word Order
ykt	Yakut	1	SOV	62.000	130.000	Turkic	Altaic	Word Order
tuv	Tuvan	1	SOV	52.000	95.000	Turkic	Altaic	Word Order
kor	Korean	1	SOV	37.500	128.000	Korean	Korean	Word Order
ain	Ainu	1	SOV	43.000	143.000	Ainu	Ainu	Word Order
jpn	Japanese	1	SOV	37.000	140.000	Japanese	Japanese	Word Order
kry	Koryak	1	SOV	61.000	167.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Word Order
ite	Itelmen	1	SOV	57.000	157.500	Southern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Word Order
niv	Nivkh	1	SOV	53.333	142.000	Nivkh	Nivkh	Word Order
ket	Ket	1	SOV	64.000	87.000	Yeniseian	Yeniseian	Word Order
geo	Georgian	1	SOV	42.000	44.000	Kartvelian	Kartvelian	Word Order
uby	Ubykh	1	SOV	43.667	39.667	Northwest Caucasian	Northwest Caucasian	Word Order
abk	Abkhaz	1	SOV	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Word Order
ady	Adyghe (Abzakh)	1	SOV	45.233	40.583	Northwest Caucasian	Northwest Caucasian	Word Order
