Dryer, Matthew S.. 2011. Order of Subject and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 82A.
Available online at http://wals.info/feature/82A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	SV	-19.000	21.000	Northern Khoisan	Khoisan	Word Order
kho	Khoekhoe	1	SV	-25.500	18.000	Central Khoisan	Khoisan	Word Order
ani	//Ani	1	SV	-18.917	21.917	Central Khoisan	Khoisan	Word Order
kxo	Kxoe	1	SV	-17.500	22.500	Central Khoisan	Khoisan	Word Order
xoo	!Xóõ	1	SV	-24.000	21.500	Southern Khoisan	Khoisan	Word Order
xam	/Xam	1	SV	-31.000	21.000	Southern Khoisan	Khoisan	Word Order
ktl	Katla	1	SV	11.833	29.333	Katla-Tima	Niger-Congo	Word Order
mro	Moro	1	SV	11.000	30.167	Heiban	Niger-Congo	Word Order
ras	Rashad	1	SV	11.833	31.050	Rashad	Niger-Congo	Word Order
ori	Orig	1	SV	12.167	30.833	Rashad	Niger-Congo	Word Order
bus	Busa	1	SV	9.667	4.000	Eastern Mande	Niger-Congo	Word Order
man	Mano	1	SV	7.000	-9.000	Eastern Mande	Niger-Congo	Word Order
dan	Dan	1	SV	7.500	-8.000	Eastern Mande	Niger-Congo	Word Order
maw	Maninka (Western)	1	SV	13.000	-11.000	Western Mande	Niger-Congo	Word Order
mkg	Mandinka (Gambian)	1	SV	13.417	-16.000	Western Mande	Niger-Congo	Word Order
bam	Bambara	1	SV	12.500	-7.500	Western Mande	Niger-Congo	Word Order
mka	Mauka	1	SV	8.333	-7.500	Western Mande	Niger-Congo	Word Order
vai	Vai	1	SV	6.917	-11.250	Western Mande	Niger-Congo	Word Order
sus	Susu	1	SV	10.000	-13.000	Western Mande	Niger-Congo	Word Order
mde	Mende	1	SV	7.833	-11.500	Western Mande	Niger-Congo	Word Order
snn	Soninke	1	SV	15.000	-10.500	Western Mande	Niger-Congo	Word Order
fni	Fula (Nigerian)	1	SV	8.167	10.500	Northern Atlantic	Niger-Congo	Word Order
fua	Fula (Cameroonian)	1	SV	9.167	13.500	Northern Atlantic	Niger-Congo	Word Order
wlf	Wolof	1	SV	15.250	-16.000	Northern Atlantic	Niger-Congo	Word Order
dio	Diola-Fogny	1	SV	13.000	-16.250	Northern Atlantic	Niger-Congo	Word Order
bsr	Basari	1	SV	12.667	-13.000	Northern Atlantic	Niger-Congo	Word Order
tne	Temne	1	SV	8.667	-13.083	Southern Atlantic	Niger-Congo	Word Order
kis	Kisi	1	SV	8.833	-10.167	Southern Atlantic	Niger-Congo	Word Order
ijo	Ijo (Kolokuma)	1	SV	4.917	5.667	Ijoid	Niger-Congo	Word Order
sme	Seme	1	SV	11.000	-4.917	Kru	Niger-Congo	Word Order
kla	Klao	1	SV	4.750	-8.750	Kru	Niger-Congo	Word Order
grb	Grebo	1	SV	5.000	-8.000	Kru	Niger-Congo	Word Order
dds	Donno So	1	SV	14.333	-3.583	Dogon	Niger-Congo	Word Order
tou	Toussian	1	SV	11.000	-4.667	Gur	Niger-Congo	Word Order
tny	Tenyer	1	SV	10.667	-4.500	Gur	Niger-Congo	Word Order
sup	Supyire	1	SV	11.500	-5.583	Gur	Niger-Congo	Word Order
kfe	Koromfe	1	SV	14.250	-0.917	Gur	Niger-Congo	Word Order
moo	Mooré	1	SV	12.833	-1.250	Gur	Niger-Congo	Word Order
dga	Dagaare	1	SV	10.500	-2.667	Gur	Niger-Congo	Word Order
dgb	Dagbani	1	SV	9.583	-0.500	Gur	Niger-Congo	Word Order
bmb	Bimoba	1	SV	10.500	0.000	Gur	Niger-Congo	Word Order
ssa	Sisaala	1	SV	10.833	-2.667	Gur	Niger-Congo	Word Order
kby	Kabiyé	1	SV	9.667	1.167	Gur	Niger-Congo	Word Order
kir	Kirma	1	SV	10.250	-4.833	Gur	Niger-Congo	Word Order
doy	Doyayo	1	SV	8.667	13.083	Adamawa	Niger-Congo	Word Order
mum	Mumuye	1	SV	9.000	11.667	Adamawa	Niger-Congo	Word Order
mbm	Mbum	1	SV	7.750	13.167	Adamawa	Niger-Congo	Word Order
mdg	Mundang	1	SV	9.667	14.500	Adamawa	Niger-Congo	Word Order
tpr	Tupuri	1	SV	10.167	14.750	Adamawa	Niger-Congo	Word Order
day	Day	1	SV	8.750	17.833	Adamawa	Niger-Congo	Word Order
gbk	Gbaya Kara	1	SV	6.000	15.000	Ubangi	Niger-Congo	Word Order
gbb	Gbeya Bossangoa	1	SV	6.667	17.500	Ubangi	Niger-Congo	Word Order
ngb	Ngbaka	1	SV	3.500	20.000	Ubangi	Niger-Congo	Word Order
san	Sango	1	SV	5.000	18.000	Ubangi	Niger-Congo	Word Order
bak	Baka (in Cameroon)	1	SV	2.583	13.583	Ubangi	Niger-Congo	Word Order
lnd	Linda	1	SV	6.500	20.750	Ubangi	Niger-Congo	Word Order
zan	Zande	1	SV	4.000	26.000	Ubangi	Niger-Congo	Word Order
nza	Nzakara	1	SV	5.000	23.000	Ubangi	Niger-Congo	Word Order
ma	Ma	1	SV	3.500	28.000	Ubangi	Niger-Congo	Word Order
dgo	Dongo	1	SV	3.000	30.000	Ubangi	Niger-Congo	Word Order
mga	Mondunga	1	SV	2.250	21.500	Ubangi	Niger-Congo	Word Order
mba	Mba	1	SV	1.000	25.000	Ubangi	Niger-Congo	Word Order
akn	Akan	1	SV	6.500	-1.250	Kwa	Niger-Congo	Word Order
ayi	Anyi	1	SV	7.000	-3.500	Kwa	Niger-Congo	Word Order
ble	Baule	1	SV	7.000	-5.000	Kwa	Niger-Congo	Word Order
nkn	Nkonya	1	SV	7.167	0.250	Kwa	Niger-Congo	Word Order
llm	Lelemi	1	SV	7.333	0.500	Kwa	Niger-Congo	Word Order
ega	Ega	1	SV	5.500	-5.500	Kwa	Niger-Congo	Word Order
ga	Gã	1	SV	5.667	-0.167	Kwa	Niger-Congo	Word Order
ewe	Ewe	1	SV	6.333	0.417	Kwa	Niger-Congo	Word Order
fon	Fongbe	1	SV	6.417	2.167	Kwa	Niger-Congo	Word Order
